ID,CMMC Practice
NSA-ADMIN-044,CM.2.062
NSA-PRTCL-001,CM.2.062
NSA-PRTCL-002,CM.2.062
NSA-PRTCL-003,CM.2.062
NSA-PRTCL-004,CM.2.062
NSA-PRTCL-005,CM.2.062
NSA-PRTCL-008,CM.2.062
NSA-PRTCL-009,CM.2.062
NSA-PRTCL-010,CM.2.062
NSA-PRTCL-011,CM.2.062
NSA-PRTCL-012,CM.2.062
NSA-PRTCL-013,CM.2.062
NSA-PRTCL-025,CM.2.062
NSA-ADMIN-029,CM.2.064
NSA-AUTH-005,CM.2.064
NSA-AUTH-006,CM.2.064
NSA-AUTH-008,CM.2.064
NSA-AUTH-009,CM.2.064
NSA-AUTH-011,CM.2.064
NSA-AUTH-012,CM.2.064
NSA-AUTH-014,CM.2.064
NSA-AUTH-015,CM.2.064
NSA-AUTH-016,CM.2.064
NSA-AUTH-017,CM.2.064
NSA-AUTH-022,CM.2.064
NSA-AUTH-023,CM.2.064
NSA-AUTH-024,CM.2.064
NSA-AUTH-025,CM.2.064
NSA-AUTH-031,CM.2.064
NSA-CNFG-001,CM.2.064
NSA-DNS-001,CM.2.064
NSA-FLTR-015,CM.2.064
NSA-FLTR-016,CM.2.064
NSA-FLTR-021,CM.2.064
NSA-FLTR-022,CM.2.064
NSA-IDS-001,CM.2.064
NSA-IDS-002,CM.2.064
NSA-IDS-003,CM.2.064
NSA-IDS-004,CM.2.064
NSA-IDS-005,CM.2.064
NSA-IDS-006,CM.2.064
NSA-IDS-007,CM.2.064
NSA-IDS-008,CM.2.064
NSA-IDS-009,CM.2.064
NSA-IDS-010,CM.2.064
NSA-IDS-011,CM.2.064
NSA-IDS-012,CM.2.064
NSA-IDS-013,CM.2.064
NSA-IDS-014,CM.2.064
NSA-IDS-015,CM.2.064
NSA-IDS-016,CM.2.064
NSA-IDS-017,CM.2.064
NSA-IDS-018,CM.2.064
NSA-IDS-019,CM.2.064
NSA-IDS-020,CM.2.064
NSA-IDS-021,CM.2.064
NSA-IDS-022,CM.2.064
NSA-IDS-023,CM.2.064
NSA-IDS-024,CM.2.064
NSA-IDS-025,CM.2.064
NSA-IDS-026,CM.2.064
NSA-IDS-027,CM.2.064
NSA-IDS-028,CM.2.064
NSA-IDS-029,CM.2.064
NSA-IDS-030,CM.2.064
NSA-IDS-031,CM.2.064
NSA-IDS-032,CM.2.064
NSA-INTFC-001,CM.2.064
NSA-INTFC-002,CM.2.064
NSA-INTFC-003,CM.2.064
NSA-INTFC-004,CM.2.064
NSA-LOGG-001,CM.2.064
NSA-LOGG-007,CM.2.064
NSA-LOGG-009,CM.2.064
NSA-LOGG-010,CM.2.064
NSA-NTPT-001,CM.2.064
NSA-NTPT-002,CM.2.064
NSA-PRTCL-006,CM.2.064
NSA-PRTCL-007,CM.2.064
NSA-PRTCL-014,CM.2.064
NSA-PRTCL-015,CM.2.064
NSA-PRTCL-016,CM.2.064
NSA-PRTCL-017,CM.2.064
NSA-PRTCL-018,CM.2.064
NSA-PRTCL-019,CM.2.064
NSA-PRTCL-020,CM.2.064
NSA-PRTCL-021,CM.2.064
NSA-PRTCL-022,CM.2.064
NSA-PRTCL-023,CM.2.064
NSA-PRTCL-024,CM.2.064
NSA-RMTAC-002,CM.2.064
NSA-RMTAC-003,CM.2.064
NSA-RMTAC-004,CM.2.064
NSA-RMTAC-005,CM.2.064
NSA-RMTAC-006,CM.2.064
NSA-RMTAC-007,CM.2.064
NSA-ROUT-001,CM.2.064
NSA-ROUT-002,CM.2.064
NSA-ROUT-003,CM.2.064
NSA-ROUT-004,CM.2.064
NSA-ROUT-005,CM.2.064
NSA-ROUT-006,CM.2.064
NSA-ROUT-007,CM.2.064
NSA-ROUT-008,CM.2.064
NSA-ROUT-009,CM.2.064
NSA-ROUT-010,CM.2.064
NSA-ROUT-011,CM.2.064
NSA-ROUT-012,CM.2.064
NSA-ROUT-013,CM.2.064
NSA-ROUT-014,CM.2.064
NSA-ROUT-015,CM.2.064
NSA-ROUT-016,CM.2.064
NSA-ROUT-017,CM.2.064
NSA-ROUT-018,CM.2.064
NSA-ROUT-019,CM.2.064
NSA-ROUT-020,CM.2.064
NSA-ROUT-021,CM.2.064
NSA-ROUT-022,CM.2.064
NSA-ROUT-023,CM.2.064
NSA-ROUT-024,CM.2.064
NSA-ROUT-025,CM.2.064
NSA-ROUT-026,CM.2.064
NSA-ROUT-027,CM.2.064
NSA-ROUT-028,CM.2.064
NSA-ROUT-029,CM.2.064
NSA-ROUT-030,CM.2.064
NSA-ROUT-031,CM.2.064
NSA-ROUT-032,CM.2.064
NSA-ROUT-033,CM.2.064
NSA-ROUT-034,CM.2.064
NSA-ROUT-035,CM.2.064
NSA-ROUT-036,CM.2.064
NSA-ROUT-037,CM.2.064
NSA-ROUT-038,CM.2.064
NSA-ROUT-039,CM.2.064
NSA-ROUT-040,CM.2.064
NSA-ROUT-041,CM.2.064
NSA-ROUT-042,CM.2.064
NSA-ROUT-043,CM.2.064
NSA-ROUT-044,CM.2.064
NSA-ROUT-045,CM.2.064
NSA-ROUT-046,CM.2.064
NSA-SNMP-002,CM.2.064
NSA-SNMP-003,CM.2.064
NSA-SNMP-004,CM.2.064
NSA-SNMP-005,CM.2.064
NSA-SNMP-012,CM.2.064
NSA-SNMP-013,CM.2.064
NSA-SNMP-015,CM.2.064
NSA-SNMP-016,CM.2.064
NSA-SNMP-017,CM.2.064
NSA-SNMP-018,CM.2.064
NSA-SNMP-019,CM.2.064
NSA-SNMP-021,CM.2.064
NSA-SNMP-022,CM.2.064
NSA-SNMP-023,CM.2.064
NSA-ADMIN-007,CM.3.067
NSA-ADMIN-010,CM.3.067
NSA-ADMIN-012,CM.3.067
NSA-ADMIN-015,CM.3.067
NSA-ADMIN-016,CM.3.067
NSA-ADMIN-020,CM.3.067
NSA-ADMIN-023,CM.3.067
NSA-ADMIN-024,CM.3.067
NSA-ADMIN-025,CM.3.067
NSA-ADMIN-030,CM.3.067
NSA-ADMIN-034,CM.3.067
NSA-ADMIN-037,CM.3.067
NSA-ADMIN-040,CM.3.067
NSA-ADMIN-042,CM.3.067
NSA-ADMIN-043,CM.3.067
NSA-ADMIN-045,CM.3.067
NSA-SNMP-006,CM.3.067
NSA-SNMP-007,CM.3.067
NSA-SNMP-008,CM.3.067
NSA-SNMP-009,CM.3.067
NSA-SNMP-010,CM.3.067
NSA-SNMP-011,CM.3.067
NSA-SNMP-014,CM.3.067
NSA-SNMP-020,CM.3.067
NSA-SNMP-024,CM.3.067
NSA-ADMIN-002,CM.3.068
NSA-ADMIN-005,CM.3.068
NSA-ADMIN-006,CM.3.068
NSA-ADMIN-035,CM.3.068
NSA-ADMIN-041,CM.3.068
NSA-ADMIN-044,CM.3.068
NSA-FLTR-002,CM.3.068
NSA-FLTR-003,CM.3.068
NSA-FLTR-004,CM.3.068
NSA-FLTR-005,CM.3.068
NSA-FLTR-006,CM.3.068
NSA-FLTR-009,CM.3.068
NSA-FLTR-011,CM.3.068
NSA-PRNT-001,CM.3.068
NSA-PRTCL-001,CM.3.068
NSA-PRTCL-002,CM.3.068
NSA-PRTCL-003,CM.3.068
NSA-PRTCL-004,CM.3.068
NSA-PRTCL-005,CM.3.068
NSA-PRTCL-008,CM.3.068
NSA-PRTCL-009,CM.3.068
NSA-PRTCL-010,CM.3.068
NSA-PRTCL-011,CM.3.068
NSA-PRTCL-012,CM.3.068
NSA-PRTCL-013,CM.3.068
NSA-PRTCL-025,CM.3.068
NSA-AUTH-004,IA.1.077
NSA-AUTH-007,IA.1.077
NSA-AUTH-013,IA.1.077
NSA-AUTH-021,IA.1.077
NSA-AUTH-020,IA.2.078
NSA-AUTH-026,IA.2.078
NSA-AUTH-027,IA.2.078
NSA-AUTH-028,IA.2.078
NSA-AUTH-029,IA.2.078
NSA-AUTH-030,IA.2.078
NSA-AUTH-018,IA.2.079
NSA-AUTH-019,IA.2.079
NSA-AUTH-001,IA.2.081
NSA-AUTH-002,IA.2.081
NSA-AUTH-003,IA.2.081
NSA-CNFG-002,IA.2.081
NSA-FLTR-002,RM.4.151
NSA-FLTR-003,RM.4.151
NSA-FLTR-004,RM.4.151
NSA-FLTR-005,RM.4.151
NSA-FLTR-006,RM.4.151
NSA-FLTR-007,RM.4.151
NSA-FLTR-008,RM.4.151
NSA-FLTR-009,RM.4.151
NSA-FLTR-010,RM.4.151
NSA-FLTR-011,RM.4.151
NSA-FLTR-012,RM.4.151
NSA-FLTR-013,RM.4.151
NSA-FLTR-014,RM.4.151
NSA-FLTR-001,SC.1.175
NSA-FLTR-004,SC.1.175
NSA-FLTR-005,SC.1.175
NSA-FLTR-009,SC.1.175
NSA-FLTR-010,SC.1.175
NSA-FLTR-017,SC.1.175
NSA-FLTR-019,SC.1.175
NSA-ADMIN-006,SC.2.179
NSA-ADMIN-011,SC.2.179
NSA-ADMIN-026,SC.2.179
NSA-ADMIN-036,SC.2.179
NSA-ADMIN-041,SC.2.179
NSA-SNMP-001,SC.2.179
NSA-FLTR-001,SC.3.183
NSA-FLTR-017,SC.3.183
NSA-ADMIN-003,SC.3.186
NSA-ADMIN-004,SC.3.186
NSA-ADMIN-008,SC.3.186
NSA-ADMIN-009,SC.3.186
NSA-ADMIN-013,SC.3.186
NSA-ADMIN-014,SC.3.186
NSA-ADMIN-017,SC.3.186
NSA-ADMIN-018,SC.3.186
NSA-ADMIN-021,SC.3.186
NSA-ADMIN-022,SC.3.186
NSA-ADMIN-027,SC.3.186
NSA-ADMIN-028,SC.3.186
NSA-ADMIN-031,SC.3.186
NSA-ADMIN-032,SC.3.186
NSA-ADMIN-038,SC.3.186
NSA-ADMIN-039,SC.3.186
NSA-ADMIN-046,SC.3.186
NSA-ADMIN-007,SC.4.228
NSA-ADMIN-010,SC.4.228
NSA-ADMIN-012,SC.4.228
NSA-ADMIN-015,SC.4.228
NSA-ADMIN-016,SC.4.228
NSA-ADMIN-020,SC.4.228
NSA-ADMIN-024,SC.4.228
NSA-ADMIN-025,SC.4.228
NSA-ADMIN-030,SC.4.228
NSA-ADMIN-034,SC.4.228
NSA-ADMIN-037,SC.4.228
NSA-ADMIN-040,SC.4.228
NSA-ADMIN-042,SC.4.228
NSA-ADMIN-043,SC.4.228
NSA-ADMIN-045,SC.4.228
NSA-LOGG-008,SI.2.216
