ID,Title,NIST SP 800-171
NSA-ADMIN-024,Unrestricted Outbound Administrative Access,3.1.5
NSA-ADMIN-024,Unrestricted Outbound Administrative Access,3.4.5
NSA-ADMIN-025,No Administrative Service Network Access Restrictions,3.1.5
NSA-ADMIN-025,No Administrative Service Network Access Restrictions,3.4.5
NSA-ADMIN-026,Clear Text RSH Service Enabled,3.5.10
NSA-ADMIN-027,No Session Timeout,3.13.9
NSA-ADMIN-028,Long Session Timeout,3.13.9
NSA-ADMIN-029,SSH Keep Alive Messages Disabled,3.4.2
NSA-ADMIN-030,No SSH Service Network Access Restrictions,3.1.5
NSA-ADMIN-030,No SSH Service Network Access Restrictions,3.4.5
NSA-ADMIN-031,No SSH Session Timeout,3.13.9
NSA-ADMIN-032,Long SSH Session Timeout,3.13.9
NSA-ADMIN-033,SSH Protocol Version 1 Supported,3.5.10
NSA-ADMIN-034,Weak SSH Service Network Access Restrictions,3.1.5
NSA-ADMIN-034,Weak SSH Service Network Access Restrictions,3.4.5
NSA-ADMIN-035,TCP Small Services Enabled,3.4.6 & 3.4.7
NSA-ADMIN-036,Clear Text Telnet Service Enabled,3.5.10
NSA-ADMIN-037,No Telnet Service Network Access Restrictions,3.1.5
NSA-ADMIN-037,No Telnet Service Network Access Restrictions,3.4.5
NSA-ADMIN-038,No Telnet Session Timeout,3.13.9
NSA-ADMIN-039,Long Telnet Session Timeout,3.13.9
NSA-ADMIN-040,Weak Telnet Service Network Access Restrictions,3.1.5
NSA-ADMIN-040,Weak Telnet Service Network Access Restrictions,3.4.5
NSA-ADMIN-041,TFTP Service Was Enabled,3.4.6 & 3.4.7
NSA-ADMIN-042,No TFTP Service Network Access Restrictions,3.1.5
NSA-ADMIN-042,No TFTP Service Network Access Restrictions,3.4.5
NSA-ADMIN-043,Weak TFTP Service Network Access Restrictions,3.1.5
NSA-ADMIN-043,Weak TFTP Service Network Access Restrictions,3.4.5
NSA-ADMIN-044,UDP Small Services Enabled,3.4.6 & 3.4.7
NSA-ADMIN-045,Weak Administrative Service Network Access Restrictions,3.1.5
NSA-ADMIN-045,Weak Administrative Service Network Access Restrictions,3.4.5
NSA-ADMIN-046,Devices with no HTTP or HTTPS server idle timeouts,3.13.9
NSA-AUTH-001,Users Configured With Cisco Type 4 Password Hashing Algorithm,3.5.10
NSA-AUTH-002,Users Configured With Cisco Type 5 Password Hashing Algorithm,3.5.10
NSA-AUTH-003,Users Configured With Cisco Type 7 Password Hashing Algorithm,3.5.10
NSA-AUTH-004,User Accounts With A Default Password,3.4.2
NSA-AUTH-005,Users With Dictionary-Based Passwords,3.5.2
NSA-AUTH-006,Enable Password Configured,3.5.2
NSA-AUTH-007,LDAP Servers With A Default Server Password,3.4.2
NSA-AUTH-008,LDAP Servers With A Dictionary-Based Server Password,3.4.2
NSA-AUTH-009,LDAP Servers With A Weak Server Password,3.4.2
NSA-AUTH-010,Weak User Account Lockout Policy Setting,3.1.8
NSA-AUTH-011,User Administrative Restrictions Disabled,3.4.2
NSA-AUTH-012,User Authentication With No Password,3.5.2
NSA-AUTH-013,RADIUS Servers With A Default Shared Secret,3.4.2
NSA-AUTH-014,RADIUS Servers With A Dictionary-Based Shared Secret,3.4.2
NSA-AUTH-015,RADIUS Servers With No Shared Secret,3.4.2
NSA-AUTH-016,RADIUS Servers With A Weak Shared Secret,3.4.2
NSA-AUTH-017,Weak Password Expiry Warning Policy Setting,3.5.7
NSA-AUTH-018,Weak Password Age Policy Setting,3.5.7
NSA-AUTH-019,Weak Password History Policy Setting,3.5.8
NSA-AUTH-020,Weak Minimum Password Length Policy Setting,3.5.2
NSA-AUTH-021,TACACS+ Servers Configured With Default Encryption Key,3.4.2
NSA-AUTH-022,TACACS+ Servers Configured With A Dictionary-Based Encryption Key,3.4.2
NSA-AUTH-023,TACACS+ Servers Configured With No Encryption Key,3.4.2
NSA-AUTH-024,TACACS+ Servers Configured With A Weak Encryption Key,3.4.2
NSA-AUTH-025,"User Account Names Contained ""admin""",3.4.2
NSA-AUTH-026,Weak Password Complexity Policy Setting,3.5.7
NSA-AUTH-027,Weak Lowercase Password Character Policy Setting,3.5.7
NSA-AUTH-028,Weak Numbers Password Character Policy Setting,3.5.7
NSA-AUTH-029,Weak Specials Password Character Policy Setting,3.5.7
NSA-AUTH-030,Weak Uppercase Password Character Policy Setting,3.5.7
NSA-AUTH-031,Users With A Weak Authentication Password,3.5.2
NSA-BANNR-001,Information Leakage In Banner Message,3.1.9
NSA-BANNR-002,No Post Logon Banner Message,3.1.9
NSA-BANNR-003,No Warning In Pre-Logon Banner,3.1.9
NSA-BANNR-004,No Pre-Logon Banner Message,3.1.9
NSA-CNFG-001,Configuration Auto-Loading Not Disabled,3.4.2
NSA-CNFG-002,Service Password Encryption Disabled,3.5.10
NSA-DNS-001,DNS Lookups Were Enabled,3.4.2
NSA-FLTR-001,Devices with filtering allowing by default,3.13.6
NSA-FLTR-002,Filter Rules Allowing ICMP Were Configured,3.4.6 & 3.4.7
NSA-FLTR-003,Allow Any ICMP Message Type Filter Rules Were Configured,3.4.6 & 3.4.7
NSA-FLTR-004,Filter Rules Allowing All *ABBREV*IPv4*-ABBREV* Protocols Were Configured,3.1.3
NSA-FLTR-005,Filter Rules Allowing All IPv6 Protocols Were Configured,3.1.3
NSA-FLTR-005,Filter Rules Allowing All IPv6 Protocols Were Configured,3.13.6
NSA-FLTR-006,Filter Rules That Allow Any Protocol Were Configured,3.1.3
NSA-FLTR-007,Rules Allow Access To Administrative Services,3.1.5
NSA-FLTR-008,Rules Allow Access To Clear-Text Protocol Services,3.4.2
NSA-FLTR-009,Black list rules violated by the following rules,3.4.2
NSA-FLTR-010,Rules Allow Access To Potentially Sensitive Services,3.4.2
NSA-FLTR-011,Rules Allow Access To Potentially Unnecessary Services,3.4.6 & 3.4.7
NSA-FLTR-012,Bypass Action Filter Rules Were Configured,3.4.2
NSA-FLTR-013,Default Action Filter Rules Were Configured,3.4.2
NSA-FLTR-014,Network Filtering Was Not Enabled,3.4.2
NSA-FLTR-015,Filter Allow Rules Were Configured Without Logging,3.3.1
NSA-FLTR-016,Filter Drop Rules Were Configured Without Logging,3.3.1
NSA-FLTR-017,Filter Rule List Does Not End With Drop All And Log,3.13.6
NSA-FLTR-018,No Network Filtering Rules Were Configured,3.1.3
NSA-FLTR-019,Reject Action Filter Rules Were Configured,3.4.2
NSA-FLTR-020,Filter Rules Allow Packets,3.1.3
NSA-FLTR-021,Filter Rules Were Configured With No Time Restrictions,3.4.2
NSA-FLTR-022,Filter Allow Rules Were Configured Without All UTM Features,3.4.2
NSA-IDS-001,Log Attacks Instead Of Blocking Option Enabled,3.4.2
NSA-IDS-002,Code Red Worm Blocking Was Disabled,3.4.2
NSA-IDS-003,ICMP Flood Attacks Blocking Was Disabled,3.4.2
NSA-IDS-004,ICMP Fragmentation Attack Blocking Was Disabled,3.4.2
NSA-IDS-005,ICMP Large Frame Blocking Was Disabled,3.4.2
NSA-IDS-006,Illegal TCP FIN Flag With No ACK Blocking Was Disabled,3.4.2
NSA-IDS-007,Block IP Packets With Bad Options Was Disabled,3.4.2
NSA-IDS-008,IP Packet Fragmentation Attack Blocking Was Disabled,3.4.2
NSA-IDS-009,Block IP Packets With Source Route Was Disabled,3.4.2
NSA-IDS-010,Block IP Spoofing Attacks Was Disabled,3.4.2
NSA-IDS-011,IP Attack Blocking Was Disabled,3.4.2
NSA-IDS-012,Block LAND Attacks Option Was Disabled,3.4.2
NSA-IDS-013,Limit Concurrent Sessions Option Was Disabled,3.4.2
NSA-IDS-014,Log Loose IP Source Route Packets Was Disabled,3.4.2
NSA-IDS-015,Log Packets With IP Record Route Was Disabled,3.4.2
NSA-IDS-016,Log IP Security Option Packets Was Disabled,3.4.2
NSA-IDS-017,Log IP Stream ID Option Packets Was Disabled,3.4.2
NSA-IDS-018,Log IP Time Stamp Option Packets Was Disabled,3.4.2
NSA-IDS-019,Log Strict IP Source Route Option Packets Was Disabled,3.4.2
NSA-IDS-020,Ping Of Death Blocking Was Disabled,3.4.2
NSA-IDS-021,Port Scan Blocking Was Disabled,3.4.2
NSA-IDS-022,SYN ACK ACK Attack Blocking Was Disabled,3.4.2
NSA-IDS-023,SYN Flood Attack Blocking Was Disabled,3.4.2
NSA-IDS-024,SYN Fragmentation Attack Blocking Was Disabled,3.4.2
NSA-IDS-025,Teardrop Attack Blocking Was Disabled,3.4.2
NSA-IDS-026,Unicast RPF Verification Was Disabled,3.4.2
NSA-IDS-027,Flood Guard Disabled,3.4.2
NSA-IDS-028,Block HTTP Containing ActiveX Controls Was Disabled,3.4.2
NSA-IDS-029,Block HTTP Containing Active Content Was Disabled,3.4.2
NSA-IDS-030,Block HTTP Containing Java Was Disabled,3.4.2
NSA-IDS-031,Block HTTP Containing Executable Files Was Disabled,3.4.2
NSA-IDS-032,Block HTTP Containing ZIP Archives Was Disabled,3.4.2
NSA-INTFC-001,Interfaces Were Configured With No Filtering,3.4.2
NSA-INTFC-002,Potentially Unused Network Interfaces,3.4.2
NSA-INTFC-003,Switch Port Security Disabled,3.4.2
NSA-INTFC-004,Switch Port Trunking Allows All VLANs,3.4.2
NSA-INTFC-005,Default SSID Wireless Authentication Key,3.1.17
NSA-INTFC-006,Dictionary-Based Wireless SSID Authentication Keys,3.1.17
NSA-INTFC-007,No Wireless Authentication Configured,3.1.17
NSA-INTFC-008,Weak Wireless SSID Authentication Keys Were Configured,3.1.17
NSA-INTFC-009,Weak Wireless Encryption Configured,3.1.17
NSA-LOGG-001,FortiAnalyzer Logging Configured With No Encryption,3.4.2
NSA-LOGG-002,Message Logging Not Enabled,3.3.1
NSA-LOGG-003,FortiAnalyzer Logging Not Enabled,3.4.2
NSA-LOGG-004,Fortilog Logging Not Enabled,3.4.2
NSA-LOGG-005,Syslog Logging Not Enabled,3.4.2
NSA-LOGG-006,WatchGuard Logging Not Enabled,3.4.2
NSA-LOGG-007,Syslog Logging Configured With No Encryption,3.4.2
NSA-LOGG-008,Weak Syslog Severity Level Configured,3.3.1
NSA-LOGG-008,Weak Syslog Severity Level Configured,3.3.2
NSA-LOGG-009,Dictionary-Based WatchGuard Logging Encryption Keys Configured,3.4.2
NSA-LOGG-010,Weak WatchGuard Logging Encryption Keys Configured,3.4.2
NSA-NTPT-001,No NAT Embryonic Connection Limit,3.4.2
NSA-NTPT-002,Predictable NAT Sequence Numbers,3.4.2
NSA-PRNT-001,Potentially Excessive Print Services,3.4.2
NSA-PRTCL-001,CDP Was Enabled,3.4.6 & 3.4.7
NSA-PRTCL-002,IP Directed Broadcasts Were Enabled,3.4.6 & 3.4.7
NSA-PRTCL-003,DTP Was Enabled,3.4.6 & 3.4.7
NSA-PRTCL-004,IdentD Service Enabled,3.4.6 & 3.4.7
NSA-PRTCL-005,ICMP Information Reply Messages Were Enabled,3.4.6 & 3.4.7
NSA-PRTCL-006,No Inbound TCP Connection Keep-Alives,3.4.2
NSA-PRTCL-007,No Outbound TCP Connection Keep-Alives,3.4.2
NSA-PRTCL-008,LLDP Packet Transmission Was Enabled,3.4.6 & 3.4.7
NSA-PRTCL-009,ICMP Address Mask Reply Messages Were Enabled,3.4.6 & 3.4.7
NSA-PRTCL-010,MOP Enabled,3.4.6 & 3.4.7
NSA-PRTCL-011,PAD Service Enabled,3.4.6 & 3.4.7
NSA-PRTCL-012,Proxy ARP Was Enabled,3.4.6 & 3.4.7
NSA-PRTCL-013,ICMP Redirect Messages Were Enabled,3.4.6 & 3.4.7
NSA-PRTCL-014,STP BPDU Guard Not Enabled on All Interfaces,3.4.2
NSA-PRTCL-015,STP BPDU Guard Not Enabled Globally,3.4.2
NSA-PRTCL-016,STP Not Enabled On All Interfaces,3.4.2
NSA-PRTCL-017,STP Loop Guard Not Enabled,3.4.2
NSA-PRTCL-018,STP Disabled,3.4.2
NSA-PRTCL-019,STP Root Guard Not Enabled,3.4.2
NSA-PRTCL-020,VTP Was In Client Mode,3.4.2
NSA-PRTCL-021,Dictionary-Based VTP Authentication Password Configured,3.4.2
NSA-PRTCL-022,No VTP Authentication Password Was Configured,3.4.2
NSA-PRTCL-023,Weak VTP Authentication Password Configured,3.4.2
NSA-PRTCL-024,VTP Was In Server Mode,3.4.2
NSA-PRTCL-025,ICMP Unreachable Messages Were Enabled,3.4.6 & 3.4.7
NSA-RMTAC-002,Dictionary-Based VPN PSK Were Configured,3.4.2
NSA-RMTAC-003,VPN Configured With No Authentication Hashing Algorithm,3.1.13
NSA-RMTAC-004,VPN Configured With No Encryption,3.1.13
NSA-RMTAC-005,Weak VPN Authentication Hashing Algorithm Configured,3.1.13
NSA-RMTAC-006,VPN Configured With Weak Encryption,3.1.13
NSA-RMTAC-007,Weak VPN PSK Were Configured,3.1.13
NSA-ROUT-001,BGP Neighbors Configured With Default Passwords,3.4.2
NSA-ROUT-002,BGP Neighbors Configured With Dictionary-Based Passwords,3.4.2
NSA-ROUT-003,BGP Neighbors Configured With No Passwords,3.4.2
NSA-ROUT-004,BGP Neighbors Configured With Weak Passwords,3.4.2
NSA-ROUT-005,No BGP Route Flap Prevention,3.4.2
NSA-ROUT-006,Classless Routing Enabled,3.4.2
NSA-ROUT-007,Not All EIGRP Updates Were Authenticated,3.4.2
NSA-ROUT-008,Clear-Text GLBP Group Authentication Was Configured,3.4.2
NSA-ROUT-009,Default GLBP Group Authentication Keys,3.4.2
NSA-ROUT-010,Dictionary-Based GLBP Group Authentication Keys,3.4.2
NSA-ROUT-011,Not All GLBP Groups Were Authenticated,3.4.2
NSA-ROUT-012,Weak GLBP Group Authentication Keys,3.4.2
NSA-ROUT-013,Low GLBP Group Priorities,3.4.2
NSA-ROUT-014,Clear-Text HSRP Group Authentication Was Configured,3.4.2
NSA-ROUT-015,Default HSRP Group Authentication Keys,3.4.2
NSA-ROUT-016,Dictionary-Based HSRP Group Authentication Keys,3.4.2
NSA-ROUT-017,Not All HSRP Groups Were Authenticated,3.4.2
NSA-ROUT-018,Weak HSRP Group Authentication Keys,3.4.2
NSA-ROUT-019,Low HSRP Router Priorities,3.4.2
NSA-ROUT-020,IP Source Routing Was Enabled,3.4.2
NSA-ROUT-021,Default Routing Protocol Authentication Keys,3.4.2
NSA-ROUT-022,Dictionary-Based Routing Protocol Authentication Keys,3.4.2
NSA-ROUT-023,Empty Routing Protocol Authentication Keys,3.4.2
NSA-ROUT-024,Weak Routing Protocol Authentication Keys,3.4.2
NSA-ROUT-025,Clear-Text OSPF Authentication Was Configured,3.4.2
NSA-ROUT-026,Default OSPF Authentication Keys,3.4.2
NSA-ROUT-027,Dictionary-Based OSPF Group Authentication Keys,3.4.2
NSA-ROUT-028,Weak OSPF Authentication Keys,3.4.2
NSA-ROUT-029,Not All OSPF Routing Updates Were Authenticated,3.4.2
NSA-ROUT-030,Low OSPF Router Priorities,3.4.2
NSA-ROUT-031,No OSPF LSA Thresholds,3.4.2
NSA-ROUT-032,Clear-Text RIP Authentication Was Configured,3.4.2
NSA-ROUT-033,Default RIP Authentication Keys,3.4.2
NSA-ROUT-034,Dictionary-Based RIP Authentication Keys,3.4.2
NSA-ROUT-035,Weak RIP Authentication Keys,3.4.2
NSA-ROUT-036,Not All RIP Updates Were Authenticated,3.4.2
NSA-ROUT-037,No RIP Update Neighbors Were Configured,3.4.2
NSA-ROUT-038,Network RIP Update Neighbors Were Configured,3.4.2
NSA-ROUT-039,RIP NG Was Configured,3.4.2
NSA-ROUT-040,RIP Version 1 Was Configured,3.4.2
NSA-ROUT-041,Clear-Text VRRP Group Authentication Was Configured,3.4.2
NSA-ROUT-042,Default VRRP Group Authentication Keys,3.4.2
NSA-ROUT-043,Dictionary-Based VRRP Group Authentication Keys,3.4.2
NSA-ROUT-044,Not All VRRP Groups Were Authenticated,3.4.2
NSA-ROUT-045,Weak VRRP Group Authentication Keys,3.4.2
NSA-ROUT-046,Low VRRP Router Priorities,3.4.2
NSA-SNMP-001,Clear-Text SNMP In Use,3.4.2
NSA-SNMP-002,Default SNMP Community Strings Were Configured,3.4.2
NSA-SNMP-003,Dictionary-Based SNMP Community Strings Were Configured,3.4.2
NSA-SNMP-004,Dictionary-Based SNMP Informs,3.4.2
NSA-SNMP-005,Dictionary-Based SNMP Traps,3.4.2
NSA-SNMP-006,SNMP Access Without Network Filtering,3.4.5
NSA-SNMP-007,SNMP Access With No View,3.4.5
NSA-SNMP-008,SNMP Reload Option Enabled,3.4.5
NSA-SNMP-009,SNMP System Shutdown Enabled,3.4.5
NSA-SNMP-010,SNMP Access To All MIB Objects,3.4.5
NSA-SNMP-011,No SNMP TFTP Server Access List Configured,3.4.5
NSA-SNMP-012,SNMPv3 Users with Dictionary-Based Authentication were Configured,3.4.2
NSA-SNMP-013,SNMPv3 Users with Dictionary-Based Privacy were Configured,3.4.2
NSA-SNMP-014,SNMPv3 User Configured With No Authentication or Privacy,3.4.5
NSA-SNMP-015,SNMPv3 User Configured With No Privacy,3.4.2
NSA-SNMP-016,SNMPv3 Users with Dictionary-Based Authentication were Configured,3.4.2
NSA-SNMP-017,SNMPv3 Users with Dictionary-Based Privacy were Configured,3.4.2
NSA-SNMP-018,Weak SNMP Community Strings Were Configured,3.4.2
NSA-SNMP-019,Weak SNMP Informs,3.4.2
NSA-SNMP-020,Weak SNMP NMS Access Restrictions,3.4.5
NSA-SNMP-021,Weak SNMPv3 User Authentication Hashing Algorithm Configured,3.4.2
NSA-SNMP-022,Weak SNMPv3 User Privacy Encryption Algorithm Configured,3.4.2
NSA-SNMP-023,Weak SNMP Traps,3.4.2
NSA-SNMP-024,SNMP Write Access Enabled,3.4.5
NSA-TIME-001,No Time Synchronization Configured,3.3.7
NSA-TIME-002,NTP Authentication Was Disabled,3.3.7
NSA-TIME-003,NTP Broadcast Updates Enabled,3.3.7
NSA-TIME-004,NTP Control Queries Were Permitted,3.3.7
NSA-TIME-005,Default Time Authentication Key,3.3.7
NSA-TIME-006,Dictionary-Based Time Authentication Key,3.3.7
NSA-TIME-007,Weak Time Authentication Key,3.3.7
NSA-TIME-008,Not All NTP Time Sources Were Authenticated,3.3.7
NSA-TIME-009,NTP Peers Configured Without Authentication,3.3.7
NSA-TIME-010,SNTP Authentication Was Disabled,3.3.7
NSA-TIME-011,Not All SNTP Time Sources Were Authenticated,3.4.2
