ID,PCI DSS
NSA-FLTR-010,1.2.1.b
NSA-FLTR-011,1.2.1.b
NSA-FLTR-014,1.2.1.b
NSA-FLTR-014,1.3.1
NSA-FLTR-014,1.3.2
NSA-FLTR-014,1.3.4
NSA-FLTR-015,2.2.a
NSA-FLTR-016,2.2.a
NSA-FLTR-017,1.2.1.c
NSA-FLTR-018,1.2.1.c
NSA-FLTR-019,2.2.a
NSA-FLTR-020,1.2.1.b
NSA-FLTR-020,1.3.1
NSA-FLTR-020,1.3.2
NSA-FLTR-020,1.3.4
NSA-FLTR-021,2.2.a
NSA-FLTR-022,11.4
NSA-IDS-001,11.4
NSA-IDS-002,11.4
NSA-IDS-003,11.4
NSA-IDS-004,11.4
NSA-IDS-005,11.4
NSA-IDS-006,11.4
NSA-IDS-007,11.4
NSA-IDS-008,11.4
NSA-IDS-009,11.4
NSA-IDS-010,11.4
NSA-IDS-011,11.4
NSA-IDS-012,11.4
NSA-IDS-013,11.4
NSA-IDS-014,11.4
NSA-IDS-015,11.4
NSA-IDS-016,11.4
NSA-IDS-017,11.4
NSA-IDS-018,11.4
NSA-IDS-019,11.4
NSA-IDS-020,11.4
NSA-IDS-021,11.4
NSA-IDS-022,11.4
NSA-IDS-023,11.4
NSA-IDS-024,11.4
NSA-IDS-025,11.4
NSA-IDS-026,11.4
NSA-IDS-027,11.4
NSA-IDS-028,11.4
NSA-IDS-029,11.4
NSA-IDS-030,11.4
NSA-IDS-031,11.4
NSA-IDS-032,11.4
NSA-INTFC-001,2.2.a
NSA-INTFC-002,2.2.a
NSA-INTFC-003,2.2.a
NSA-INTFC-004,2.2.a
NSA-INTFC-005,2.1.1.c
NSA-INTFC-006,2.2.a
NSA-INTFC-007,2.2.a
NSA-INTFC-008,2.2.a
NSA-INTFC-009,2.1.1.d
NSA-LOGG-001,2.2.a
NSA-LOGG-002,10.2.2
NSA-LOGG-002,10.2.4
NSA-LOGG-003,10.2.2
NSA-LOGG-003,10.2.4
NSA-LOGG-004,10.2.2
NSA-LOGG-004,10.2.4
NSA-LOGG-005,10.2.2
NSA-LOGG-005,10.2.4
NSA-LOGG-006,10.2.2
NSA-LOGG-006,10.2.4
NSA-LOGG-007,2.2.a
NSA-LOGG-008,10.2.2
NSA-LOGG-008,10.2.4
NSA-LOGG-009,2.2.a
NSA-LOGG-010,2.2.a
NSA-NTPT-001,2.2.a
NSA-NTPT-002,2.2.a
NSA-PRNT-001,2.2.a
NSA-PRTCL-001,1.1.6.c
NSA-PRTCL-002,1.1.6.c
NSA-PRTCL-003,1.1.6.c
NSA-PRTCL-004,1.1.6.c
NSA-PRTCL-005,1.1.6.c
NSA-PRTCL-006,2.2.a
NSA-PRTCL-007,2.2.a
NSA-PRTCL-008,1.1.6.c
NSA-PRTCL-009,1.1.6.c
NSA-PRTCL-010,1.1.6.c
NSA-PRTCL-011,1.1.6.c
NSA-PRTCL-012,1.1.6.c
NSA-PRTCL-013,1.1.6.c
NSA-PRTCL-014,2.2.a
NSA-PRTCL-015,2.2.a
NSA-PRTCL-016,2.2.a
NSA-PRTCL-017,2.2.a
NSA-PRTCL-018,2.2.a
NSA-PRTCL-019,2.2.a
NSA-PRTCL-020,2.2.a
NSA-PRTCL-021,2.2.a
NSA-PRTCL-022,2.2.a
NSA-PRTCL-023,2.2.a
NSA-PRTCL-024,2.2.a
NSA-PRTCL-025,1.1.6.c
NSA-RMTAC-002,2.2.a
NSA-RMTAC-003,2.2.a
NSA-RMTAC-004,2.2.a
NSA-RMTAC-005,2.2.a
NSA-RMTAC-006,2.2.a
NSA-RMTAC-007,2.2.a
NSA-ROUT-001,2.2.a
NSA-ROUT-002,2.2.a
NSA-ROUT-003,2.2.a
NSA-ROUT-004,2.2.a
NSA-ROUT-005,2.2.a
NSA-ROUT-006,1.1.6.c
NSA-ROUT-007,2.2.a
NSA-ROUT-008,2.2.a
NSA-ROUT-009,2.2.a
NSA-ROUT-010,2.2.a
NSA-ROUT-011,2.2.a
NSA-ROUT-012,2.2.a
NSA-ROUT-013,2.2.a
NSA-ROUT-014,2.2.a
NSA-ROUT-015,2.2.a
NSA-ROUT-016,2.2.a
NSA-ROUT-017,2.2.a
NSA-ROUT-018,2.2.a
NSA-ROUT-019,2.2.a
NSA-ROUT-020,1.1.6.c
NSA-ROUT-021,2.2.a
NSA-ROUT-022,2.2.a
NSA-ROUT-023,2.2.a
NSA-ROUT-024,2.2.a
NSA-ROUT-025,2.2.a
NSA-ROUT-026,2.2.a
NSA-ROUT-027,2.2.a
NSA-ROUT-028,2.2.a
NSA-ROUT-029,2.2.a
NSA-ROUT-030,2.2.a
NSA-ROUT-031,2.2.a
NSA-ROUT-032,2.2.a
NSA-ROUT-033,2.2.a
NSA-ROUT-034,2.2.a
NSA-ROUT-035,2.2.a
NSA-ROUT-036,2.2.a
NSA-ROUT-037,2.2.a
NSA-ROUT-038,2.2.a
NSA-ROUT-039,1.1.6.c
NSA-ROUT-040,1.1.6.c
NSA-ROUT-041,2.2.a
NSA-ROUT-042,2.2.a
NSA-ROUT-043,2.2.a
NSA-ROUT-044,2.2.a
NSA-ROUT-045,2.2.a
NSA-ROUT-046,2.2.a
NSA-SNMP-001,2.3.b
NSA-SNMP-002,2.1.a
NSA-SNMP-003,1.1.6.c
NSA-SNMP-004,1.1.6.c
NSA-SNMP-005,1.1.6.c
NSA-SNMP-006,1.1.6.c
NSA-SNMP-007,1.1.6.c
NSA-SNMP-008,1.1.6.c
NSA-SNMP-009,1.1.6.c
NSA-SNMP-010,1.1.6.c
NSA-SNMP-011,1.1.6.c
NSA-SNMP-012,1.1.6.c
NSA-SNMP-013,1.1.6.c
NSA-SNMP-014,1.1.6.c
NSA-SNMP-015,1.1.6.c
NSA-SNMP-016,1.1.6.c
NSA-SNMP-017,1.1.6.c
NSA-SNMP-018,1.1.6.c
NSA-SNMP-019,1.1.6.c
NSA-SNMP-020,1.1.6.c
NSA-SNMP-021,1.1.6.c
NSA-SNMP-022,1.1.6.c
NSA-SNMP-023,1.1.6.c
NSA-SNMP-024,1.1.6.c
NSA-TIME-001,10.4.1.b
NSA-TIME-002,10.4.1.b
NSA-TIME-003,10.4.1.b
NSA-TIME-004,10.4.1.b
NSA-TIME-005,10.4.1.b
NSA-TIME-006,10.4.1.b
NSA-TIME-007,10.4.1.b
NSA-TIME-008,10.4.1.b
NSA-TIME-009,10.4.1.b
NSA-TIME-010,10.4.1.b
NSA-TIME-011,10.4.1.b
