id,field_name,field_label,field_type,list_field,object_field,field_splunk
62,deviceDirection,Device Direction,text,FALSE,FALSE,
63,deviceDnsDomain,Device DNS Domain,text,FALSE,FALSE,
64,deviceEventCategory,Device Event Category,text,FALSE,FALSE,
65,deviceEventClassId,Device Event Class ID,text,FALSE,FALSE,
66,deviceExternalId,Device External ID,text,FALSE,FALSE,
67,deviceFacility,Device Facility,text,FALSE,FALSE,
68,deviceHostName,Device Hostname,text,FALSE,FALSE,dvc_host
69,deviceInboundInterface,Device Inbound Interface,text,FALSE,FALSE,
70,deviceMacAddress,Device MAC Address,text,FALSE,FALSE,dvc_mac
71,deviceNtDomain,Device Active Directory Domain,text,FALSE,FALSE,
72,deviceOutboundInterface,Device Outbound Interface,text,FALSE,FALSE,
73,deviceProcessName,Device Process Name,text,FALSE,FALSE,
74,deviceProduct,Device Product,text,FALSE,FALSE,
75,deviceReceiptTime,Device Receipt Time,datetime,FALSE,FALSE,
76,deviceSeverity,Device Severity,text,FALSE,FALSE,
77,deviceTimeZone,Device Timezone,text,FALSE,FALSE,
78,deviceTranslatedAddress,Device Translated Address,text,FALSE,FALSE,
79,deviceVendor,Device Vendor,text,FALSE,FALSE,
80,deviceVersion,Device Version,text,FALSE,FALSE,
81,deviceZoneName,Device Zone Name,text,FALSE,FALSE,
82,deviceZoneURI,Device Zone URI,text,FALSE,FALSE,
83,endTime,End Time,datetime,FALSE,FALSE,end_time
84,EventTime,Event Time,datetime,FALSE,FALSE,
85,eventId,Event ID,text,FALSE,FALSE,
86,eventOutcome,Event Outcome,text,FALSE,FALSE,
87,externalId,External ID,text,FALSE,FALSE,
88,fileCreateTime,File Create Time,datetime,FALSE,FALSE,
89,fileHash,File Hash,text,FALSE,FALSE,file_hash
90,fileId,File ID,text,FALSE,FALSE,
91,fileModificationTime,File Modification Time,datetime,FALSE,FALSE,
92,fileName,Filename,text,FALSE,FALSE,file_name
93,filePath,File Path,text,FALSE,FALSE,file_path
94,filePermission,File Permission,text,FALSE,FALSE,
95,fileSize,File Size,text,FALSE,FALSE,
96,fileType,Filetype,text,FALSE,FALSE,
97,flexString1,Flex String 1,text,FALSE,FALSE,
98,flexString1Label,Flex String 1 Label,text,FALSE,FALSE,
99,flexString2,Flex String 2,text,FALSE,FALSE,
100,flexString2Label,Flex String 2 Label,text,FALSE,FALSE,
101,logger,Logger,text,FALSE,FALSE,
102,message,Message,text,FALSE,FALSE,
103,name,Name,text,FALSE,FALSE,
104,Non-CEF Raw Message,Non-CEF Raw Message,text,FALSE,FALSE,
105,oldfileCreateTime,Old File Create Time,datetime,FALSE,FALSE,
106,oldFileHash,Old File Hash,text,FALSE,FALSE,
107,oldfileId,Old File ID,text,FALSE,FALSE,
108,oldfileModificationTime,Old File Modification Time,datetime,FALSE,FALSE,
109,oldfileName,Old Filename,text,FALSE,FALSE,
110,oldfilePath,Old File Path,text,FALSE,FALSE,
111,oldfilePermission,Old File Permission,text,FALSE,FALSE,
112,oldfileType,Old Filetype,text,FALSE,FALSE,
113,oldfsize,Old File Size,text,FALSE,FALSE,
114,originalAlertURL,Original Alert URL,url,FALSE,FALSE,
115,outcome,Outcome,text,FALSE,FALSE,
116,qradarEventDescr,Qradar Event Description,text,FALSE,FALSE,
117,qradarEventId,Qradar Event ID,text,FALSE,FALSE,
118,qradarOffenseDescr,Qradar Offense Description,text,FALSE,FALSE,
119,qradarOffenseId,Qradar Offense ID,integer,FALSE,FALSE,
120,qradarQueryName,Qradar Query Name,text,FALSE,FALSE,
121,reason,Reason,text,FALSE,FALSE,
122,receiptTime,Receipt Time,datetime,FALSE,FALSE,
123,requestClientApplication,Request Client Application,text,FALSE,FALSE,app
124,requestContext,Request Context,text,FALSE,FALSE,
125,requestCookies,Request Cookies,text,FALSE,FALSE,cookie
126,requestMethod,Request Method,text,FALSE,FALSE,http_method
127,requestProtocol,Request Protocol,text,FALSE,FALSE,protocol
128,requestUrl,Request URL,url,FALSE,FALSE,url
129,requestUrlAuthority,Request URL Authority,text,FALSE,FALSE,
130,requestUrlFileName,Request URL Filename,text,FALSE,FALSE,
131,requestUrlHost,Request URL Host,text,FALSE,FALSE,
132,sourceAddress,Source Address,text,FALSE,FALSE,src_ip
133,sourceDnsDomain,Source DNS Domain,text,FALSE,FALSE,
134,sourceHostName,Source Hostname,text,FALSE,FALSE,src_host
135,sourceMacAddress,Source MAC Address,text,FALSE,FALSE,src_mac
136,sourceNtDomain,Source Active Directory Domain,text,FALSE,FALSE,
137,sourcePort,Source Port,text,FALSE,FALSE,src_port
138,sourceServiceName,Source Service Name,text,FALSE,FALSE,service
139,sourceTranslatedAddress,Source Translated Address,text,FALSE,FALSE,src_translated_ip
140,sourceTranslatedPort,Source Translated Port,text,FALSE,FALSE,src_translated_port
141,sourceTranslatedZoneName,Source Translated Zone Name,text,FALSE,FALSE,
142,sourceTranslatedZoneURI,Source Translated Zone URI,text,FALSE,FALSE,
143,sourceUserId,Source User ID,text,FALSE,FALSE,
144,sourceUserName,Source Username,text,FALSE,FALSE,src_user
145,sourceUserPrivileges,Source User Privileges,text,FALSE,FALSE,
146,sourceZoneName,Source Zone Name,text,FALSE,FALSE,
147,sourceZoneURI,Source Zone URI,text,FALSE,FALSE,
148,splSavedsearchName,Spl Saved Search Name,text,FALSE,FALSE,
149,splQuery,Spl Query,text,FALSE,FALSE,
150,splQueryId,Spl Query ID,text,FALSE,FALSE,
151,splQueryTime,Spl Query Time,text,FALSE,FALSE,
152,splSearch_name,Spl Search Name,text,FALSE,FALSE,
153,startTime,Start Time,datetime,FALSE,FALSE,
154,transportProtocol,Transport Protocol,text,FALSE,FALSE,
155,type,Type,text,FALSE,FALSE,
156,version,Version,text,FALSE,FALSE,
157,timeContainment,Containment Time,datetime,FALSE,FALSE,
158,timeRemediation,Remediation Time,datetime,FALSE,FALSE,
159,timeRootCause,Root Cause Time,text,FALSE,FALSE,
160,description,Description,text,FALSE,FALSE,
161,severity,Severity,text,FALSE,FALSE,severity
162,alertTime,AlertTime,datetime,FALSE,FALSE,
163,status,Status,text,FALSE,FALSE,status
164,ticketId2,Ticket ID2,text,FALSE,FALSE,
165,swResponsibleParty,Responsible Party,text,FALSE,FALSE,
166,swAttachmentInfo,Attachment Info,text,FALSE,FALSE,
167,agentAddress,Agent Address,text,FALSE,FALSE,
168,qradarStatus,Qradar Status,text,FALSE,FALSE,
169,lastModifiedTime,Last Modified Time,datetime,FALSE,FALSE,
170,threatId,Threat ID,text,FALSE,FALSE,
171,qradarLocalDestinationAddressIds,Local Destination Address IDs,text,TRUE,FALSE,
172,qradarSourceAddressIds,Source Address IDs,text,TRUE,FALSE,
173,qradarDestinationNetworks,Destination Networks,text,TRUE,FALSE,
174,sourceType,Source Type,text,FALSE,FALSE,
175,qradarOffenseType,Offense Type,text,FALSE,FALSE,
176,sourceCount,Source Count,text,FALSE,FALSE,
177,qradarOffenseSource,OffenseSource,text,FALSE,FALSE,
178,qradarCategories,Offense Categories,text,TRUE,FALSE,
179,snortID,Snort ID,text,FALSE,FALSE,
180,category,Category,text,FALSE,FALSE,category
181,sensorName,Sensor Name,text,FALSE,FALSE,
182,blocked,Blocked,text,FALSE,FALSE,
183,eventType,Event Type,text,FALSE,FALSE,eventtype
184,lastSeen,Last Seen,text,FALSE,FALSE,
185,firstSeen,First Seen,text,FALSE,FALSE,
186,osVersion,OS Version,text,FALSE,FALSE,
187,cmdline,cmdline,text,FALSE,FALSE,
188,confidence,confidence,text,FALSE,FALSE,
189,sha256,sha256,text,FALSE,FALSE,
190,md5,md5,text,FALSE,FALSE,
191,threatScores,Threat Scores,text,TRUE,FALSE,
192,positiveScans,Positive Scans,text,FALSE,FALSE,
193,scanDate,Scan Date,text,FALSE,FALSE,
194,scanDetected,Scan Detected,text,FALSE,FALSE,
195,scanResult,Scan Result,text,FALSE,FALSE,
196,scanType,Scan Type,text,FALSE,FALSE,
197,scanUpdate,Scan Update,text,FALSE,FALSE,
198,scanVersion,Scan Version,text,FALSE,FALSE,
199,totalScans,Total Scans,text,FALSE,FALSE,
200,swLongDescription,Secureworks Long Description,text,FALSE,FALSE,
201,scanId,Scan ID,text,FALSE,FALSE,
202,ticketStatus,Ticket Status,text,FALSE,FALSE,
203,ticketSubject,Ticket Subject,text,FALSE,FALSE,
204,tlp,TLP,text,FALSE,FALSE,
205,indicator,Indicator,text,FALSE,FALSE,
206,reputation,Reputation,text,FALSE,FALSE,
207,username,Username,text,FALSE,FALSE,user
208,qradarInstanceIP,QRadar Instance IP,text,FALSE,FALSE,
209,qradarURL,QRadar URL,url,FALSE,FALSE,
210,swSymptomDescription,Sympton Description,text,FALSE,FALSE,
