alert_message,alert_type,alert_message_snpm_trap,alert_code,severity,recommended_action
Memory allocation for RAM Read Cache failed on SDS,SDS_RMCACHE_MEMORY_ALLOCATION_FAILED,SDS.SDS.SDS_Rmcache_Memory_allocation_Failed,SIO03.01.0000003,2 (Warning),"The system failed to allocate memory to the SDS RAM Read-Cache. For 32 GB RAM or less, up to 50% of the memory can be allocated for caching. From 32 GB or more, up to 75% of the memory can be allocated for caching. Reduce the configured RAM Read-Cache memory to match the allocation conditions."
DRL mode: Hardened,DRL_MODE_NON_VOLATILE,SDS.SDS.DRL_MODE_NON_VOLATILE,SIO03.01.0000004,1 (Info),"DRL Mode is configured to ""Hardened"" instead of ""Volatile"". Both modes are configurable."
RFcache card I/O error,RFCACHE_CARD_IO_ERROR,SDS.SDS.RFCACHE_CARD_IO_ERROR,SIO03.01.0000005,2 (Warning),"Disable caching on the device and check the health of the device, because it may be faulty. If necessary, replace the device."
RFcache skipped due to heavy load,RFCACHE_CACHE_SKIP_DUE_TO_HEAVY_LOAD,SDS.SDS.RFCACHE_CACHE_SKIP_DUE_TO_HEAVY_LOAD,SIO03.01.0000006,2 (Warning),"Read Flash Cache is working under a heavy load, and therefore has skipped some IOs. This is a temporary error which should resolve itself. If it persists, try to balance the Storage Pool contents across more SDSs, or add more cache cards."
RFcache IO stack error,RFCACHE_IO_STUCK_ERROR,SDS.SDS.RFCACHE_IO_STUCK_ERROR,SIO03.01.0000007,2 (Warning),"IO has become stuck on the cache device. Disable caching on the device and check the health of the device, because it may be faulty. If necessary, replace the device."
RFcache resources are low,RFCACHE_LOW_RESOURCES,SDS.SDS.RFCACHE_LOW_RESOURCES,SIO03.01.0000008,2 (Warning),There is not enough RAM available on the server for Read Flash Cache optimal operation. Increase the amount of available RAM.
RFcache source configuration is not consistent,RFCACHE_INCONSISTENT_SOURCE_CONFIGURATION,SDS.SDS.RFCACHE_INCONSISTENT_SOURCE_CONFIGURATION,SIO03.01.0000010,2 (Warning),Check RFcache state of all disks in the pool and adjust them so that all disks have the same caching state.
RFcache cache configuration is not consistent,RFCACHE_INCONSISTENT_CACHE_CONFIGURATION,SDS.SDS.RFCACHE_INCONSISTENT_CACHE_CONFIGURATION,SIO03.01.0000011,2 (Warning),Query the system to determine what is not consistent in the configurations of the Read Flash cache driver and the SDS where the cache device is located.
RFcache device does not exist,RFCACHE_DEVICE_DOES_NOT_EXIST,SDS.SDS.RFCACHE_DEVICE_DOES_NOT_EXIST,SIO03.01.0000012,2 (Warning),You tried to add a cache device that does not exist. Check and fix Read Flash Cache configuration.
RFcache API mismatch,RFCACHE_API_ERROR_MISMATCH,SDS.SDS.RFCACHE_API_ERROR_MISMATCH,SIO03.01.0000013,2 (Warning),"The Read Flash Cache (xcache) driver version and SDS version do not match. Try to upgrade them to the same version. If the problem persists, contact Customer Support."
SDS is in Maintenance Mode,SDS_IN_MAINTENANCE,SDS.SDS.SDS_IN_MAINTENANCE,SIO03.01.0000014,2 (Warning),"The SDS is currently in Maintenance Mode. Exit Maintenance Mode once maintenance is complete. If an NDU is in progress, ignore this warning."
Device failed,DEVICE_FAILED,SDS.Device.Device_Failed,SIO03.02.0000001,3 (Error),"The SDS device could not be opened, read from or written to. Validate the device state. Check the cause of the error, and determine if it is a human error or a system malfunction. Check hardware if needed."
Device test is done and device is pending activation,DEVICE_PENDING_ACTIVATION,SDS.Device.Device_Pending_Activation,SIO03.02.0000002,2 (Warning),The SDS device has been added and tested. Activate the SDS device.
Device has fixed read errors,FIXED_READ_ERROR_COUNT_ABOVE_WARNING_THRESHOLD,SDS.Device.FIXED_READ_ERROR_COUNT_ABOVE_WARNING_THRESHOLD,SIO03.02.0000003,3 (Error) if counter > 0,"Read from the SDS device failed. Data was corrected from the other copy. No action is required, but note that the device might be faulty."
Device has fixed read errors,FIXED_READ_ERROR_COUNT_ABOVE_CRITICAL_THRESHOLD,SDS.Device.FIXED_READ_ERROR_COUNT_ABOVE_CRITICAL_THRESHOLD,SIO03.02.0000004,5 (Critical) if counter >= 5,SDS device read failed more than 5 times. Replace the physical device.
"Device failed: All IO to the device will be stopped, and data will be relocated to another device.",DEVICE_ERROR_ERROR,SDS.Device.Device_ErrorError,SIO03.02.0000005,5 (Critical),"Check the device, and if necessary, replace it"
"Device failed: All IO to the device will be stopped, and data will be relocated to another device.",DEVICE_ERROR_WARNING,SDS.Device.Device_ErrorWarning,SIO03.02.0000006,3 (Error),"Check the device, and if necessary, replace it"
Device malfunction has been detected.,DEVICE_ERROR_NOTICE,SDS.Device.Device_ErrorNotice,SIO03.02.0000007,2 (Warning),"Check the device, and if necessary, replace it"
Minor failures have been detected in device performance.,DEVICE_ERROR_INFO,SDS.Device.Device_ErrorInfo,SIO03.02.0000008,2 (Warning),"Check the device, and if necessary, replace it"
"Disk temperature is above the configured threshold, and may fail soon if no action is taken.",SMART_TEMPERATURE_STATE_FAILED_NOW,SDS.Device.SMART_Temperature_State_failed.Now,SIO03.02.0000009,3 (Error),Check the temperature in the server and at the data center. Check if a fan alert is raised in the node.
"The disk is near the end of its working life, and should be replaced.",SMART_END_OF_LIFE_STATE_FAILED_NOW,SDS.Device.SMART_End_Of_Life_State_Failed_Now,SIO03.02.0000011,3 (Error),Replace the disk.
"The disk may be about to fail, or may be operating with reduced performance.",SMART_AGGREGATED_STATE_FAILED_NOW,SDS.Device.SMART_Aggregated_State_Failed_Now,SIO03.02.0000013,3 (Error),Consider replacing the disk.
The SDC is either down or unreachable over the network,SDC_DISCONNECTED,SDC.SDC.SDC_DISCONNECTED,SIO04.01.0000001,3 (Error),Verify that the SDC service is up and running and that the network is properly configured and connected.
No more SDCs can be defined on this system; the maximum has been reached,SDC_MAX_COUNT,SDC.SDC.SDC_Max_Count,SIO04.01.0000002,3 (Error),The maximum number of SDCs in the system has been reached (1024^2).
Errors have been detected on the Physical Disk,PHYSICAL_DRIVE_BAD_STATE,Storage_Controller.Physical_Drive.BAD_STATE,SIO06.01.0000001,5 (Critical),Replace the Physical Disk.
Physical Disk state is erroneous (Hot Spare),PHYSICAL_DRIVE_HOT_SPARE,Storage_Controller.Physical_Drive.HOT_SPARE,SIO06.01.0000002,3 (Error),Errors have been detected on a spare Physical Disk. Replace the Physical Disk.
The Physical Disk is not being used by the system,PHYSICAL_DRIVE_NOT_IN_USE,Storage_Controller.Physical_Drive.NOT_IN_USE,SIO06.01.0000003,3 (Error),Access the storage controller and configure the disk.
SSD lifespan is over endurance threshold,PHYSICAL_DRIVE_ENDURANCE_USED_ABOVE_THRESHOLD,Storage_Controller.Physical_Drive.Endurance_Used_Above_Threshold,SIO06.01.0000004,5 (Critical),Replace the SSD device.
The Physical Disk temperature has exceeded the configured threshold,PHYSICAL_DRIVE_INVALID_TEMPERATURE,Storage_Controller.Physical_Drive.INVALID_TEMPERATURE,SIO06.01.0000005,5 (Critical) 3 (Error),"Ensure that the server and its environment are properly cooled. Ensure that the internal chassis fans are working, and that there is adequate airflow."
The Physical Drive's cache is not disabled,PHYSICAL_DRIVE_INVALID_PD_CACHE_POLICY,Storage_Controller.Physical_Drive.INVALID_PD_CACHE_POLICY,SIO06.01.0000006,3 (Error),Disable the Physical Drive physical cache. Note: This may cause DI issues in power cycle scenarios.
Device was requested to use as DAS Cache but it is not,DEVICE_SHOULD_USE_AS_DAS_CACHE_BUT_IT_IS_NOT,Storage_Controller.Physical_Drive.Device_Should_Use_As_Das_Cache_But_It_Is_Not,SIO06.01.0000007,3 (Error),
"The Logical Disk read policy is not set to ""Read-Ahead""",LOGICAL_DISK_INVALID_READ_AHEAD_POLICY,Storage_Controller.Logical_Disk.INVALID_READ_AHEAD_POLICY,SIO06.02.0000001,3 (Error),"Access the storage controller and change the Logical Disk's read policy to ""Read Ahead""."
The Logical Disk IO policy is not Configured properly (Write-Back),LOGICAL_DISK_INVALID_WRITE_BACK_POLICY,Storage_Controller.Logical_Disk.INVALID_WRITE_BACK_POLICY,SIO06.02.0000002,3 (Error),"Check the Raid controller battery status, a fault in the battery will impact the Write-Back functionality."
"Logical Disk access mode is not set to ""Read-Write""",LOGICAL_DISK_INVALID_ACCESS_MODE,Storage_Controller.Logical_Disk.INVALID_ACCESS_MODE,SIO06.02.0000003,5 (Critical),"Access the storage controller and change the logical disk's access mode to ""Read-Write""."
The Logical Disk RAID level is not set to RAID0,LOGICAL_DISK_INVALID_RAID_LEVEL,Storage_Controller.Logical_Disk.INVALID_RAID_LEVEL,SIO06.02.0000004,3 (Error),"The RAID type is set in the storage controller is incorrect. Access the storage controller, verify that the Logical Disk does not contain any data that is not backed-up, destroy the Logical Disk, and re-create the logical disk as RAID0."
"Logical Disk caching policy is not set to ""DirectIO""",LOGICAL_DISK_INVALID_CACHE_POLICY,Storage_Controller.Logical_Disk.INVALID_CACHE_POLICY,SIO06.02.0000005,3 (Error),"Access the storage controller, and change the RAID0 caching policy for the Logical Disk to ""DirectIO""."
Logical disk is no longer being cached,LOGICAL_DISK_NO_LONGER_CACHED,Storage_Controller.Logical_Disk.LOGICAL_DISK_NO_LONGER_CACHED,SIO06.02.0000006,3 (Error),Disable the Physical Drive physical cache. Note: This may cause DI issues in power cycle scenarios.
The state of the backup battery in the storage controller is not optimal,BATTERY_INVALID_STATE,Storage_Controller.Battery.Invalid_State,SIO06.03.0000001,5 (Critical) 3 (Error),"The backup battery is not fully charged, but it will recharge itself while the storage controller is powered on."
The backup battery in the storage controller needs to be replaced,BATTERY_REPLACEMENT_REQUIRED,Storage_Controller.Battery.REPLACEMENT_REQUIRED,SIO06.03.0000002,5 (Critical),The backup battery in the storage controller may be nearing the end of its working life. Replace the battery.
The storage controller battery temperature is not within the configured threshold,BATTERY_INVALID_TEMPERATURE,Storage_Controller.Battery.INVALID_TEMPERATURE,SIO06.03.0000003,3 (Error),Check the temperature in the server and at the data center. Check if a fan alert is raised in the node. Check the battery and the RAID controller and replace faulty items.
There is no backup battery installed in the storage controller,BATTERY_NOT_PRESENT,Storage_Controller.Battery.NOT_PRESENT,SIO06.03.0000004,5 (Critical),Install a backup battery in the storage controller.
The storage controller contains an incompatible battery pack,BATTERY_INVALID_PACK_ENERGY,Storage_Controller.Battery.Invalid_Pack_Energy,SIO06.03.0000005,3 (Error),Replace the storage controller battery with one that is compatible with your controller's model.
RAID controller's battery has invalid voltage state,BATTERY_INVALID_VOLTAGE,Storage_Controller.Battery.Invalid_Voltage,SIO06.03.0000006,3 (Error),Check the RAID controller's battery. It may need to be replaced.
Hypervisor boot drive state is not OK,BOOT_DRIVE_INVALID_STATE,Node.Boot_Drive.Invalid_State,SIO07.01.0000001,3 (Error),The drive on which the ESXi hypervisor is installed has reported an error. Replace the drive and reinstall the ESXi on the new drive.
The storage controller is not operating optimally,STORAGE_CONTROLLER_INVALID_STATE,Node.Storage_Controller.Invalid_State,SIO07.02.0000001,5 (Critical),"The storage controller may be faulty, and should be replaced."
The storage controller temperature has exceeded the configured threshold,STORAGE_CONTROLLER_INVALID_TEMPERATURE,Node.Storage_Controller.Invalid_Temperature,SIO07.02.0000002,5 (Critical) 3 (Error),Ensure that the server and its environment are properly cooled and that all the chassis fans are functional.
CacheCade license is not installed,STORAGE_CONTROLLER_CACHECADE_NOT_LICENSED,Node.Storage_Controller.Cachecade_Not_Licensed,SIO07.02.0000003,3 (Error),Install a CacheCade license on the storage controller.
Some of the disk slots in the storage controller are empty,STORAGE_CONTROLLER_NOT_ALL_SLOTS_FULL,Node.Storage_Controller.Not_All_Slots_Full,SIO07.02.0000004,3 (Error),"Add more disks if needed. If a disk was removed during a FRU (Field Replacement Unit) operation, insert the new disk into the chassis."
The BOSS storage controller is in an Error state,STORAGE_CONTROLLER_BOSS_ERROR_STATE,Node.Storage_Controller.Boss_Error_State,SIO07.02.0000006,5 (Critical) 3 (Error),"The BOSS storage controller is faulty, and should be replaced."
The BOSS storage controller is in a Degraded state,STORAGE_CONTROLLER_BOSS_DEGRADED_STATE,Node.Storage_Controller.Boss_Degraded_State,SIO07.02.0000007,5 (Critical),"The BOSS storage controller may be faulty, and should be replaced."
The physical CPU socket is not enabled,SOCKET_DISABLED,Node.Cpu_Socket.Disabled,SIO07.03.0000001,3 (Error),Enable the CPU socket in the server BIOS.
Not all CPU cores are enabled,SOCKET_NOT_ALL_CORES_ENABLED,Node.Cpu_Socket.NOT_ALL_CORES_ENABLED,SIO07.03.0000002,3 (Error),Change the physical CPU core configuration in the server BIOS.
CPU is not operating at full speed,SOCKET_SPEED_IS_NOT_MAX_SPEED,Node.Cpu_Socket.SPEED_IS_NOT_MAX_SPEED,SIO07.03.0000003,3 (Error),Set the CPU clock speed in the server's BIOS to its maximum speed.
CPU temperature is not within threshold,CPU_SOCKET_INVALID_TEMPERATURE,Node.Cpu_Socket.INVALID_TEMPERATURE,SIO07.03.0000004,5 (Critical) 3 (Error),The server's CPU temperature has exceeded the configured threshold. Make sure that the server is properly cooled and that the CPU and internal chassis fans are active.
The CPU Voltage Regulator's temperature is higher than the configured threshold,CPU_SOCKET_INVALID_VR_TEMPERATURE,Node.Cpu_Socket.INVALID_VR_TEMPERATURE,SIO07.03.0000005,5 (Critical) 3 (Error),Make sure that the server is properly cooled and that the CPU and internal chassis fans are active.
The CPU Voltage Regulator's voltage is not within the configured threshold,CPU_SOCKET_INVALID_VR_VOLTAGE,Node.Cpu_Socket.INVALID_VR_VOLTAGE,SIO07.03.0000006,5 (Critical) 3 (Error),"1. Verify that the power supply is functioning correctly. 2. Try to replace a port in the Power Distribution Unit, or supply an external power source to check it. 3. Replace the power cable. 4. Replace the Power Supply Unit module."
CPU has invalid voltage state state,CPU_SOCKET_INVALID_VOLTAGE,Node.Cpu_Socket.Invalid_Voltage,SIO07.03.0000007,5 (Critical),Check the chassis power supply
RAM temperature is not within threshold,RAM_INVALID_TEMPERATURE,Node.Ram.Invalid_Temperature,SIO07.04.0000001,5 (Critical) 3 (Error),The temperature of one or more Server RAM modules exceeds the configured threshold. Ensure that the server and its environment are properly cooled and that all the chassis fans are functional.
RAM voltage regulator's temperature is not within threshold,RAM_INVALID_VR_TEMPERATURE,Node.Ram.INVALID_VR_TEMPERATURE,SIO07.04.0000002,5 (Critical) 3 (Error),Ensure that the server and its environment are properly cooled and that all the chassis fans are functional.
RAM voltage regulator's voltage is not within threshold,RAM_INVALID_VR_VOLTAGE,Node.Ram.INVALID_VR_VOLTAGE,SIO07.04.0000003,5 (Critical) 3 (Error),"Ensure that the server and its environment are properly cooled and that all the chassis fans are functional. If the system still issues an alert, the DIMM may be faulty, and may have to be replaced."
The node temperature has exceeded the configured threshold,NODE_INVALID_TEMPERATURE,Node.Node.INVALID_TEMPERATURE,SIO07.05.0000001,5 (Critical) 3 (Error),Ensure that the server and its environment are properly cooled and that all the chassis fans are functional.
The voltage values on the node are not within the configured threshold,NODE_INVALID_VOLTAGE,Node.Node.INVALID_VOLTAGE,SIO07.05.0000002,5 (Critical) 3 (Error),"1. Verify that the power supply is functioning correctly, and then try to replace a port in the Power Distribution Unit or check with external power. 2. Replace the power cable. 3. Replace the Power Supply Module."
SDC is not installed on this node,NODE_WITH_NO_SDC,Node.Node.NODE_WITH_NO_SDC,SIO07.05.0000005,3 (Error),"Consider installing an SDC on this node, so that it can use PowerFlex OS volumes"
Unable to connect to monitoring agent (VCenter),NODE_FAILED_TO_CONNECT_TO_VCENTER,Node.Node.FAILED_TO_CONNECT_TOVCENTER,SIO07.05.0000008,5 (Critical),"Ensure that the vCenter configuration is correct, and ensure that the node's Mgmt port is routable to the vCenter IP address"
"RFcache pool state is ""Not Started""",XTREMCACHE_INVALID_STATE,Node.Node.XTREMCACHE_INVALID_STATE,SIO07.05.0000010,3 (Error),"Check the Read Flash Cache pool state. The cache device might be misconfigured. In this case, remove the cache device from the cache pool and add it back again."
CMOS battery state is invalid,NODE_INVALID_CMOS_BATTERY,Node.Node.Invalid_Cmos_Battery,SIO07.05.0000015,3 (Error),Check the node's CMOS battery. It may need to be replaced.
Fan is disabled or removed from chassis,NODE_FAN_DISABLED,Node.Node.Fan_Disabled_or_Removed,SIO07.05.0000024,2 (Warning),The fan is disabled or missing. Check the server's chassis fans and make sure they are inserted and working properly.
CPU cache is not enabled,SOCKET_CACHE_DISABLED,Cpu_Socket.Socket_Cache.Disabled,SIO08.01.0000001,3 (Error),Enable the CPU cache in the server BIOS.
CPU cache size is not optimal,SOCKET_CACHE_SIZE_NOT_MAX_SIZE,Cpu_Socket.Socket_Cache.SIZE_NOT_MAX_SIZE,SIO08.01.0000002,3 (Error),"Check the CPU cache in the server BIOS, and set it to maximum size."
Fan speed is not within threshold,FAN_INVALID_SPEED,Chassis.Fan.Invalid_Speed,SIO09.01.0000001,5 (Critical) 3 (Error),Ensure that the server is properly cooled and that the chassis fans are functional.
The power supply input wattage is not within the configured threshold,PSU_INVALID_INPUT,Chassis.Psu.Invalid_Input,SIO09.02.0000001,5 (Critical) 3 (Error),"1. Verify that the power supply is functioning correctly. 2. Try to replace a port in the Power Distribution Unit, or supply an external power source to check. 3. Replace the power cable. 4. Replace the Power Supply Unit module."
Power supply is missing,PSU_NOT_AVAILABLE,Chassis.Psu.Not_Available,SIO09.02.0000002,3 (Error),"Install a new Power Supply Unit, or if there is an existing PSU, verify that it is properly connected."
