alarm_type_id,vendor_desc,dataset_name,action,type
258,ICMP TimeOut,alert,,alert
259,TimeOut UDP,alert,,alert
260,TimeOut TCP,alert,,alert
261,Reset UDP,alert,,alert
262,Reset TCP,alert,,alert
263,Bad Flag All,alert,,warning
264,Bad Flag SYN FYN,alert,,warning
265,Bad Flag Reserved (Sflow Only),alert,,warning
266,Bad Flag RST,alert,,warning
267,Bad Flag ACK,alert,,warning
268,Bad Flag URG,alert,,warning
269,Bad Flag No Flag,alert,,warning
271,Stealth Scan UDP,alert,,event
272,Stealth Scan TCP,alert,,event
273,SRC=DES,alert,,warning
276,Addr Scan TCP,alert,,event
277,Ping Scan,alert,,event
278,Ping Oversized Packet,alert,,alert
281,Frag Pkt Too Short,alert,,alert
282,Frag Pkt Too Long,alert,,alert
283,Frag Different Sizes,alert,,alert
286,Addr Scan UDP,ids,allowed,
289,ICMP Net Unreachable,alert,,alert
290,ICMP Host Unreachable,alert,,alert
291,ICMP Protocol Unreachable,alert,,alert
292,ICMP Port Unreachable,alert,,alert
293,ICMP Frag Needed,alert,,alert
294,ICMP SRC Route Failed,alert,,alert
295,ICMP Dest Network Unknown,alert,,alert
296,ICMP Dest Host Unknown,alert,,alert
297,ICMP Src Host isolated,alert,,alert
298,ICMP Dest Net Admin,alert,,alert
299,ICMP Dst Host Admin,alert,,alert
300,ICMP Net Unreachable TOS,alert,,alert
301,ICMP Host Unreachable TOS,alert,,alert
302,ICMP Comm Admin,alert,,alert
303,ICMP Host Precedence,alert,,alert
304,ICMP Precedence Cutoff,alert,,alert
310,Flow Denied,alert,,event
315,Suspect Data Hoarding,alert,,warning
316,Target Data Hoarding,alert,,warning
317,Connection From TOR Attempted,ids,blocked,
318,Connection From TOR Successful,ids,allowed,
319,Inside TOR Exit Detected,ids,allowed,
513,Connection To TOR Attempted,ids,blocked,
514,Connection To TOR Successful,ids,allowed,
515,Inside TOR Entry Detected,ids,allowed,
516,Connection To Bogon Address Successful,ids,allowed,
517,Connection From Bogon Address Successful,ids,allowed,
518,Connection To Bogon Address Attempted,ids,blocked,
519,Connection From Bogon Address Attempted,ids,blocked,
4010,Flow Collector Flow Data Lost,dlp,allowed,
4020,Interface Utilization Exceeded Inbound,alert,,alert
4030,Interface Utilization Exceeded Outbound,alert,,alert
4040,Flow Collector Longest Export Exceeded,alert,,alert
5010,FlowSensor Virtual Edition Configuration Error,alert,,alert
5011,FlowSensor Traffic Lost,alert,,alert
5012,FlowSensor RAID Failure,alert,,alert
5013,FlowSensor RAID Rebuilding,alert,,alert
5998,FlowSensor Time Mismatch,ids,allowed,
5999,FlowSensor Management Channel Down,alert,,alert
7001,Relationship High Total Traffic,alert,,alarm
7002,Relationship High Traffic,alert,,alarm
7003,Relationship Low Traffic,alert,,alarm
7004,Relationship Max Flows,alert,,alarm
7005,Relationship New Flows,alert,,alarm
7006,Relationship Round Trip Time,alert,,alarm
7007,Relationship Server Response Time,alert,,alarm
7008,Relationship TCP Retransmission Ratio,alert,,alarm
7009,Relationship SYN Flood,ids,allowed,
7010,Relationship UDP Flood,ids,allowed,
7011,Relationship ICMP Flood,ids,allowed,
9021,Flow Collector Data Deleted,dlp,allowed,
9022,Flow Collector Database Unavailable,dlp,allowed,
9023,Flow Collector Database Channel Down,dlp,allowed,
9050,Flow Collector Exporter Count Exceeded,alert,,alert
9051,Flow Collector FlowSensor Virtual Edition Count Exceeded,alert,,alert
9052,Flow Collector Flow Rate Exceeded,alert,,alert
9053,Flow Collector Interfaces Count Exceeded,alert,,alert
9054,Flow Collector Database Updates Dropped,alert,,alert
9100,Flow Collector RAID Failure,alert,,alert
9102,Flow Collector RAID Rebuilding,alert,,alert
9998,Flow Collector Performance Degraded,alert,,alert
9999,Flow Collector Stopped,alert,,alert
60000,Flow Collector Time Mismatch,alert,,alert
60001,Cisco ISE Management Channel Down,alert,,alert
60002,Flow Collector Management Channel Down,alert,,alert
60003,SMC RAID Failure,alert,,alert
60005,SMC RAID Rebuilding,alert,,alert
60007,SMC Disk Space Low,alert,,alert
60008,SMC Duplicate Primary,alert,,alert
60015,SLIC Channel Down,alert,,alert
60016,UDPD Communication Down,alert,,alert
60023,UDPD HA Down,alert,,alert
60030,SMC query connection with Data Store lost,alert,,alert
60040,SMC database ingest and maintenance connection with Data Store lost,alert,,alert
60041,Data Node down,alert,,alert
60042,Data Node recovering,alert,,alert
60043,Data Store excessive timestamp skew,alert,,alert
60044,Data Store shut down due to too many Data Nodes down,alert,,alert
60045,Data Store recovery failure,alert,,alert
60046,Data Node recovery error,alert,,alert
60047,Data Node recovery lock error,alert,,alert
60048,Data Node refresh failure,alert,,alert
60049,Data Node down; remaining Data Node count critical,alert,,alert
60050,Data Store reaching limit for ROS container operational files,alert,,alert
60051,Appliance Certificate Expiration less than  days,alert,,event
60052,Appliance Certificate Expiration less than  days,alert,,event
60053,Appliance Certificate Expiration less than  days,alert,,event
60054,Appliance Certificate Expiration less than  days,alert,,event
60055,Appliance Certificate Expiration less than  days,alert,,event
60056,Appliance Certificate has expired,alert,,alert
60080,Analytics Results Incomplete,alert,,alert
60081,Analytics Performance Degraded,alert,,alert
60082,Analytics Unsupported Domains,alert,,alert
70026,UDPD RAID Failure,alert,,alert
70027,UDPD RAID Rebuilding,alert,,alert
70028,UDPD Stopped,alert,,alert
70029,UDPD Degraded,alert,,alert
600016,Identity Channel Down,alert,,alert
600017,SMC Failover Channel Down,alert,,alert
99,Anomaly,alert,,alert
1025,.CSE: P2P to Internet,ids,allowed,
1027,.CSE: Unauthorized DHCP Server,ids,allowed,
1028,.CSE: Unauthorized DNS Traffic,ids,allowed,
1029,Unauthorised Access to Database Servers,alert,,warning
1030,Unauthorised Access to WMS Database,alert,,warning
