"check_title","loe_name","old_loe_name"
"environment_ko_inventory","environment_ko_inventory__collections_max",
"environment_ko_inventory","environment_ko_inventory__data_models","environment_ko_inventory__data_models"
"environment_ko_inventory","environment_ko_inventory__data_models_max",
"environment_ko_inventory","environment_ko_inventory__scheduled_searches","environment_ko_inventory__scheduled_searches"
"environment_ko_inventory","environment_ko_inventory__scheduled_searches_max",
"environment_ko_inventory","environment_ko_inventory__searches",
"environment_ko_inventory","environment_ko_inventory__searches_max",
"environment_ko_inventory","environment_ko_inventory__views","environment_ko_inventory__views"
"environment_ko_inventory","environment_ko_inventory__views_max",
"environment_ko_inventory","environment_ko_inventory__workflows","environment_ko_inventory__workflows"
"environment_ko_inventory","environment_ko_inventory__workflows_max",
"environment_splunk_crash","environment_splunk_crash__total",
"forwarder_output_connection_issues","forwarder_output_connection_issues__total","forwarder_output_connection_issues"
"forwarder_output_throughput_limits","forwarder_output_throughput_limits__total",
"forwarders_count_and_inventory","forwarders_count_and_inventory__unsupported_count","forwarders_count_and_inventory"
"indexing_api_exports","indexing_api_exports__total",
"indexing_auth_tokens","indexing_auth_tokens__total",
"indexing_auto_assigned_sourcetypes","indexing_auto_assigned_sourcetypes__total",
"indexing_blocked_queue_status","indexing_blocked_queue_status__num_blocked","indexing_blocked_queue_status"
"indexing_compression_ratio","indexing_compression_ratio__value",
"indexing_data_retention_check","indexing_data_retention_check__retention_in_days_p95","retention_in_days_p95"
"indexing_data_source_inventory","indexing_data_source_inventory__total","indexing_data_source_inventory"
"indexing_index_counts","indexing_index_counts__total","indexing_index_counts"
"indexing_index_inventory","indexing_index_inventory__DataIntegrityControl",
"indexing_index_inventory","indexing_index_inventory__TsidxReduction",
"indexing_index_inventory","indexing_index_inventory__avg_retentionInDays","indexing_index_inventory"
"indexing_index_storage_size","indexing_index_storage_size__sum_currentDBSizeTB","indexing_index_storage_size"
"indexing_ingest_retention",,
"indexing_smart_store_check","indexing_smart_store_check__total","indexing_smart_store_check"
"indexing_sourcetype_ingestion",,
"indexing_splunk_cloud_storage_blocks",,
"indexing_summary_stats",,
"inputs_hec_check","inputs_hec_check__total",
"inputs_modinputs_check","inputs_modinputs_check__total",
"kv_store_size","kv_store_size__total",
"licensing_current_entitlements",,
"licensing_current_volumes","licensing_current_volumes__daily_volume_gb","licensing_current_volumes_gb"
"licensing_hourly_average_ingestion",,
"licensing_premium_app_balanced","licensing_premium_app_balanced__total",
"precheck_core_license_set",,
"precheck_customer_set",,
"precheck_data_access",,
"precheck_unconfigured_mc_instances","precheck_unconfigured_mc_instances__total","unconfigured_mc_instances"
"precheck_unconfigured_rogue_search_instances","precheck_unconfigured_rogue_search_instances__total","unconfigured_rogue_search_instances"
"scma_detail_gen",,
"scma_object_collisions","scma_object_collisions__total",
"scma_splunk_instance_info",,
"scma_troubleshooting","scma_troubleshooting__total",
"scma_workload_classification",,
"search_avg_run_time","search_avg_run_time__value",
"search_bundle_size","search_bundle_size__total",
"search_commands_python","search_commands_python__total",
"search_commands_runshellscript","search_commands_runshellscript__total",
"search_count_by_type",,
"search_default_search_limits","search_default_search_limits__total",
"search_es_correlation_rules","search_es_correlation_rules__total","search_es_correlation_rules"
"search_es_dma_limits","search_es_dma_limits__total","search_es_dma"
"search_index_statistics",,
"search_indexer_concurrency_instance",,
"search_itsi_aggregation_limits","search_itsi_aggregation_limits__total","search_itsi_aggregation_limits"
"search_itsi_correlation_search_limits","search_itsi_correlation_search_limits__total","search_itsi_correlation_search_limits"
"search_itsi_service_limits","search_itsi_service_limits__total","search_itsi_service_limits"
"search_itsi_service_template_limits","search_itsi_service_template_limits__num_linked_services",
"search_long_running_searches","search_long_running_searches__total","search_long_running_searches"
"search_orphaned_objects","search_orphaned_objects__total",
"search_provisioning_lookups","search_provisioning_lookups__total",
"search_real_time_searches","search_real_time_searches__total","search_real_time_searches"
"search_result_accuracy","search_result_accuracy__total",
"search_scheduled_search_actions","search_scheduled_search_actions__total","search_scheduled_search_actions"
"search_search_concurrency",,
"search_search_concurrency_stats",,
"search_search_density",,
"search_search_periodicity",,
"search_searches_returning_no_results","search_searches_returning_no_results__total","search_searches_returning_no_results"
"search_skipped_searches","search_skipped_searches__total",
"search_skipped_searches_detail","search_skipped_searches_detail__total","search_skipped_searches_detail"
"search_svc_qualification_check",,
"search_sweet_spot_check",,
"search_wlm_limits","search_wlm_limits__num_wlm_rules",
"top_50_dashboards","top_50_dashboards__total",
"top_50_jobs","top_50_jobs__total",
"users_admin_users","users_admin_users__total",
"users_admin_users","users_admin_users__total_unique",
"users_authentication_mechanism","users_authentication_mechanism__ldap_roles","users_authentication_mechanism__ldap_roles"
"users_authentication_mechanism","users_authentication_mechanism__ldap_users","users_authentication_mechanism__ldap_users"
"users_authentication_mechanism","users_authentication_mechanism__saml_roles","users_authentication_mechanism__saml_roles"
"users_authentication_mechanism","users_authentication_mechanism__saml_users","users_authentication_mechanism__saml_users"
"users_authentication_mechanism","users_authentication_mechanism__splunk_roles","users_authentication_mechanism__splunk_roles"
"users_authentication_mechanism","users_authentication_mechanism__splunk_users","users_authentication_mechanism__splunk_users"
"users_total_users","users_total_users__total",
"vv_customer_details",,
