license_core,concurrency_limit_core,license_premium_es,license_premium_itsi,license_premium_pci,concurrency_limit_es,concurrency_limit_itsi
146250,390,147250,147250,147250,78,234
146500,390,147500,147500,147500,78,234
146750,390,147750,147750,147750,78,234
147000,390,148000,148000,148000,78,234
147250,390,148250,148250,148250,78,234
147500,390,148500,148500,148500,78,234
147750,390,148750,148750,148750,78,234
148000,390,149000,149000,149000,78,234
148250,390,149250,149250,149250,78,234
148500,390,149500,149500,149500,78,234
148750,390,149750,149750,149750,78,234
149000,390,150000,150000,150000,78,234
149250,390,150250,150250,150250,78,234
149500,390,150500,150500,150500,78,234
149750,390,150750,150750,150750,78,234
150000,390,151000,151000,151000,78,234
150250,390,151250,151250,151250,78,234
150500,390,151500,151500,151500,78,234
150750,390,151750,151750,151750,78,234
151000,390,152000,152000,152000,78,234
151250,390,152250,152250,152250,78,234
151500,390,152500,152500,152500,78,234
151750,390,152750,152750,152750,78,234
152000,390,153000,153000,153000,78,234
152250,390,153250,153250,153250,78,234
152500,390,153500,153500,153500,78,234
152750,390,153750,153750,153750,78,234
153000,390,154000,154000,154000,78,234
153250,390,154250,154250,154250,78,234
153500,390,154500,154500,154500,78,234
153750,390,154750,154750,154750,78,234
154000,390,155000,155000,155000,78,234
154250,390,155250,155250,155250,78,234
154500,390,155500,155500,155500,78,234
154750,390,155750,155750,155750,78,234
155000,390,156000,156000,156000,78,234
155250,390,156250,156250,156250,78,234
155500,390,156500,156500,156500,78,234
155750,390,156750,156750,156750,78,234
156000,390,157000,157000,157000,78,234
156250,390,157250,157250,157250,78,234
156500,390,157500,157500,157500,78,234
156750,390,157750,157750,157750,78,234
157000,390,158000,158000,158000,78,234
157250,390,158250,158250,158250,78,234
157500,390,158500,158500,158500,78,234
157750,390,158750,158750,158750,78,234
158000,390,159000,159000,159000,78,234
158250,390,159250,159250,159250,78,234
158500,390,159500,159500,159500,78,234
158750,390,159750,159750,159750,78,234
159000,390,160000,160000,160000,78,234
159250,390,160250,160250,160250,78,234
159500,390,160500,160500,160500,78,234
159750,390,160750,160750,160750,78,234
160000,390,161000,161000,161000,78,234
160250,390,161250,161250,161250,78,234
160500,390,161500,161500,161500,78,234
160750,390,161750,161750,161750,78,234
161000,390,162000,162000,162000,78,234
161250,390,162250,162250,162250,78,234
161500,390,162500,162500,162500,78,234
