name,hostname,createdate,os,primaryip,managementip,realm,agentversion,reachability,customer,facility,serialno,manufacturer,model,osversion
"RHEL220BIT.sungard.com","RHEL220BIT.sungard.com","Tue Aug  4 18:23:40 2015","linux","192.168.3.220","192.168.3.220","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 82 29 58 34 0B DF-1F 58 9E A2 D1 BD 64 77","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"NBU7-6Master","NBU7-6Master","Tue Aug 11 19:11:54 2015","windows","192.168.3.134","192.168.3.134","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","VMWARE-42 15 3E 5F 12 78 E4 05-4D 0E 8F 86 C3 80 37 59","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64 Service Pack 1 Build 7601 (05-29-2015)"
"lpar2-v6107","lpar2-v6107","Wed Aug 12 13:47:44 2015","aix","192.168.110.11","192.168.110.11","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","653407E","IBM","9117-570","AIX 6.1 (6100-07-04-1216)"
"testing_2003","windows-e155da5","Fri Aug 14 15:27:34 2015","windows","172.16.248.23","172.16.248.23","PHL_SAT","50.0.52471.0","True","Opsware","PHL_SAT","VMWARE-42 15 ED E7 A1 FB DA 50-B9 27 6F 14 DF D4 D0 18","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003, Standard Edition Service Pack 2 Build 3790 (08-14-2015)"
"cv10_sampath","WINDOWS-2GMWCFV","Thu Aug 20 19:13:12 2015","windows","172.16.248.83","172.16.248.83","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 DA F3 3B 03 6E 68-72 53 CC AF AF 11 4E 66","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64  Build 7600 (08-20-2015)"
"zwin2k8_x64","WINDOWS-D2APN6R","Fri Aug 21 16:48:16 2015","windows","172.16.248.89","172.16.248.89","PHL_SAT","50.0.52471.0","True","Opsware","PHL_SAT","VMWARE-42 15 59 17 C0 0D C7 71-0C 13 EE 33 A1 E0 3A B9","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64  Build 7600 (08-21-2015)"
"WIN2K8SR228VM_RAS","WIN2K8SR228VM","Fri Aug 21 17:12:30 2015","windows","192.168.3.228","192.168.3.228","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","VMWARE-42 15 ED 48 69 EB D9 10-31 24 80 00 4E AE F7 0C","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (08-21-2015)"
"Win-RES-Build-10_Sam","windows-1f6a1a1","Tue Aug 25 18:11:04 2015","windows","172.16.248.37","172.16.248.37","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 26 1F FE F5 80 96-BB B5 32 50 E4 CD 02 D0","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003 Enterprise x64 Edition Service Pack 2 Build 3790 (08-25-2015)"
"Valid-Test03","valid-test03.resdev.com","Thu Aug 27 18:25:29 2015","windows","192.168.4.203","192.168.4.203","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 C1 AF 38 10 92 B9-5B 69 01 D0 A8 CA 67 30","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (01-03-2014)"
"Valid-Test12","valid-test12.resdev.com","Thu Aug 27 18:25:31 2015","windows","192.168.4.204","192.168.4.204","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 2D 55 28 EF 6C 54-7E 30 F6 17 04 A8 97 49","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Standard x64  Build 9600 (08-25-2015)"
"Valid-Test08","valid-test08.resdev.com","Thu Aug 27 18:25:45 2015","windows","192.168.4.202","192.168.4.202","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 3F 8D 9D CD 25 75-E7 B8 5E 36 6F F1 EA 2C","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (08-25-2015)"
"Win8-vRanger721","Win8-vRanger721","Tue Sep  1 13:18:49 2015","windows","192.168.5.33","192.168.5.33","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 9B AD CA 2F D9 86-1D 3B 49 3D 49 A5 33 D6","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64 Service Pack 1 Build 7601 (08-30-2015)"
"WIN2K8SR234VM","WIN2K8SR234VM","Tue Sep  1 19:49:23 2015","windows","192.168.3.234","192.168.3.234","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 8B 25 8B C9 DD D2-D5 E3 5F 5D 79 9E 75 7A","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (09-01-2015)"
"be-test1","WINDOWS-I51WTNW","Wed Sep 16 14:30:24 2015","windows","172.16.248.50","172.16.248.50","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 94 F0 04 DD 2A 08-D6 2B C9 1F 78 4B AC A3","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 Enterprise  x64 Service Pack 2 Build 6002 (09-16-2015)"
"be-test2","WINDOWS-J9LN1XW","Wed Sep 16 15:16:42 2015","windows","172.16.248.46","172.16.248.46","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 19 49 B8 DD DB C9-1D 61 1A 31 DA F4 92 FD","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 Enterprise  x64 Service Pack 2 Build 6002 (09-16-2015)"
"be-test3","WINDOWS-MHT1QW7","Wed Sep 16 15:29:11 2015","windows","172.16.248.58","172.16.248.58","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 79 C5 A4 75 63 37-08 61 1C B6 EB 18 4A 14","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64  Build 7600 (09-16-2015)"
"Rahim2003_1","Rahim2003_1","Wed Sep 16 17:32:38 2015","windows","192.168.5.122","192.168.5.122","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 D2 34 CD 72 EE FC-DB EB 1F 11 C5 E4 DD 93","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (01-03-2014)"
"test","test","Fri Sep 25 04:02:18 2015","linux","192.168.5.136","192.168.5.136","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE051N0BH","HP","PROLIANT DL380 G6","Linux 6SERVER-X86_64"
"test","test","Fri Sep 25 04:10:59 2015","windows","192.168.5.98","192.168.5.98","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE051N0B6","HP","PROLIANT DL380 G6","Microsoft Windows Server 2008 R2 Standard  x64  Build 7600 (09-24-2015)"
"WIN2K8SR234VM","WIN2K8SR234VM","Fri Sep 25 18:51:15 2015","windows","192.168.3.234","192.168.3.234","PHL_SAT","50.0.52471.0","False","Not Assigned","PHL_SAT","VMWARE-42 15 F2 CC 16 41 0B D5-90 15 C6 D1 A3 34 3C 34","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (09-01-2015)"
"be-123","WINDOWS-GO6N103","Tue Sep 29 14:28:20 2015","windows","172.16.248.24","172.16.248.24","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 C8 78 A3 3E AB 12-8E 31 2D E4 12 CB E3 CC","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64  Build 7600 (09-29-2015)"
"localhost","localhost","Fri Oct  2 23:46:57 2015","linux","192.168.5.145","192.168.5.145","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE051N0BH","HP","PROLIANT DL380 G6","Linux 6SERVER"
"localhost","localhost","Fri Oct  2 23:54:17 2015","linux","192.168.5.138","192.168.5.138","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE050NCCH","HP","PROLIANT DL380 G6","Linux 6SERVER-X86_64"
"localhost","localhost","Sat Oct  3 00:01:59 2015","linux","192.168.5.147","192.168.5.147","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE051N0AX","HP","PROLIANT DL380 G6","Linux 6SERVER"
"localhost","localhost","Sat Oct  3 00:06:10 2015","linux","192.168.5.146","192.168.5.146","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE050NBB3","HP","PROLIANT DL380 G6","Linux 6SERVER-X86_64"
"QADS-13335Host","QADS-13335Host","Sat Oct  3 00:24:24 2015","linux","192.168.5.106","192.168.5.106","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE050N9SF","HP","PROLIANT DL380 G6","Linux 5SERVER-X86_64"
"RHEL64BIT-64-4","RHEL64BIT-64-4","Tue Oct  6 15:08:25 2015","linux","172.16.248.25","172.16.248.25","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 67 07 80 7D FE 2F-BB 6E 93 C2 82 DE 03 6C","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"testhyperv01","testhyperv01","Wed Oct  7 20:45:00 2015","windows","192.168.3.207","192.168.3.207","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 A6 4D 36 B5 4E 48-43 F3 70 F9 F6 A1 8F 71","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-07-2015)"
"testhyperv02","testhyperv02","Wed Oct  7 20:45:00 2015","windows","192.168.52.16","192.168.52.16","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 0C 91 39 FD C6 65-EA E3 4F 64 AC A2 AD 37","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2012 R2 Datacenter x64  Build 9600 (10-07-2015)"
"hpsa_swp_flow","WINDOWS-L03U5IE","Fri Oct  9 14:57:32 2015","windows","172.16.248.15","172.16.248.15","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 DA EF 48 08 90 16-64 18 31 92 C6 78 C9 25","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64  Build 7600 (10-09-2015)"
"W2K8205BIT","W2K8205BIT","Mon Oct 12 19:43:04 2015","windows","192.168.3.205","192.168.3.205","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 3A 55 11 C4 14 FE-76 3E 63 B9 B7 02 78 33","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (10-12-2015)"
"test_purla","test_purla","Fri Oct 16 14:19:50 2015","linux","172.16.248.10","172.16.248.10","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 A9 F6 54 EC 49 97-AA 72 E6 C9 5E 50 B3 01","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"test_backupexec","WINDOWS-9A9FJEK","Fri Oct 23 13:30:08 2015","windows","172.16.248.77","172.16.248.77","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 74 2E CA EC 10 53-84 97 20 F2 79 3E 7D DC","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Enterprise  x64  Build 7600 (10-23-2015)"
"fsc_test","fsc_test","Thu Oct 29 16:54:03 2015","linux","172.16.248.39","172.16.248.39","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 14 41 43 AE AD 37-C4 C1 A7 82 22 3E 95 4D","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"Rahim2k4tmptest","Rahim2k4tmptest","Tue Nov  3 11:21:42 2015","windows","192.168.3.106","192.168.3.106","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 AF D0 A2 83 38 7D-FB A1 D1 7E BF C2 FD 88","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (11-02-2015)"
"Vik2k3","sungard-7dae299","Fri Nov 13 08:52:48 2015","windows","192.168.204.100","192.168.204.100","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 01 24 21 0E 1B 18-1D 41 B5 6F 8B 04 3C 96","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (01-03-2014)"
"Rahim2003_1","Rahim2003_1","Mon Nov 16 22:03:35 2015","windows","172.16.248.71","172.16.248.71","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 5E B6 5D B4 BC 88-2E 87 2A 4C 35 3B 0F B8","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (01-03-2014)"
"RHEL64BIT-64-4","RHEL64BIT-64-4","Thu Nov 26 08:50:50 2015","linux","172.16.248.29","172.16.248.29","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 B4 59 94 B2 8E 41-19 87 95 89 E9 16 36 37","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"networker_linux","networker_linux","Thu Nov 26 12:50:33 2015","linux","172.16.248.16","172.16.248.16","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 7D C1 B5 A6 94 1A-0A 16 15 FB FC 72 D0 F2","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"RHEL64BIT-64-4","RHEL64BIT-64-4","Thu Nov 26 14:58:14 2015","linux","172.16.248.92","172.16.248.92","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 B3 76 E4 A5 D2 B5-49 DE 2B DF A3 06 93 7B","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"RHEL64BIT-64-4","RHEL64BIT-64-4","Fri Nov 27 10:37:39 2015","linux","172.16.248.85","172.16.248.85","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 A0 D6 90 10 38 F3-25 ED 86 6D 4A C1 C2 2B","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"networker_linux2","networker_linux2","Mon Nov 30 13:41:17 2015","linux","172.16.248.17","172.16.248.17","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 46 15 4C B7 2A 43-41 8B 5F 82 4E 4C D4 42","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"rx4640-2","rx4640-2","Wed Dec  9 18:42:20 2015","hp-ux","192.168.220.99","192.168.220.99","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","USE44105FL","HP","IA64 HP SERVER RX4640","HP-UX 11.31"
"2003_rahim_222","2003_rahim_222","Fri Dec 11 15:11:24 2015","windows","192.168.4.223","192.168.4.223","PHL-agents","50.0.52471.0","False","Not Assigned","PHL","VMWARE-42 15 92 1F F1 66 34 74-2E F9 39 FB E0 27 78 2E","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (01-03-2014)"
"networker_install","RHEL64BIT-64-4","Wed Jan  6 10:39:54 2016","linux","172.16.248.64","172.16.248.64","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 5A D7 07 54 DF 25-B2 34 DB 61 59 0D 21 F7","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"RHEL64BIT-64-4","RHEL64BIT-64-4","Wed Jan  6 15:11:03 2016","linux","172.16.248.41","172.16.248.41","PHL_SAT","50.0.52471.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 78 1C 7E 57 AA 72-6E F4 FC 30 DC 4C 07 8A","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Linux 6SERVER-X86_64"
"provisioning38-VMware-VMware Virtual Platform-13640001","provisioning38","Wed Jan 20 19:06:38 2016","None","172.16.248.48","172.16.248.48","PHL_SAT","50.0.52261.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 E7 D3 F8 9C 86 CB-9D 94 51 E9 23 DC 5E 0D","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Red Hat Enterprise Linux 6.5 x86_64"
"provisioning62-VMware-VMware Virtual Platform-13650001","provisioning62","Wed Jan 20 20:06:57 2016","None","172.16.248.72","172.16.248.72","PHL_SAT","50.0.52261.0","True","Not Assigned","PHL_SAT","VMWARE-42 15 A7 4F 7A 10 38 2E-13 4E 04 85 5C 37 A3 34","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Red Hat Enterprise Linux 6.5 x86_64"
"esx-test-HP-ProLiant DL380 G6-14020001","esx-test","Thu Jan 28 21:51:12 2016","None","172.16.248.44","172.16.248.44","PHL_SAT","50.0.52261.0","True","Not Assigned","PHL_SAT","USE050NCC4","HP","PROLIANT DL380 G6","Red Hat Enterprise Linux 6.5 x86_64"
"localhost-HP-ProLiant DL380 G7-18460001","localhost","Mon Feb  8 19:33:22 2016","None","192.168.52.46","192.168.52.46","PHLSAT92","50.0.52261.0","True","Not Assigned","PHLSAT92","USE247N0YP","HP","PROLIANT DL380 G7","Red Hat Enterprise Linux 6.5 x86_64"
"srlwin12","srlwin12","Mon Feb 29 18:45:45 2016","windows","192.168.52.41","192.168.52.41","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE246LWYM","HP","PROLIANT DL385 G7","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (02-29-2016)"
"srlwin13","dhcp-client-00:9C:02:9B:05:10","Mon Feb 29 18:45:45 2016","None","127.1.2.3","127.1.2.3","Transitional","None","False","Not Assigned","PHLSAT92","None","UNKNOWN MANUFACTURER","UNKNOWN MODEL","UNKNOWN"
"srlwin11","minint-vnv1lrr","Mon Feb 29 18:45:48 2016","None","192.168.52.67","192.168.52.67","PHLSAT92","50.0.52261.0","True","Not Assigned","PHLSAT92","USE245LHHP","HP","PROLIANT DL585 G7","WINPE64"
"srlwin14","minint-v9gv7am","Mon Feb 29 18:45:49 2016","None","192.168.52.64","192.168.52.64","PHLSAT92","50.0.52261.0","True","Not Assigned","PHLSAT92","2M23430851","HP","PROLIANT DL380P GEN8","WINPE64"
"srlwin18","srlwin18","Mon Feb 29 18:45:53 2016","windows","192.168.52.37","192.168.52.37","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE629N2D7","HP","PROLIANT ML570 G4","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (02-29-2016)"
"srlwin8","srlwin8","Mon Feb 29 18:45:56 2016","windows","192.168.52.43","192.168.52.43","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE143N1G8","HP","PROLIANT DL380 G7","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (02-29-2016)"
"srlwin6","srlwin6","Mon Feb 29 18:46:01 2016","windows","192.168.52.65","192.168.52.65","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE050N52C","HP","PROLIANT DL585 G5","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (02-29-2016)"
"srlwin7","srlwin7","Mon Feb 29 18:46:01 2016","windows","192.168.52.42","192.168.52.42","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE143N1G0","HP","PROLIANT DL380 G7","Microsoft Windows Server 2003 Standard x64 Edition Service Pack 2 Build 3790 (02-29-2016)"
"srlwin15","minint-7dbs3du","Mon Feb 29 18:46:07 2016","None","192.168.52.38","192.168.52.38","PHLSAT92","50.0.52261.0","True","Not Assigned","PHLSAT92","2M23430842","HP","PROLIANT DL380P GEN8","WINPE64"
"srllin17","srlesx17","Tue Mar  1 17:12:34 2016","linux","192.168.52.52","192.168.52.52","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE903N663","HP","PROLIANT ML370 G5","Linux 5SERVER-X86_64"
"srllin16","srlesx16","Tue Mar  1 17:12:34 2016","linux","192.168.52.51","192.168.52.51","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE903N669","HP","PROLIANT ML370 G5","Linux 5SERVER-X86_64"
"srllin4","srlesx4","Tue Mar  1 18:41:11 2016","linux","192.168.52.47","192.168.52.47","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE050NBAP","HP","PROLIANT DL380 G6","Linux 5SERVER-X86_64"
"srllin5","srlesx5","Tue Mar  1 18:41:11 2016","linux","192.168.52.48","192.168.52.48","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE050N9SH","HP","PROLIANT DL380 G6","Linux 5SERVER-X86_64"
"srllin9","srlesx9","Tue Mar  1 20:44:27 2016","linux","192.168.52.69","192.168.52.69","PHLSAT92","50.0.52471.0","True","Not Assigned","PHLSAT92","USE539N31S","HP","PROLIANT ML570 G3","Linux 5SERVER"
"srllin3","srlesx3","Tue Mar  1 20:45:42 2016","None","192.168.52.56","192.168.52.56","PHLSAT92","50.0.52261.0","True","Not Assigned","PHLSAT92","USE926N4RL","HP","PROLIANT DL580 G5","Red Hat Enterprise Linux 6.5 i386"
"localhost-VMware-VMware Virtual Platform-31170001","localhost","Thu Mar  3 12:21:17 2016","None","192.168.52.70","192.168.52.70","PHLSAT92","50.0.52261.0","True","Not Assigned","PHLSAT92","VMWARE-42 15 69 AE 66 94 AD 0F-6F 95 F8 62 5A E8 C4 15","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Red Hat Enterprise Linux 6.5 x86_64"
"localhost-VMware-VMware Virtual Platform-31180001","localhost","Tue Mar 22 05:20:45 2016","None","192.168.52.78","192.168.52.78","PHLSAT92","50.0.52261.0","True","Not Assigned","PHLSAT92","VMWARE-42 15 64 42 0D 57 B2 F8-6F FD DD 8A 5B 02 D8 C4","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Red Hat Enterprise Linux 6.5 x86_64"
"Win2k8Ora1","Win2k8Ora1","Tue May  3 18:36:00 2016","windows","192.168.4.13","192.168.4.13","PHL-agents","60.0.66036.0","False","Not Assigned","PHL","VMWARE-42 15 EE 69 DE CE A9 80-19 29 68 3D 40 14 E3 5B","VMWARE, INC.","VMWARE VIRTUAL PLATFORM","Microsoft Windows Server 2008 R2 Standard  x64 Service Pack 1 Build 7601 (10-21-2015)"
