domain,Category,Score
.bg2ncolo.com,25,120
.bgdsupport.com,25,120
.bibpol.ru,25,120
.biciclist.ro,25,120
.bicventas.com.mx,25,120
.bigbox.info,25,120
.bigmoney.biz,25,120
.bij.pl,25,120
.bijutiva.ru,25,120
.bil-nasalab.com,25,120
.bin-laden.biz,25,120
.bin.bz,25,120
.binaryoptionstrategy.ae,25,120
.binaryuniverse.net,25,120
.binuka.com,25,120
.biotx.biz,25,120
.birchlandplywood.com,25,120
.bitdefender.com.vn,25,120
.bitferret.com,25,120
.bitferret.org,25,120
.bittorrent.com,15,120
.biz.br.ms,25,120
.biz.br.tc,25,120
.biz.ly,25,120
.biz.tm,25,120
.biz14.com,25,120
.biznes-elementi.com,25,120
.bizzybeads.com,25,120
.blackschool.ru,25,120
.blaybrooks.com,25,120
.blinds-market.ru,25,120
.blizzie.net,25,120
.blocktarget.com,25,120
.blogdns.com,25,120
.blogdns.net,25,120
.blogdns.org,25,120
.blogist.net,25,120
.blogner.com,25,120
.blogner.net,25,120
.blogsite.org,25,120
.blogsyte.com,25,120
.bloom.us,25,120
.blue-jade.net,25,120
.bluetears.org,25,120
.bmwdoc.ru,25,120
.bnaz.org,25,120
.bo-tak.info,25,120
.bobcentury.com,25,120
.boblove.org,25,120
.bodis.com,33,120
.bodisparking.com,33,120
.boettiger.cl,25,120
.bogdancoman.ro,25,120
.boldlygoingnowhere.org,25,120
.bookflights.ru,25,120
.borgoth.com,25,120
.borkar.in,25,120
.bot.nu,25,120
.bounceme.net,25,120
.bouncers4rent.com,25,120
.box.tl,25,120
.bpwrc.org,25,120
.br.ms,25,120
.br.tc,25,120
.braintec.ch,25,120
.brasilia.me ,25,120
.brb.dj,25,120
.brgh.de,25,120
.brianmillercentral.com,25,120
.bristolinmotion.com,25,120
.brm.ro,25,120
.broke-it.net,25,120
.bronxartspace.com,25,120
.brotherscafe.com,25,120
.brucehickey.com,25,120
.brware.com.br,25,120
.bryansplace.net,25,120
.bsdtech.org,25,120
.btbtrading.it,25,120
.bucatareselevesele.ro,25,120
.bugsfree.org,25,120
.buildingbrothers.com.ar,25,120
.bullmedeth.info,25,120
.bum.ms,25,120
.bunchies.org,25,120
.bunkhouse.us,25,120
.businessloan.com,25,120
.buyshouses.net,25,120
.buzlylabs.com,25,120
.buzz20.com,25,120
.bydeets.com,25,120
.byinter.net,25,120
.byte4byte.com,25,120
.byza.it,25,120
.bz.cm,25,120
.bzibziek.pl,25,120
.bzpo.ru,25,120
.c-scene.org,25,120
.c0m.at,25,120
.c0m.la,25,120
.c0m.li,25,120
.c4.fr,25,120
.ca.tf,25,120
.cable-modem.org,25,120
.cablesweb.com.ar,25,120
.cabowabo.org,25,120
.caledonianlab.com,25,120
.canadaad.com,25,120
.canal.cl,25,120
.canaldoslarioja.com.ar,25,120
.caretheworld.org,25,120
.carys.org,25,120
.catastrocorrientes.gov.ar,25,120
.catholicpenguin.net,25,120
.caveatlector.eu,25,120
.cc.ai,25,120
.cc.net.br,25,120
.ccc.org.mx,25,120
.cco.cl,25,120
.ccs.pl,25,120
.ccwhc.ca,25,120
.cd-km.info,25,120
.cd.am,25,120
.cdrip.com.ar,25,120
.ce.ms,25,120
.cechire.com,25,120
.cegpc.com,25,120
.cent.si,25,120
.centrin.us,25,120
.centrumletna.cz,25,120
.ceradinternational.net,25,120
.certaindns.org,25,120
.cf.gs,25,120
.cfpug.com,25,120
.cga.net.ru,25,120
.cgiconnection.com,25,120
.ch.gg,25,120
.ch.ma,25,120
.ch.tc,25,120
.ch.tf,25,120
.ch.vu,25,120
.chai-ufa.ru,25,120
.changeip.biz,25,120
.changeip.co.uk,25,120
.changeip.com,25,120
.changeip.me,25,120
.changeip.name,25,120
.changeip.net,25,120
.changeip.org,25,120
.changeip.us,25,120
.chatnook.com,25,120
.chavales.net,25,120
.chebicon.ru,25,120
.check-it-out.nl,25,120
.checkip.org,17,120
.checkip.org,25,120
.chekhov-town.ru,25,120
.cheqppjoy.com,25,120
.cherrygirl.hk,25,120
.chesan.com,25,120
.chicagocornerchurch.org,25,120
.chickenkiller.com,25,120
.chiefmo.net,25,120
.chilenter.cl,25,120
.china.is,25,120
.chinta.web.id,25,120
.chita.com.br,25,120
.chorizo.es,25,120
.chosmile.com,25,120
.chrispecoraro.com,25,120
.chur.ru,25,120
.churros.es,25,120
.cicp.net,25,120
.cigobang.com,25,120
.cimidi.org,25,120
.cintex.ru,25,120
.circuitlab.org,25,120
.ciscofreak.com,25,120
.citbus.com,25,120
.citysounds.fm,25,120
.cixx6.com,25,120
.cjaycom.net,25,120
.cjb.net,25,120
.cker.in,25,120
.clanwar.info,25,120
.clapham.org,25,120
.cleansite.biz,25,120
.cleansite.info,25,120
.cleansite.us,25,120
.clicdeal.ma,25,120
.clicksoftware.co.uk,25,120
.climatenotebook.org,25,120
.clouds.my,25,120
.cloverdalecomputers.ca,25,120
.cmokep.one.pl,25,120
.cn.ms,25,120
.cnetwork.ro,25,120
.cnmsl.net,25,120
.cnn.com,19,120
.cnr.com.pk,25,120
.cns2u.com,25,120
.cnstefancelmare.ro,25,120
.co.at.gg,25,120
.co.at.tc,25,120
.co.at.tf,25,120
.co.be,25,120
.co.cc,25,120
.co.nf,25,120
.co.nr,25,120
.co.tv,25,120
.co.uk.tc,25,120
.co.za,25,120
.coalnet.ru,25,120
.cobaes.edu.mx,25,120
.cocomgr.com,25,120
.code-house.org,25,120
.codecafe.com,25,120
.codefinity.com,25,120
.codegods.net,25,120
.codewarp.org,25,120
.codisk.com,25,120
.codisk.net,25,120
.cofoneconsulting.com,25,120
.collegefan.org,25,120
.colossi.com.br,25,120
.com.au.ms,25,120
.com.au.tc,25,120
.com.br.ms,25,120
.com.br.tc,25,120
.com.net.sc,25,120
.comexe.cn,25,120
.comexe.net,25,120
.comeze.com,25,120
.comli.com,25,120
.communityforge.net,25,120
.comoj.com,1,120
.comoj.com,25,120
.compas.md,25,120
.compress.to,25,120
.compuinter.com,25,120
.compulsivo.com.br,25,120
.computersforpeace.net,25,120
.comuf.com,25,120
.comule.com,25,120
.comuv.com,25,120
.comxa.com,25,120
.comyr.com,25,120
.comze.com,25,120
.conac.cl,25,120
.concursuri-noi.com,25,120
.confluente.ro,25,120
.cookworld.ru,25,120
.coolaj86.info,25,120
.coom.in,25,120
.corecloud.com,25,120
.cornercity.com,25,120
