name,class,version,read,write,center,count,domainMin,domainMax,numConcepts,size,type,notes,format,uom,search,width,alfacut,concept,shape,points
ThreatModelTrust,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for scaling actor risk using model trust. This context is used to look-up model trust scaling factor which is then applied to actor risk.",v4,"CIX","",0.0000,0.1000,medium,pi,0.2500|0.3750|0.5000|0.6250|0.7500
ThreatModelTrust,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for scaling actor risk using model trust. This context is used to look-up model trust scaling factor which is then applied to actor risk.",v4,"CIX","",0.0000,0.1000,high,pi,0.5000|0.6250|0.7500|0.8750|1.0000
ThreatModelTrust,"",1498840573,*,*,0.0000,0,0.0000,1.0000,5,0.0000,domain,"Context for scaling actor risk using model trust. This context is used to look-up model trust scaling factor which is then applied to actor risk.",v4,"CIX","",0.0000,0.1000,extreme,curveincrease,0.7500|0.8750|1.0000
TrendDirection,"",1498840573,*,*,0.0000,0,-200.0000,200.0000,5,0.0000,domain,"Context for trend direction and intensity",v4,"Percentage","",0.0000,0.1000,fallingRapidly,curvedecrease,-200|-150|-100
TrendDirection,"",1498840573,*,*,0.0000,0,-200.0000,200.0000,5,0.0000,domain,"Context for trend direction and intensity",v4,"Percentage","",0.0000,0.1000,falling,pi,-200|-150|-100|-50|0
TrendDirection,"",1498840573,*,*,0.0000,0,-200.0000,200.0000,5,0.0000,domain,"Context for trend direction and intensity",v4,"Percentage","",0.0000,0.1000,flat,pi,-100|-50|0|50|100
TrendDirection,"",1498840573,*,*,0.0000,0,-200.0000,200.0000,5,0.0000,domain,"Context for trend direction and intensity",v4,"Percentage","",0.0000,0.1000,rising,pi,0|50|100|150|200
TrendDirection,"",1498840573,*,*,0.0000,0,-200.0000,200.0000,5,0.0000,domain,"Context for trend direction and intensity",v4,"Percentage","",0.0000,0.1000,risingRapidly,curveincrease,100|150|200
AbsoluteTrend,"",1498840573,*,*,0.0000,0,0.0000,200.0000,5,0.0000,domain,"Context for trend intensity which ignores direction",v4,"Percentage","",0.0000,0.1000,minimal,curvedecrease,0.00|25.00|50.00
AbsoluteTrend,"",1498840573,*,*,0.0000,0,0.0000,200.0000,5,0.0000,domain,"Context for trend intensity which ignores direction",v4,"Percentage","",0.0000,0.1000,low,pi,0.00|25.00|50.00|75.00|100.00
AbsoluteTrend,"",1498840573,*,*,0.0000,0,0.0000,200.0000,5,0.0000,domain,"Context for trend intensity which ignores direction",v4,"Percentage","",0.0000,0.1000,medium,pi,50.00|75.00|100.00|125.00|150.00
AbsoluteTrend,"",1498840573,*,*,0.0000,0,0.0000,200.0000,5,0.0000,domain,"Context for trend intensity which ignores direction",v4,"Percentage","",0.0000,0.1000,high,pi,100.00|125.00|150.00|175.00|200.00
AbsoluteTrend,"",1498840573,*,*,0.0000,0,0.0000,200.0000,5,0.0000,domain,"Context for trend intensity which ignores direction",v4,"Percentage","",0.0000,0.1000,extreme,curveincrease,150.00|175.00|200.00
Sentiment,"",1543354171,*,*,0.0000,0,-1.0000,1.0000,5,0.0000,domain,"Granular sentiment context with 5 concepts.",v4,"score","",0.0000,0.1000,extremelyNegative,curvedecrease,-1|-0.75|-0.5
Sentiment,"",1543354171,*,*,0.0000,0,-1.0000,1.0000,5,0.0000,domain,"Granular sentiment context with 5 concepts.",v4,"score","",0.0000,0.1000,negative,pi,-1|-0.75|-0.5|-0.25|0
Sentiment,"",1543354171,*,*,0.0000,0,-1.0000,1.0000,5,0.0000,domain,"Granular sentiment context with 5 concepts.",v4,"score","",0.0000,0.1000,neutral,pi,-0.5|-0.25|0|0.25|0.5
Sentiment,"",1543354171,*,*,0.0000,0,-1.0000,1.0000,5,0.0000,domain,"Granular sentiment context with 5 concepts.",v4,"score","",0.0000,0.1000,positive,pi,0|0.25|0.5|0.75|1
Sentiment,"",1543354171,*,*,0.0000,0,-1.0000,1.0000,5,0.0000,domain,"Granular sentiment context with 5 concepts.",v4,"score","",0.0000,0.1000,extremelyPositive,curveincrease,0.5|0.75|1
Sentiment2,"",1543354366,*,*,0.0000,0,-1.0000,1.0000,3,0.0000,domain,"Low granularity sentiment context with 3 concepts",v4,"score","",0.0000,0.1000,negative,curvedecrease,-1|-0.5|0
Sentiment2,"",1543354366,*,*,0.0000,0,-1.0000,1.0000,3,0.0000,domain,"Low granularity sentiment context with 3 concepts",v4,"score","",0.0000,0.1000,neutral,pi,-1|-0.5|0|0.5|1
Sentiment2,"",1543354366,*,*,0.0000,0,-1.0000,1.0000,3,0.0000,domain,"Low granularity sentiment context with 3 concepts",v4,"score","",0.0000,0.1000,positive,curveincrease,0|0.5|1
WinkSentiment,"",1560880420,*,*,0.0000,0,-5.0000,5.0000,5,0.0000,domain,"Context for WinkSentiment Cribl function",v4,"score","",0.0000,0.1000,extremelyNegative,curvedecrease,-5.0000|-3.7500|-2.5000
WinkSentiment,"",1560880420,*,*,0.0000,0,-5.0000,5.0000,5,0.0000,domain,"Context for WinkSentiment Cribl function",v4,"score","",0.0000,0.1000,negative,pi,-5.0000|-3.7500|-2.5000|-1.2500|0.0000
WinkSentiment,"",1560880420,*,*,0.0000,0,-5.0000,5.0000,5,0.0000,domain,"Context for WinkSentiment Cribl function",v4,"score","",0.0000,0.1000,neutral,pi,-2.5000|-1.2500|0.0000|1.2500|2.5000
WinkSentiment,"",1560880420,*,*,0.0000,0,-5.0000,5.0000,5,0.0000,domain,"Context for WinkSentiment Cribl function",v4,"score","",0.0000,0.1000,positive,pi,0.0000|1.2500|2.5000|3.7500|5.0000
WinkSentiment,"",1560880420,*,*,0.0000,0,-5.0000,5.0000,5,0.0000,domain,"Context for WinkSentiment Cribl function",v4,"score","",0.0000,0.1000,extremelyPositive,curveincrease,2.5000|3.7500|5.0000
WinkSentiment2,"",1560880575,*,*,0.0000,0,-5.0000,5.0000,3,0.0000,domain,"Context for WinkSentiment Cribl function with 3 concepts",v4,"score","",0.0000,0.1000,negative,curvedecrease,-5.0000|-2.5000|0.0000
WinkSentiment2,"",1560880575,*,*,0.0000,0,-5.0000,5.0000,3,0.0000,domain,"Context for WinkSentiment Cribl function with 3 concepts",v4,"score","",0.0000,0.1000,neutral,pi,-5.0000|-2.5000|0.0000|2.5000|5.0000
WinkSentiment2,"",1560880575,*,*,0.0000,0,-5.0000,5.0000,3,0.0000,domain,"Context for WinkSentiment Cribl function with 3 concepts",v4,"score","",0.0000,0.1000,positive,curveincrease,0.0000|2.5000|5.0000
