APP,"Deployment_Type",Description,"LM_apps","MC_apps","DS_apps","DS_deployment_apps","IDX_apps","IDX_Peer_Node_apps","CM_apps","CM_manager_apps","SH_apps","SHCD_apps","SH_Cluster_Member_apps","SHCD_shcluster_apps","SHCD_shcluster_users","HFWD_nix_apps","HFWD_nix_DS_SC","HFWD_WIN_apps","HFWD_WIN_DS_SC","FWD_nix_apps","FWD_nix_DS_SC","FWD_WIN_apps","FWD_WIN_DS_SC","SN_apps"
"org_cluster_manager_base","3. Clustered Indexers and Non-clustered SHs (Single Site)","This small app enables the cluster manager functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,,"YES!",,,,,,,,,,,,,,,
"org_cluster_search_base","3. Clustered Indexers and Non-clustered SHs (Single Site)","Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster manager.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The manager's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the manager sets the number of replicated copies for that index.",,"YES!",,,,,,,"YES!",,,,,,,,,,,,,
"org_dept_app_inputs","3. Clustered Indexers and Non-clustered SHs (Single Site)","This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer.",,,,"YES!",,,,,,,,,,,,,,,YES,,YES,
"org_full_license_server","3. Clustered Indexers and Non-clustered SHs (Single Site)","When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster manager are licensed functionalities (for example).
Location of the license manager.  In distributed environments, it's common to have a lone search head acting as the license manager as well. In this configuration, providing the URI of the license manager is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same.",,"YES!","YES!","YES!",,,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,
"org_indexer_volume_indexes","3. Clustered Indexers and Non-clustered SHs (Single Site)","Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app.",,,,,,,,"YES!",,,,,,,,,,,,,,
"org_search_volume_indexes","3. Clustered Indexers and Non-clustered SHs (Single Site)","The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally).",,"YES!",,"YES!",,,,,"YES!",,,,,,,,,,,,,
"TA-org_splunk","4. Clustered Indexers and Clustered SHs (Single Site)","TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting.",,"YES!","YES!","YES!","YES!",,"YES!","YES!","YES!","YES!",,"YES!",,,YES,,YES,,,,,
"org_all_app_props","4. Clustered Indexers and Clustered SHs (Single Site)","Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle.",,,,"YES!",,,,"YES!",,,,"YES!",,,YES,,YES,,YES,,YES,
"org_all_deploymentclient","4. Clustered Indexers and Clustered SHs (Single Site)","Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients.",,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,
"org_all_indexes","4. Clustered Indexers and Clustered SHs (Single Site)","Put all customer (and default) indexes here.
Index definitions",,,,,,,,"YES!",,,,"YES!",,,,,,,,,,
"org_all_search_base","4. Clustered Indexers and Clustered SHs (Single Site)","If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)","YES!","YES!","YES!","YES!",,,"YES!",,,,,"YES!",,,YES,,YES,,,,,
"org_all_syslog_inputs","4. Clustered Indexers and Clustered SHs (Single Site)",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"org_all_unix_inputs","4. Clustered Indexers and Clustered SHs (Single Site)",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"org_all_windows_inputs","4. Clustered Indexers and Clustered SHs (Single Site)",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"org_cluster_forwarder_outputs","4. Clustered Indexers and Clustered SHs (Single Site)","The cluster manager itself will no longer be manageable by the deployment server, as the configs which are received go to the manager-apps directory, rather than the apps directory.
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed",,"YES!","YES!","YES!",,,"YES!",,"YES!","YES!",,"YES!",,,YES,,YES,,YES,,YES,
"org_cluster_indexer_base","4. Clustered Indexers and Clustered SHs (Single Site)","This primes the indexer to act as an indexing member of a cluster. The location of the manager and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,"YES!",,,,,,,,,,,,,,,,
"org_cluster_manager_base","4. Clustered Indexers and Clustered SHs (Single Site)","This small app enables the cluster manager functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,,"YES!",,,,,,,,,,,,,,,
"org_cluster_search_base","4. Clustered Indexers and Clustered SHs (Single Site)","Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster manager.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The manager's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the manager sets the number of replicated copies for that index.",,"YES!",,,,,,,"YES!",,"YES!",,,,,,,,,,,
"org_full_license_server","4. Clustered Indexers and Clustered SHs (Single Site)","When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster manager are licensed functionalities (for example).
Location of the license manager.  In distributed environments, it's common to have a lone search head acting as the license manager as well. In this configuration, providing the URI of the license manager is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same.",,"YES!","YES!","YES!",,,"YES!","YES!","YES!",,,"YES!",,,YES,,YES,,,,,
"org_indexer_volume_indexes","4. Clustered Indexers and Clustered SHs (Single Site)","Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app.",,,,,,,,"YES!",,,,,,,,,,,,,,
"org_search_volume_indexes","4. Clustered Indexers and Clustered SHs (Single Site)","The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally).",,"YES!",,"YES!",,,,,,,,"YES!",,,,,,,,,,
"TA-org_splunk","5. Clustered Indexers and Non-clustered SHs (Multi Site)","TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting.",,"YES!","YES!","YES!","YES!",,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,
"org_all_app_props","5. Clustered Indexers and Non-clustered SHs (Multi Site)","Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle.",,,,"YES!",,,,"YES!",YES,,,,,,YES,,YES,,YES,,YES,
"org_all_deploymentclient","5. Clustered Indexers and Non-clustered SHs (Multi Site)","Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients.",,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,
"org_all_indexes","5. Clustered Indexers and Non-clustered SHs (Multi Site)","Put all customer (and default) indexes here.
Index definitions",,,,,,,,"YES!","YES!",,,,,,,,,,,,,
"org_all_search_base","5. Clustered Indexers and Non-clustered SHs (Multi Site)","If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)","YES!","YES!","YES!","YES!",,,"YES!",,"YES!",,,,,,YES,,YES,,,,,
"org_all_syslog_inputs","5. Clustered Indexers and Non-clustered SHs (Multi Site)",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"org_all_unix_inputs","5. Clustered Indexers and Non-clustered SHs (Multi Site)",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"org_all_windows_inputs","5. Clustered Indexers and Non-clustered SHs (Multi Site)",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"org_cluster_forwarder_outputs","5. Clustered Indexers and Non-clustered SHs (Multi Site)","If the customer has strict requirements about data integrity, this app layers on with org_all_forwarder_outputs to increase the size of the output queue and set the ""useAck"" flag.
Forward all data to the primary_indexers group of Indexers
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed",,"YES!","YES!","YES!",,,"YES!",,"YES!",,,,,,YES,,YES,,YES,,YES,
"org_cluster_indexer_base","5. Clustered Indexers and Non-clustered SHs (Multi Site)","This primes the indexer to act as an indexing member of a cluster. The location of the manager and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,"YES!",,,,,,,,,,,,,,,,
"org_cluster_manager_base","5. Clustered Indexers and Non-clustered SHs (Multi Site)","This small app enables the cluster manager functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,,"YES!",,,,,,,,,,,,,,,
"org_cluster_search_base","5. Clustered Indexers and Non-clustered SHs (Multi Site)","Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster manager.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The manager's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the manager sets the number of replicated copies for that index.",,"YES!",,,,,,,"YES!",,,,,,,,,,,,,
"org_dept_app_inputs","5. Clustered Indexers and Non-clustered SHs (Multi Site)","This is a sample inputs app that should be cloned for each distinct log type. The DEPT in the directory name may be used to differentiate client groups within the customer.",,,,"YES!",,,,,,,,,,,,,,,YES,,YES,
"org_full_license_server","5. Clustered Indexers and Non-clustered SHs (Multi Site)","When breaking out a separate license server (can be the main SH for smaller customers), the indexers and ""licensed"" nodes need its location. Deployment server and cluster manager are licensed functionalities (for example).
Location of the license manager.  In distributed environments, it's common to have a lone search head acting as the license manager as well. In this configuration, providing the URI of the license manager is easiest within the indexer_base configuration.In the event that there are multiple search heads, you could instead use the org_all_license app, shipped to the non-license SH, as well as all of the indexers. In either event, the settings are the same.",,"YES!","YES!","YES!",,,"YES!","YES!","YES!",,,,,,YES,,YES,,,,,
"org_indexer_volume_indexes","5. Clustered Indexers and Non-clustered SHs (Multi Site)","Mate this with the volume: tags in use in org_all_indexes to define the indexer-specific storage location for the indexer nodes.
Defines the main filesystem path (volume) for use with the org_all_indexes app; can vary between indexers and search heads, hence a separate app.",,,,,,,,"YES!",,,,,,,,,,,,,,
"org_multisite_manager_base","5. Clustered Indexers and Non-clustered SHs (Multi Site)","Use this to enable multi-site functionality on the cluster manager. The replication policy is defined here. Like with org_cluster_manager_base, the pass4SymmKey should be changed.
The manager's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the manager sets the number of replicated copies for that index.",,,,,,,"YES!",,,,,,,,,,,,,,,
"org_search_volume_indexes","5. Clustered Indexers and Non-clustered SHs (Multi Site)","The volume: tags found in org_all_indexes must also be defined here (it's OK to use $SPLUNK_DB as the path) so that Splunk will start, but SH should not be indexing data locally (see org_all_forwarder_outputs).
Satisfy the “volume:primary” definition in the indexes app, but with a path suitable for the search head (and likely no volume limit, since it won’t index locally).",,"YES!",,"YES!",,,,,"YES!",,,,,,,,,,,,,
"org_site_n_indexer_base","5. Clustered Indexers and Non-clustered SHs (Multi Site)","Provide this (hand carry) to an indexer node in a multi-site cluster in order to set the site number for this host.
This app is expected to be layered on top of org_cluster_indexer_base; the settings there establish the general relationship with the manager and set up clustered indexing behavior. This is another layer to provide the site number of the host, and to indicate that the clustering should be of the multi-site variety.
This app cannot be shipped via the manager-apps mechanism; it would make all sites the same. Place it in apps on the affected indexer.  This can have a value ranging from site1..site63.  The numbers do *not* have to go in order, the first logical site can be site8, the second site12, all that matters is that the site number falls in the right range, and that when specific site names are used in the site_replication_factor of the manager's config, there must be a valid match.",,,,,,"YES!",,,,,,,,,,,,,,,,
"TA-org_splunk","6. Clustered Indexers and Clustered SHs (Multi Site)","TA for search heads, indexers, and every full instance of Splunk including Heavy Forwarders
This TA provides props to enhance and correct Splunk related warnings and errors in large environments.  Many splunk generated log messages exceed default 10,000 truncation setting.",,"YES!","YES!","YES!","YES!",,"YES!","YES!","YES!","YES!",,"YES!",,,YES,,YES,,,,,
"org_all_app_props","6. Clustered Indexers and Clustered SHs (Multi Site)","Sample app for props to highlight some ""greatest hits"" of recipes that might be needed in your deployment. Start your own per each sourcetype by cloning the org_APP_TEMPLATE.
The name of this application is org_all_app_props - this assumes the application log files are the same across all departments.  If each department has their own format you should name the application org_dept_app_props like the coordinating _inputs configuration bundle.",,,,"YES!",,,,"YES!",,,,"YES!",,,YES,,YES,,YES,,YES,
"org_all_deploymentclient","6. Clustered Indexers and Clustered SHs (Multi Site)","Use this if the deployment server is in play to manage configurations.
(*) Indexers that are part of a clustered deployment should NOT be deployment clients.",,,,"YES!",,,,,,,,,,"YES!",,"YES!",,"YES!",,"YES!",,
"org_all_indexes","6. Clustered Indexers and Clustered SHs (Multi Site)","Put all customer (and default) indexes here.
Index definitions",,,,,,,,"YES!",,,,"YES!",,,,,,,,,,
"org_all_search_base","6. Clustered Indexers and Clustered SHs (Multi Site)","If you link to LDAP (AD) for authentication, the templates are here.
Base functionality for a search head; this includes LDAP authentication, custom roles (authorize.conf) and a choice to make the web interface use SSL (web.conf)","YES!","YES!","YES!","YES!",,,"YES!",,,,,"YES!",,,YES,,YES,,,,,
"org_all_syslog_inputs","6. Clustered Indexers and Clustered SHs (Multi Site)",,,,,"YES!",,,,,,,,,,,YES,,,,YES,,,
"org_all_unix_inputs","6. Clustered Indexers and Clustered SHs (Multi Site)",,,,,"YES!",,,,,,,,,,,,,,,YES,,,
"org_all_windows_inputs","6. Clustered Indexers and Clustered SHs (Multi Site)",,,,,"YES!",,,,,,,,,,,,,,,,,YES,
"org_cluster_forwarder_outputs","6. Clustered Indexers and Clustered SHs (Multi Site)","If the customer has strict requirements about data integrity, this app layers on with org_all_forwarder_outputs to increase the size of the output queue and set the ""useAck"" flag.
Forward all data to the primary_indexers group of Indexers
Use splunk list forwarder-server after applying with indexer discovery enabled to make sure all indexers are listed",,"YES!","YES!","YES!",,,"YES!",,"YES!","YES!",,"YES!",,,YES,,YES,,YES,,YES,
"org_cluster_indexer_base","6. Clustered Indexers and Clustered SHs (Multi Site)","This primes the indexer to act as an indexing member of a cluster. The location of the manager and its pass4SymmKey must be provided. This app will be hand-carried to the indexer's $SPLUNK_HOME/apps.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,"YES!",,,,,,,,,,,,,,,,
"org_cluster_manager_base","6. Clustered Indexers and Clustered SHs (Multi Site)","This small app enables the cluster manager functionality for that host. Use this to define the pass4SymmKey to grant membership in the cluster (a host applying to the cluster (IDX or SH)) must have the matching password. You must change this away from the default so that rogue hosts cannot join the cluster.
In clustered environments, all searches are brokered by the cluster manager (cf. org_cluster_search_base). This means that connecting directly to an indexer to perform a search is ill advised (and may get inconsistent results). Further, the configuration of a clustered indexer is managed by the manager itself (apply cluster-bundle), so this is another reason to disable the Splunk UI.",,,,,,,"YES!",,,,,,,,,,,,,,,
"org_cluster_search_base","6. Clustered Indexers and Clustered SHs (Multi Site)","Clustered search is not the same configuration (distsearch.conf) as ordinary search; a SH may search distinct clusters, they would list the URI of the each cluster manager.  This app will be hand-carried to the search head's $SPLUNK_HOME/apps.
The manager's clustering configuration sets the default values for replication factor and search factor. The replication factor setting here couples with the 'repFactor = auto' setting on an index. When the index's repFactor is auto (rather than a number), the default replication_factor set by the manager sets the number of replicated copies for that index.",,"YES!",,,,,,,"YES!",,"YES!",,,,,,,,,,,
