Index,Component,Sub_Component,Field_Display_Name,Field_Name,Default,Field_Description
Search job inspector,Execution costs of search commands,command.search,,filter,,"tells how long it took to filter out events that do not match, for example fields and phrases.
This represents the amount of work done (time spent) to throw events away;
the gist is ""the index led me here, but the event doesn't match the search string"".
A lot of time spent here usually goes hand in hand with scanCount >> eventCount"
Search job inspector,Execution costs of dispatched searches,dispatch,,finalWriteToDisk,,
Introspection,hostwide,,Cumulative number of forked processes since OS startup,forks,Access host-level dynamic CPU utilization and paging information.,Cumulative number of forked processes since OS startup. Not available on Windows.
Introspection,iostats,,Mounted device file system type,fs_type,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.",Mounted device file system type.
REST,Authorization,Roles,Grantable Roles,grantable_roles,,
Search job inspector,Execution costs of dispatched searches,startup,,handoff,,"The time elapsed between the forking of a separate search process and the beginning of useful work of the forked search processes. In other words it is the approximate time it takes to build the search apparatus. This is cumulative across all involved peers. If this takes a long time, it could be indicative of I/O issues with .conf files or the dispatch directory."
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,ifields,,
Search job inspector,Execution costs of search commands,command,,ifields,,
REST,Authorization,Roles,Inherited Capabilities,imported_capabilities,,List of capabilities assigned to role made available from imported roles.
REST,Authorization,Roles,Inherited Roles,imported_roles,,"List of imported roles for this role. Importing other roles imports all aspects of that role, such as capabilities and allowed indexes to search. In combining multiple roles, the effective value for each attribute is value with the broadest permissions."
REST,Authorization,Roles,Inherited User-level Concurrent Real-Time Search job limit,imported_rtSrchJobsQuota,,"The maximum number of concurrent real time search jobs for this role. This count is independent from the normal search jobs limit.
imported_rtSrchJObsQuota specifies the quota imported from other roles."
REST,Authorization,Roles,Inherited Total Search job disk quota,imported_srchDiskQuota,,"The maximum disk space in MB that can be used by a user's search jobs. For example, 100 limits this role to 100 MB total.
imported_srchDiskQuota specifies the quota for this role that have imported from other roles."
REST,Authorization,Roles,Inherited Restrictions for Search terms,imported_srchFilter,,"Search string, imported from other roles, that restricts the scope of searches run by this role.
Search results for this role only show events that also match this search string.
When a user has multiple roles with different search filters, they are combined with an OR."
REST,Authorization,Roles,Inherited Allowed Indexes List,imported_srchIndexesAllowed,,"A list of indexes, imported from other roles, this role has permissions to search."
REST,Authorization,Roles,Inherited Indexes Searched By Default,imported_srchIndexesDefault,,"A list of indexes, imported from other roles, that this role defaults to when no index is specified in a search."
REST,Authorization,Roles,Inherited User-level Concurrent search job limit,imported_srchJobsQuota,,The maximum number of historical searches for this role that are imported from other roles.
REST,Authorization,Roles,Inherited Restrictions for Search time range,imported_srchTimeWin,,"Maximum time span of a search, in seconds. 0 indicates searches are not limited to any specific time window.
imported_srchTimeWin specifies the limit from imported roles."
REST,HEC,,String,index,,Index to store generated events.
Search job inspector,Execution costs of search commands,command.search,,index.<...>,,"tells how long it took to look into the TSIDX files for the location to read in the raw data. This is the time spent identifying, from the tokens in the base search, what events to retrieve.
How much time was spent looking in the index files? A high proportion in the
""infinite time"" bucket (usec_2624544_INF) can indicate either a needle-in-haystack
search, or IO starvation."
Search job inspector,Search job properties,,,indexEarliestTime,,
General Help,,,,Indexed real-time search,,"aka ""rt indexed""
Use indexed real-time search when up-to-the-second accuracy is not needed"
REST,HEC,,String,indexes,,Set of indexes allowed for events with this token.
Search job inspector,Search job properties,,,indexLatestTime,,
_audit,audittrail,,Info,info,,The status of the search.
CIM,,,,info,,"The action of the search (granted, completed, cancelled, failed)."
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,inputlookup,,
Search job inspector,Execution costs of search commands,command,,inputlookup,,
Introspection,iostats,,"Interval over which sampling occurred, in seconds",interval,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.","Interval over which sampling occurred, in seconds."
CIM,,,,is_inprogress,,Indicates whether the data model acceleration is currently in progress.
_audit,audittrail,,IS Realtime,is_realtime,,Indicates whether the search was real-time (1) or historical (0).
Search job inspector,Search job properties,,,isBatchMode,,Indicates whether or not the search in running in batch mode. This applies only to searches that include transforming commands.
Search job inspector,Search job properties,,,isBatchModeSearch,,
Search job inspector,Search job properties,,,isDone,,Indicates if the search has completed.
Search job inspector,Search job properties,,,isEventsPreviewEnabled,,
Search job inspector,Search job properties,,,isFailed,,"Indicates if there was a fatal error executing the search. For example, if the search string had invalid syntax."
Search job inspector,Search job properties,,,isFinalized,,Indicates if the search was finalized (stopped before completion).
Search job inspector,Search job properties,,,isPaused,,Indicates if the search has been paused.
Search job inspector,Search job properties,,,isPreviewEnabled,,Indicates if previews are enabled.
Search job inspector,Search job properties,,,isRealTimeSearch,,Indicates if the search is a real time search.
Search job inspector,Search job properties,,,isRemoteTimeline,,Indicates if the remote timeline feature is enabled.
Search job inspector,Search job properties,,,isSaved,,"Indicates that the search job is saved, storing search artifacts on disk for 7 days from the last time that the job has been viewed or touched. Add or edit the default_save_ttl value in limits.conf to override the default value of 7 days."
Search job inspector,Search job properties,,,isSavedSearch,,Indicates if this is a saved search run using the scheduler.
Search job inspector,Search job properties,,,isTimeCursored,,Specifies if the cursorTime can be trusted or not. Typically this parameter it set to true if the first command is search.
Search job inspector,Search job properties,,,isZombie,,"Indicates if the process running the search is dead, but with the search not finished."
Search job inspector,Search job properties,,,keywords,,All positive keywords used by this search. A positive keyword is a keyword that is not in a NOT clause.
Search job inspector,Execution costs of search commands,command.search,,kv,,"tells how long it took to apply field extractions to the events.command.
Performing KV extractions on the data. Cumulative across REPORT, EXTRACT,KV_MODE, AUTO_KV_JSON, etc."
Search job inspector,Execution costs of search commands,command.search.expand_search,,kv,,
_introspection,splunk_resource_usage,data.search_props,Savedsearch Name,label,,Human-readable label for the saved search.
Introspection,PerProcess,,Human-readable label for the saved search,label,Access operating system resource utilization information.,Human-readable label for the saved search.
Search job inspector,Search job properties,,,label,,Custom name created for this search.
CIM,,,,last_error,,The text of the last error reported during the data model acceleration.
CIM,,,,last_sid,,The search id of the last acceleration attempt.
Identities,,,,last_successful_login,,Employee Last Successful Login
CIM,,,,latest,,The most recent acceleration timestamp of the data model.
Search job inspector,Search job properties,,,latestTime,,The latest time a search job is configured to start. Can be used to indicate progress. See description for doneProgress.
Identities,,,,ldap_group_name,,Employee Active Directory Group Name
Identities,,,,ldap_group_type,,Employee Active Directory Group Type
Search job inspector,Execution costs of dispatched searches,dispatch.stream,,local,,"The time spent by search head on the streaming part of the search.
Time spent to retrieve data from the local event store."
Search job inspector,Execution costs of dispatched searches,dispatch,,localSearch,,
Identities,,,,locked-out,,Employee Lockout Status
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,lookup,,
Search job inspector,Execution costs of search commands,command.search.expand_search,,lookup,,
Search job inspector,Search job properties,command,,lookup,,
Search job inspector,Execution costs of search commands,command.search,,lookups,,"tells how long it took to create new fields based on existing fields (perform field lookups).
TIme spent looking up fields in automatic or explicit lookups."
savedsearches.conf,,,,max_concurrent,,"max_concurrent = <unsigned integer>
* The maximum number of concurrent instances of this search that the scheduler is allowed to run.
* Default: 1"
REST,HEC,,Number,maxSockets,0,Maximum number of simultaneous HTTP connections accepted. Adjusting this value may cause server performance issues and is not generally recommended. Possible values for this setting vary by OS.
REST,HEC,,Number,maxThreads,0,Maximum number of threads that can be used by active HTTP transactions. Adjusting this value may cause server performance issues and is not generally recommended. Possible values for this setting vary by OS.
Introspection,hostwide,,Total physical memory available (MB),mem,Access host-level dynamic CPU utilization and paging information.,Total physical memory available (MB)
_introspection,splunk_resource_usage,,,mem_unshared_data_used,,Amount of heap and stack used. Not available on Windows. Extra field.
Introspection,PerProcess,,Amount of heap and stack used,mem_unshared_data_used,Access operating system resource utilization information.,Amount of heap and stack used. Not available on Windows. Extra field.
Introspection,hostwide,,Total physical memory used (MB),mem_used,Access host-level dynamic CPU utilization and paging information.,"Total physical memory used (MB). This value represents the amount of actual physical memory minus the amount of physical memory currently available. This is the amount of physical memory that can be immediately reused without having to first write its contents to disk.  On Unix, mem_used = total_phys_ram - (free_mem + buffer_mem + cached_mem + slab_reclaimable)  On Windows, mem_used = (memoryStatus.ullTotalPhys - memoryStatus.ullAvailPhys) See GlobalMemoryStatusEx function for more information."
_introspection,splunk_resource_usage,data,Memory Used,mem_used,,"Current amount of resident physical memory used (KB). (Usually far less deceiving than virtual memory because operating systems can be liberal with virtual memory size but never with resident memory size.) On Windows, mem_used is obtained by reading the WorkingSetSize property returned by the GetProcessMemoryInfo() function (see GetProcessMemoryInfo function and PROCESS_MEMORY_COUNTERS structure)."
Introspection,hostwide,,Cumulative CPU Usage,cpu_total_pct,,Cumulative CPU Usage
Introspection,PerProcess,,Current amount of resident physical memory used (KB),mem_used,Access operating system resource utilization information.,"Current amount of resident physical memory used (KB). (Usually far less deceiving than virtual memory because operating systems can be liberal with virtual memory size but never with resident memory size.) On Windows, mem_used is obtained by reading the WorkingSetSize property returned by the GetProcessMemoryInfo() function (see GetProcessMemoryInfo function and PROCESS_MEMORY_COUNTERS structure)."
Search job inspector,Search job properties,,,messages,,Errors and debug messages.
CIM,,,,mod_time,,The timestamp of the most recent modification to the data model acceleration.
_introspection,splunk_resource_usage,data.search_props,Search Mode,mode,,"One of the following search modes.
historical
historical batch (can be dispatched only by certain facilities within Splunk Enterprise (the scheduler, for example)
RT (Real-time search, searches the indexing pipeline before events are indexed)
RT indexed (indexed Realtime mode, is a historical search that continually updates its event set as the  new events appear on disk)



Batch mode searches are designed to search and return event data by bucket, instead of by time. By adding more batch search pipelines, multiple buckets are processed simultaneously, speeding the return of search results. Customers leveraging batch mode search parallelization can see a doubling of speed in returning batch mode search results."
Search job inspector,Search job properties,,,modifiedTime,,
Introspection,iostats,,Mount point(s) of the underlying device,mount_point,"Access the most recent disk I/O statistics for each disk. This endpoint is currently supported for Linux, Windows, and Solaris. By default this endpoint is updated every 60s seconds.",Mount point(s) of the underlying device.
REST,HEC,,String,name,,Token name (inputs.conf key)
savedsearches.conf,,,,next_scheduled_time,,
Search job inspector,Search job properties,command,,noop,,
Introspection,hostwide,,Normalized load average of runnable_process_count across all cores (cumulative_load_avg / number_of_cores). This value is not reliable for a VM guest.,normalized_load_avg_1min,Access host-level dynamic CPU utilization and paging information.,Normalized load average of runnable_process_count across all cores (cumulative_load_avg / number_of_cores). This value is not reliable for a VM guest.
Introspection,PerProcess,,Percentage of CPU usage across all cores. 100% is equivalent to all CPU resources on the machine,normalized_pct_cpu,Access operating system resource utilization information.,Percentage of CPU usage across all cores. 100% is equivalent to all CPU resources on the machine.
_introspection,splunk_resource_usage,data,Normalized CPU %,normalized_pct_cpu,,Percentage of CPU usage across all cores. 100% is equivalent to all CPU resources on the machine.
Search job inspector,Search job properties,,,normalizedSearch,,"Ultra-­‐verbose stage of search assembly
When you use the search or where command in a search string, the SPL processor might reorder the expression statement that follows the command for normalization purposes. The SPL processor applies two kinds of normalization logic to search strings: predicate flip and predicate sort.
For more information about predicates and predicate-based search optimization, see Built-in optimization.
Use the Job Inspector to see the results of search normalization and optimization. See Analyze search optimizations.
The search string, as interpreted by the parser. This includes reverse lookups from enrichment, tags, eventtypes, etc"
Search job inspector,Search job properties,,,numPreviews,,Number of previews that have been generated so far for this search job.
Search job inspector,Search job properties,,,optimizedSearch,,"The restructured syntax for the search that was run. The built-in optimizers analyze your search and restructure the search syntax, where possible, to improve search performance. The search that you ran is displayed under the search job property."
CIM,,,,orig_rid,,"The rid value of a source action result, automatically added to an event if it is the product of a previously executed action."
CIM,,,,orig_sid,,"The original sid value of a source action, automatically added to an event if it is the product of a previously executed action."
Introspection,hostwide,,Software build for the os_version,os_build,Access host-level dynamic CPU utilization and paging information.,Software build for the os_version
Introspection,hostwide,,Operating system name,os_name,Access host-level dynamic CPU utilization and paging information.,Operating system name
Introspection,hostwide,,Extended operating system name,os_name_ext,Access host-level dynamic CPU utilization and paging information.,Extended operating system name
Introspection,hostwide,,Operating system version,os_version,Access host-level dynamic CPU utilization and paging information.,Operating system version
Search job inspector,Execution costs of dispatched searches,dispatch.evaluate,,outputlookup,,
Search job inspector,Execution costs of search commands,command,,outputlookup,,
_introspection,splunk_resource_usage,data,Page Faults,page_faults,,Number of major page faults. Extra field.
Introspection,PerProcess,,Number of major page faults,page_faults,Access operating system resource utilization information.,Number of major page faults. Extra field.
Introspection,PerProcess,,"Percentage of CPU usage, relative to one core. 100% is equivalent to 1 core",pct_cpu,Access operating system resource utilization information.,"Percentage of CPU usage, relative to one core. 100% is equivalent to 1 core."
