"srch_num","srch_nme","srch_tag","srch_cat","srch_des","srch_str","srch_sts"
"IA4S-011","Dashboard Accessed in the last (30) Days",health,Dashboards,"Dashboard Accessed in the last (30) Days","`setup_summary_index_list` source=splunk_internal_web_access_idx_summary_tracker earliest=-30d
| fields _time, shcluster_label, Splunk_Instance, app, view, user, spent, bytes, sid, useragent , emp_* 
| `get_dashboards_info(shcluster_label,app,view)` 
| stats 
    Values(user) As Users
    latest(*) as *
    latest(_time) As _time 
    By shcluster_label app view 
| `ustime_format(Latest_Access)` 
| `get_useragent(useragent)` 
| eval label=if(isnull(label), view, label) 
| table _time, shcluster_label, Splunk_Instance, app, label, view, user, spent, bytes, browser_name, browser_version, emp_*",
"IA4S-012","New Dashboards Created or Updated in the last (7) Days","changes,dashboards,health",Dashboards,"New Dashboards Created or Updated in the last (7) Days","`setup_summary_index_list` source=splunk_rest_data_ui_views_sh_summary_data earliest=-24h
| eval time_diff=now()-updated 
| eval Days_Latest_Access=7*24*60*60 
| where time_diff < Days_Latest_Access",
"IA4S-013","Splunk Knowledge Objects that has been created or updated in the last (30) Days","changes,health",Dashboards,"Splunk Knowledge Objects that has been created or updated in the last (30) Days","`setup_summary_index_list`  search_name IN (splunk_rest_*) NOT author IN (system, admin, splunk-system-user) updated=* app!=insights_app_splunk earliest=-30d 
| eval time_diff = now() - updated 
| eval Days_Latest_Access = 30*24*60*60 
| where time_diff < Days_Latest_Access 
| `get_ko_type` 
| eval title = case (
    source=""splunk_rest_admin_lookup_table_files_sh_summary_data"", Filename,
    source=""splunk_rest_admin_transforms_lookup_sh_summary_data"", Lookup,
    source=""splunk_rest_saved_searches_sh_summary_data"", savedsearch_name,
    source=""splunk_rest_data_props_calcfields_sh_summary_data"", name,
    match(search_name, ""splunk_rest_data_props_fieldaliases_sh_summary_data|splunk_rest_data_props_extractions_sh_summary_data|splunk_rest_data_props_lookups_sh_summary_data""), attribute,
    true(), title) 
| stats 
    Latest(updated) As updated 
    Latest(time_diff) As time_diff
    earliest(sharing) AS start_share
    latest(sharing) AS end_share
    dc(sharing) AS share_states
    latest(*) as *
    count by shcluster_label Knowledge_Object_Type app author title 
| eval sharing=end_share, sharing_change=if(share_states>1, ""From "". start_share ."" to "". end_share, ""No change""), sharing_change=if(start_share=end_share, ""No change"", sharing_change) 
| `strftime_format(updated)` 
| `convert_runtime(time_diff)` 
| table shcluster_label Knowledge_Object_Type title app sharing sharing_change author emp_name emp_title emp_dep emp_lob1 emp_type emp_status updated time_diff 
| `rename_identity_fields` 
| `rename_common_fields` 
| rename Knowledge_Object_Type As ""Knowledge Object Type"", title As ""Knowledge Object Name"" app As app updated As ""Knowledge Object Update Time"" time_diff As ""Updated in the last"" author As user, sharing_change AS ""Sharing Change""",
"IA4S-014","Jobs not written using | tstats","es,health","Scheduled_Jobs","Jobs not written using | tstats","`setup_summary_index_list`  source IN (splunk_rest_saved_searches_sh_summary_data) app!=insights_app_splunk disabled=""0"" AND is_scheduled=""1"" AND shcluster_label=""*"" AND savedsearch_search!=""| tstats *"" 
| eval updated_human=updated
| convert ctime(updated_human)
| table shcluster_label app sharing savedsearch_name savedsearch_type author emp_name updated updated_human cron_schedule realtime_schedule schedule_priority schedule_window allow_skew savedsearch_search",
"IA4S-015","Jobs that outputs to a summary index",health,"Scheduled_Jobs","we need to decrease the dispatch earliest time according to the schedule. For example: if the job runs 3 times per day, set the earliest time to -9h@h and the reason we added an additional hour is so we don't miss any event although this will cause duplicates.  If the job is business critical increase earliest to a maximum of -24h@h","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup 
| makemv delim="","" actions 
| search shcluster_label=""*"" disabled=0 is_scheduled=1 AND (savedsearch_search=""* | *collect *"" OR actions=""*summary*"") 
| `strftime_format(updated)` 
| `strftime_format(next_scheduled_time)` 
| `get_identity_info(author)` 
| table shcluster_label author emp_name app sharing savedsearch_name updated savedsearch_type dispatch_earliest_time dispatch_latest_time cron_schedule next_scheduled_time actions summary_index_name savedsearch_search",
"IA4S-016","Jobs failed with stats including failure reasons and user info","errors,health","Scheduled_Jobs","Jobs failed with stats including failure reasons and user info","| tstats SUMMARIESONLY=TRUE ALLOW_OLD_SUMMARIES=FALSE
    count As Num_Failures
    Max(Search_Activity.Audit_Search.event_count) AS event_count 
    Max(Search_Activity.Audit_Search.dispatch_time1) AS dispatch_time 
    Max(Search_Activity.Audit_Search.exec_time) AS exec_time 
    Max(Search_Activity.Audit_Search.scan_count1) AS scan_count 
    Max(Search_Activity.Audit_Search.search_et) AS search_et 
    Max(Search_Activity.Audit_Search.search_startup_time) AS search_startup_time 
    Max(Search_Activity.Audit_Search.searched_buckets) AS searched_buckets 
    Max(Search_Activity.Audit_Search.total_run_time1) AS total_run_time 
    Latest(Search_Activity.Audit_Search.search_lt) AS search_lt 
    Latest(Search_Activity.Audit_Search.search_id1) AS search_id 
    values(Search_Activity.Audit_Search.emp_name1) As emp_name
    FROM DataModel=IA4S
    WHERE nodename=Search_Activity.Audit_Search
    index=_audit
    AND Search_Activity.Audit_Search.search_type1 = ""scheduled""
    AND Search_Activity.Audit_Search.info1 = ""failed""
    BY host Search_Activity.Audit_Search.savedsearch_name1 Search_Activity.Audit_Search.user1 
| `drop_dm_object_name(Search_Activity.Audit_Search)` 
| rename user1 As user, savedsearch_name1 As savedsearch_name 
| `get_shcluster_label(host)` 
| `get_normalized_search_id(search_id)` 
| fields shcluster_label search_id_normalized user savedsearch_name event_count dispatch_time exec_time scan_count search_et search_lt search_startup_time searched_buckets total_run_time Num_Failures emp_name 
| `ustime_format(search_et)` 
| `ustime_format(search_lt)` 
| `ustime_format(exec_time)` 
| `ustime_format(dispatch_time)` 
| `get_saved_searches_info(shcluster_label,savedsearch_name)` 
| eval total_run_time_human=total_run_time 
| `convert_runtime(total_run_time_human)` 
| stats sum(Num_Failures) As Num_Failures Max(*) as * by shcluster_label savedsearch_name 
| table shcluster_label user emp_name email savedsearch_name Num_Failures total_run_time total_run_time_human searched_buckets scan_count event_count dispatch_time exec_time search_et search_lt search_startup_time error_messages savedsearch_name",
"IA4S-017","Jobs running for > 1h as the maximum run time over the last 7 days","health,longrunning","Scheduled_Jobs","Jobs running for > 1h as the maximum run time over the last 7 days","`setup_summary_index_list` source=splunk_internal_scheduler_jobs_idx_summary_tracker earliest=-7d@d 
| table _time Splunk_Instance app user savedsearch_name Scheduled_Time Dispatch_Time Priority Window_Time total_run_time result_count emp_* 
| `get_shcluster_label(Splunk_Instance)` 
| stats 
    Min(total_run_time) As MinRun_Time
    Max(total_run_time) As MaxRun_Time
    Avg(total_run_time) As AvgRun_Time
    Max(result_count) as Maxresult_count
    dc(_time) as Number_of_Executions
    Latest(_time) As _time
    latest(*) as *
    By shcluster_label app user savedsearch_name 
| eval MinRun_Time=round(MinRun_Time,2), MaxRun_Time=round(MaxRun_Time,2), AvgRun_Time=round(AvgRun_Time,2) , MaxRun_Time_Human=MaxRun_Time 
| eval Total_Run_Time = Number_of_Executions * MaxRun_Time , Total_Run_Time_Human=Total_Run_Time 
| `get_saved_searches_info(shcluster_label,app,savedsearch_name)` 
| `convert_runtime(MaxRun_Time_Human)` 
| `convert_runtime(Total_Run_Time_Human)` 
| `ustime_format(updated)` 
| sort 0 - MaxRun_Time 
| where MaxRun_Time > 1800 
| table _time shcluster_label app user emp_name email savedsearch_name updated cron_schedule dispatch_earliest_time dispatch_latest_time realtime_schedule schedule_priority schedule_window allow_skew MaxRun_Time_Human MaxRun_Time AvgRun_Time MinRun_Time Maxresult_count Number_of_Executions Total_Run_Time Total_Run_Time_Human savedsearch_search",
"IA4S-018","Report on lookup file size in MB by cluster","health,knowledge_bundle",Lookups,"Report on lookup file size in MB by cluster","index=_audit isdir=0 size lookups action=update OR action=created OR action=modified OR action=add NOT action=search path=""*/lookups/*"" NOT path IN (""*/lookups/README*"") 
| where isnotnull(size) 
| `get_cluster_label(host)` 
| stats Latest(size) As size by cluster_label file_name path 
| rex field=path ""/opt/splunk/etc/(apps|peer-apps)/(?<app1>.*?)/"" 
| rex field=path ""/opt/splunk/etc/users/(?<app2>.*?)/"" 
| rex field=path ""/opt/splunk/etc/shcluster/apps/(?<app3>.*?)/"" 
| eval app=coalesce(app1,app2,app3) 
| `byte2human(size,3)` 
| table cluster_label file_name path app size size_MB",
"IA4S-019","Report on Search Head Memory %, CPU % And Load Average","alerts,health,performance",Infrastructure,"Report on Search Head Memory %, CPU % And Load Average","| tstats
  Max(data.cpu_system_pct) As cpu_system_pct
    Max(data.cpu_user_pct) As cpu_user_pct 
    Max(data.cpu_idle_pct) As cpu_idle_pct
    Max(data.forks) As forks
    Max(data.runnable_process_count) As runnable_process_count
    Max(data.mem_used) As mem_used_mb
    Max(data.cpu_count) As cpu_count
    Max(data.mem) As physical_mem_mb
    Max(data.pg_swapped_out) As pg_swapped_out
    Max(data.normalized_load_avg_1min) As normalized_load_avg_1min
    Max(data.swap) As swap
    Max(data.pg_paged_out) As pg_paged_out
    Max(data.swap_used) As swap_used
    Max(data.virtual_cpu_count) As virtual_cpu_count
    Latest(data.cpu_arch) As cpu_arch
    Latest(data.os_build) As os_build
    Latest(data.os_name) As os_name
    Latest(data.os_name_ext) As os_name_ext
    Latest(data.os_version) As os_version
    Latest(_time) As _time
    Where index=_introspection sourcetype=splunk_resource_usage component=Hostwide
    `setup_all_servers_search`
    By host 
| `drop_dm_object_name(data)` 
| `get_cluster_label(host)` 
| eval cpu_total_pct = cpu_user_pct + cpu_system_pct , mem_used_gb = round(mem_used_mb / 1024, 2) , mem_used_perc = round(mem_used_mb / physical_mem_mb * 100 , 2) , physical_mem_gb = ceiling(physical_mem_mb / 1024) 
| table cluster_label host normalized_load_avg_1min cpu_total_pct physical_mem_gb mem_used_gb mem_used_perc",
"IA4S-020","Report on Search Head Memory %, CPU % and Memory Used by Cluster by App",health,Infrastructure,"Report on Search Head Memory %, CPU % and Memory Used by Cluster by App","| tstats P99(data.normalized_pct_cpu) As normalized_pct_cpu 
    P99(data.fd_used) As fd_used 
    P99(data.mem_used) As mem_used 
    P99(data.t_count) As t_count P99(data.elapsed) As total_run_time 
    P99(data.search_props.delta_scan_count) As delta_scan_count 
    P99(data.search_props.scan_count) As scan_count 
    P99(data.page_faults) As page_faults 
    P99(data.pct_cpu) As pct_cpu 
    P99(data.pct_memory) As pct_memory 
    P99(data.read_mb) As read_mb P99(data.written_mb) As written_mb 
    Latest(data.search_props.provenance) As provenance
    Latest(data.status) As status 
    Latest(data.search_props.search_head) As search_head 
    Latest(data.workload_pool) As workload_pool 
    Latest(data.workload_pool_cpu_shares) As workload_pool_cpu_shares 
    Latest(data.workload_pool_mem_limit) As workload_pool_mem_limit
    Latest(data.workload_pool_type) As workload_pool_type 
    Latest(data.search_props.label) As savedsearch_name 
    Latest(data.pid) As pid
    Latest(data.ppid) As ppid 
    Latest(data.search_props.role) As role
    Latest(_time) As _time 
    Where index=_introspection sourcetype=splunk_resource_usage component=PerProcess 
    data.process_type=search data.search_props.sid = ""remote_*"" 
    data.search_props.app IN (*)
    earliest=-1d@d latest=-0d@d
    By host data.search_props.sid data.search_props.mode data.search_props.type data.search_props.app data.search_props.user 
| `drop_dm_object_name(data.search_props)` 
| `drop_dm_object_name(data)` 
| `get_shcluster_label(search_head)` 
| `get_shcluster_label(host)` 
| timechart Max(normalized_pct_cpu) As normalized_pct_cpu Max(pct_memory) As pct_memory Max(mem_used) As mem_used span=5m",
"IA4S-021","Retrieves Dashboards Knowledge Objects Changes from the Insights App for Splunk Summary Index",changes,"Knowledge_Objects","Supported arguments: Reports_Alerts, Data_Models, Event_Types, Field_Aliases, Calculated_Fields, Field_Extractions, Field_Transformations, Lookup_Table_Files, Lookup_Definitions, Automatic_Lookups, Dashboards, Macros, Sourcetypes

(splunk_internal_splunkd_ui_access_ko_changes_idx_summary_tracker)","| from lookup:splunk_rest_data_ui_views_sh_kv_store_lookup
| fields shcluster_label,Splunk_Instance,app,sharing,title
| `get_ko_changes(shcluster_label,Dashboards,title,5)`",
"IA4S-022","Retrieves Reports Alerts Knowledge Objects Changes from the Insights App for Splunk Summary Index",changes,"Knowledge_Objects","Supported arguments: Reports_Alerts, Data_Models, Event_Types, Field_Aliases, Calculated_Fields, Field_Extractions, Field_Transformations, Lookup_Table_Files, Lookup_Definitions, Automatic_Lookups, Dashboards, Macros, Sourcetypes

(splunk_internal_splunkd_ui_access_ko_changes_idx_summary_tracker)","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup 
| fields shcluster_label,Splunk_Instance,app,sharing,savedsearch_name 
| `get_ko_changes(shcluster_label,Reports_Alerts,savedsearch_name,5)`",
"IA4S-023","How to create a tracking table","health,tracking","Scheduled_Jobs","Line 1: I am only retrieving 1-day worth of data not 30 days after I am done filtering Lines 2-5: I am using a transforming command so we can batch process the NEW data faster and calculating my earliest and my latest events in the dataset.Line 6: I am appending the table, so I don’t lose any older data Lines 7-10: I am using a transforming command so we can batch process ALL NEW & OLD data faster and calculating my earliest and my latest events in the dataset.Line 11: I am comparing against relative time, think of this as maintaining 30 days’ worth of data, if you need 1 day just use -1d, if you need 8 hours use -8h etc.Line 12: Output the lookup and make sure we don’t create an empty table by accident Line 13: Finish with stats count","index = ... sourcetype = ... field = ... earliest=-24h@h latest=+0s 
| stats
    Min(_time) As firstTime
    Max(_time) As lastTime
    By <splitby> 
| inputlookup append=True tracking-table 
| stats
    Min(firstTime) As firstTime
    Max(lastTime) As lastTime
    By <splitby> 
| where Strptime('lastTime', %s"") >= Relative_Time(Now(), ""-30d"") 
`ia4s_comment(""| outputlookup Override_If_Empty=False tracking-table 
| stats count "")`",
"IA4S-024","Jobs created using Dashboard Schedule PDF Delivery",health,Dashboards,"Jobs created using Dashboard Schedule PDF Delivery","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup 
| `get_identity_info(shcluster_label,author)` 
| `get_identity_info(author)` 
| `strftime_format(updated)` 
| makemv delim="","" actions 
| search disabled=""0"" is_scheduled=""1"" savedsearch_name=""_ScheduledView__*"" 
| table shcluster_label app action_email_pdfview sharing savedsearch_name description updated author managedBy emp_name cron_schedule actions email_to 
| lookup splunk_rest_data_ui_views_sh_kv_store_lookup shcluster_label title as action_email_pdfview OUTPUT search time_range dashboard_size num_panels panel_title",
"IA4S-025","Total Number of Buckets in a Cluster using  introspection against all Indexers","alerts,buckets,cloud,health","Indexer_Cluster","Total Number of Buckets in a Cluster using  introspection against all Indexers","| tstats 
    Max(data.total_bucket_count) as Total_Bucket_Count 
    Latest(_time) As _time
    Where index=_introspection sourcetype=splunk_disk_objects component=Indexes 
    data.total_bucket_count > 0
    earliest=-10m@m latest=now 
    `setup_indexer_search` 
    By host data.name 
| `drop_dm_object_name(data)` 
| `get_idxcluster_label(host)` 
| eventstats Sum(Total_Bucket_Count) As Index_Bucket_Count By name 
| eventstats Sum(Index_Bucket_Count) As Cluster_Bucket_Count 
| stats Max(Index_Bucket_Count) As Index_Bucket_Count Max(Cluster_Bucket_Count) As Cluster_Bucket_Count By idxcluster_label name 
| rename idxcluster_label As Cluster name As Index 
| table Cluster Index Index_Bucket_Count Cluster_Bucket_Count",
"IA4S-026","Total Number of Buckets in a Cluster using REST against all Indexers","buckets,health,onprem","Indexer_Cluster","Total Number of Buckets in a Cluster using REST against all Indexers","| rest /services/cluster/manager/peers splunk_server=CM1 timeout=0 
| stats sum(bucket_count) AS bucket_count_all 
| eval bucket_count = round(bucket_count_all / 1000 / 1000,2).""M""",
"IA4S-027","Lookup or Summary Indexing Generating Jobs outputting to lookups and may not end with stats count A",health,"Scheduled_Jobs","Lookup or Summary Indexing Generating Jobs outputting to lookups and may not end with stats count A","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup 
| search disabled=""0"" AND is_scheduled=""1"" AND shcluster_label=""*"" 
| search savedsearch_search IN (""*|*outputlookup *"", ""*|*collect *"") savedsearch_search!=""*|*stats count"" 
| `get_identity_info(author)` 
| where isnull(actions) AND summary_index!=1 AND populate_lookup=0 AND action_email=0 
| table shcluster_label app author emp_name emp_status emp_type emp_email savedsearch_name actions cron_schedule summary_index* *summ* webhook* pop* lookup* *mail*",
"IA4S-028","Lookup or Summary Indexing Generating Jobs outputting to lookups and may not end with stats count B",health,"Scheduled_Jobs","Adjust the heads command at the bottom to show the worst ones generating the most results however any job with stats count at the end should be fixed","`setup_summary_index_list` source=splunk_internal_scheduler_jobs_idx_summary_tracker earliest=-24h@h latest=-0h@h 
| `get_shcluster_label(Splunk_Instance)` 
| `get_saved_searches_info(shcluster_label,app,savedsearch_name)` 
| search savedsearch_search IN (""*|*outputlookup *"", ""*|*collect *"") savedsearch_search!=""*|*stats count"" 
| stats Max(Run_Time) as Max_Run_Time Avg(Run_Time) as Avg_Run_Time Min(Run_Time) As Min_Run_Time Min(result_count) As Min_result_count Max(result_count) As Max_result_count count As Num_Executions Latest(savedsearch_search) As savedsearch_search by shcluster_label app user savedsearch_name 
| eval Total_Max_Run_Time = Num_Executions * Max_Run_Time, Max_Run_Time_Human = Max_Run_Time, Total_Max_Run_Time_Human = Total_Max_Run_Time 
| `convert_runtime(Max_Run_Time_Human)` 
| `convert_runtime(Total_Max_Run_Time_Human)` 
| table shcluster_label app user savedsearch_name Min_Run_Time Avg_Run_Time Max_Run_Time Max_Run_Time_Human Min_result_count Max_result_count Num_Executions Total_Max_Run_Time Total_Max_Run_Time_Human savedsearch_search 
| eval savedsearch_name_encoded = savedsearch_name 
| rex field=savedsearch_name_encoded mode=sed ""s:%:%25:g s:\+:%2B:g s:\"":%22:g s:\(:%28:g s:\):%29:g s: :%20:g  s:<:%3C:g  s:>:%3E:g  s:#:%23:g  s:{:%7B:g  s:}:%7D:g  s:\|:%7C:g s:\\\:%5C:g  s:\^:%5E:g  s:~:%7E:g      s:\[:%5B:g  s:\]:%5D:g  s:\`:%60:g  s:;:%3B:g  s:/:%2F:g  s:\?:%3F:g  s/:/%3A/g  s:@:%40:g  s:=:%3D:g  s:&:%26:g  s:\$:%24:g  s:\!:%21:g  s:\*:%2A:g"" 
| eval Job_Uri = ""https://<stack>.splunkcloud.com/en-US/manager/"" . app . ""/saved/searches?app="" . app. ""&count=10&offset=0&itemType=&owner="" . user . ""&search="" . savedsearch_name_encoded 
| table shcluster_label app user savedsearch_name Min_Run_Time Avg_Run_Time Max_Run_Time Max_Run_Time_Human Min_result_count Max_result_count Num_Executions Total_Max_Run_Time Total_Max_Run_Time_Human Job_Uri savedsearch_search 
| sort 0 - Max_result_count",
