id,action,"activity_action","change_type",template
3001,created,"User Added Hash Exclusion",hash,"The management user {{ username }}  added / modified  {{ os_family | osFamilyFilter }} hash exclusion."
3002,created,"User Added Blocklist Hash",hash,"The management user {{ username }} added / modified {{ os_family | osFamilyFilter }} blocklist hash."
3003,unknown,unknown,unknown,unknown
3004,unknown,unknown,unknown,unknown
3005,created,"Cloud Added Hash Exclusion",mgmt,"Cloud added or modified {{ os_family | osFamilyFilter }} hash exclusion."
3006,created,"Cloud Added Blocklist Hash",mgmt,"Cloud added or modified {{ os_family | osFamilyFilter }} blocklist hash."
3007,unknown,unknown,unknown,unknown
3008,modified,"New Path Exclusion",mgmt,"The Management user {{username}} added the path {{value}} as an Exclusion for {{os_family}} on the {{scope_level}} {{scope_name}}"
3009,modified,"New Signer Identity Exclusion",mgmt,"The Management user {{username}} added the Signer Identity {{value}} as an Exclusion for {{os_family}} on the {{scope_level}} {{scope_name}}"
3010,modified,"New File Type Exclusion",mgmt,"The Management user {{username}} added the File Type {{value}} as an Exclusion for {{os_family}} on the {{scope_level}} {{scope_name}}"
3011,modified,"New Browser Type Exclusion",mgmt,"The Management user {{username}} added the Browser Type {{value}} as an Exclusion for {{os_family}} on the {{scope_level}} {{scope_name}}"
3012,modified,"Path Exclusion Modified",mgmt,"The Management user {{username}} modified the Path Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3013,modified,"Signer Identity Exclusion Modified",mgmt,"The Management user {{username}} modified the Signer Identity Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3014,modified,"File Type Exclusion Modified",mgmt,"The Management user {{username}} modified the File Type Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3015,modified,"Browser Type Exclusion Modified",mgmt,"The Management user {{username}} modified the Browser Type Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3016,deleted,"Path Exclusion Deleted",mgmt,"The Management user {{username}} deleted the Path Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3017,deleted,"Signer Identity Exclusion Deleted",mgmt,"The Management user {{username}} deleted the Signer Identity Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3018,deleted,"File Type Exclusion Deleted",mgmt,"The Management user {{username}} deleted the File Type Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3019,deleted,"Browser Type Exclusion Deleted",mgmt,"The Management user {{username}} deleted the Browser Type Exclusion {{value}} for {{os_family}} from the {{scope_level}} {{scope_name}}"
3020,deleted,"User Deleted Hash From Blocklist",hash,"The management user {{ username }} deleted the {{ os_family | osFamilyFilter }} blocklist hash"
3021,deleted,"User Deleted Hash Exclusion",hash,"The management user {{ username }} deleted the {{ os_family | osFamilyFilter }} hash exclusion."
3022,deleted,"Cloud Deleted Hash Exclusion",unknown,"Cloud deleted the {{ os_family | osFamilyFilter }} hash exclusion."
3023,deleted,"Cloud Deleted Blocklist Hash",hash,"Cloud deleted the {{ os_family | osFamilyFilter }} blocklist hash."
31,unknown,,unknown,
3100,created,"User Added Package",mgmt,"The management user {{ username }} added a {{ platform_type }} package  version {{ major_version }} - {{ minor_version }}, build number {{ version }} . The status of the package is {{ status }} file name: {{ file_name }}."
3101,modified,"User Modified Package",mgmt,"The management user {{ username }} has modified a {{ platform_type }} package  version {{ version }} and file {{ file_name }}."
3102,deleted,"User Deleted Package",mgmt,"The management user {{ username }} deleted a {{ platform_type }} package  version {{ major_version }} - {{ minor_version }}, build number {{ version }} . The status of the package was {{ status }} file name: {{ file_name }}."
3103,deleted,"Package Deleted By System - Too Many Packages",mgmt,"The management user {{ username }} deleted a {{ platform_type }} package  version {{ major_version }} - {{ minor_version }}, build number {{ version }} . The status of the package was {{ status }} file name: {{ file_name }}."
32,unknown,,unknown,
3200,started,"User Started Remote Shell",agent,"The management user {{ username }} initiated a remote shell command on {{ computer_name }} ({{ external_ip }}). Session ID: {{ channel_id }}"
3201,created,"Remote Shell Created",agent,"Remote shell session was created successfully on {{ computer_name }} ({{ external_ip }}). {% if channel_id %} Session ID: {{ channel_id }}{% else %}{% endif %}."
3202,modified,"Remote Shell Failed",agent,"Remote shell session failed on {{ computer_name }} ({{ external_ip }}). {% if channel_id %} Session ID: {{ channel_id }}{% else %}{% endif %}."
3203,deleted,"Remote Shell Terminated",agent,"Remote Shell session on {{ computer_name }} ({{ external_ip }}) was terminated. {% if channel_id %} Session ID: {{ channel_id }}{% else %}{% endif %}."
3204,deleted,"Remote Shell Terminated By User",agent,"Request to terminate remote shell with agent: {{ computer_name }} ({{ external_ip }}) was issued by user {{ username }}{% if channel_id %} Session ID: {{ channel_id }}{% else %}{% endif %}."
33,success,"User Logged Out",user,"The management user {{ username }} logged out of the management console."
34,modified,"Threat Unresolved",threat,"The management user {{ username }} marked {{ file_display_name }} as unresolved."
3400,modified,"Agent Uploaded Remote Shell history",agent,"{{ computer_name }} ({{ external_ip }}) successfully uploaded a Remote Shell session transcript to Activity page. File name: {{ uploaded_filename }}.{% if channel_id %} Session ID: {{ channel_id }}{% else %}{% endif %}.{% if is_default_password %} The password for the results zip file is the Session ID.{% elif scope_level_for_password == ""tenant"" %}The file is protected by the password set on Global scope.{% elif scope_name_for_password and scope_level_for_password %}The file is protected by the password set on {{scope_level_for_password}} {{scope_name_for_password}}.{% endif %}"
35,modified,"Verification email",user,"The management user {{ by_user }} sent an onboarding email to the user {{ username }}."
3500,modified,"User Toggled Ranger Status",mgmt,"The management user {{ username }} changed status of ranger for agent: {{ computer_name }} ({{ external_ip }}). Ranger is now {{ new_status }}."
3501,modified,"Ranger Settings Modified",mgmt,"The management user {{ username }} modified Ranger settings in {{scope_name}}. Modified the settings parameter {{ setting }} from {{ previous }} to {{ current }}"
3502,modified,"Ranger Network Settings Modified",mgmt,"The management user {{ username }} modified a Ranger Network setting in {{scope_name}}. Network details {{ network_name }}, External IP {{ gateway_external_ip }}, Gateway IP {{ gateway_ip }}, Gateway MAC Address {{ gateway_mac }}. Modified the Network settings parameter {{ setting }} from {{ previous }} to {{ current }}"
3503,modified,"Ranger - Inventory Scan Completed",mgmt,"Scan completed at {{ created_at | datetime }}.{%if total_new_devices > 0 %} New devices were found. {% endif %}"
3504,modified,"Networks discovered",mgmt,"new networks were discovered."
3505,modified,"Ranger - Devices Discovered",mgmt,"{{ Unsecured + Secured + Unsupported + Unknown }} new devices were discovered. Secured: {{ Secured }}, Unsecured: {{ Unsecured }}, Unsupported: {{ Unsupported }}, Unknown: {{ Unknown }}"
3506,modified,"Ranger - Device Review Modified",mgmt,"The management user {{ username }} updated Device Review on host {{ ip }} from {{ previous }} to {{ current }}"
3507,modified,"Ranger - Device Tag Modified On Host",mgmt,"The management user {{ username }} updated Device Tags on host {{ ip }} from {{ previous }} to {{ current }}"
3520,unknown,"Ranger Deploy - Master passphrase",ranger,"The Management user {{username}} was asked for a Ranger Deploy Master Passphrase for Credential Group {{cred_group_name}} and {{ ""replied correctly"" if success else ""failed to reply""}} at {{ created_at | datetime }}"
3521,started,"Ranger Deploy Initiated",ranger,"The Management user {{username}} initiated Ranger-deploy to {{ affected_devices }} target devices at {{ created_at | datetime }}"
3522,created,"Ranger Deploy - Credential Group Created",group,"The Management user {{username}} {{ action_name }} {{ name }} at {{ created_at | datetime }}"
3523,modified,"Ranger Deploy -Credential Group Edited",ranger,"The Management user {{username}} {{ action_name }} {{ name }} at {{ created_at | datetime }}"
3524,deleted,"Ranger Deploy - Credential Group Deleted",group,"The Management user {{username}} {{ action_name }} {{ name }} at {{ created_at | datetime }}"
3525,created,"Ranger Deploy - Credential Created",ranger,"The Management user {{username}} {{ action_name }} {{ name }} at {{ created_at | datetime }}"
3526,deleted,"Ranger Deploy - Credential Deleted",ranger,"The Management user {{username}} {{ action_name }} {{ name }} at {{ created_at | datetime }}"
