AVAYA_Called_Number,Country
001551*,"USA New Jersey"
001541*,"USA Oregon"
001540*,"USA Virginia"
001539*,"USA Oklahoma"
001534*,"USA Wisconsin"
001531*,"USA Nebraska"
001530*,"USA California"
001520*,"USA Arizona"
001519*,"Canada London"
001518*,"USA New York"
001517*,"USA Michigan"
001516*,"USA New York"
001515*,"USA Iowa"
001514*,"Canada Montreal"
001513*,"USA Ohio"
001512*,"USA Texas"
001510*,"USA California"
001509*,"USA Washington"
001508*,"USA Massachusetts"
001507*,"USA Minnesota"
001506*,"Canada St. John"
001505*,"USA New Mexico"
001504*,"USA Louisiana"
001503*,"USA Oregon"
001502*,"USA Kentucky"
001501*,"USA Arkansas"
001484*,"USA Pennsylvania"
001480*,"USA Arizona"
001479*,"USA Arkansas"
001478*,"USA Georgia"
001475*,"USA Connecticut"
001473*,"Grenade"
001470*,"USA Georgia"
001469*,"USA Texas"
001458*,"USA Oregon"
001450*,"Canada Terrebone"
001443*,"USA Maryland"
001442*,"USA California"
001441*,"Bermudes"
001440*,"USA Ohio"
001438*,"Canada Montreal"
001435*,"USA Utah"
001434*,"USA Virginia"
001432*,"USA Texas"
001430*,"USA Texas"
001425*,"USA Washington"
001424*,"USA California"
001423*,"USA Tennessee"
001419*,"USA Ohio"
001418*,"Canada Quebec City"
001417*,"USA Missouri"
001416*,"Canada Toronto"
001415*,"USA California"
001414*,"USA Wisconsin"
001413*,"USA Massachusetts"
001412*,"USA Pennsylvania"
001410*,"USA Maryland"
001409*,"USA Texas"
001408*,"USA California"
001407*,"USA Florida"
001406*,"USA Montana"
001405*,"USA Oklahoma"
001404*,"USA Georgia"
001403*,"Canada Calgary"
001402*,"USA Nebraska"
001401*,"USA Rhode Island"
001386*,"USA Florida"
001385*,"USA Utah"
001361*,"USA Texas"
001360*,"USA Washington"
001352*,"USA Florida"
001351*,"USA Massachusetts"
001347*,"USA New York"
001345*,"Cayman Islands"
001343*,"Canada Ottawa"
001340*,"Virgin Islands of the United States"
001339*,"USA Massachusetts"
001337*,"USA Louisiana"
001336*,"USA North Carolina"
001334*,"USA Alabama"
001331*,"USA Illinois"
001330*,"USA Ohio"
001325*,"USA Texas"
001323*,"USA California"
001321*,"USA Florida"
001320*,"USA Minnesota"
001319*,"USA Iowa"
001318*,"USA Louisiana"
001317*,"USA Indiana"
001316*,"USA Kansas"
001315*,"USA New York"
001314*,"USA Missouri"
001313*,"USA Michigan"
001312*,"USA Illinois"
001310*,"USA California"
001309*,"USA Illinois"
001308*,"USA Nebraska"
001307*,"USA Wyoming"
001306*,"Canada Saskatoon"
001305*,"USA Florida"
001304*,"USA West Virginia"
001303*,"USA Colorado"
001302*,"USA Delaware"
001301*,"USA Maryland"
001289*,"Canada Mississauga"
001284*,"British Virgin Islands"
001281*,"USA Texas"
001276*,"USA Virginia"
001270*,"USA Kentucky"
001269*,"USA Michigan"
001268*,"Antigua and Barbuda"
001267*,"USA Pennsylvania"
001264*,"Anguilla"
001262*,"USA Wisconsin"
001260*,"USA Indiana"
001256*,"USA Alabama"
001254*,"USA Texas"
001253*,"USA Washington"
001252*,"USA North Carolina"
001251*,"USA Alabama"
001250*,"Canada Victoria"
001249*,"Canada Sault Ste. Marie"
001248*,"USA Michigan"
001246*,"Barbade"
001242*,"Bahamas"
001240*,"USA Maryland"
001239*,"USA Florida"
001236*,"Canada Vancouver"
001234*,"USA Ohio"
001231*,"USA Michigan"
001229*,"USA Georgia"
001228*,"USA Mississippi"
001226*,"Canada London"
001225*,"USA Louisiana"
001224*,"USA Illinois"
001219*,"USA Indiana"
001218*,"USA Minnesota"
001217*,"USA Illinois"
001216*,"USA Ohio"
001215*,"USA Pennsylvania"
001214*,"USA Texas"
001213*,"USA California"
001212*,"USA New York"
001210*,"USA Texas"
001209*,"USA California"
001208*,"USA Idaho"
001207*,"USA Maine"
001206*,"USA Washington"
001205*,"USA Alabama"
001204*,"Canada Winnipeg"
001203*,"USA Connecticut"
001201*,"USA New Jersey"
00998*,"Uzbekistan"
00996*,"Kyrgyzstan"
00995*,"Georgia"
00994*,"Azerbaijan"
00993*,"Turkmenistan"
00992*,"Tajikistan"
00977*,"Nepal"
00976*,"Mongolia"
00975*,"Bhutan"
00974*,"Qatar"
00973*,"Bahrain"
00972*,"Israel"
00971*,"United Arab Emirates"
00970*,"Palestine (reserved)"
00968*,"Oman"
00967*,"Yemen"
00966*,"Saudi Arabia"
00965*,"Kuwait"
00964*,"Iraq"
00963*,"Syria"
00962*,"Jordan"
00961*,"Lebanon"
00960*,"Maldives"
00886*,"Taiwan ( Republic of China)"
00881*,"Global mobile satellite system GMSS"
00880*,"Bangladesh"
00856*,"Laos"
00855*,"Cambodia"
00853*,"Macao"
00852*,"Hong Kong"
00850*,"North Korea"
00800*,"Free and universal international freephone number"
00692*,"Marshall islands"
00691*,"Micronesia"
00690*,"Tokelau"
00689*,"French Polynesia"
00688*,"Tuvalu"
00687*,"New Caledonia"
00686*,"Kiribati"
00685*,"Samoa"
00683*,"Niue"
00682*,"Cook islands"
00681*,"Wallis-et-Futuna"
00680*,"Palaos"
00679*,"Fidji"
00678*,"Vanuatu"
00677*,"Salomon"
00676*,"Tonga"
00675*,"Papua New Guinea"
00674*,"Nauru"
00673*,"Brunei"
00672*,"External Territories of Australia"
00670*,"East Timor"
00599*,"Netherlands Caribbean"
00599*,"Curacao"
00599*,"Netherlands Caribbean"
00598*,"Uruguay"
00597*,"Suriname"
00596*,"Martinique"
00595*,"Paraguay"
00594*,"Guyana"
00593*,"Ecuador"
00592*,"Guyana"
00591*,"Bolivia"
00590*,"Guadeloupe"
00590*,"St. Martin"
00509*,"Haiti"
00508*,"Saint Pierre and Miquelon"
00507*,"Panama"
00506*,"Costa Rica"
00505*,"Nicaragua"
00504*,"Honduras"
00503*,"Salvador"
00502*,"Guatemala"
00501*,"Belize"
00500*,"Falklands"
00423*,"Liechtenstein"
00421*,"Slovakia"
00420*,"Czech Republic"
00389*,"Macedonia"
00387*,"Bosnia and Herzegovina"
00386*,"Slovenia"
00385*,"Croatia"
00382*,"Montenegro"
00381*,"Serbia"
00380*,"Ukraine"
00379*,"Vatican"
00378*,"San Marino"
00377*,"Monaco"
00376*,"Andorra"
00375*,"Belarus"
00374*,"Armenia"
00373*,"Moldova"
00372*,"Estonia"
00371*,"Latvia"
00370*,"Lithuania"
00359*,"Bulgaria"
00358*,"Finland"
00357*,"Cyprus"
00356*,"Malta"
00355*,"Albania"
00354*,"Iceland"
00353*,"Ireland"
00352*,"Luxembourg"
00351*,"Portugal"
00350*,"Gibraltar"
00299*,"Greenland"
00298*,"Faroe islands"
00297*,"Aruba"
00291*,"Eritrea"
00290*,"St. Helena, Ascension and Tristan da Cunha"
00269*,"Comoros"
00268*,"Swaziland"
00267*,"Botswana"
00266*,"Lesotho"
00265*,"Malawi"
00264*,"Namibia"
00263*,"Zimbabwe"
00262*,"Mayotte"
00262*,"Reunion Island"
00261*,"Madagascar"
00260*,"Zambia"
00258*,"Mozambique"
00257*,"Burundi"
00256*,"Uganda"
00255*,"Tanzania"
00254*,"Kenya"
00253*,"Djibouti"
00252*,"Somalia"
00251*,"Ethiopia"
00250*,"Rwanda"
00249*,"Sudan"
00248*,"Seychelles"
00247*,"Ascension Island"
00246*,"British territory in the Indian Ocean"
00245*,"Guinea -Bissau"
00244*,"Angola"
00243*,"Democratic Republic of Congo"
00242*,"Republic of Congo"
00241*,"Gabon"
00240*,"Equatorial Guinea"
00239*,"Sao Tome and Principe"
00238*,"Cape Verde"
00237*,"Cameroon"
00236*,"Central African Republic"
00235*,"Chad"
00234*,"Nigeria"
00233*,"Ghana"
00232*,"Sierra Leone"
00231*,"Liberia"
00230*,"Maurice"
00229*,"Benin"
00228*,"Togo"
00227*,"Niger"
00226*,"Burkina Faso"
00225*,"Ivory Coast"
00224*,"Guinea"
00223*,"Mali"
00222*,"Mauritania"
00221*,"Senegal"
00220*,"Gambia"
00218*,"Libya"
00216*,"Tunisia"
00213*,"Algeria"
00212*,"Morocco"
00211*,"South Sudan"
0098*,"Iran"
0095*,"Burma"
0094*,"Sri Lanka"
0093*,"Afghanistan"
0092*,"Pakistan"
0091*,"India"
0090*,"Turkey"
0086*,"China"
0084*,"Vietnam"
0082*,"South Korea"
0081*,"Japan"
0066*,"Thailand"
0065*,"Singapore"
0064*,"Pitcairn Islands"
0064*,"New Zealand"
0063*,"Philippines"
0062*,"Indonesia"
0061*,"Australia"
0060*,"Malaysia"
0058*,"Venezuela"
0057*,"Colombia"
0056*,"Chile"
0055*,"Brazil"
0054*,"Argentina"
0053*,"Cuba"
0052*,"Mexico"
0051*,"Peru"
0049*,"Germany"
0048*,"Poland"
0047*,"Norway"
0046*,"Sweden"
0045*,"Denmark"
0044*,"United Kingdom"
0043*,"Austria"
0041*,"Switzerland"
0040*,"Romania"
0039*,"Italy"
0036*,"Hungary"
0034*,"Spain"
0033*,"France"
0032*,"Belgium"
0031*,"Netherlands"
0030*,"Greece"
0027*,"South Africa"
0020*,"Egypt"
007*,"Russia Kazakhstan"
