action,Description,Detailed Description
ekm_enrolled,EKM Enrolled,The workspace is now enrolled/managed by EKM.
ekm_unenrolled,EKM Unenrolled,The workspace is no longer enrolled or managed by EKM.
ekm_key_added,EKM Key Added,An EKM key was added for the workspace.
ekm_key_removed,EKM Key Removed,An EKM key was removed for the workspace.
ekm_clear_cache_set,EKM Clear Cache Set,A revocation event has triggered a new TTL for cached date in this workspace.
ekm_logging_config_set,EKM Logging Config Set,Logging settings for this workspace's EKM configuration have changed.
ekm_slackbot_enroll_notification_sent,EKM Slackbot Enroll Notification Sent,Slack sent notifications about this workspace being enrolled in EKM.
ekm_slackbot_unenroll_notification_sent,EKM Slackbot Unenroll Notification Sent,Slack sent notifications about this workspace no longer being enrolled in EKM.
ekm_slackbot_rekey_notification_sent,EKM Slackbot Rekey Notification Sent,Slack sent notifications about this workspace's EKM configuration being rekeyed.
ekm_slackbot_logging_notification_sent,EKM Slackbot Logging Notification Sent,Slack sent notifications about logging changes to EKM in this workspace.
pref.allow_calls,Allow Calls,A preference indicating whether Slack Calls can be used in this workspace has changed.
pref.allow_message_deletion,Allow Message Deletion,Someone altered this workspace's settings around whether messages can be deleted or not.
pref.app_dir_only,App Dir Only,Whether only Slack App Directory apps can be installed or not in this workspace has changed.
pref.app_whitelist_enabled,App Whitelist Enabled,Someone's carefully carved or culled the list of apps this workspace has whitelisted.
pref.can_receive_shared_channels_invites,Can Receive Shared Channels Invites,Whether this workspace can receive invites to share channels with other workspaces has changed.
pref.commands_only_regular,Commands Only Regular,The setting determining whether restricted users are restricted from using slash commands was changed.
pref.custom_tos,Custom Tos,This workspace's settings on having a custom terms of service have changed.
pref.disallow_public_file_urls,Disallow Public File Urls,This workspace has modified their public file URL settings for files uploaded within it.
pref.dm_retention_changed,Dm Retention Changed,The direct message (DM) retention setting changed. Includes a detailsparameter noting the previous and new values.
pref.dnd_enabled,Dnd Enabled,Do not disturb settings have been enabled for a workspace.
pref.dnd_end_hour,Dnd End Hour,The exact ending hour for workspace do not disturb settings has been set. Work hard and go home.
pref.dnd_start_hour,Dnd Start Hour,The exact starting hour for workspace do not disturb settings has been set. Hopefully everyone is awake and ready to work by then.
pref.emoji_only_admins,Emoji Only Admins,"Someone modified the list of emoji-administrating admins, so you know who stole the cookies from the cookie jar."
pref.enterprise_default_channels,Enterprise Default Channels,Someone modified the list of default channels across the enterprise grid.
pref.enterprise_team_creation_request,Enterprise Team Creation Request,Someone has requested that your organization allow a new workspace to be created.
pref.file_retention_changed,File Retention Changed,The file retention setting changed. Includes a details parameter noting the previous and new values.
pref.msg_edit_window_mins,Msg Edit Window Mins,Someone edited the edit messaging window for a workspace!
pref.private_channel_retention_changed,Private Channel Retention Changed,The group (private channel) retention setting changed. Includes a detailsparameter noting the previous and new values.
pref.public_channel_retention_changed,Public Channel Retention Changed,The channel retention setting type changed. Includes a details parameter noting the previous and new values.
pref.retention_override_changed,Retention Override Changed,"The retention override setting, allowing workspace members to set their own retention period for private channels and DMs, changed. Includes a detailsparameter noting the previous and new values."
pref.sign_in_with_slack_disabled,Sign In With Slack Disabled,This workspace changed their preference around allowing Sign in with Slack.
pref.slackbot_responses_disabled,Slackbot Responses Disabled,The settings around whether Slackbot's witty responses are enabled or disabled changed.
pref.slackbot_responses_only_admins,Slackbot Responses Only Admins,There's a secret cabal of admins for those witty Slackbot responses and that list was changed.
pref.sso_setting_changed,Sso Setting Changed,The Single Sign On (SSO) restriction changed. Includes a details parameter noting the previous and new values.
pref.stats_only_admins,Stats Only Admins,The list of admins that can work with workspace statistics only has changed.
pref.two_factor_auth_changed,Two Factor Auth Changed,The two-factor authentication requiremented changed. Includes a details parameter noting the previous and new values.
pref.username_policy,Username Policy,A workspace's username policy preference changed.
pref.who_can_archive_channels,Who Can Archive Channels,Who can archive channels indeed?
pref.who_can_create_delete_user_groups,Who Can Create Delete User Groups,The list of who can create or delete user groups changed.
