category,category_name,parent_category,category_child_name
125,Social Organizations,122,Professional and Worker Organizations
126,Security,0,None
128,Security,126,Malicious Web Sites
138,Information Technology,9,Computer Security
146,Miscellaneous,0,None
147,Miscellaneous,146,Images (Media)
148,Miscellaneous,146,Image Servers
149,Miscellaneous,146,Private IP Addresses
150,Miscellaneous,146,Content Delivery Networks
151,Miscellaneous,146,Dynamic Content
152,Miscellaneous,146,Network Errors
153,Miscellaneous,146,Uncategorized
154,Security,126,Spyware
156,Miscellaneous,146,File Download Servers
164,Security,126,Phishing and Other Frauds
166,Security,126,Keyloggers
167,Security,126,Potentially Unwanted Software
172,Security,126,Bot Networks
191,Extended Protection,0,None
192,Extended Protection,191,Elevated Exposure
193,Extended Protection,191,Emerging Exploits
194,Extended Protection,191,Potentially Damaging Content
195,Internet Communication,91,Organizational Email
196,Internet Communication,91,Text and Media Messaging
200,Information Technology,9,Web and Email Spam
201,Information Technology,9,Web Collaboration
202,Parked Domain,0,None
203,Business and Economy,2,Hosted Business Applications
204,Society and Lifestyles,7,Blogs and Personal Sites
205,Security,126,Malicious Embedded Link
206,Security,126,Malicious Embedded iFrame
207,Security,126,Suspicious Embedded Link
208,Bandwidth,116,Surveillance
209,Bandwidth,116,Educational Video
210,Bandwidth,116,Entertainment Video
211,Bandwidth,116,Viral Video
212,Extended Protection,191,Dynamic DNS
213,Security,126,Potentially Exploited Documents
214,Security,126,Mobile Malware
215,Information Technology,9,Unauthorized Mobile Marketplaces
216,Security,126,Custom-Encrypted Uploads
217,Security,126,Files Containing Passwords
218,Security,126,Advanced Malware Command and Control
219,Security,126,Advanced Malware Payloads
1500,Social Web Controls - Facebook,0,None
1501,Social Web Controls - LinkedIn,1527,LinkedIn Updates
1502,Social Web Controls - LinkedIn,1527,LinkedIn Mail
1503,Social Web Controls - LinkedIn,1527,LinkedIn Connections
1504,Social Web Controls - LinkedIn,1527,LinkedIn Jobs
1505,Social Web Controls - Facebook,1500,Facebook Posting
1506,Social Web Controls - Facebook,1500,Facebook Commenting
1507,Social Web Controls - Facebook,1500,Facebook Friends
1508,Social Web Controls - Facebook,1500,Facebook Photo Upload
1509,Social Web Controls - Facebook,1500,Facebook Mail
1510,Social Web Controls - Facebook,1500,Facebook Events
1511,Social Web Controls - YouTube,1525,YouTube Commenting
1512,Social Web Controls - YouTube,1525,YouTube Video Upload
1513,Social Web Controls - Facebook,1500,Facebook Apps
1514,Social Web Controls - Facebook,1500,Facebook Chat
1516,Social Web Controls - Facebook,1500,Facebook Questions
1517,Social Web Controls - Facebook,1500,Facebook Video Upload
1518,Social Web Controls - Facebook,1500,Facebook Groups
1519,Social Web Controls - Twitter,1526,Twitter Posting
1520,Social Web Controls - Twitter,1526,Twitter Mail
1521,Social Web Controls - Twitter,1526,Twitter Follow
1523,Social Web Controls - YouTube,1525,YouTube Sharing
1524,Social Web Controls - Facebook,1500,Facebook Games
1525,Social Web Controls - YouTube,0,None
1526,Social Web Controls - Twitter,0,None
1527,Social Web Controls - LinkedIn,0,None
1528,Social Web Controls - Various,0,None
1529,Social Web Controls - Various,1528,Craigslist Posting
1530,Social Web Controls - Various,1528,WordPress Posting
1531,Social Web Controls - Various,1528,WordPress Commenting
1801,Non-HTTP,0,None
