source,                                       belong,                   eventClassification
"InsufficientFailoverResourcesEvent",         "WarningEvents",          "WarningEvents;HA/DRSEvents;ClusterEvents;Events"
"LicenseExpiredEvent",                        "WarningEvents",          "WarningEvents;PermissionEvents;Events"
"LicenseNonComplianceEvent",                  "WarningEvents",          "WarningEvents;PermissionEvents;Events"
"MigrationEvent",                             "WarningEvents",          "WarningEvents;VMEvents;Events"
"MigrationHostWarningEvent",                  "WarningEvents",          "WarningEvents;HostEvents;VMEvents;Events"
"MigrationResourceWarningEvent",              "WarningEvents",          "WarningEvents;VMEvents;HostEvents;Events"
"MigrationWarningEvent",                      "WarningEvents",          "WarningEvents;VMEvents;Events"
"NoLicenseEvent",                             "WarningEvents",          "WarningEvents;PermissionEvents;Events"
"NoMaintenanceModeDrsRecommendationForVM",    "WarningEvents",          "WarningEvents;VMEvents;HA/DRSEvents;MaintenanceEvents;NetworkEvents;HostEvents;Events"
"OutOfSyncDvsHost",                           "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;Events"
"PermissionRemovedEvent",                     "WarningEvents",          "WarningEvents;PermissionEvents;Events"
"ProfileRemovedEvent",                        "WarningEvents",          "WarningEvents;InfoEvents;Events"
"RoleRemovedEvent",                           "WarningEvents",          "WarningEvents;PermissionEvents;Events"
"ScheduledTaskRemovedEvent",                  "WarningEvents",          "WarningEvents;TaskEvents;Events"
"ServerLicenseExpiredEvent",                  "WarningEvents",          "WarningEvents;PermissionEvents;VCEvents;Events"
"UnlicensedVirtualMachinesEvent",             "WarningEvents",          "WarningEvents;VMEvents;PermissionEvents;HostEvents;Events"
"UnlicensedVirtualMachinesFoundEvent",        "WarningEvents",          "WarningEvents;VMEvents;PermissionEvents;HostEvents;Events"
"UplinkPortMtuNotSupportEvent",               "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;Events"
"UplinkPortMtuSupportEvent",                  "WarningEvents",          "WarningEvents;NetworkEvents;HostEvents;Events"
"UserUnassignedFromGroup",                    "WarningEvents",          "WarningEvents;PermissionEvents;HostEvents;Events"
"VMotionLicenseExpiredEvent",                 "WarningEvents",          "WarningEvents;PermissionEvents;HA/DRSEvents;VMEvents;Events"
"VcAgentUninstalledEvent",                    "WarningEvents",          "WarningEvents;VCEvents;HostEvents;Events"
"VmAutoRenameEvent",                          "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmConfigMissingEvent",                       "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmFaultToleranceStateChangedEvent",          "WarningEvents",          "WarningEvents;VMEvents;AlarmEvents;Events"
"VmFaultToleranceTurnedOffEvent",             "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmFaultToleranceVmTerminatedEvent",          "WarningEvents",          "WarningEvents;VMEvents;NetworkEvents;PermissionEvents;Events"
"VmInstanceUuidConflictEvent",                "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmMacConflictEvent",                         "WarningEvents",          "WarningEvents;NetworkEvents;VMEvents;Events"
"VmMaxFTRestartCountReached",                 "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmMaxRestartCountReached",                   "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmMessageWarningEvent",                      "WarningEvents",          "WarningEvents;VMEvents;Events"
"VmNoCompatibleHostForSecondaryEvent",        "WarningEvents",          "WarningEvents;VMEvents;HostEvents;AlarmEvents;Events"
"VmNoNetworkAccessEvent",                     "WarningEvents",          "WarningEvents;NetworkEvents;VMEvents;HostEvents;Events"
"VmPrimaryFailoverEvent",                     "WarningEvents",          "WarningEvents;VMEvents;HA/DRSEvents;NetworkEvents;PermissionEvents;Events"
"VmRemovedEvent",                             "WarningEvents",          "WarningEvents;VMEvents;Events"
