command,entity,field,metric,perftype,nodename,metricperf,unit
latest,hostsystem,"p_latest_disk_maxTotalLatency_millisecond","latest_disk_maxTotalLatency_millisecond",disk,"vmperformance.disk.HostSystemDisk","vsphere.esxihost.disk.maxTotalLatency","millisecond"
latest,hostsystem,"p_latest_datastore_maxTotalLatency_millisecond","latest_datastore_maxTotalLatency_millisecond",datastore,"vmperformance.datastore.HostSystemDatastore","vsphere.esxihost.datastore.maxTotalLatency","millisecond"
average,hostsystem,"p_average_power_power_watt","average_power_power_watt",power,"vmperformance.power.HostSystemPower","vsphere.esxihost.power.power","watt"
average,hostsystem,"p_average_power_powerCap_watt","average_power_powerCap_watt",power,"vmperformance.power.HostSystemPower","vsphere.esxihost.power.powerCap","watt"
summation,hostsystem,"p_summation_power_energy_joule","summation_power_energy_joule",power,"vmperformance.power.HostSystemPower","vsphere.esxihost.power.energy","joule"
average,hostsystem,"p_average_net_bytesRx_kiloBytesPerSecond","average_net_bytesRx_kiloBytesPerSecond",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.bytesRx","kiloBytesPerSecond"
average,hostsystem,"p_average_net_bytesTx_kiloBytesPerSecond","average_net_bytesTx_kiloBytesPerSecond",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.bytesTx","kiloBytesPerSecond"
average,hostsystem,"p_average_net_received_kiloBytesPerSecond","average_net_received_kiloBytesPerSecond",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.received","kiloBytesPerSecond"
average,hostsystem,"p_average_net_transmitted_kiloBytesPerSecond","average_net_transmitted_kiloBytesPerSecond",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.transmitted","kiloBytesPerSecond"
average,hostsystem,"p_average_net_usage_kiloBytesPerSecond","average_net_usage_kiloBytesPerSecond",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.usage","kiloBytesPerSecond"
summation,hostsystem,"p_summation_net_broadcastRx_number","summation_net_broadcastRx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.broadcastRx","number"
summation,hostsystem,"p_summation_net_broadcastTx_number","summation_net_broadcastTx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.broadcastTx","number"
summation,hostsystem,"p_summation_net_droppedRx_number","summation_net_droppedRx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.droppedRx","number"
summation,hostsystem,"p_summation_net_droppedTx_number","summation_net_droppedTx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.droppedTx","number"
summation,hostsystem,"p_summation_net_errorsRx_number","summation_net_errorsRx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.errorsRx","number"
summation,hostsystem,"p_summation_net_errorsTx_number","summation_net_errorsTx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.errorsTx","number"
summation,hostsystem,"p_summation_net_multicastRx_number","summation_net_multicastRx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.multicastRx","number"
summation,hostsystem,"p_summation_net_multicastTx_number","summation_net_multicastTx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.multicastTx","number"
summation,hostsystem,"p_summation_net_packetsRx_number","summation_net_packetsRx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.packetsRx","number"
summation,hostsystem,"p_summation_net_packetsTx_number","summation_net_packetsTx_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.packetsTx","number"
summation,hostsystem,"p_summation_net_unknownProtos_number","summation_net_unknownProtos_number",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.net.unknownProtos","number"
thruput,hostsystem,"p_thruput","thruput",net,"vmperformance.net.HostSystemNet","vsphere.esxihost.thruput",
latest,hostsystem,"p_latest_rescpu_actav15_percent","latest_rescpu_actav15_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.actav15","percent"
latest,hostsystem,"p_latest_rescpu_actav1_percent","latest_rescpu_actav1_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.actav1","percent"
latest,hostsystem,"p_latest_rescpu_actav5_percent","latest_rescpu_actav5_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.actav5","percent"
latest,hostsystem,"p_latest_rescpu_actpk15_percent","latest_rescpu_actpk15_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.actpk15","percent"
latest,hostsystem,"p_latest_rescpu_actpk1_percent","latest_rescpu_actpk1_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.actpk1","percent"
latest,hostsystem,"p_latest_rescpu_actpk5_percent","latest_rescpu_actpk5_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.actpk5","percent"
latest,hostsystem,"p_latest_rescpu_maxLimited15_percent","latest_rescpu_maxLimited15_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.maxLimited15","percent"
latest,hostsystem,"p_latest_rescpu_maxLimited1_percent","latest_rescpu_maxLimited1_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.maxLimited1","percent"
latest,hostsystem,"p_latest_rescpu_maxLimited5_percent","latest_rescpu_maxLimited5_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.maxLimited5","percent"
latest,hostsystem,"p_latest_rescpu_runav15_percent","latest_rescpu_runav15_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.runav15","percent"
latest,hostsystem,"p_latest_rescpu_runav1_percent","latest_rescpu_runav1_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.runav1","percent"
latest,hostsystem,"p_latest_rescpu_runav5_percent","latest_rescpu_runav5_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.runav5","percent"
latest,hostsystem,"p_latest_rescpu_runpk15_percent","latest_rescpu_runpk15_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.runpk15","percent"
latest,hostsystem,"p_latest_rescpu_runpk1_percent","latest_rescpu_runpk1_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.runpk1","percent"
latest,hostsystem,"p_latest_rescpu_runpk5_percent","latest_rescpu_runpk5_percent",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.runpk5","percent"
latest,hostsystem,"p_latest_rescpu_sampleCount_number","latest_rescpu_sampleCount_number",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.sampleCount","number"
latest,hostsystem,"p_latest_rescpu_samplePeriod_millisecond","latest_rescpu_samplePeriod_millisecond",rescpu,"vmperformance.rescpu.HostSystemRescpu","vsphere.esxihost.rescpu.samplePeriod","millisecond"
average,hostsystem,"p_average_hbr_hbrNetRx_kiloBytesPerSecond","average_hbr_hbrNetRx_kiloBytesPerSecond",hbr,"vmperformance.Hbr.HostSystemHbr","vsphere.esxihost.hbr.hbrNetRx","kiloBytesPerSecond"
average,hostsystem,"p_average_hbr_hbrNetTx_kiloBytesPerSecond","average_hbr_hbrNetTx_kiloBytesPerSecond",hbr,"vmperformance.Hbr.HostSystemHbr","vsphere.esxihost.hbr.hbrNetTx","kiloBytesPerSecond"
average,hostsystem,"p_average_hbr_hbrNumVms_number","average_hbr_hbrNumVms_number",hbr,"vmperformance.Hbr.HostSystemHbr","vsphere.esxihost.hbr.hbrNumVms","number"
latest,hostsystem,"p_latest_storageAdapter_maxTotalLatency_millisecond","latest_storageAdapter_maxTotalLatency_millisecond",storageadpater,"vmperformance.StorageAdapter.HostSystemStorageAdapter","vsphere.esxihost.storageAdapter.maxTotalLatency","millisecond"
latest,hostsystem,"p_latest_storagePath_maxTotalLatency_millisecond","latest_storagePath_maxTotalLatency_millisecond",storagepath,"vmperformance.StoragePath.HostSystemStoragePath","vsphere.esxihost.storagePath.maxTotalLatency","millisecond"
latest,hostsystem,"p_latest_sys_uptime_second","latest_sys_uptime_second",sys,"vmperformance.Sys.HostSystemSys","vsphere.esxihost.sys.uptime","second"
uptime,hostsystem,"p_uptime","uptime",sys,"vmperformance.Sys.HostSystemSys","vsphere.esxihost.uptime",
average,virtualmachine,"p_average_cpu_coreUtilization_percent","average_cpu_coreUtilization_percent",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.coreUtilization","percent"
average,virtualmachine,"p_average_cpu_demand_megaHertz","average_cpu_demand_megaHertz",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.demand","megaHertz"
average,virtualmachine,"p_average_cpu_latency_percent","average_cpu_latency_percent",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.latency","percent"
average,virtualmachine,"p_average_cpu_reservedCapacity_megaHertz","average_cpu_reservedCapacity_megaHertz",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.reservedCapacity","megaHertz"
average,virtualmachine,"p_average_cpu_totalCapacity_megaHertz","average_cpu_totalCapacity_megaHertz",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.totalCapacity","megaHertz"
average,virtualmachine,"p_average_cpu_usage_percent","average_cpu_usage_percent",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.usage","percent"
average,virtualmachine,"p_average_cpu_usagemhz_megaHertz","average_cpu_usagemhz_megaHertz",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.usagemhz","megaHertz"
average,virtualmachine,"p_average_cpu_utilization_percent","average_cpu_utilization_percent",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.utilization","percent"
latest,virtualmachine,"p_latest_cpu_entitlement_megaHertz","latest_cpu_entitlement_megaHertz",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.entitlement","megaHertz"
summation,virtualmachine,"p_summation_cpu_costop_millisecond","summation_cpu_costop_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.costop","millisecond"
summation,virtualmachine,"p_summation_cpu_idle_millisecond","summation_cpu_idle_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.idle","millisecond"
summation,virtualmachine,"p_summation_cpu_maxlimited_millisecond","summation_cpu_maxlimited_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.maxlimited","millisecond"
summation,virtualmachine,"p_summation_cpu_overlap_millisecond","summation_cpu_overlap_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.overlap","millisecond"
summation,virtualmachine,"p_summation_cpu_ready_millisecond","summation_cpu_ready_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.ready","millisecond"
summation,virtualmachine,"p_summation_cpu_run_millisecond","summation_cpu_run_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.run","millisecond"
summation,virtualmachine,"p_summation_cpu_system_millisecond","summation_cpu_system_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.system","millisecond"
summation,virtualmachine,"p_summation_cpu_swapwait_millisecond","summation_cpu_swapwait_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.swapwait","millisecond"
summation,virtualmachine,"p_summation_cpu_used_millisecond","summation_cpu_used_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.used","millisecond"
summation,virtualmachine,"p_summation_cpu_wait_millisecond","summation_cpu_wait_millisecond",cpu,"vmperformance.cpu.VirtualMachineCPU","vsphere.vm.cpu.wait","millisecond"
average,virtualmachine,"p_average_mem_active_kiloBytes","average_mem_active_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.active","kiloBytes"
average,virtualmachine,"p_average_mem_activewrite_kiloBytes","average_mem_activewrite_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.activewrite","kiloBytes"
average,virtualmachine,"p_average_mem_compressed_kiloBytes","average_mem_compressed_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.compressed","kiloBytes"
average,virtualmachine,"p_average_mem_compressionRate_kiloBytesPerSecond","average_mem_compressionRate_kiloBytesPerSecond",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.compressionRate","kiloBytesPerSecond"
average,virtualmachine,"p_average_mem_consumed_kiloBytes","average_mem_consumed_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.consumed","kiloBytes"
average,virtualmachine,"p_average_mem_decompressionRate_kiloBytesPerSecond","average_mem_decompressionRate_kiloBytesPerSecond",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.decompressionRate","kiloBytesPerSecond"
average,virtualmachine,"p_average_mem_entitlement_kiloBytes","average_mem_entitlement_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.entitlement","kiloBytes"
average,virtualmachine,"p_average_mem_granted_kiloBytes","average_mem_granted_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.granted","kiloBytes"
average,virtualmachine,"p_average_mem_heap_kiloBytes","average_mem_heap_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.heap","kiloBytes"
average,virtualmachine,"p_average_mem_heapfree_kiloBytes","average_mem_heapfree_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.heapfree","kiloBytes"
average,virtualmachine,"p_average_mem_latency_percent","average_mem_latency_percent",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.latency","percent"
average,virtualmachine,"p_average_mem_llSwapIn_kiloBytes","average_mem_llSwapIn_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.llSwapIn","kiloBytes"
average,virtualmachine,"p_average_mem_llSwapInRate_kiloBytesPerSecond","average_mem_llSwapInRate_kiloBytesPerSecond",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.llSwapInRate","kiloBytesPerSecond"
average,virtualmachine,"p_average_mem_llSwapOut_kiloBytes","average_mem_llSwapOut_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.llSwapOut","kiloBytes"
average,virtualmachine,"p_average_mem_llSwapOutRate_kiloBytesPerSecond","average_mem_llSwapOutRate_kiloBytesPerSecond",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.llSwapOutRate","kiloBytesPerSecond"
average,virtualmachine,"p_average_mem_llSwapUsed_kiloBytes","average_mem_llSwapUsed_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.llSwapUsed","kiloBytes"
average,virtualmachine,"p_average_mem_lowfreethreshold_kiloBytes","average_mem_lowfreethreshold_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.lowfreethreshold","kiloBytes"
average,virtualmachine,"p_average_mem_overhead_kiloBytes","average_mem_overhead_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.overhead","kiloBytes"
average,virtualmachine,"p_average_mem_overheadMax_kiloBytes","average_mem_overheadMax_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.overheadMax","kiloBytes"
average,virtualmachine,"p_average_mem_overheadTouched_kiloBytes","average_mem_overheadTouched_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.overheadTouched","kiloBytes"
average,virtualmachine,"p_average_mem_reservedCapacity_megaBytes","average_mem_reservedCapacity_megaBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.reservedCapacity","megaBytes"
average,virtualmachine,"p_average_mem_shared_kiloBytes","average_mem_shared_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.shared","kiloBytes"
average,virtualmachine,"p_average_mem_sharedcommon_kiloBytes","average_mem_sharedcommon_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.sharedcommon","kiloBytes"
average,virtualmachine,"p_average_mem_swapin_kiloBytes","average_mem_swapin_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.swapin","kiloBytes"
average,virtualmachine,"p_average_mem_swapinRate_kiloBytesPerSecond","average_mem_swapinRate_kiloBytesPerSecond",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.swapinRate","kiloBytesPerSecond"
average,virtualmachine,"p_average_mem_swapout_kiloBytes","average_mem_swapout_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.swapout","kiloBytes"
average,virtualmachine,"p_average_mem_swapoutRate_kiloBytesPerSecond","average_mem_swapoutRate_kiloBytesPerSecond",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.swapoutRate","kiloBytesPerSecond"
average,virtualmachine,"p_average_mem_swapped_kiloBytes","average_mem_swapped_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.swapped","kiloBytes"
average,virtualmachine,"p_average_mem_swaptarget_kiloBytes","average_mem_swaptarget_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.swaptarget","kiloBytes"
average,virtualmachine,"p_average_mem_swapused_kiloBytes","average_mem_swapused_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.swapused","kiloBytes"
average,virtualmachine,"p_average_mem_sysUsage_kiloBytes","average_mem_sysUsage_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.sysUsage","kiloBytes"
average,virtualmachine,"p_average_mem_totalCapacity_megaBytes","average_mem_totalCapacity_megaBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.totalCapacity","megaBytes"
average,virtualmachine,"p_average_mem_unreserved_kiloBytes","average_mem_unreserved_kiloBytes",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.unreserved","kiloBytes"
average,virtualmachine,"p_average_mem_usage_percent","average_mem_usage_percent",mem,"vmperformance.memory.VirtualMachineMemory","vsphere.vm.mem.usage","percent"
