"_raw",host,source,sourcetype,"_indextime","_serial","_sourcetype","_time"
"Sep  3 21:54:16 a.a.a.a : 2014 Sep  4 18:28:41 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7507:root:","a.a.a.a","udp:514","syslog",1409795656,65,"syslog",1409795656
"Sep  3 21:54:17 a.a.a.a : 2014 Sep  4 18:28:42 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7507:root:","a.a.a.a","udp:514","syslog",1409795657,64,"syslog",1409795657
"Sep  3 21:54:17 a.a.a.a : 2014 Sep  4 18:28:42 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7513:root:","a.a.a.a","udp:514","syslog",1409795657,63,"syslog",1409795657
"Sep  3 21:54:17 a.a.a.a : 2014 Sep  4 18:28:42 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7513:root:","a.a.a.a","udp:514","syslog",1409795657,62,"syslog",1409795657
"Sep  3 21:54:18 a.a.a.a : 2014 Sep  4 18:28:43 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.7519:root:","a.a.a.a","udp:514","syslog",1409795658,61,"syslog",1409795658
"Sep  3 21:54:18 a.a.a.c : 2014 Sep  4 10:30:32 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3190:root:","a.a.a.c","udp:514","syslog",1409795658,60,"syslog",1409795658
"Sep  3 21:54:18 a.a.a.c : 2014 Sep  4 10:30:32 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3190:root:","a.a.a.c","udp:514","syslog",1409795658,59,"syslog",1409795658
"Sep  3 21:54:19 a.a.a.a : 2014 Sep  4 18:28:44 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.7519:root:","a.a.a.a","udp:514","syslog",1409795659,58,"syslog",1409795659
"Sep  3 21:54:19 a.a.a.c : 2014 Sep  4 10:30:33 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3195:root:","a.a.a.c","udp:514","syslog",1409795659,57,"syslog",1409795659
"Sep  3 21:54:19 a.a.a.c : 2014 Sep  4 10:30:33 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3195:root:","a.a.a.c","udp:514","syslog",1409795659,56,"syslog",1409795659
"Sep  3 21:54:19 a.a.a.c : 2014 Sep  4 10:30:33 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3201:root:","a.a.a.c","udp:514","syslog",1409795659,55,"syslog",1409795659
"Sep  3 21:54:19 a.a.a.c : 2014 Sep  4 10:30:33 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3201:root:","a.a.a.c","udp:514","syslog",1409795659,54,"syslog",1409795659
"Sep  3 21:54:19 a.a.a.c : 2014 Sep  4 10:30:33 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3207:root:","a.a.a.c","udp:514","syslog",1409795659,53,"syslog",1409795659
"Sep  3 21:54:19 a.a.a.c : 2014 Sep  4 10:30:33 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3207:root:","a.a.a.c","udp:514","syslog",1409795659,52,"syslog",1409795659
"Sep  3 21:54:19 a.a.a.c : 2014 Sep  4 10:30:33 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3213:root:","a.a.a.c","udp:514","syslog",1409795659,51,"syslog",1409795659
"Sep  3 21:54:20 a.a.a.c : 2014 Sep  4 10:30:34 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3213:root:","a.a.a.c","udp:514","syslog",1409795660,50,"syslog",1409795660
"Sep  3 21:54:21 a.a.a.c : 2014 Sep  4 10:30:35 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3220:root:","a.a.a.c","udp:514","syslog",1409795661,49,"syslog",1409795661
"Sep  3 21:54:21 a.a.a.c : 2014 Sep  4 10:30:35 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3220:root:","a.a.a.c","udp:514","syslog",1409795661,48,"syslog",1409795661
"Sep  3 21:54:21 a.a.a.c : 2014 Sep  4 10:30:35 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3225:root:","a.a.a.c","udp:514","syslog",1409795661,47,"syslog",1409795661
"Sep  3 21:54:21 a.a.a.c : 2014 Sep  4 10:30:35 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3225:root:","a.a.a.c","udp:514","syslog",1409795661,46,"syslog",1409795661
"Sep  3 21:54:22 a.a.a.c : 2014 Sep  4 10:30:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: start:vsh.3231:root:","a.a.a.c","udp:514","syslog",1409795662,45,"syslog",1409795662
"Sep  3 21:54:22 a.a.a.c : 2014 Sep  4 10:30:36 UTC: %AAA-6-AAA_ACCOUNTING_MESSAGE: stop:vsh.3231:root:","a.a.a.c","udp:514","syslog",1409795662,44,"syslog",1409795662
