alert_name,parent_alert_id,alert_id,alert_category,alert_importance,alert_importance_severity
[AL-9041] ICS Major Error,[AL-9041],[AL-9041],ICS Device,Info,1
[AL-9042] ICS Failed Login,[AL-9042],[AL-9042-failed(1)],ICS Device,Low,25
[AL-9042] ICS Failed Login,[AL-9042],[AL-9042-failed(5+)],ICS Device,High,75
[AL-9044] ICS Overwrite Protection,[AL-9044],[AL-9044],ICS Device,Low,25
[AL-9045] Firmware Revision,[AL-9045],[AL-9045],ICS Device,Critical,100
[AL-9046] Asset has no CMDB Entry,[AL-9046],[AL-9046],CMDB,Info,1
[AL-9047] Asset Communicating from Outside its Designated Subnet,[AL-9047],[AL-9047],CMDB,Medium,50
[AL-9048] New Static IP Address Assigned to Asset,[AL-9048],[AL-9048],CMDB,Info,1
[AL-9049] Asset has Multiple Active IP Addresses,[AL-9049],[AL-9049-MultiHomed],CMDB,Low,25
[AL-9049] Asset has Multiple Active IP Addresses,[AL-9049],[AL-9049-MultiLocation],CMDB,Low,25
"[AL-TEST] Clone of AL-9001 to Test ""Info"" as the ticket_type",[AL-TEST],[AL-TEST],DEBUG,Low,25
