vendor_action,dataset_name,action,body,description,change_type,type,reason
canvas_tombstoned,change,deleted,A canvas was tombstoned.,A canvas was tombstoned.,canvas,,
channel_can_huddle_pref_changed_from_org_level,change,updated,Channel huddle permission updated through channel management tool.,Channel huddle permission updated through channel management tool.,permissions,,
channel_email_address_created,change,created,An email forwarding address was created for a channel.,An email forwarding address was created for a channel.,channel,,
channel_email_address_created,change,created,An email forwarding address was created for a channel.,An email forwarding address was created for a channel.,email,,
channel_email_address_deleted,change,deleted,An email forwarding address was deleted from channel.,An email forwarding address was deleted from channel.,email,,
channel_enable_at_channel_pref_changed_from_org_level,change,updated,Channel mention posting permission updated for channel through the channel management tool.,Channel mention posting permission updated for channel through the channel management tool.,channel,,
channel_enable_at_here_pref_changed_from_org_level,change,updated,Here mention posting permission updated for channel through the channel management tool.,Here mention posting permission updated for channel through the channel management tool.,channel,,
channel_membership_limit_changed_from_org_level,change,updated,Channel membership limit updated through the channel management tool.,Channel membership limit updated through the channel management tool.,channel,,
channel_moved,change,modified,A channel has been moved to a different workspace.,A channel has been moved to a different workspace.,channel,,
channel_posting_permissions_updated,change,updated,Posting permissions updated for a channel through the channel posting permissions modal.,Posting permissions updated for a channel through the channel posting permissions modal.,channel,,
channel_posting_pref_changed_from_org_level,change,modified,Channel posting permission updated through the channel management tool.,Channel posting permission updated through the channel management tool.,channel,,
channel_renamed,change,modified,A channel has been renamed.,A channel has been renamed.,channel,,
channel_retention_changed,change,modified,Message retention policy was changed for a channel.,Message retention policy was changed for a channel.,channel,,
channel_workspaces_updated,change,updated,The scope of a multi-workspace channel was updated.,The scope of a multi-workspace channel was updated.,channel,,
channels_export_completed,alert,,A channel export is complete.,A channel export is complete.,channel,event,
channels_export_deleted,change,deleted,A channel export was deleted.,A channel export was deleted.,channel,,
channels_export_downloaded,data_access,downloaded,A channel export was downloaded.,A channel export was downloaded.,,,
channels_export_started,change,started,A channel export has begun.,A channel export has begun.,channel,,
connect_dm_invite_accepted,alert,,An invitation to start a Slack Connect DM was accepted.,An invitation to start a Slack Connect DM was accepted.,,alert,
connect_dm_invite_generated,alert,,An invitation to start a Slack Connect DM was sent.,An invitation to start a Slack Connect DM was sent.,,alert,
connect_dm_invite_ignored,alert,,Slack Connect DM link was ignored.,Slack Connect DM link was ignored.,,alert,
connect_dm_invite_revoked,alert,,An invitation to start a Slack Connect DM was revoked.,An invitation to start a Slack Connect DM was revoked.,,alert,
corporate_exports_approved,alert,,The corporate export feature has been approved for use on a workspace.,The corporate export feature has been approved for use on a workspace.,,event,
corporate_exports_enabled,change,modified,The corporate export feature has been enabled for a workspace.,The corporate export feature has been enabled for a workspace.,workspace,,
custom_tos_accepted,alert,,A team member accepted a custom terms of service agreement.,A team member accepted a custom terms of service agreement.,,event,
default_channel_added_to_usergroup,change,modified,A default channel was added to a user group.,A default channel was added to a user group.,channel,,
default_channel_removed_from_usergroup,change,deleted,A default channel was removed from a user group.,A default channel was removed from a user group.,channel,,
dm_user_added,change,modified,A user was added to an existing DM conversation,A user was added to an existing DM conversation,AAA,,
domain_created,change,created,A domain was created.,A domain was created.,domain,,
domain_deleted,change,deleted,A domain was deleted.,A domain was deleted.,domain,,
domain_verified,alert,,A domain was verified.,A domain was verified.,,event,
ekm_clear_cache_set,alert,,A revocation event has triggered a new TTL for cached date in this workspace.,A revocation event has triggered a new TTL for cached date in this workspace.,,alert,
ekm_enrolled,change,modified,The workspace is now enrolled/managed by EKM.,The workspace is now enrolled/managed by EKM.,workspace,,
ekm_key_added,change,modified,An EKM key was added for the workspace.,An EKM key was added for the workspace.,workspace,,
ekm_key_removed,change,deleted,An EKM key was removed for the workspace.,An EKM key was removed for the workspace.,workspace,,
ekm_logging_config_set,change,modified,Logging settings for this workspace's EKM configuration have changed.,Logging settings for this workspace's EKM configuration have changed.,workspace,,
ekm_slackbot_enroll_notification_sent,alert,,Slack sent notifications about this workspace being enrolled in EKM.,Slack sent notifications about this workspace being enrolled in EKM.,,event,
ekm_slackbot_logging_notification_sent,alert,,Slack sent notifications about logging changes to EKM in this workspace.,Slack sent notifications about logging changes to EKM in this workspace.,,event,
ekm_slackbot_rekey_notification_sent,alert,,Slack sent notifications about this workspace's EKM configuration being rekeyed.,Slack sent notifications about this workspace's EKM configuration being rekeyed.,,event,
ekm_slackbot_unenroll_notification_sent,alert,,Slack sent notifications about this workspace no longer being enrolled in EKM.,Slack sent notifications about this workspace no longer being enrolled in EKM.,,event,
ekm_unenrolled,alert,,The workspace is no longer enrolled or managed by EKM.,The workspace is no longer enrolled or managed by EKM.,,event,
emoji_added,change,modified,An emoji was added. Includes a details parameter with the name of the emoji.,An emoji was added. Includes a details parameter with the name of the emoji.,filesystem,,
emoji_aliased,change,modified,An emoji was given an alias. Includes a details parameter with the name of the alias.,An emoji was given an alias. Includes a details parameter with the name of the alias.,filesystem,,
emoji_removed,change,deleted,An emoji was removed. Includes a details parameter with the name of the emoji.,An emoji was removed. Includes a details parameter with the name of the emoji.,filesystem,,
emoji_renamed,change,modified,An emoji was renamed. Includes a details parameter with the previous and new names of the emoji.,An emoji was renamed. Includes a details parameter with the previous and new names of the emoji.,filesystem,,
external_shared_channel_access_upgraded,change,updated,A channel was upgraded to a Slack Connect channel.,A channel was upgraded to a Slack Connect channel.,shared_channel,,
external_shared_channel_connected,data_access,enabled,A shared channel with another workspace has been connected with this one.,A shared channel with another workspace has been connected with this one.,,,
external_shared_channel_disconnect_and_archived,change,modified,A shared channel was disconnected and archived.,A shared channel was disconnected and archived.,shared_channel,,
external_shared_channel_disconnected,data_access,stopped,A shared channel or DM with another workspace is no longer connected with this one.,A shared channel or DM with another workspace is no longer connected with this one.,,,
external_shared_channel_invite_accepted,data_access,granted,An invitation to join a shared channel was accepted! Nice.,An invitation to join a shared channel was accepted! Nice.,,,
external_shared_channel_invite_approved,data_access,granted,An invitation to join a shared channel was approved by an admin.,An invitation to join a shared channel was approved by an admin.,,,
external_shared_channel_invite_auto_revoked,data_access,revoked,An invitation to join a shared channel was automatically revoked.,An invitation to join a shared channel was automatically revoked.,,,
external_shared_channel_invite_created,data_access,created,An invitation url to join a shared channel was created.,An invitation url to join a shared channel was created.,,,
external_shared_channel_invite_declined,alert,,An invitation to join a shared channel was declined.,An invitation to join a shared channel was declined.,,alert,
external_shared_channel_invite_expired,alert,,An invitation to join a shared channel expired.,An invitation to join a shared channel expired.,,alert,
external_shared_channel_invite_revoked,data_access,revoked,An invitation to join a shared channel was revoked.,An invitation to join a shared channel was revoked.,,,
external_shared_channel_reconnected,data_access,shared,A previously connected and then disconnected shared channel or DM with another workspace is once again shared with this one.,A previously connected and then disconnected shared channel or DM with another workspace is once again shared with this one.,,,
feature_not_enabled,alert,,"Audit Logs are not available on your workspace, probably because it is not part of an Enterpise Grid organization.","Audit Logs are not available on your workspace, probably because it is not part of an Enterpise Grid organization.",,warning,
file_deleted,change,deleted,A file was deleted.,A file was deleted.,filesystem,,
file_download_blocked,ids,blocked,A file was blocked from being downloaded.,A file was blocked from being downloaded.,,,
file_downloaded,data_access,downloaded,A file was downloaded or viewed within Slack.,A file was downloaded or viewed within Slack.,,,
file_malicious_content_detected,malware,blocked,Malware scanning found malicious content in the file.,Malware scanning found malicious content in the file.,,,
file_public_link_created,change,created,A public link was created for a file. This action contains a team identifier so that you can see which team the creating user comes from (useful for externally shared channels).,A public link was created for a file. This action contains a team identifier so that you can see which team the creating user comes from (useful for externally shared channels).,filesystem,,
file_public_link_revoked,data_access,revoked,A public link was revoked from a file. This action contains a team identifier so that you can see which team the revoking user comes from (useful for externally shared channels).,A public link was revoked from a file. This action contains a team identifier so that you can see which team the revoking user comes from (useful for externally shared channels).,,,
file_shared,data_access,shared,A file was shared in another channel. This action contains a team identifier so that you can see which team the uploading user comes from (useful for externally shared channels).,A file was shared in another channel. This action contains a team identifier so that you can see which team the uploading user comes from (useful for externally shared channels).,,,
file_uploaded,data_access,uploaded,A file was uploaded.,A file was uploaded.,,,
group_converted_to_channel,change,modified,Group has been converted to channel.,Group has been converted to channel.,group,,
guest_channel_join,alert,,A guest user has joined a channel. This action contains a team identifier so that you can see which team the joining guest comes from (useful for externally shared channels).,A guest user has joined a channel. This action contains a team identifier so that you can see which team the joining guest comes from (useful for externally shared channels).,,alert,
guest_channel_leave,alert,,A guest user has left a channel. This action contains a team identifier so that you can see which team the departing guest comes from (useful for externally shared channels).,A guest user has left a channel. This action contains a team identifier so that you can see which team the departing guest comes from (useful for externally shared channels).,,alert,
guest_created,change,created,A guest was created.,A guest was created.,AAA,,
guest_deactivated,change,deleted,A guest was deactivated.,A guest was deactivated.,AAA,,
guest_expiration_cleared,alert,,A guest had an expiration time cleared (before this time arrived).,A guest had an expiration time cleared (before this time arrived).,,alert,
guest_expiration_set,alert,,A guest had an account expiration time set.,A guest had an account expiration time set.,,alert,
guest_expired,alert,,A guest was deactivated when the expiration time was reached.,A guest was deactivated when the expiration time was reached.,,event,
guest_joined_workspace,alert,,A guest joined a workspace.,A guest joined a workspace.,,event,
guest_reactivated,alert,,A guest was reactivated after having been deactivated.,A guest was reactivated after having been deactivated.,,event,
huddle_ended,huddle,,A huddle has ended.,A huddle has ended.,,,
huddle_participant_dropped,huddle,,Someone was dropped from a huddle.,Someone was dropped from a huddle.,,,
huddle_participant_joined,huddle,,Someone has joined a huddle.,Someone has joined a huddle.,,,
huddle_participant_left,huddle,,Someone has left a huddle.,Someone has left a huddle.,,,
huddle_screenshare_off,huddle,stopped,Someone stopped sharing their screen in a huddle.,Someone stopped sharing their screen in a huddle.,,,
huddle_screenshare_on,huddle,started,Someone started sharing their screen in a huddle.,Someone started sharing their screen in a huddle.,,,
huddle_started,huddle,,A huddle has started.,A huddle has started.,,,
idp_configuration_added,change,modified,IdP configuration added.,IdP configuration added.,IdP,,
idp_configuration_deleted,change,deleted,IdP configuration deleted.,IdP configuration deleted.,IdP,,
idp_prod_configuration_updated,change,updated,IdP Production configuration updated.,IdP Production configuration updated.,IdP,,
idp_test_configuration_updated,change,updated,IdP Testing configuration updated.,IdP Testing configuration updated.,IdP,,
intune_disabled,change,modified,Microsoft Intune Enterprise MDM disabled.,Microsoft Intune Enterprise MDM disabled.,MDM,,
intune_enabled,change,modified,Microsoft Intune Enterprise MDM enabled.,Microsoft Intune Enterprise MDM enabled.,MDM,,
invalid_action,alert,,The action is not supported.,The action is not supported.,,alert,
invalid_authentication,alert,,The authentication token is not valid. Check that the token is associated with an Enterprise Grid owner and that it has the auditlogs:read scope.,The authentication token is not valid. Check that the token is associated with an Enterprise Grid owner and that it has the auditlogs:read scope.,,warning,
invalid_cursor,alert,,The pagination cursor is invalid. Check that it matches the cursor that was returned by the previous request.,The pagination cursor is invalid. Check that it matches the cursor that was returned by the previous request.,,warning,
invalid_range,alert,,The range specified in the filter is not valid. This may indicate a date from before the feature was enabled or at some point in the future.,The range specified in the filter is not valid. This may indicate a date from before the feature was enabled or at some point in the future.,,warning,
invalid_workspace,alert,,"The Audit Logs API can not be used with this workspace, most likely because it not a part of an Enterprise Grid.","The Audit Logs API can not be used with this workspace, most likely because it not a part of an Enterprise Grid.",,warning,
legal_hold_policy_created,change,created,A legal hold was created.,A legal hold was created.,policy,,
legal_hold_policy_entities_added,change,modified,Entities added to legal hold policy.,Entities added to legal hold policy.,policy,,
legal_hold_policy_entities_deleted,change,deleted,Entities deleted from legal hold policy.,Entities deleted from legal hold policy.,policy,,
legal_hold_policy_exclusion_added,change,modified,Exclusion added to legal hold policy.,Exclusion added to legal hold policy.,policy,,
legal_hold_policy_exclusion_deleted,change,deleted,Exclusion deleted from legal hold policy.,Exclusion deleted from legal hold policy.,policy,,
legal_hold_policy_reactivated,change,modified,A legal hold was reactivated.,A legal hold was reactivated.,policy,,
legal_hold_policy_released,change,modified,A legal hold was released.,A legal hold was released.,policy,,
legal_hold_policy_updated,change,updated,A legal hold was updated.,A legal hold was updated.,policy,,
manual_export_completed,alert,,A standard or corporate export has finished.,A standard or corporate export has finished.,,alert,
manual_export_deleted,change,deleted,A standard or corporate export was deleted.,A standard or corporate export was deleted.,export,,
manual_export_downloaded,data_access,downloaded,A standard or corporate export was downloaded.,A standard or corporate export was downloaded.,,,
manual_export_started,change,started,An admin or owner has started a standard or corporate export.,An admin or owner has started a standard or corporate export.,export,,
manual_user_export_completed,alert,,A manual user export has finished.,A manual user export has finished.,,alert,
manual_user_export_deleted,change,deleted,A manual user export was deleted.,A manual user export was deleted.,export,,
manual_user_export_downloaded,data_access,downloaded,A manual user export was downloaded.,A manual user export was downloaded.,,,
manual_user_export_started,change,started,A manual user export has started.,A manual user export has started.,export,,
message_flagged,alert,,A message was flagged.,A message was flagged.,,warning,
message_moderated,alert,,A message was moderated.,A message was moderated.,,alert,
message_restored,alert,,A message was restored.,A message was restored.,,alert,
message_tombstoned,alert,,A message was tombstoned.,A message was tombstoned.,,alert,
method_not_allowed,alert,,This method is not allowed on the workspace or with the token used.,This method is not allowed on the workspace or with the token used.,,warning,
migration_completed,alert,,A migration was completed.,A migration was completed.,,alert,
migration_dms_mpdms_completed,alert,,A migration of DMs and MPDMs completed.,A migration of DMs and MPDMs completed.,,alert,
migration_scheduled,alert,,A migration was scheduled.,A migration was scheduled.,,event,
missing_authentication,alert,,The OAuth token is either missing from the header of the request or malformed.,The OAuth token is either missing from the header of the request or malformed.,,warning,
mpim_converted_to_private,change,modified,A multi-party direct message was converted to a private channel.,A multi-party direct message was converted to a private channel.,mpim,,
native_dlp_rule_action_applied,change,updated,Data Loss Prevention Rule triggered.,Data Loss Prevention Rule triggered.,dlp_rule,,
native_dlp_rule_created,change,created,Data Loss Prevention Rule created.,Data Loss Prevention Rule created.,dlp_rule,,
native_dlp_rule_deactivated,change,modified,Data Loss Prevention Rule deactivated.,Data Loss Prevention Rule deactivated.,dlp_rule,,
native_dlp_rule_reactivated,change,modified,Data Loss Prevention Rule reactivated.,Data Loss Prevention Rule reactivated.,dlp_rule,,
native_dlp_violation_deleted,change,deleted,Data Loss Prevention Rule deleted.,Data Loss Prevention Rule deleted.,dlp_violation,warning,
org_app_future_workspace_install_disabled,change,updated,Disabled auto install of org installed apps to future workspaces.,Disabled auto install of org installed apps to future workspaces.,app,,
org_app_future_workspace_install_enabled,change,modified,Enabled auto install of org installed apps to future workspaces.,Enabled auto install of org installed apps to future workspaces.,app,,
org_app_upgraded_to_org_install,change,updated,An app was granted access to all workspaces that previously had the app installed.,An app was granted access to all workspaces that previously had the app installed.,app,,
org_app_workspace_added,change,modified,An App was added on a workspace.,An App was added on a workspace.,app,,
org_app_workspace_removed,change,deleted,An App was removed from a workspace.,An App was removed from a workspace.,app,,
org_enforcement_added,change,modified,,,organization,,
org_enforcement_removed,change,deleted,,,organization,,
organization_accepted_migration,alert,,The Org Owner accepted a workspace invitation to join their organization.,The Org Owner accepted a workspace invitation to join their organization.,,alert,
organization_created,change,created,An Enterprise Grid organization was created.,An Enterprise Grid organization was created.,organization,,
organization_declined_migration,alert,,The Org Owner declined a workspace invitation to join their organization.,The Org Owner declined a workspace invitation to join their organization.,,event,
organization_deleted,change,deleted,An Enterprise Grid organization was deleted.,An Enterprise Grid organization was deleted.,organization,,
organization_domain_changed,change,modified,An Enterprise Grid organization's domain was changed.,An Enterprise Grid organization's domain was changed.,organization,,
organization_public_url_updated,change,modified,Your organization’s public URL has been changed.,Your organization’s public URL has been changed.,organization,,
organization_renamed,change,modified,An Enterprise Grid organization was renamed.,An Enterprise Grid organization was renamed.,organization,,
organization_unverified,alert,,Slack has flagged a change in your organization’s identity and has unverified it. The organization will no longer be denoted with a verified badge.,Slack has flagged a change in your organization’s identity and has unverified it. The organization will no longer be denoted with a verified badge.,,event,
organization_verified,alert,,Slack has confirmed the identity of your organization. The organization will now be denoted with a verified badge.,Slack has confirmed the identity of your organization. The organization will now be denoted with a verified badge.,,event,
owner_transferred,change,updated,An owner was transferred.,An owner was transferred.,owner,,
permissions_assigned,change,modified,A team member was assigned a permission.,A team member was assigned a permission.,permissions,,
permissions_removed,change,modified,A team member was unassigned a permission.,A team member was unassigned a permission.,permissions,,
pref.allow_calls,change,modified,A preference indicating whether Slack Calls can be used in this workspace has changed.,A preference indicating whether Slack Calls can be used in this workspace has changed.,workspace,,
pref.allow_message_deletion,change,modified,Someone altered this workspace's settings around whether messages can be deleted or not.,Someone altered this workspace's settings around whether messages can be deleted or not.,workspace,,
pref.app_dir_only,change,modified,Whether only Slack App Directory apps can be installed or not in this workspace has changed.,Whether only Slack App Directory apps can be installed or not in this workspace has changed.,workspace,,
pref.app_whitelist_enabled,change,modified,Someone's carefully carved or culled the list of apps this workspace has allowed.,Someone's carefully carved or culled the list of apps this workspace has allowed.,workspace,,
pref.block_download_and_copy_on_untrusted_mobile,change,modified,The setting of blocking file download and copy on untrusted mobile device.,The setting of blocking file download and copy on untrusted mobile device.,filesystem,,
pref.block_file_download_for_unapproved_ip,change,modified,The setting of blocking file download on desktop client with unauthorized IP ranges.,The setting of blocking file download on desktop client with unauthorized IP ranges.,filesystem,,
pref.can_receive_shared_channels_invites,change,modified,Whether this workspace can receive invites to share channels with other workspaces has changed.,Whether this workspace can receive invites to share channels with other workspaces has changed.,workspace,,
pref.commands_only_regular,change,modified,The setting determining whether restricted users are restricted from using slash commands was changed.,The setting determining whether restricted users are restricted from using slash commands was changed.,commands,,
pref.custom_tos,change,modified,This workspace's settings on having a custom terms of service have changed.,This workspace's settings on having a custom terms of service have changed.,workspace,,
pref.disallow_public_file_urls,change,modified,This workspace has modified their public file URL settings for files uploaded within it.,This workspace has modified their public file URL settings for files uploaded within it.,workspace,,
pref.dm_retention_changed,change,modified,The direct message (DM) retention setting changed. Includes a details parameter noting the previous and new values.,The direct message (DM) retention setting changed. Includes a details parameter noting the previous and new values.,dm,,
pref.dnd_enabled,change,modified,Do not disturb settings have been enabled for a workspace.,Do not disturb settings have been enabled for a workspace.,workspace,,
pref.dnd_end_hour,change,modified,The exact ending hour for workspace do not disturb settings has been set. Work hard and go home.,The exact ending hour for workspace do not disturb settings has been set. Work hard and go home.,workspace,,
pref.dnd_start_hour,change,modified,The exact starting hour for workspace do not disturb settings has been set. Hopefully everyone is awake and ready to work by then.,The exact starting hour for workspace do not disturb settings has been set. Hopefully everyone is awake and ready to work by then.,workspace,,
pref.emoji_only_admins,change,modified,"Someone modified the list of emoji-administrating admins, so you know who stole the cookies from the cookie jar.","Someone modified the list of emoji-administrating admins, so you know who stole the cookies from the cookie jar.",workspace,,
pref.enterprise_default_channels,change,modified,Someone modified the list of default channels across the enterprise grid.,Someone modified the list of default channels across the enterprise grid.,channel,,
pref.enterprise_team_creation_request,alert,,Someone has requested that your organization allow a new workspace to be created.,Someone has requested that your organization allow a new workspace to be created.,workspace,alert,
pref.file_retention_changed,change,modified,The file retention setting changed. Includes a details parameter noting the previous and new values.,The file retention setting changed. Includes a details parameter noting the previous and new values.,filesystem,,
pref.msg_edit_window_mins,change,modified,Someone edited the edit messaging window for a workspace!,Someone edited the edit messaging window for a workspace!,workspace,,
pref.private_channel_retention_changed,change,modified,The group (private channel) retention setting changed. Includes a details parameter noting the previous and new values.,The group (private channel) retention setting changed. Includes a details parameter noting the previous and new values.,channel,,
pref.public_channel_retention_changed,change,modified,The channel retention setting type changed. Includes a details parameter noting the previous and new values.,The channel retention setting type changed. Includes a details parameter noting the previous and new values.,channel,,
pref.retention_override_changed,change,modified,"The retention override setting, allowing workspace members to set their own retention period for private channels and DMs, changed. Includes a details parameter noting the previous and new values.","The retention override setting, allowing workspace members to set their own retention period for private channels and DMs, changed. Includes a details parameter noting the previous and new values.",channel,,
pref.session_duration_changed,change,modified,The organizations session duration was changed.,The organizations session duration was changed.,session,,
pref.session_duration_type_changed,change,modified,The organization's session type has has changed.,The organization's session type has has changed.,session,,
pref.sign_in_with_slack_disabled,change,modified,This workspace changed their preference around allowing Sign in with Slack.,This workspace changed their preference around allowing Sign in with Slack.,workspace,,
pref.slackbot_responses_disabled,change,modified,The settings around whether Slackbot's witty responses are enabled or disabled changed.,The settings around whether Slackbot's witty responses are enabled or disabled changed.,setting,,
pref.slackbot_responses_only_admins,change,modified,There's a secret cabal of admins for those witty Slackbot responses and that list was changed.,There's a secret cabal of admins for those witty Slackbot responses and that list was changed.,setting,,
pref.sso_setting_changed,change,modified,The Single Sign On (SSO) restriction changed. Includes a details parameter noting the previous and new values.,The Single Sign On (SSO) restriction changed. Includes a details parameter noting the previous and new values.,sso,,
pref.stats_only_admins,change,modified,The list of admins that can work with workspace statistics only has changed.,The list of admins that can work with workspace statistics only has changed.,workspace,,
pref.two_factor_auth_changed,change,modified,The two-factor authentication requirement changed. Includes a details parameter noting the previous and new values.,The two-factor authentication requirement changed. Includes a details parameter noting the previous and new values.,two-factor,,
pref.two_factor_prevent_sms_changed,change,modified,Allowed usage of SMS for two-factor authentication has changed. Includes a details parameter noting the previous and new values.,Allowed usage of SMS for two-factor authentication has changed. Includes a details parameter noting the previous and new values.,two-factor,,
pref.uneditable_user_profile_fields,change,modified,A list of read-only user profile fields.,A list of read-only user profile fields.,AAA,,
pref.username_policy,change,modified,A workspace's username policy preference changed.,A workspace's username policy preference changed.,workspace,,
pref.who_can_archive_channels,change,modified,Who can archive channels indeed?,Who can archive channels indeed?,channel,,
pref.who_can_create_delete_user_groups,change,modified,The list of who can create or delete user groups changed.,The list of who can create or delete user groups changed.,permissions,,
pref.who_can_create_private_channels,change,modified,"It's like a who's who of who can create private channels, and it changed.","It's like a who's who of who can create private channels, and it changed.",permissions,,
pref.who_can_create_public_channels,change,modified,"It's like a who's who of who can create public channels, and it changed.","It's like a who's who of who can create public channels, and it changed.",permissions,,
pref.who_can_edit_user_groups,change,modified,The list of those who can edit user groups changed.,The list of those who can edit user groups changed.,permissions,,
pref.who_can_manage_channel_posting_prefs,change,modified,Someone's been changing who can manage channel posting preferences,Someone's been changing who can manage channel posting preferences,permissions,,
pref.who_can_manage_ext_shared_channels,change,modified,The list of who can manage externally shared channels has changed for this workspace.,The list of who can manage externally shared channels has changed for this workspace.,permissions,,
pref.who_can_manage_guests,change,modified,The list of who can manage guests now has changed for this workspace.,The list of who can manage guests now has changed for this workspace.,permissions,,
pref.who_can_manage_shared_channels,change,modified,Settings around who can remove users from shared channels has changed for a workspace.,Settings around who can remove users from shared channels has changed for a workspace.,permissions,,
pref.who_can_remove_from_private_channels,change,modified,Settings around who can remove users from private channels has changed for a workspace.,Settings around who can remove users from private channels has changed for a workspace.,permissions,,
prefs_setting_changed,change,modified,Preference settings was updated.,Preference settings was updated.,preferences,,
private_channel_archive,change,modified,A private channel was archived.,A private channel was archived.,channel,,
private_channel_converted_to_public,change,modified,A channel which was once private is now public.,A channel which was once private is now public.,channel,,
private_channel_created,change,created,A private channel was created.,A private channel was created.,channel,,
private_channel_deleted,change,deleted,A private channel was deleted.,A private channel was deleted.,channel,,
private_channel_unarchive,change,modified,A private channel was unarchived.,A private channel was unarchived.,channel,,
private_message_forwarded,data_access,forwarded,A message from a DM or private channel was forwarded or shared via link.,A message from a DM or private channel was forwarded or shared via link.,,,
public_channel_archive,change,modified,A public channel was archived.,A public channel was archived.,channel,,
public_channel_converted_to_private,change,modified,A channel which was once public is now private.,A channel which was once public is now private.,channel,,
public_channel_created,change,created,A public channel was created.,A public channel was created.,channel,,
public_channel_deleted,change,deleted,A public channel was deleted.,A public channel was deleted.,channel,,
public_channel_preview,change,read,Conversations of a public channel are viewed by a user who is not a member of the channel.,Conversations of a public channel are viewed by a user who is not a member of the channel.,channel,,
public_channel_unarchive,change,modified,A public channel was unarchived.,A public channel was unarchived.,channel,,
rate_limited,alert,,The app is calling the API too often. Please slow down.,The app is calling the API too often. Please slow down.,,warning,
role_added_to_usergroup,change,modified,A role was added to a user group.,A role was added to a user group.,role,,
