index_name,type,app_name,default_retention,biz_desc,biz_owner
pci_summary,event summary,Splunk_DA-ESS_PCICompliance,30,"If PCI is installed, contains the PCI summary data.",SOC
summary,event,system,2184,"In Splunk, summary indexing is an alert option for scheduled saved searches. When you run a saved search with summary indexing turned on, its search results are temporarily stored in a file ($SPLUNK_HOME/var/spool/splunk/<savedsearch_name>_<random-number>.stash). From the file, Splunk uses the addinfo command to add general information about the current search and the fields you specify during configuration to each result. Splunk then indexes the resulting event data in the summary index that you've designated for it (index=summary by default).  Note: Use the addinfo command to add fields containing general information about the current search to the search results going into a summary index. General information added about the search helps you run reports on results you place in a summary index.",Splunk Admins
mailmta,event,org_all_indexes,365,inbound email server logs,NOC
cim_modactions,event,Splunk_SA_CIM,2184,Index definition is used with the common action model alerts and auditing. In ES Contains the adaptive response action events.,Splunk Admins
add_on_builder_index,event,splunk_app_addon-builder,30,Index for Splunk Add-On Builder. This is used to index manual log file upload for TA development.,Splunk Admins
ia4s_summary,event summary,insights_app_splunk,365,Insights App for Splunk App,Splunk Admins
appwebint,event,org_all_indexes,90,"Internal WebApp Access Logs.  Internal version of appwebext.  IIS, Apache etc…",SOC
appwebintrp,event,org_all_indexes,90,Internal-facing Web App Load Balancers.  Internal version of appwebint,SOC
netipm,event,org_all_indexes,30,IP management mostly DHCP servers can also be Microsoft IPAM (rare),NOC
journald,event,org_all_indexes,90,Journald input,Splunk Admins
netacl,event,org_all_indexes,30,"Legacy Network ACL rule interaction, allow deny etc events generated by NONT stateful packet inspection solutions. ACL events log in both request and response patterns.  logs from non stateful firewalls such as those in cisco switches.",NOC
epproxy,event,org_all_indexes,30,Local Proxy Activity,SOC
appextmsexchange,event,org_all_indexes,30,Logs from the external facing exchange application servers,SOC
appextwebmsexchange,event,org_all_indexes,90,Logs from the external facing exchange web application servers,SOC
appintmsexchange,event,org_all_indexes,30,Logs from the internal facing exchange application servers,SOC
mail,event,org_all_indexes,365,Mail Index,NOC
appmsgserver,event,org_all_indexes,90,Messaging Servers.  Message bus server logs i.e. kafka or websphere,SOC
netwaf,event,org_all_indexes,90,Netscaler WAF Security for. Stores attack data on web infrastructure prohibited by Netscaler.,SOC
netfw,event,org_all_indexes,30,"Network firewall rule interaction, allow deny etc events generated by stateful packet inspection solutions. This excludes non stateful events such as switch ACLs",NOC
network_summary,event summary,SA-NetworkProtection,30,Network Traffic summary index.,SOC
traffic_center_summary,event summary,SA-NetworkProtection,30,Network Traffic summary index.,SOC
_metrics,metric,system,14,New _metrics Index,Splunk Admins
osnixmetrics,metric,org_all_indexes,30,Nix Metrics OS Collection,SOC
itsi_im_meta,event,SA-IndexCreation,2184,Optional index that stores Kubernetes metadata.,NOC
em_metrics,metric,Splunk_TA_Infrastructure,30,Optional opt-in for SC4S operational metrics; ensure this is created as a metrics index,NOC
netops,event,org_all_indexes,30,general network system data (such as Cisco iOS non-netflow logs).  Operational or administrative logs from network devices such as operating system health or change activity.  General network operational logs and audits such as those generated by checkpoint and palo alto when admins change config.,NOC
mailgw,event,org_all_indexes,365,outbount email server logs,NOC
sim_metrics,metric,splunk_ta_sim,90,Provides a modular input and search command that query your Splunk Infrastructure Monitoring instance to retrieve metrics and event data.,NOC
netproxy,event,org_all_indexes,90,proxy such as bluecoat,NOC
proxy_center_summary,event summary,SA-NetworkProtection,30,Proxy summary index.,SOC
_configtracker,event,system,30,Splunk 9.0: Configuration Change Tracking,Splunk Admins
infra_alerts,metric,Splunk_TA_Infrastructure,30,Splunk Add-on for Infrastructure,NOC
em_meta,metric,Splunk_TA_Infrastructure,90,Splunk Add-on for Infrastructure,NOC
chargeback_summary,event summary,org_all_indexes,400,Splunk App for Chargeback,Splunk Admins
edge-hub-status,metric,org_all_indexes,90,Splunk Edge Hub data handling - Health,NOC
edge-hub-logs,event,org_all_indexes,90,Splunk Edge Hub data handling - Logs,NOC
edge-hub-snmp,event,org_all_indexes,90,Splunk Edge Hub data handling - SNMP,NOC
edge-hub-data,metric,org_all_indexes,90,Splunk Edge Hub data handling Anomalies and Sensors,NOC
phantom_action_run,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_app,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_app_run,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_artifact,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_asset,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_audit,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_container,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_container_attachment,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_container_comment,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_container_note,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_decided_list,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_docs,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_note,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_playbook,event,org_all_indexes,30,Splunk Phantom indexes,SOC
phantom_workflow_note,event,org_all_indexes,30,Splunk Phantom indexes,SOC
itsi_grouped_alerts,event,SA-IndexCreation,2184,Stores active episode data.,NOC
itsi_tracked_alerts,event,SA-IndexCreation,2184,Stores active raw notable event data.,NOC
itsi_notable_audit,event,SA-IndexCreation,2184,"Stores all audit events for episodes, including actions, comments, status change, and owner change.",NOC
itsi_im_metrics,metric,Splunk_TA_Infrastructure,2184,Stores entity data for entity discovery in ITSI.,NOC
itsi_notable_archive,event,SA-IndexCreation,2184,"Stores episode metadata (tags and comments) that has been moved from the KV store after a default 6 month retention period, which begins when you close an episode in the UI. Moving data from the KV store removes extraneous data and helps improve performance.",NOC
vmware-esxihost,event,Splunk_TA_vmware,14,Stores ESXi host log data.,NOC
snmptrapd,event,SA-IndexCreation,30,"Stores events coming in from SNMP traps. For more information, see Ingest SNMP traps into ITSI.",NOC
itsi_import_objects,event,SA-IndexCreation,2184,Stores events indexed from a manual entity or service import from a CSV file.,NOC
vmware-inv,event,Splunk_TA_vmware,30,Stores inventory data from a vCenter Server.,NOC
vmware-perf-metrics,event,Splunk_TA_vmware,14,Stores metrics data from a vCenter server.,NOC
vmware-perf,event,Splunk_TA_vmware,14,Stores Performance data.,NOC
_internal,event,system,30,Stores Splunk Enterprise internal logs and processing metrics.,Splunk Admins
vmware-taskevent,event,Splunk_TA_vmware,30,Stores task and event data from a vCenter Server.,NOC
vmware-vclog,event,Splunk_TA_vcenter,30,Stores vCenter Server log data.,NOC
vmware-esxilog,event,Splunk_TA_esxilogs,30,Stores VMWare vCenter log data.,NOC
gia_summary,event summary,DA-ESS-ThreatIntelligence,30,Summary index used by the Geographically Improbable Access panel on the Access Anomalies dashboard. That search references the Authentication data model.,SOC
_metrics_rollup,metric,system,730,The _metrics_rollup index is an internal index that is designed for use by the Monitoring Console. Data flows to it only when the Monitoring Console is enabled and the metrics rollup policy configured in the context of the Monitoring Console app is also enabled.,Splunk Admins
unix_summary,event summary,SA_nix,30,The Splunk Supporting Add-on for Unix and Linux creates two indexes: unix_summary and firedalerts. It uses these indexes to maintain the list of triggered alert events.,SOC
main,event,system,2184,This is the default Splunk Enterprise index. All processed data is stored here unless otherwise specified.,Splunk Admins
_introspection,event,system,14,Tracks system performance and Splunk resource usage data.  Generates data about your Splunk instance and environment and writes that data to log files to aid in reporting on system resource utilization and troubleshooting problems with your Splunk Enterprise deployment.,Splunk Admins
osnixbash,event,org_all_indexes,30,UNIX/Linux Bash,SOC
netvpn,event,org_all_indexes,90,VPN events including session start/stop and communications,NOC
syslog_unclassified,event,org_all_indexes,30,when setting up a syslog server that uses actions to set sourcetype/index via multiple files anything that falls out is sent here so this should be empty and if its not empty data is onboarded wrong,NOC
whois,event,SA-NetworkProtection,90,WHOIS data index.,SOC
oswinmetrics,metric,org_all_indexes,30,Win Metrics OS Collection,SOC
af-cms-drugs,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
af-cms-excl,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
af-cms-paydocs,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
af-cms-summ,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
af_wt_bank_trans,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
af_wt_fraud_notables,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
af_wt_sum_acct_profile_target_acct,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
af_wt_sum_fds_stats,event,Splunk-SE-Fraud-Detection,30,Wire Transfer Fraud,SOC
netdlp,event,org_all_indexes,30,,NOC
appo365,event,org_all_indexes,90,MS Office 365 logs,NOC
appwebextmsexchange,event,org_all_indexes,30,,SOC
epfw,event,org_all_indexes,30,Endpoint Firewall,SOC
ephids,event,org_all_indexes,30,,SOC
security_getting_started,event,org_all_indexes,30,,SOC
_thefishbucket,other,system,28,,Splunk Admins
history,event,system,7,Deprecated,Splunk Admins
