ip,domain,intel
"3.223.115.185","coronafm.com","malwarepatrol.net"
"HDRedirect-LB7-5a03e1c2772e1c9c.elb.us-east-1.amazonaws.com.","coronafm.com","malwarepatrol.net"
"185.20.205.36","corona-digitalhelp.com","malwarepatrol.net"
"66.96.162.134","collincountycoviddashboard.com","malwarepatrol.net"
"206.188.192.53","pandemic-begone.biz","malwarepatrol.net"
"76.74.235.206","campcovid.camp","malwarepatrol.net"
"66.96.162.130","agourahillscovidtesting.com","malwarepatrol.net"
"84.16.234.208","covidcapacity.net","malwarepatrol.net"
"178.254.42.102","corona-test-point.berlin","malwarepatrol.net"
"217.160.0.163","corona-impfzentrum.hamburg","malwarepatrol.net"
"144.217.240.63","covidplus.care","malwarepatrol.net"
"204.11.56.48","4corona.com","malwarepatrol.net"
"107.180.44.154","covid19grants.biz","malwarepatrol.net"
"94.23.85.6","ceciliahenriquezcoronado.com","malwarepatrol.net"
"185.53.177.30","aftercovidclinic.com","malwarepatrol.net"
"197.221.14.85","covid-risk-free.com","malwarepatrol.net"
"198.50.252.64","coviddatadonor.com","malwarepatrol.net"
"54.68.225.174","covidasxquant.com","malwarepatrol.net"
"192.185.27.179","covid19tricks.com","malwarepatrol.net"
"145.131.10.247","coronastoplicht.com","malwarepatrol.net"
"181.225.136.110","coronamuebles.com","malwarepatrol.net"
"52.58.78.16","coronafamilyattorney.com","malwarepatrol.net"
"192.64.147.168","coronadrywall.com","malwarepatrol.net"
"52.201.79.206","chocovida.com","malwarepatrol.net"
"52.23.148.124","chocovida.com","malwarepatrol.net"
"91.199.90.130","decorona.best","malwarepatrol.net"
"45.93.101.2","covidheroesawards.com","malwarepatrol.net"
"104.24.108.144","coviddralbuja.com","malwarepatrol.net"
"35.208.116.33","covidcaseslive.com","malwarepatrol.net"
"178.128.154.27","covid19datatrack.com","malwarepatrol.net"
"85.159.66.93","covid19antikortestkiti.com","malwarepatrol.net"
"178.62.215.152","coronavirus-chance.com","malwarepatrol.net"
"54.84.104.245","coronatestdenhaag.com","malwarepatrol.net"
"109.237.134.42","corona-impfpass.com","malwarepatrol.net"
"72.167.205.125","coronadoheadshots.com","malwarepatrol.net"
"217.160.0.45","changeyourcovidsmind.com","malwarepatrol.net"
"193.29.201.57","anticovid-denmark.com","malwarepatrol.net"
"18.223.228.101","805coronado.com","malwarepatrol.net"
"217.160.0.38","covidneindanke.com","malwarepatrol.net"
"192.232.223.51","covidmarket.biz","malwarepatrol.net"
"162.214.74.246","covid19live.bid","malwarepatrol.net"
"35.186.241.127","covid19-benefit.com","malwarepatrol.net"
"188.93.150.57","coronahulp.amsterdam","malwarepatrol.net"
"104.31.82.8","centraldeajudacovid.com","malwarepatrol.net"
"104.31.83.8","centraldeajudacovid.com","malwarepatrol.net"
"172.67.136.131","centraldeajudacovid.com","malwarepatrol.net"
"217.160.0.169","covidvaccinationcentre.com","malwarepatrol.net"
"46.30.215.6","covidtestsurrey.com","malwarepatrol.net"
"72.167.241.46","covidtestingfla.com","malwarepatrol.net"
"46.30.215.31","covidtestguildford.com","malwarepatrol.net"
"3.138.175.197","covidcaredeliveries.com","malwarepatrol.net"
"217.160.0.76","covid19-desinfeccion.com","malwarepatrol.net"
"217.160.0.18","covid19-centrodevacunacion.com","malwarepatrol.net"
"185.182.57.70","corona-watcher.com","malwarepatrol.net"
"23.227.38.68","coronaschutzbedarf.com","malwarepatrol.net"
"217.160.0.108","coronarecoveryforum.com","malwarepatrol.net"
"217.160.0.119","coronarecoveryconcept.com","malwarepatrol.net"
"217.160.0.79","against-corona24.com","malwarepatrol.net"
"107.180.51.2","pandemica.club","malwarepatrol.net"
"81.169.145.72","coronatestzentrum.berlin","malwarepatrol.net"
"66.96.162.146","athomecovidconcierge.com","malwarepatrol.net"
"31.11.35.19","anticovidmolecularchain.com","malwarepatrol.net"
"51.77.151.85","vaccinocovid.biz","malwarepatrol.net"
"205.144.171.63","dohcorona.com","malwarepatrol.net"
"35.209.104.207","covidwt.com","malwarepatrol.net"
"51.210.43.188","covid-vaccine.biz","malwarepatrol.net"
"40.132.84.252","covidtesttexas.com","malwarepatrol.net"
"104.31.90.70","covidaruba.com","malwarepatrol.net"
"104.31.91.70","covidaruba.com","malwarepatrol.net"
"172.67.142.63","covidaruba.com","malwarepatrol.net"
"162.241.225.21","covid19pcrtestkits.com","malwarepatrol.net"
"69.167.137.133","covid19disposables.com","malwarepatrol.net"
"35.209.137.212","covid192017.com","malwarepatrol.net"
"172.67.213.10","coronayakarsi.com","malwarepatrol.net"
"104.27.143.44","coronayakarsi.com","malwarepatrol.net"
"104.27.142.44","coronayakarsi.com","malwarepatrol.net"
"172.67.179.99","coronavaccinestatus.com","malwarepatrol.net"
"104.27.162.177","coronavaccinestatus.com","malwarepatrol.net"
"104.27.163.177","coronavaccinestatus.com","malwarepatrol.net"
"217.160.0.57","corona-transfer.com","malwarepatrol.net"
"81.169.145.78","coronatestzentrum.com","malwarepatrol.net"
"188.165.2.137","coronageschaedigte.com","malwarepatrol.net"
"94.23.150.222","coronageschaedigte.com","malwarepatrol.net"
"178.33.43.150","coronageschaedigte.com","malwarepatrol.net"
"94.23.73.212","coronageschaedigte.com","malwarepatrol.net"
"94.23.159.185","coronageschaedigte.com","malwarepatrol.net"
"178.33.44.177","coronageschaedigte.com","malwarepatrol.net"
"94.23.76.111","coronageschaedigte.com","malwarepatrol.net"
"178.33.43.178","coronageschaedigte.com","malwarepatrol.net"
"178.33.115.32","coronageschaedigte.com","malwarepatrol.net"
"107.180.56.145","coronagc.com","malwarepatrol.net"
"3.138.72.189","coronacondo.com","malwarepatrol.net"
"3.12.202.18","coronacondo.com","malwarepatrol.net"
"190.97.166.39","cafcovid.com","malwarepatrol.net"
"104.18.58.144","arekmalangwaspadacovid.com","malwarepatrol.net"
"104.18.59.144","arekmalangwaspadacovid.com","malwarepatrol.net"
"172.67.148.55","arekmalangwaspadacovid.com","malwarepatrol.net"
"94.23.80.208","aldocoronado.com","malwarepatrol.net"
"79.170.40.4","10-minute-covid-test.com","malwarepatrol.net"
"217.160.0.188","productoscovid.net","malwarepatrol.net"
"104.27.155.193","epidemics-larkspur-lexo.club","malwarepatrol.net"
"104.27.154.193","epidemics-larkspur-lexo.club","malwarepatrol.net"
"172.67.174.183","epidemics-larkspur-lexo.club","malwarepatrol.net"
"15.236.140.165","covidtransplants.org","malwarepatrol.net"
"50.87.175.165","covidlonghaulers.info","malwarepatrol.net"
"64.111.120.64","covidfaqs.live","malwarepatrol.net"
"85.13.162.181","corona-test-hanau.info","malwarepatrol.net"
"185.87.187.124","coronatesten.app","malwarepatrol.net"
"81.169.145.80","corona-existenzhilfe.org","malwarepatrol.net"
"190.107.177.242","blogcovid.online","malwarepatrol.net"
"81.2.194.128","barcovid19.online","malwarepatrol.net"
"195.22.148.49","fundz4-covid19.com","malwarepatrol.net"
"91.200.40.37","forum-covid.com","malwarepatrol.net"
"157.230.201.237","flemingtoncovidcheck.com","malwarepatrol.net"
"217.160.0.117","crisecovid.com","malwarepatrol.net"
"103.224.182.242","covidvacinestudy.com","malwarepatrol.net"
"208.91.197.39","covidtestingmdadvisor.com","malwarepatrol.net"
"23.227.38.65","covidsafetysurplus.com","malwarepatrol.net"
"103.157.184.24","covidmongolia.app","malwarepatrol.net"
"108.179.232.143","covidcrushchallenge.com","malwarepatrol.net"
"118.27.99.151","covid-19-hokkaido.com","malwarepatrol.net"
"162.214.161.94","2ndcovid19.com","malwarepatrol.net"
"104.198.185.19","csscovid.com","malwarepatrol.net"
"91.216.107.147","covidornotcovid.com","malwarepatrol.net"
"184.169.141.142","coronatowers.com","malwarepatrol.net"
"88.99.161.188","coronaplandemie.com","malwarepatrol.net"
"31.31.198.175","coronaknowwhos.com","malwarepatrol.net"
"217.160.0.183","coronainfo.blog","malwarepatrol.net"
"185.98.131.159","collectifanticovid.com","malwarepatrol.net"
"41.203.18.177","childofcovid.com","malwarepatrol.net"
"3.248.134.74","covidtrackerinfo.com","malwarepatrol.net"
"52.208.219.134","covidtrackerinfo.com","malwarepatrol.net"
"34.254.115.250","covidtrackerinfo.com","malwarepatrol.net"
"34.242.185.160","covidtrackerinfo.com","malwarepatrol.net"
"34.253.22.180","covidtrackerinfo.com","malwarepatrol.net"
"34.240.125.12","covidtrackerinfo.com","malwarepatrol.net"
"52.49.48.68","covidtrackerinfo.com","malwarepatrol.net"
"52.31.177.68","covidtrackerinfo.com","malwarepatrol.net"
"shielded-cephalopod-kk2elu4xgeqbgb72sp1r6q76.herokudns.com.","covidtrackerinfo.com","malwarepatrol.net"
"192.252.151.219","covidthurston.com","malwarepatrol.net"
"81.169.145.77","covidtestoplocatie.com","malwarepatrol.net"
"98.142.97.194","covidnum.com","malwarepatrol.net"
"66.96.163.253","covidguardz.com","malwarepatrol.net"
"199.79.62.225","covidgamathon.com","malwarepatrol.net"
"35.180.48.13","covidendatos.com","malwarepatrol.net"
"72.55.168.41","covidarrest.com","malwarepatrol.net"
"217.160.0.202","covid19persistente.com","malwarepatrol.net"
"13.112.187.226","covid-19inspection.com","malwarepatrol.net"
"96.44.191.131","covid19emergencyfinancialrelief.com","malwarepatrol.net"
"5.189.186.222","coronatestpad.com","malwarepatrol.net"
"62.116.130.8","corona-test-hanau.com","malwarepatrol.net"
"46.30.211.38","coronaprofylaxis.com","malwarepatrol.net"
"81.169.145.88","corona-outlet.com","malwarepatrol.net"
"81.169.145.92","corona-global.com","malwarepatrol.net"
"162.213.251.215","corona-esports.com","malwarepatrol.net"
"85.128.128.104","anticovidcover.com","malwarepatrol.net"
"18.206.34.51","anticovid19mattersinc.com","malwarepatrol.net"
"3.217.250.33","anticovid19mattersinc.com","malwarepatrol.net"
"185.178.193.253","24lascoronas-lanzarote.com","malwarepatrol.net"
"212.123.41.108","vakcinacovid.info","malwarepatrol.net"
"206.188.193.29","covidegree.org","malwarepatrol.net"
"162.241.62.141","covid19sbc.info","malwarepatrol.net"
"188.138.57.207","coronascams.org","malwarepatrol.net"
"46.23.69.44","coronaqa.online","malwarepatrol.net"
"85.13.128.144","coronacheckin.app","malwarepatrol.net"
"35.209.61.97","alwayspandemicneverchristmas.org","malwarepatrol.net"
"87.230.43.216","covidwintertest.com","malwarepatrol.net"
"199.34.228.77","covidtestistanbul.com","malwarepatrol.net"
"50.62.195.83","covidtestcard.com","malwarepatrol.net"
"77.244.243.39","covid-stop.biz","malwarepatrol.net"
"23.227.38.66","covidpenissolutions.com","malwarepatrol.net"
"81.169.145.162","covid-impfstelle.com","malwarepatrol.net"
"23.227.38.72","covidhealthneeds.com","malwarepatrol.net"
