Category,Name,Formula,Formula_Subscript,Lifetime (years),Radiative efficiency (W m-2 ppb-1),AGWP 20 (pW m-2 yr kg-1 ),GWP 20,AGWP 100 (pW m-2 yr kg-1),GWP 100,AGWP 500 (pW m-2 yr kg-1),GWP 500,AGTP 50 (pW m2 yr kg-1),GTP 50,AGTP 100 (pW m-2 yr kg-1),GTP 100,CGTP 50 (yr),CGTP 100 (yr)
Hydrofluorocarbons,HFC-245cb,CF3CF2CH3,CF₃CF₂CH₃,39.9,0.251,170,6970,407,4550,445,1420,1.89,4410,0.817,2070,,
Hydrofluorocarbons,HFC-245ea,CHF2CHFCHF2,CHF₂CHFCHF₂,3.2,0.16,22.2,912,22.8,255,22.8,72.6,0.0246,57.4,0.0183,46.5,24800,29200
Hydrofluorocarbons,HFC-245eb,CH2FCHFCF3,CH₂FCHFCF₃,3.2,0.204,28.3,1160,29,325,29.1,92.6,0.0313,73.2,0.0234,59.2,31600,37200
Hydrofluorocarbons,HFC-245fa,CHF2CH2CF3,CHF₂CH₂CF₃,7.9,0.245,77.1,3170,86.1,962,86.1,274,0.112,262,0.0708,180,92500,109000
Hydrofluorocarbons,HFC-263fb,CH3CH2CF3,CH₃CH₂CF₃,1.1,0.1,6.55,269,6.69,74.8,6.69,21.3,0.00707,16.5,0.00534,13.5,7300,8590
Hydrofluorocarbons,HFC-272ca,CH3CF2CH3,CH₃CF₂CH₃,9,0.08,46.4,1910,53.6,599,53.6,171,0.0771,180,0.0444,113,57300,68100
Hydrofluorocarbons,HFC-329p,CHF2CF2CF2CF3,CHF₂CF₂CF₂CF₃,32,0.313,122,5010,259,2890,272,866,1.12,2610,0.421,1070,,
Hydrofluorocarbons,HFC-365mfc,CH3CF2CH2CF3,CH₃CF₂CH₂CF₃,8.9,0.228,71.1,2920,81.7,914,81.8,261,0.117,272,0.0677,172,87400,104000
Hydrofluorocarbons,HFC-43-10mee,CF3CHFCHFCF2CF3,CF₃CHFCHFCF₂CF₃,17,0.357,96.3,3960,143,1600,144,458,0.403,943,0.137,347,143000,180000
Hydrofluorocarbons,HFO-1123,CHF=CF2,CHF=CF₂,0.004,0.002,0.000414,0.017,0.000423,0.005,0.000423,0.001,4.42×10–7,0.001,3.36×10–7,0.001,0.462,0.544
Hydrofluorocarbons,HFO-1132a,CH2=CF2,CH₂=CF₂,0.013,0.004,0.0046,0.189,0.00469,0.052,0.00469,0.015,4.91×10–6,0.011,3.73×10–6,0.009,5.13,6.04
Hydrofluorocarbons,HFO-1141,CH2=CHF,CH₂=CHF,0.007,0.002,0.00213,0.088,0.00217,0.024,0.00218,0.007,2.28×10–6,0.005,1.73×10–6,0.004,2.38,2.8
Hydrofluorocarbons,HFO-1225ye(Z),(Z)-CF3CF=CHF,(Z)-CF₃CF=CHF,0.027,0.025,0.0302,1.24,0.0308,0.344,0.0308,0.098,3.23×10–5,0.075,2.45×10–5,0.062,33.7,39.6
Hydrofluorocarbons,HFO-1225ye(E),(E)-CF3CF=CHF,(E)-CF₃CF=CHF,0.016,0.015,0.0104,0.426,0.0106,0.118,0.0106,0.034,1.11×10–5,0.026,8.41×10–6,0.021,11.6,13.6
Hydrofluorocarbons,HFO-1234ze(Z),(Z)-CF3CH=CHF,(Z)-CF₃CH=CHF,0.027,0.02,0.0276,1.13,0.0282,0.315,0.0282,0.09,2.95×10–5,0.069,2.24×10–5,0.057,30.8,36.2
Hydrofluorocarbons,HFO-1234ze(E),(E)-CF3CH=CHF,(E)-CF₃CH=CHF,0.052,0.045,0.12,4.94,0.123,1.37,0.123,0.391,0.000129,0.3,9.75×10–5,0.247,134,158
Hydrofluorocarbons,HFO-1234yf,CF3CF=CH2,CF₃CF=CH₂,0.033,0.026,0.044,1.81,0.0449,0.501,0.0449,0.143,4.7×10–5,0.11,3.57×10–5,0.09,49.1,57.7
Hydrofluorocarbons,HFO-1336mzz(E),(E)-CF3CH=CHCF3,(E)-CF₃CH=CHCF₃,0.334,0.132,1.57,64.3,1.6,17.9,1.6,5.09,0.00168,3.92,0.00127,3.22,1750,2050
Hydrofluorocarbons,HFO-1336mzz(Z),(Z)-CF3CH=CHCF3,(Z)-CF₃CH=CHCF₃,0.074,0.069,0.182,7.48,0.186,2.08,0.186,0.592,0.000195,0.455,0.000148,0.374,203,239
Hydrofluorocarbons,HFO-1243zf,CF3CH=CH2,CF₃CH=CH₂,0.025,0.015,0.0229,0.94,0.0234,0.261,0.0234,0.074,2.45×10–5,0.057,1.86×10–5,0.047,25.5,30
Hydrofluorocarbons,HFO-1345zfc,CF3CF2CH=CH2,CF₃CF₂CH=CH₂,0.025,0.016,0.016,0.656,0.0163,0.182,0.0163,0.052,1.71×10–5,0.04,1.29×10–5,0.033,17.8,21
Hydrofluorocarbons,"3,3,4,4,5,5,6,6,6-nonafluorohex1-ene",n-C4F9CH=CH2,n-C₄F₉CH=CH₂,0.025,0.03,0.0179,0.734,0.0182,0.204,0.0182,0.058,1.91×10–5,0.045,1.45×10–5,0.037,19.9,23.4
Hydrofluorocarbons,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene",n-C6F13CH=CH2,n-C₆F₁₃CH=CH₂,0.025,0.034,0.0142,0.584,0.0145,0.162,0.0145,0.046,1.52×10–5,0.036,1.15×10–5,0.029,15.9,18.7
Hydrofluorocarbons,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodec-1-ene",n-C8F17CH=CH2,n-C₈F₁₇CH=CH₂,0.025,0.038,0.0124,0.508,0.0126,0.141,0.0126,0.04,1.32×10–5,0.031,0.00001,0.025,13.8,16.2
Hydrofluorocarbons,"3,3,3-trifluoro-2-(trifluoromethyl)prop-1-ene",(CF3)2C=CH2,(CF₃)₂C=CH₂,0.028,0.033,0.0331,1.36,0.0337,0.377,0.0337,0.107,3.53×10–5,0.083,2.68×10–5,0.068,36.9,43.4
Hydrofluorocarbons,"1,1,2,2,3,3-hexafluorocyclopentane",cyc (-CF2CF2CF2CH2CH2-),cyc (-CF₂CF₂CF₂CH₂CH₂-),1.6,0.2,10.5,431,10.7,120,10.7,34.2,0.0114,26.6,0.00857,21.7,11700,13800
Hydrofluorocarbons,"1,1,2,2,3,3,4-heptafluorocyclopentane",cyc (-CF2CF2CF2CHFCH2-),cyc (-CF₂CF₂CF₂CHFCH₂-),2.8,0.243,20.2,830,20.7,231,20.7,66,0.0222,52,0.0166,42.1,22500,26500
Hydrofluorocarbons,"1,3,3,4,4,5,5-heptafluorocyclopentene",cyc (-CF2CF2CF2CF=CH-),cyc (-CF₂CF₂CF₂CF=CH-),0.61,0.215,3.95,162,4.03,45.1,4.03,12.8,0.00424,9.92,0.00321,8.14,4400,5180
Hydrofluorocarbons,"(4s,5s)-1,1,2,2,3,3,4,5-octafluorocyclopentane",trans-cyc (-CF2CF2CF2CHFCHF-),trans-cyc (-CF₂CF₂CF₂CHFCHF-),3.2,0.259,22.5,925,23.1,258,23.1,73.6,0.0249,58.2,0.0186,47.1,25100,29600
Hydrofluorocarbons,HFO-1438ezy(E),(E)-(CF3)2CFCH=CHF,(E)-(CF₃)₂CFCH=CHF,0.334,0.079,0.721,29.6,0.736,8.22,0.736,2.34,0.000773,1.81,0.000585,1.48,804,946
Hydrofluorocarbons,HFO-1447fz,CF3(CF2)2CH=CH2,CF₃(CF₂)₂CH=CH₂,0.025,0.028,0.0206,0.847,0.021,0.235,0.021,0.067,2.2×10–5,0.051,1.67×10–5,0.042,23,27.1
Hydrofluorocarbons,"1,3,3,4,4-pentafluorocyclobutene",cyc (-CH=CFCF2CF2-),cyc (-CH=CFCF₂CF₂-),0.74,0.27,8.1,333,8.27,92.4,8.27,26.4,0.00872,20.4,0.00659,16.7,9030,10600
Hydrofluorocarbons,"3,3,4,4-tetrafluorocyclobutene",cyc (-CH=CHCF2CF2-),cyc (-CH=CHCF₂CF₂-),0.23,0.21,2.24,92.1,2.29,25.6,2.29,7.29,0.0024,5.61,0.00182,4.61,2500,2940
Chlorocarbons and Hydrochlorocarbons,Methyl chloroform,CH3CCl3,CH₃CCl₃,5,0.065,13.8,567,14.4,161,14.4,46,0.016,37.5,0.0117,29.7,15600,18400
Chlorocarbons and Hydrochlorocarbons,Carbon tetrachloride,CCl4,CCl₄,32,0.166,92.7,3810,196,2200,206,658,0.849,1990,0.32,810,,
Chlorocarbons and Hydrochlorocarbons,Methyl chloride,CH3Cl,CH₃Cl,0.9,0.005,0.485,19.9,0.495,5.54,0.496,1.58,0.000523,1.22,0.000395,1,541,637
Chlorocarbons and Hydrochlorocarbons,Methylene chloride,CH2Cl2,CH₂Cl₂,0.493,0.029,0.978,40.2,0.998,11.2,0.998,3.18,0.00105,2.46,0.000795,2.01,1090,1280
Chlorocarbons and Hydrochlorocarbons,Chloroform,CHCl3,CHCl₃,0.501,0.074,1.81,74.2,1.84,20.6,1.84,5.87,0.00194,4.53,0.00147,3.72,2010,2370
Chlorocarbons and Hydrochlorocarbons,Chloroethane,CH3CH2Cl,CH₃CH₂Cl,0.132,0.004,0.0422,1.73,0.043,0.481,0.043,0.137,4.51×10–5,0.105,3.42×10–5,0.087,47,55.4
Chlorocarbons and Hydrochlorocarbons,"1,2-dichloroethane",CH2ClCH2Cl,CH₂ClCH₂Cl,0.225,0.009,0.114,4.68,0.116,1.3,0.116,0.371,0.000122,0.285,9.25×10–5,0.234,127,150
Chlorocarbons and Hydrochlorocarbons,"1,1,2-trichloroethene",CHCl=CCl2,CHCl=CCl₂,0.015,0.006,0.00385,0.158,0.00393,0.044,0.00393,0.013,4.11×10–6,0.01,3.12×10–5,0.008,4.3,5.06
Chlorocarbons and Hydrochlorocarbons,"1,1,2,2-tetrachloroethene",CCl2=CCl2,CCl₂=CCl₂,0.301,0.052,0.556,22.8,0.567,6.34,0.567,1.81,0.000596,1.39,0.000451,1.14,620,730
Chlorocarbons and Hydrochlorocarbons,2-chloropropane,CH3CHClCH3,CH₃CHClCH₃,0.06,0.004,0.0158,0.651,0.0162,0.181,0.0162,0.052,1.69×10–5,0.04,1.28×10–6,0.033,17.7,20.8
Chlorocarbons and Hydrochlorocarbons,1-chlorobutane,CH3(CH2)2CH2Cl,CH₃(CH₂)₂CH₂Cl,0.012,0.001,0.000595,0.024,0.000607,0.007,0.000607,0.002,6.35×10–7,0.001,4.82×10–7,0.001,0.664,0.781
"Bromocarbons, hydrobromocarbons and halons",Methyl bromide,CH3Br,CH₃Br,0.8,0.004,0.213,8.74,0.217,2.43,0.217,0.692,0.000229,0.535,0.000173,0.438,237,279
"Bromocarbons, hydrobromocarbons and halons",Methylene bromide,CH2Br2,CH₂Br₂,0.411,0.01,0.133,5.45,0.135,1.51,0.135,0.431,0.000142,0.333,0.000108,0.273,148,174
"Bromocarbons, hydrobromocarbons and halons",Halon-1201,CHBrF2,CHBrF₂,4.9,0.152,32.5,1340,34,380,34,108,0.0376,88,0.0275,69.8,36800,43400
"Bromocarbons, hydrobromocarbons and halons",Halon-1202,CBr2F2,CBr₂F₂,2.5,0.272,18.9,775,19.3,216,19.3,61.5,0.0207,48.4,0.0155,39.3,21000,24800
"Bromocarbons, hydrobromocarbons and halons",Halon-1211,CBrClF2,CBrClF₂,16,0.3,120,4920,173,1930,173,552,0.458,1070,0.16,406,174000,217000
"Bromocarbons, hydrobromocarbons and halons",Halon-1301,CBrF3,CBrF₃,72,0.299,202,8320,644,7200,864,2750,3.23,7560,2,5060,,
"Bromocarbons, hydrobromocarbons and halons",Halon-2301,CH2BrCF3,CH₂BrCF₃,3.2,0.135,15.5,635,15.9,177,15.9,50.6,0.0171,40,0.0128,32.4,17200,20300
"Bromocarbons, hydrobromocarbons and halons",Halon-2311,CHBrClCF3,CHBrClCF₃,1,0.133,3.94,162,4.03,45,4.03,12.8,0.00425,9.95,0.00321,8.14,4400,5170
"Bromocarbons, hydrobromocarbons and halons",Halon-2401,CHBrFCF3,CHBrFCF₃,2.9,0.189,17.6,723,18,201,18,57.5,0.0194,45.3,0.0145,36.7,19600,23100
"Bromocarbons, hydrobromocarbons and halons",Halon-2402,CBrF2CBrF2,CBrF₂CBrF₂,28,0.312,99,4070,194,2170,201,639,0.791,1850,0.277,702,,
"Bromocarbons, hydrobromocarbons and halons",Tribromomethane,CHBr3,CHBr₃,0.156,0.006,0.0219,0.901,0.0224,0.25,0.0224,0.071,2.35×10–5,0.055,0.0000178,0.045,24.5,28.8
"Bromocarbons, hydrobromocarbons and halons",Halon-1011,CH2BrCl,CH₂BrCl,0.452,0.02,0.415,17.1,0.424,4.74,0.424,1.35,0.000446,1.04,0.000337,0.855,463,545
"Bromocarbons, hydrobromocarbons and halons",Bromoethane,CH3CH2Br,CH₃CH₂Br,0.137,0.006,0.0427,1.75,0.0436,0.487,0.0436,0.139,4.57×10–5,0.107,3.46×10–5,0.088,47.6,56
"Bromocarbons, hydrobromocarbons and halons","1,2-dibromoethane",CH2BrCH2Br,CH₂BrCH₂Br,0.244,0.012,0.0894,3.67,0.0913,1.02,0.0913,0.291,9.58×10–5,0.224,7.26×10–5,0.184,99.7,117
"Bromocarbons, hydrobromocarbons and halons",1-bromopropane,CH3CH2CH2Br,CH₃CH₂CH₂Br,0.041,0.002,0.00457,0.188,0.00466,0.052,0.00466,0.015,4.88×10–6,0.011,3.71×10–6,0.009,5.1,6
"Bromocarbons, hydrobromocarbons and halons",2-bromopropane,CH3CHBrCH3,CH₃CHBrCH₃,0.055,0.004,0.011,0.453,0.0112,0.126,0.0112,0.036,1.18×10–5,0.028,8.93×10–6,0.023,12.3,14.5
Fully fluorinated species,Nitrogen trifluoride,NF3,NF₃,569,0.204,326,13400,1560,17400,5720,18200,7.81,18200,7.89,20000,,
Fully fluorinated species,Pentadecafluorotriethylamine,N(C2F5)3,N(C₂F₅)₃,1000,0.61,188,7700,923,10300,3860,12300,4.61,10800,4.81,12200,,
Fully fluorinated species,Perfluorotripropylamine,N(CF2CF2CF3)3,N(CF₂CF₂CF₃)₃,1000,0.75,164,6750,808,9030,3380,10800,4.03,9430,4.21,10700,,
Fully fluorinated species,Heptacosafluorotributylamine,N(CF2CF2CF2CF3)3,N(CF₂CF₂CF₂CF₃)₃,1000,0.907,154,6340,759,8490,3170,10100,3.79,8860,3.96,10000,,
Fully fluorinated species,Perfluorotripentylamine,N(CF2CF2CF2CF2CF3)3,N(CF₂CF₂CF₂CF₂CF₃)₃,1000,0.95,132,5420,650,7260,2720,8650,3.24,7580,3.39,8580,,
Fully fluorinated species,Heptafluoroisobutyronitrile,(CF3)2CFCN,(CF₃)₂CFCN,34.5,0.248,111,4580,246,2750,262,835,1.09,2560,0.431,1090,,
Fully fluorinated species,Sulfur hexafluoride,SF6,SF₆,3200,0.567,445,18300,2250,25200,10700,34100,11.2,26200,12.1,30600,,
Fully fluorinated species,Trifluromethylsulfur pentafluoride ,SF5CF3,SF₅CF₃,800,0.585,339,13900,1660,18500,6610,21100,8.27,19300,8.54,21600,,
Fully fluorinated species,Sulfuryl fluoride,SO2F2,SO₂F₂,36,0.211,183,7510,414,4630,444,1410,1.87,4360,0.756,1920,,
Fully fluorinated species,PFC-14,CF4,CF₄,50000,0.099,129,5300,660,7380,3320,10600,3.28,7660,3.57,9050,,
Fully fluorinated species,PFC-116,C2F6,C₂F₆,10000,0.261,218,8940,1110,12400,5500,17500,5.51,12900,5.99,15200,,
Fully fluorinated species,PFC-218,C3F8,C₃F₈,2600,0.27,165,6770,831,9290,3890,12400,4.13,9660,4.44,11200,,
Fully fluorinated species,Hexafluorocyclobutene,cyc (-CF=CFCF2CF2-),cyc (-CF=CFCF₂CF₂-),1.02,0.3,11,453,11.3,126,11.3,35.9,0.0119,27.8,0.00898,22.8,12300,14500
Fully fluorinated species,PFC-C-318,cyc (-CF2CF2CF2CF2-),cyc (-CF₂CF₂CF₂CF₂-),3200,0.314,180,7400,912,10200,4330,13800,4.53,10600,4.88,12400,,
Fully fluorinated species,PFC-31-10,n-C4F10,n-C₄F₁₀,2600,0.369,178,7300,897,10000,4200,13400,4.46,10400,4.79,12100,,
Fully fluorinated species,Octafluorocyclopentene,cyc (-CF=CFCF2CF2CF2-),cyc (-CF=CFCF₂CF₂CF₂-),1.1,0.246,6.84,281,6.99,78.1,6.99,22.3,0.00739,17.3,0.00557,14.1,7620,8970
Fully fluorinated species,PFC-41-12,n-C5F12,n-C₅F₁₂,4100,0.408,163,6680,825,9220,3970,12700,4.1,9580,4.43,11200,,
Fully fluorinated species,PFC-51-14,n-C6F14,n-C₆F₁₄,3100,0.449,153,6260,771,8620,3660,11600,3.83,8960,4.12,10500,,
Fully fluorinated species,PFC-61-16,n-C7F16,n-C₇F₁₆,3000,0.503,149,6120,752,8410,3560,11300,3.74,8740,4.02,10200,,
Fully fluorinated species,PFC-71-18,n-C8F18,n-C₈F₁₈,3000,0.558,146,6010,739,8260,3500,11100,3.67,8590,3.95,10000,,
Fully fluorinated species,PFC-91-18,C10F18,C₁₀F₁₈,2000,0.537,133,5480,669,7480,3070,9780,3.33,7790,3.56,9010,,
Fully fluorinated species,"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene",Z-C10F18,Z-C₁₀F₁₈,2000,0.56,139,5710,698,7800,3200,10200,3.47,8120,3.71,9400,,
Fully fluorinated species,"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene",E-C10F18,E-C₁₀F₁₈,2000,0.512,127,5220,637,7120,2920,9310,3.17,7420,3.39,8580,,
Fully fluorinated species,PFC-1114,CF2=CF2,CF₂=CF₂,0.003,0.002,0.000347,0.014,0.000354,0.004,0.000354,0.001,3.71×10–7,0.001,2.81×10–7,0.001,0.387,0.456
