Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,cubic metres,kg N2O,Natural gas cubic metres,0.00107
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CO2e,Natural gas tonnes,2746.63000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CH4,Natural gas tonnes,3.63000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg CO2,Natural gas tonnes,2741.56000
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,tonnes,tonnes,kg N2O,Natural gas tonnes,1.44000
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Other petroleum gas kWh (Gross CV),0.18404
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Other petroleum gas kWh (Gross CV),0.00008
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Other petroleum gas kWh (Gross CV),0.18386
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Other petroleum gas kWh (Gross CV),0.00010
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Other petroleum gas kWh (Net CV),0.20005
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Other petroleum gas kWh (Net CV),0.00009
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Other petroleum gas kWh (Net CV),0.19985
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Other petroleum gas kWh (Net CV),0.00011
Scope 1,Fuels,Gaseous fuels,Other petroleum gas,,Volume,litres,litres,kg CO2e,Other petroleum gas litres,0.94857
