Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh (Net CV),kg CH4,0.00143
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh (Net CV),kg CO2,0.25003
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Energy - Net CV,kWh (Net CV),kg N2O,0.00238
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,kg CO2e,2.25524
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,kg CH4,0.01272
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,kg CO2,2.22135
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Volume,litres,kg N2O,0.02116
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,kg CO2e,"3,175.37710"
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,kg CH4,17.91044
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,kg CO2,"3,127.66667"
Scope 1,Fuels,Liquid fuels,Aviation spirit,,Tonnes,tonnes,kg N2O,29.80000
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24753
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00013
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.24508
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00232
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh (Net CV),kg CO2e,0.26056
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh (Net CV),kg CH4,0.00014
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh (Net CV),kg CO2,0.25798
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Energy - Net CV,kWh (Net CV),kg N2O,0.00244
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,kg CO2e,2.53279
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,kg CH4,0.00137
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,kg CO2,2.50770
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Volume,litres,kg N2O,0.02373
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,kg CO2e,"3,181.18586"
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,kg CH4,1.71920
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,kg CO2,"3,149.66667"
Scope 1,Fuels,Liquid fuels,Aviation turbine fuel,,Tonnes,tonnes,kg N2O,29.80000
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24666
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00061
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.24544
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00061
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh (Net CV),kg CO2e,0.25965
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh (Net CV),kg CH4,0.00065
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh (Net CV),kg CO2,0.25836
Scope 1,Fuels,Liquid fuels,Burning oil,,Energy - Net CV,kWh (Net CV),kg N2O,0.00064
