Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor,Comments
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Gross CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,cubic metres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,cubic metres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,All Gases (CO2e),0.20494,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,CH4,0.00031,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,CO2,0.20452,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,kWh,N2O,0.00011,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Energy - Net CV,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,All Gases (CO2e),2.0332,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,CH4,0.003,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,CO2,2.0291,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,cubic metres,N2O,0.0011,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,kWh,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,kWh,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,kWh,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,kWh,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,litres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,litres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,litres,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,litres,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,tonnes,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,tonnes,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,tonnes,CO2,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Volume,tonnes,N2O,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,cubic metres,All Gases (CO2e),N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,cubic metres,CH4,N/A,
Scope 1,Fuels,Gaseous fuels,Natural gas,,Tonnes,cubic metres,CO2,N/A,
