category,from,to,"pre_addition",multiplication,division,"post_addition","is_approx","is_inverse"
"Data Transfer Rate","Bit per second","Megabyte per second",0,1,8000000,0,0,
"Data Transfer Rate","Bit per second","Mebibit per second",0,1,1048576,0,0,
"Data Transfer Rate","Bit per second","Mebibyte per second",0,1,8388608,0,0,
"Data Transfer Rate","Bit per second","Gigabit per second",0,1,1000000000,0,0,
"Data Transfer Rate","Bit per second","Gigabyte per second",0,1,8000000000,0,0,
"Data Transfer Rate","Bit per second","Gibibit per second",0,1,1073741824,0,0,
"Data Transfer Rate","Bit per second","Gibibyte per second",0,1,8589934592,0,0,
"Data Transfer Rate","Bit per second","Terabit per second",0,1,1000000000000,0,0,
"Data Transfer Rate","Bit per second","Terabyte per second",0,1,8000000000000,0,0,
"Data Transfer Rate","Bit per second","Tebibit per second",0,1,1099511627776,0,0,
"Data Transfer Rate","Bit per second","Tebibyte per second",0,1,8796093022208,0,0,
"Data Transfer Rate","Byte per second","Bit per second",0,8,1,0,0,
"Data Transfer Rate","Byte per second","Kilobit per second",0,1,125,0,0,
"Data Transfer Rate","Byte per second","Kilobyte per second",0,1,1000,0,0,
"Data Transfer Rate","Byte per second","Kibibit per second",0,1,128,0,0,
"Data Transfer Rate","Byte per second","Kibibyte per second",0,1,1024,0,0,
"Data Transfer Rate","Byte per second","Megabit per second",0,1,125000,0,0,
"Data Transfer Rate","Byte per second","Megabyte per second",0,1,1000000,0,0,
"Data Transfer Rate","Byte per second","Mebibit per second",0,1,131072,0,0,
"Data Transfer Rate","Byte per second","Mebibyte per second",0,1,1048576,0,0,
"Data Transfer Rate","Byte per second","Gigabit per second",0,1,125000000,0,0,
"Data Transfer Rate","Byte per second","Gigabyte per second",0,1,1000000000,0,0,
"Data Transfer Rate","Byte per second","Gibibit per second",0,1,134217728,0,0,
"Data Transfer Rate","Byte per second","Gibibyte per second",0,1,1073741824,0,0,
"Data Transfer Rate","Byte per second","Terabit per second",0,1,125000000000,0,0,
"Data Transfer Rate","Byte per second","Terabyte per second",0,1,1000000000000,0,0,
"Data Transfer Rate","Byte per second","Tebibit per second",0,1,137438953472,0,0,
"Data Transfer Rate","Byte per second","Tebibyte per second",0,1,1099511627776,0,0,
"Data Transfer Rate","Kilobit per second","Bit per second",0,1000,1,0,0,
"Data Transfer Rate","Kilobit per second","Byte per second",0,125,1,0,0,
"Data Transfer Rate","Kilobit per second","Kilobyte per second",0,1,8,0,0,
"Data Transfer Rate","Kilobit per second","Kibibit per second",0,1,"1.024",0,0,
"Data Transfer Rate","Kilobit per second","Kibibyte per second",0,1,"8.192",0,0,
"Data Transfer Rate","Kilobit per second","Megabit per second",0,1,1000,0,0,
"Data Transfer Rate","Kilobit per second","Megabyte per second",0,1,8000,0,0,
"Data Transfer Rate","Kilobit per second","Mebibit per second",0,1,"1048.576",0,0,
"Data Transfer Rate","Kilobit per second","Mebibyte per second",0,1,"8388.608",0,0,
"Data Transfer Rate","Kilobit per second","Gigabit per second",0,1,1000000,0,0,
"Data Transfer Rate","Kilobit per second","Gigabyte per second",0,1,8000000,0,0,
"Data Transfer Rate","Kilobit per second","Gibibit per second",0,1,"1073741.824",0,0,
"Data Transfer Rate","Kilobit per second","Gibibyte per second",0,1,"8589934.592",0,0,
"Data Transfer Rate","Kilobit per second","Terabit per second",0,1,1000000000,0,0,
"Data Transfer Rate","Kilobit per second","Terabyte per second",0,1,8000000000,0,0,
"Data Transfer Rate","Kilobit per second","Tebibit per second",0,1,"1099511627.776",0,0,
"Data Transfer Rate","Kilobit per second","Tebibyte per second",0,1,"8796093022.208",0,0,
"Data Transfer Rate","Kilobyte per second","Bit per second",0,8000,1,0,0,
"Data Transfer Rate","Kilobyte per second","Byte per second",0,1000,1,0,0,
"Data Transfer Rate","Kilobyte per second","Kilobit per second",0,8,1,0,0,
"Data Transfer Rate","Kilobyte per second","Kibibit per second",0,"7.8125",1,0,0,
"Data Transfer Rate","Kilobyte per second","Kibibyte per second",0,"0.9765625",1,0,0,
"Data Transfer Rate","Kilobyte per second","Megabit per second",0,1,125,0,0,
"Data Transfer Rate","Kilobyte per second","Megabyte per second",0,1,1000,0,0,
"Data Transfer Rate","Kilobyte per second","Mebibit per second",0,125,16384,0,0,
"Data Transfer Rate","Kilobyte per second","Mebibyte per second",0,125,131072,0,0,
"Data Transfer Rate","Kilobyte per second","Gigabit per second",0,1,125000,0,0,
"Data Transfer Rate","Kilobyte per second","Gigabyte per second",0,1,1000000,0,0,
"Data Transfer Rate","Kilobyte per second","Gibibit per second",0,125,16777216,0,0,
"Data Transfer Rate","Kilobyte per second","Gibibyte per second",0,125,134217728,0,0,
"Data Transfer Rate","Kilobyte per second","Terabit per second",0,1,125000000,0,0,
"Data Transfer Rate","Kilobyte per second","Terabyte per second",0,1,1000000000,0,0,
"Data Transfer Rate","Kilobyte per second","Tebibit per second",0,125,17179869184,0,0,
"Data Transfer Rate","Kilobyte per second","Tebibyte per second",0,125,137438953472,0,0,
"Data Transfer Rate","Kibibit per second","Bit per second",0,1024,1,0,0,
"Data Transfer Rate","Kibibit per second","Byte per second",0,128,1,0,0,
"Data Transfer Rate","Kibibit per second","Kilobit per second",0,"1.024",1,0,0,
"Data Transfer Rate","Kibibit per second","Kilobyte per second",0,16,125,0,0,
"Data Transfer Rate","Kibibit per second","Kibibyte per second",0,1,8,0,0,
"Data Transfer Rate","Kibibit per second","Megabit per second",0,16,15625,0,0,
"Data Transfer Rate","Kibibit per second","Megabyte per second",0,2,15625,0,0,
"Data Transfer Rate","Kibibit per second","Mebibit per second",0,1,1024,0,0,
"Data Transfer Rate","Kibibit per second","Mebibyte per second",0,1,8192,0,0,
"Data Transfer Rate","Kibibit per second","Gigabit per second",0,2,1953125,0,0,
"Data Transfer Rate","Kibibit per second","Gigabyte per second",0,1,7812500,0,0,
"Data Transfer Rate","Kibibit per second","Gibibit per second",0,1,1048576,0,0,
"Data Transfer Rate","Kibibit per second","Gibibyte per second",0,1,8388608,0,0,
"Data Transfer Rate","Kibibit per second","Terabit per second",0,1,976562500,0,0,
"Data Transfer Rate","Kibibit per second","Terabyte per second",0,1,7812500000,0,0,
"Data Transfer Rate","Kibibit per second","Tebibit per second",0,1,1073741824,0,0,
"Data Transfer Rate","Kibibit per second","Tebibyte per second",0,1,8589934592,0,0,
"Data Transfer Rate","Kibibyte per second","Bit per second",0,8192,1,0,0,
"Data Transfer Rate","Kibibyte per second","Byte per second",0,1024,1,0,0,
"Data Transfer Rate","Kibibyte per second","Kilobit per second",0,"8.192",1,0,0,
"Data Transfer Rate","Kibibyte per second","Kilobyte per second",0,"1.024",1,0,0,
"Data Transfer Rate","Kibibyte per second","Kibibit per second",0,8,1,0,0,
"Data Transfer Rate","Kibibyte per second","Megabit per second",0,128,15625,0,0,
"Data Transfer Rate","Kibibyte per second","Megabyte per second",0,16,15625,0,0,
"Data Transfer Rate","Kibibyte per second","Mebibit per second",0,"7.8125",1,0,0,
"Data Transfer Rate","Kibibyte per second","Mebibyte per second",0,1,1024,0,0,
"Data Transfer Rate","Kibibyte per second","Gigabit per second",0,16,1953125,0,0,
"Data Transfer Rate","Kibibyte per second","Gigabyte per second",0,2,1953125,0,0,
"Data Transfer Rate","Kibibyte per second","Gibibit per second",0,1,131072,0,0,
"Data Transfer Rate","Kibibyte per second","Gibibyte per second",0,1,1048576,0,0,
"Data Transfer Rate","Kibibyte per second","Terabit per second",0,2,244140625,0,0,
"Data Transfer Rate","Kibibyte per second","Terabyte per second",0,1,976562500,0,0,
"Data Transfer Rate","Kibibyte per second","Tebibit per second",0,1,134217728,0,0,
"Data Transfer Rate","Kibibyte per second","Tebibyte per second",0,1,1073741824,0,0,
"Data Transfer Rate","Megabit per second","Bit per second",0,1000000,1,0,0,
"Data Transfer Rate","Megabit per second","Byte per second",0,125000,1,0,0,
"Data Transfer Rate","Megabit per second","Kilobit per second",0,1000,1,0,0,
"Data Transfer Rate","Megabit per second","Kilobyte per second",0,125,1,0,0,
"Data Transfer Rate","Megabit per second","Kibibit per second",0,"976.5625",1,0,0,
"Data Transfer Rate","Megabit per second","Kibibyte per second",0,"122.0703125",1,0,0,
"Data Transfer Rate","Megabit per second","Megabyte per second",0,1,8,0,0,
"Data Transfer Rate","Megabit per second","Mebibit per second",0,1,"1.048576",0,0,
"Data Transfer Rate","Megabit per second","Mebibyte per second",0,1,"8.388608",0,0,
"Data Transfer Rate","Megabit per second","Gigabit per second",0,1,1000,0,0,
"Data Transfer Rate","Megabit per second","Gigabyte per second",0,1,8000,0,0,
"Data Transfer Rate","Megabit per second","Gibibit per second",0,1,"1073.741824",0,0,
"Data Transfer Rate","Megabit per second","Gibibyte per second",0,1,"8589.934592",0,0,
"Data Transfer Rate","Megabit per second","Terabit per second",0,1,1000000,0,0,
"Data Transfer Rate","Megabit per second","Terabyte per second",0,1,8000000,0,0,
"Data Transfer Rate","Megabit per second","Tebibit per second",0,1,"1099511.627776",0,0,
"Data Transfer Rate","Megabit per second","Tebibyte per second",0,1,"8796093.022208",0,0,
"Data Transfer Rate","Megabyte per second","Bit per second",0,8000000,1,0,0,
"Data Transfer Rate","Megabyte per second","Byte per second",0,1000000,1,0,0,
"Data Transfer Rate","Megabyte per second","Kilobit per second",0,8000,1,0,0,
"Data Transfer Rate","Megabyte per second","Kilobyte per second",0,1000,1,0,0,
"Data Transfer Rate","Megabyte per second","Kibibit per second",0,15625,2,0,0,
"Data Transfer Rate","Megabyte per second","Kibibyte per second",0,15625,16,0,0,
"Data Transfer Rate","Megabyte per second","Megabit per second",0,8,1,0,0,
"Data Transfer Rate","Megabyte per second","Mebibit per second",0,15625,2048,0,0,
"Data Transfer Rate","Megabyte per second","Mebibyte per second",0,15625,16384,0,0,
"Data Transfer Rate","Megabyte per second","Gigabit per second",0,1,125,0,0,
"Data Transfer Rate","Megabyte per second","Gigabyte per second",0,1,1000,0,0,
"Data Transfer Rate","Megabyte per second","Gibibit per second",0,15625,2097152,0,0,
"Data Transfer Rate","Megabyte per second","Gibibyte per second",0,15625,16777216,0,0,
"Data Transfer Rate","Megabyte per second","Terabit per second",0,1,125000,0,0,
"Data Transfer Rate","Megabyte per second","Terabyte per second",0,1,1000000,0,0,
"Data Transfer Rate","Megabyte per second","Tebibit per second",0,15625,2147483648,0,0,
"Data Transfer Rate","Megabyte per second","Tebibyte per second",0,15625,17179869184,0,0,
"Data Transfer Rate","Mebibit per second","Bit per second",0,1048576,1,0,0,
"Data Transfer Rate","Mebibit per second","Byte per second",0,131072,1,0,0,
"Data Transfer Rate","Mebibit per second","Kilobit per second",0,131072,125,0,0,
"Data Transfer Rate","Mebibit per second","Kilobyte per second",0,16384,125,0,0,
"Data Transfer Rate","Mebibit per second","Kibibit per second",0,1024,1,0,0,
"Data Transfer Rate","Mebibit per second","Kibibyte per second",0,128,1,0,0,
"Data Transfer Rate","Mebibit per second","Megabit per second",0,16384,15625,0,0,
"Data Transfer Rate","Mebibit per second","Megabyte per second",0,2048,15625,0,0,
"Data Transfer Rate","Mebibit per second","Mebibyte per second",0,1,8,0,0,
"Data Transfer Rate","Mebibit per second","Gigabit per second",0,2048,1953125,0,0,
"Data Transfer Rate","Mebibit per second","Gigabyte per second",0,256,1953125,0,0,
"Data Transfer Rate","Mebibit per second","Gibibit per second",0,1,1024,0,0,
"Data Transfer Rate","Mebibit per second","Gibibyte per second",0,1,8192,0,0,
"Data Transfer Rate","Mebibit per second","Terabit per second",0,256,244140625,0,0,
"Data Transfer Rate","Mebibit per second","Terabyte per second",0,32,244140625,0,0,
"Data Transfer Rate","Mebibit per second","Tebibit per second",0,1,1048576,0,0,
"Data Transfer Rate","Mebibit per second","Tebibyte per second",0,1,8388608,0,0,
"Data Transfer Rate","Mebibyte per second","Bit per second",0,8388608,1,0,0,
"Data Transfer Rate","Mebibyte per second","Byte per second",0,1048576,1,0,0,
"Data Transfer Rate","Mebibyte per second","Kilobit per second",0,1048576,125,0,0,
"Data Transfer Rate","Mebibyte per second","Kilobyte per second",0,131072,125,0,0,
"Data Transfer Rate","Mebibyte per second","Kibibit per second",0,8192,1,0,0,
"Data Transfer Rate","Mebibyte per second","Kibibyte per second",0,1024,1,0,0,
"Data Transfer Rate","Mebibyte per second","Megabit per second",0,131072,15625,0,0,
"Data Transfer Rate","Mebibyte per second","Megabyte per second",0,16384,15625,0,0,
"Data Transfer Rate","Mebibyte per second","Mebibit per second",0,8,1,0,0,
"Data Transfer Rate","Mebibyte per second","Gigabit per second",0,16384,1953125,0,0,
"Data Transfer Rate","Mebibyte per second","Gigabyte per second",0,2048,1953125,0,0,
"Data Transfer Rate","Mebibyte per second","Gibibit per second",0,1,128,0,0,
"Data Transfer Rate","Mebibyte per second","Gibibyte per second",0,1,1024,0,0,
"Data Transfer Rate","Mebibyte per second","Terabit per second",0,2048,244140625,0,0,
"Data Transfer Rate","Mebibyte per second","Terabyte per second",0,256,244140625,0,0,
"Data Transfer Rate","Mebibyte per second","Tebibit per second",0,1,131072,0,0,
"Data Transfer Rate","Mebibyte per second","Tebibyte per second",0,1,1048576,0,0,
"Data Transfer Rate","Gigabit per second","Bit per second",0,1000000000,1,0,0,
"Data Transfer Rate","Gigabit per second","Byte per second",0,125000000,1,0,0,
"Data Transfer Rate","Gigabit per second","Kilobit per second",0,1000000,1,0,0,
"Data Transfer Rate","Gigabit per second","Kilobyte per second",0,125000,1,0,0,
"Data Transfer Rate","Gigabit per second","Kibibit per second",0,1953125,2,0,0,
"Data Transfer Rate","Gigabit per second","Kibibyte per second",0,1953125,16,0,0,
"Data Transfer Rate","Gigabit per second","Megabit per second",0,1000,1,0,0,
"Data Transfer Rate","Gigabit per second","Megabyte per second",0,125,1,0,0,
"Data Transfer Rate","Gigabit per second","Mebibit per second",0,1953125,2048,0,0,
"Data Transfer Rate","Gigabit per second","Mebibyte per second",0,1953125,16384,0,0,
"Data Transfer Rate","Gigabit per second","Gigabyte per second",0,1,8,0,0,
"Data Transfer Rate","Gigabit per second","Gibibit per second",0,1953125,2097152,0,0,
"Data Transfer Rate","Gigabit per second","Gibibyte per second",0,1953125,16777216,0,0,
"Data Transfer Rate","Gigabit per second","Terabit per second",0,1,1000,0,0,
"Data Transfer Rate","Gigabit per second","Terabyte per second",0,1,8000,0,0,
"Data Transfer Rate","Gigabit per second","Tebibit per second",0,1953125,2147483648,0,0,
"Data Transfer Rate","Gigabit per second","Tebibyte per second",0,1953125,17179869184,0,0,
"Data Transfer Rate","Gigabyte per second","Bit per second",0,8000000000,1,0,0,
"Data Transfer Rate","Gigabyte per second","Byte per second",0,1000000000,1,0,0,
"Data Transfer Rate","Gigabyte per second","Kilobit per second",0,8000000,1,0,0,
"Data Transfer Rate","Gigabyte per second","Kilobyte per second",0,1000000,1,0,0,
"Data Transfer Rate","Gigabyte per second","Kibibit per second",0,7812500,1,0,0,
"Data Transfer Rate","Gigabyte per second","Kibibyte per second",0,1953125,2,0,0,
"Data Transfer Rate","Gigabyte per second","Megabit per second",0,8000,1,0,0,
"Data Transfer Rate","Gigabyte per second","Megabyte per second",0,1000,1,0,0,
"Data Transfer Rate","Gigabyte per second","Mebibit per second",0,1953125,256,0,0,
"Data Transfer Rate","Gigabyte per second","Mebibyte per second",0,1953125,2048,0,0,
"Data Transfer Rate","Gigabyte per second","Gigabit per second",0,8,1,0,0,
"Data Transfer Rate","Gigabyte per second","Gibibit per second",0,1953125,262144,0,0,
"Data Transfer Rate","Gigabyte per second","Gibibyte per second",0,1953125,2097152,0,0,
"Data Transfer Rate","Gigabyte per second","Terabit per second",0,1,125,0,0,
"Data Transfer Rate","Gigabyte per second","Terabyte per second",0,1,1000,0,0,
"Data Transfer Rate","Gigabyte per second","Tebibit per second",0,1953125,268435456,0,0,
"Data Transfer Rate","Gigabyte per second","Tebibyte per second",0,1953125,2147483648,0,0,
"Data Transfer Rate","Gibibit per second","Bit per second",0,1073741824,1,0,0,
"Data Transfer Rate","Gibibit per second","Byte per second",0,134217728,1,0,0,
"Data Transfer Rate","Gibibit per second","Kilobit per second",0,134217728,125,0,0,
"Data Transfer Rate","Gibibit per second","Kilobyte per second",0,16777216,125,0,0,
"Data Transfer Rate","Gibibit per second","Kibibit per second",0,1048576,1,0,0,
"Data Transfer Rate","Gibibit per second","Kibibyte per second",0,131072,1,0,0,
"Data Transfer Rate","Gibibit per second","Megabit per second",0,16777216,15625,0,0,
"Data Transfer Rate","Gibibit per second","Megabyte per second",0,2097152,15625,0,0,
"Data Transfer Rate","Gibibit per second","Mebibit per second",0,1024,1,0,0,
"Data Transfer Rate","Gibibit per second","Mebibyte per second",0,128,1,0,0,
"Data Transfer Rate","Gibibit per second","Gigabit per second",0,2097152,1953125,0,0,
"Data Transfer Rate","Gibibit per second","Gigabyte per second",0,262144,1953125,0,0,
"Data Transfer Rate","Gibibit per second","Gibibyte per second",0,1,8,0,0,
"Data Transfer Rate","Gibibit per second","Terabit per second",0,262144,244140625,0,0,
"Data Transfer Rate","Gibibit per second","Terabyte per second",0,32768,244140625,0,0,
"Data Transfer Rate","Gibibit per second","Tebibit per second",0,1,1024,0,0,
"Data Transfer Rate","Gibibit per second","Tebibyte per second",0,1,8192,0,0,
"Data Transfer Rate","Gibibyte per second","Bit per second",0,8589934592,1,0,0,
"Data Transfer Rate","Gibibyte per second","Byte per second",0,1073741824,1,0,0,
"Data Transfer Rate","Gibibyte per second","Kilobit per second",0,1073741824,125,0,0,
"Data Transfer Rate","Gibibyte per second","Kilobyte per second",0,134217728,125,0,0,
"Data Transfer Rate","Gibibyte per second","Kibibit per second",0,8388608,1,0,0,
"Data Transfer Rate","Gibibyte per second","Kibibyte per second",0,1048576,1,0,0,
"Data Transfer Rate","Gibibyte per second","Megabit per second",0,134217728,15625,0,0,
"Data Transfer Rate","Gibibyte per second","Megabyte per second",0,16777216,15625,0,0,
"Data Transfer Rate","Gibibyte per second","Mebibit per second",0,8192,1,0,0,
"Data Transfer Rate","Gibibyte per second","Mebibyte per second",0,1024,1,0,0,
"Data Transfer Rate","Gibibyte per second","Gigabit per second",0,16777216,1953125,0,0,
"Data Transfer Rate","Gibibyte per second","Gigabyte per second",0,2097152,1953125,0,0,
"Data Transfer Rate","Gibibyte per second","Gibibit per second",0,8,1,0,0,
"Data Transfer Rate","Gibibyte per second","Terabit per second",0,2097152,244140625,0,0,
"Data Transfer Rate","Gibibyte per second","Terabyte per second",0,262144,244140625,0,0,
"Data Transfer Rate","Gibibyte per second","Tebibit per second",0,1,128,0,0,
"Data Transfer Rate","Gibibyte per second","Tebibyte per second",0,1,1024,0,0,
"Data Transfer Rate","Terabit per second","Bit per second",0,1000000000000,1,0,0,
"Data Transfer Rate","Terabit per second","Byte per second",0,125000000000,1,0,0,
"Data Transfer Rate","Terabit per second","Kilobit per second",0,1000000000,1,0,0,
"Data Transfer Rate","Terabit per second","Kilobyte per second",0,125000000,1,0,0,
"Data Transfer Rate","Terabit per second","Kibibit per second",0,976562500,1,0,0,
"Data Transfer Rate","Terabit per second","Kibibyte per second",0,244140625,2,0,0,
"Data Transfer Rate","Terabit per second","Megabit per second",0,1000000,1,0,0,
"Data Transfer Rate","Terabit per second","Megabyte per second",0,125000,1,0,0,
"Data Transfer Rate","Terabit per second","Mebibit per second",0,244140625,256,0,0,
"Data Transfer Rate","Terabit per second","Mebibyte per second",0,244140625,2048,0,0,
"Data Transfer Rate","Terabit per second","Gigabit per second",0,1000,1,0,0,
"Data Transfer Rate","Terabit per second","Gigabyte per second",0,125,1,0,0,
"Data Transfer Rate","Terabit per second","Gibibit per second",0,244140625,262144,0,0,
"Data Transfer Rate","Terabit per second","Gibibyte per second",0,244140625,2097152,0,0,
"Data Transfer Rate","Terabit per second","Terabyte per second",0,1,8,0,0,
"Data Transfer Rate","Terabit per second","Tebibit per second",0,244140625,268435456,0,0,
"Data Transfer Rate","Terabit per second","Tebibyte per second",0,244140625,2147483648,0,0,
"Data Transfer Rate","Terabyte per second","Bit per second",0,8000000000000,1,0,0,
"Data Transfer Rate","Terabyte per second","Byte per second",0,1000000000000,1,0,0,
"Data Transfer Rate","Terabyte per second","Kilobit per second",0,8000000000,1,0,0,
"Data Transfer Rate","Terabyte per second","Kilobyte per second",0,1000000000,1,0,0,
"Data Transfer Rate","Terabyte per second","Kibibit per second",0,7812500000,1,0,0,
"Data Transfer Rate","Terabyte per second","Kibibyte per second",0,976562500,1,0,0,
"Data Transfer Rate","Terabyte per second","Megabit per second",0,8000000,1,0,0,
"Data Transfer Rate","Terabyte per second","Megabyte per second",0,1000000,1,0,0,
"Data Transfer Rate","Terabyte per second","Mebibit per second",0,244140625,32,0,0,
"Data Transfer Rate","Terabyte per second","Mebibyte per second",0,244140625,256,0,0,
"Data Transfer Rate","Terabyte per second","Gigabit per second",0,8000,1,0,0,
"Data Transfer Rate","Terabyte per second","Gigabyte per second",0,1000,1,0,0,
"Data Transfer Rate","Terabyte per second","Gibibit per second",0,244140625,32768,0,0,
"Data Transfer Rate","Terabyte per second","Gibibyte per second",0,244140625,262144,0,0,
"Data Transfer Rate","Terabyte per second","Terabit per second",0,8,1,0,0,
"Data Transfer Rate","Terabyte per second","Tebibit per second",0,244140625,33554432,0,0,
"Data Transfer Rate","Terabyte per second","Tebibyte per second",0,244140625,268435456,0,0,
"Data Transfer Rate","Tebibit per second","Bit per second",0,1099511627776,1,0,0,
"Data Transfer Rate","Tebibit per second","Byte per second",0,137438953472,1,0,0,
"Data Transfer Rate","Tebibit per second","Kilobit per second",0,137438953472,125,0,0,
"Data Transfer Rate","Tebibit per second","Kilobyte per second",0,17179869184,125,0,0,
"Data Transfer Rate","Tebibit per second","Kibibit per second",0,1073741824,1,0,0,
"Data Transfer Rate","Tebibit per second","Kibibyte per second",0,134217728,1,0,0,
"Data Transfer Rate","Tebibit per second","Megabit per second",0,17179869184,15625,0,0,
"Data Transfer Rate","Tebibit per second","Megabyte per second",0,2147483648,15625,0,0,
