source,metric_name,type,description
DSNDQBGA,QBGAS3               ,OTHR,Number of page P-lock lock suspensions for index leaf pages 
DSNDQBGA,QBGAWS               ,OTHR,Number of of Write and Register (WAR) requests 
DSNDQBGA,QBGAAAS              ,OTHR,Number of IXLAXISN suspends waiting for cross-invalidations to complete 
DSNDQBGL,QBGLGG               ,OTHR,GetPages for GBP Dep pages    
DSNDQBGL,QBGLXD               ,OTHR,Number of GBP-reads under the user task that were necessary due to buffer cross invalidation (XI) in which data was returned 
DSNDQBGL,QBGLXR               ,OTHR,Number of GBP-reads under the user task that were necessary due to buffer XI in which data was not returned from GBP. 
DSNDQBGL,QBGLMD               ,OTHR,Number of GBP-reads under the user task that were necessary due to the requested page not being found in the buffer pool in which data was returned from GBP. 
DSNDQBGL,QBGLMR               ,OTHR,Number of GBP-reads under the user task that were necessary due to the requested page not being found in the buffer pool in which data was not returned. 
DSNDQBGL,QBGLSW               ,OTHR,Number of changed pages written under a user's execution unit (via WAR or WARM) 
DSNDQBGL,QBGLWC               ,OTHR,Number of clean pages written under a user's execution unit (via WAR or WARM) 
DSNDQBGL,QBGLCT               ,OTHR,Number of times castout was initiated due to the castout class threshold being detected. 
DSNDQBGL,QBGLGT               ,OTHR,Number of times castout was initiated due to the group buffer pool castout threshold being detected. 
DSNDQBGL,QBGLWM               ,OTHR,Number of Write and Register Multiple (WARM) requests. Multiple pages written per request. 
DSNDQBGL,QBGLWS               ,OTHR,Number of Write and Register (WAR) requests.  One page written per request. 
DSNDQBGL,QBGLEX               ,OTHR,Number of explicit cross invalidate
DSNDQBGL,QBGLAW               ,OTHR,Number of changed pages written under a system execution unit (via WAR or WARM). 
DSNDQBGL,QBGLRC               ,OTHR,Number of pages castout from the Group Buffer Pool to DASD. For each page that is castout QBSTPWS is also incremented. For each disk I/O that is initiated for castout QBSTWIO is incremented. 
DSNDQBGL,QBGLCM               ,OTHR,Number Read For Castout Multiple RFCOM) requests.  Multiple pages read per request. 
DSNDQBGL,QBGLCR               ,OTHR,Number of Read For Castout (RFCO) requests.  One page read per request. 
DSNDQBGL,QBGLWP               ,OTHR,Number of pages written via WARM   
DSNDQBGL,QBGLWF               ,OTHR,Number of GBP-write requests that could not complete due to a lack of GBP storage resources.
DSNDQBGL,QBGLOS               ,OTHR,Number of IXLCACHE "read-stgstats" requests. 
DSNDQBGL,QBGLAC               ,OTHR,Number of changed pages written under a system execution unit (via WAR or WARM). 
DSNDQBGL,QBGLAX               ,OTHR,Number of 'register-page-list' (RPL) requests done by Prefetch. Prefetch will use this option if running on MVS 5.2 or above and the GBP is allocated in a coupling facility of CFLEVEL=2 or above. 
DSNDQBGL,QBGLAY               ,OTHR,Number of pages retrieved from the group buffer pool as a result of feedback from RPL. 
DSNDQBGL,QBGLCK               ,OTHR,Number of GBP checkpoints triggered by this member. 
DSNDQBGL,QBGLUN               ,OTHR,Number IXLCACHE "unlock-castout" requests. 
DSNDQBGL,QBGLCC               ,OTHR,Number IXLCACHE "read-castout-class" requests 
