EventID,"orig_description"
3052,"Centralized Alerting - Disk I/O errors"
3053,"Centralized Alerting - Scan reports general system error"
3054,"Centralized Alerting - Scan reported an internal application error"
3055,"Error stopping drivers"
4600,"WebShield - URL Blocked"
4650,"Detected Spam Email"
4651,"Spam Email Scanning Statistics"
4700,"Failed to connect to CMA updater"
4701,"Failed to connect to CMA scheduler"
4702,"Failed to save schedule data into CMA"
8000,"Infected item found"
8500,"Banned item found"
8501,"Encrypted/Corrupted item found"
8502,"Item matched filtering criteria"
8503,"Item matched spam criteria"
8601,"Security for Exchange - McAfee Global Threat Intelligence file reputation failed"
8602,"Security for Exchange - Failed to download DATs/Anti-Virus Engine"
8603,"Security for Exchange - Insufficient disk space at the database location"
8604,"Security for Exchange - Failed to load Anti-Virus Engine"
8605,"Security for Exchange - On-demand Scan task failed"
8606,"Security for Exchange - Failed to quarantine or log detections"
8607,"Security for Exchange - Process RPCServ.exe failed to recreate"
8608,"Security for Exchange - Failed to download Anti-Spam Rules"
8621,"Security for Exchange - Failed to load VSAPIScanSource module"
8622,"Security for Exchange - Failed to load TransportScan module"
8623,"Security for Exchange - Postgres process stopped responding"
8624,"Security for Exchange - RPCServ process stopped responding"
8625,"Security for Exchange - Failed to load DLLhost"
8626,"Security for Exchange - Product Service failed to start"
10016,"Scan started"
10017,"Scan finished"
10018,"informational Event"
10029,"Scan host started"
10030,"Scan host finished"
10031,"Module results"
10032,"probe start"
10033,"probe stop"
10034,"informational Event"
10046,"probe results header"
10047,"probe hop"
10048,"update start"
10049,"update stop"
10050,"informational Event"
10061,"update results header"
10062,"Update download file"
10063,"Update installfile"
10064,"Crack started"
10065,"Crack finished"
10066,"informational Event"
10080,"Grind start"
10081,"Grind stop"
10082,"informational Event"
10094,"Smb grind status"
10095,"Smb grind result"
10096,"Sentry started"
10097,"Sentry finished"
10098,"informational Event"
10110,"Sentry results verbose"
10111,"Sentry results non-verbose"
10112,"IDS start"
10113,"IDS stop"
10114,"informational Event"
10127,"IDS testing text"
10128,"Upgrade start"
10129,"Upgrade stop"
10130,"informational Event"
10143,"upgrade results"
10144,"AutoDiscovery start"
10145,"AutoDiscovery stop"
10157,"AutoDiscovery host started"
10158,"AutoDiscovery host finished"
10159,"AutoDiscovery results"
10160,"ThreatScan start"
10161,"ThreatScan stop"
10173,"ThreatScan host started"
10174,"ThreatScan host finished"
10175,"ThreatScan results"
10176,"Audit start"
10177,"Audit stop"
10189,"Audit host started"
10190,"Audit host finished"
10191,"Audit results"
11001,"Intrusion detected (DTFW 7.5.x) or application blocked (DTFW 8.x)"
11002,"Failed Quarantine check"
12000,"Rogue System Sensor started successfully"
12001,"Rogue System Sensor failed to start"
12002,"Rogue System Sensor stopped"
13001,"The machine is compliant or non-compliant with rules"
13002,"System Compliance Profiler rule violation"
14000,"Entercept IPS Security Event"
14500,"Entercept Firewall Event"
16000,"Computers are non-compliant"
16001,"Reserved for future use"
16002,"Master Repository Update succeeded"
16003,"Master Repository Update failed"
16004,"Distributed Repository Replication succeeded"
16005,"Distributed Repository Replication failed"
16006,"New Rogue System detected"
16007,"Subnet has become unmonitored by Rogue System Sensor"
16008,"Active Directory Discovery task ran successfully"
16009,"Active Directory Discovery task failed"
16012,"Active Directory Discovery task added computers"
16013,"Active Directory Discovery task removed computers"
21024,"Unwanted program found"
