code,description,"call_connected","call_answerable","call_answered","call_failed"
147,"IME Failed Invalid Ticket (Cisco specific)",0,0,0,1
148,"IME Failed unknown (Cisco specific)",0,0,0,1
155,"DCC Allowed Percentage Exceeded",,,,
262144,"Conference Full",0,0,0,1
393216,"Call split",1,1,1,0
458752,"Drop any party/drop last party",0,1,0,1
655360,"CTI_REQUEST_INVALID_PRIMARY_CALL_STATE",0,0,0,1
0xA0000,"CTI_REQUEST_INVALID_PRIMARY_CALL_STATE",0,0,0,1
851976,"PREEMPTION_NON_IP",0,0,0,1
0xD0008,"PREEMPTION_NON_IP",0,0,0,1
917512,"PREEMPTION_NETWORK",0,0,0,1
0xE0008,"PREEMPTION_NETWORK",0,0,0,1
16777257,"CCM_SIP_400_BAD_REQUEST",0,0,0,1
0x1000029,"CCM_SIP_400_BAD_REQUEST",0,0,0,1
33554453,"CCM_SIP_401_UNAUTHORIZED",0,0,0,1
0x2000015,"CCM_SIP_401_UNAUTHORIZED",0,0,0,1
50331669,"CCM_SIP_402_PAYMENT_REQUIRED",0,0,0,1
0x3000015,"CCM_SIP_402_PAYMENT_REQUIRED",0,0,0,1
67108885,"CCM_SIP_403_FORBIDDEN",0,0,0,1
0x4000015,"CCM_SIP_403_FORBIDDEN",0,0,0,1
83886081,"CCM_SIP_404_NOT_FOUND",0,0,0,1
0x5000001,"CCM_SIP_404_NOT_FOUND",0,0,0,1
83886207,"CCM_SIP_420_BAD_EXTENSION",0,0,0,1
100663359,"CCM_SIP_405_METHOD_NOT_ALLOWED",0,0,0,1
0x600003F,"CCM_SIP_405_METHOD_NOT_ALLOWED",0,0,0,1
117440591,"CCM_SIP_406_NOT_ACCEPTABLE",0,0,0,1
0x700004F,"CCM_SIP_406_NOT_ACCEPTABLE",0,0,0,1
134217749,"CCM_SIP_407_PROXY_AUTHENTICATION_REQUIRED",0,0,0,1
0x8000015,"CCM_SIP_407_PROXY_AUTHENTICATION_REQUIRED",0,0,0,1
150995046,"CCM_SIP_408_REQUEST_TIMEOUT",0,0,0,1
0x9000066,"CCM_SIP_408_REQUEST_TIMEOUT",0,0,0,1
184549398,"CCM_SIP__410_GONE",0,0,0,1
0xB000016,"CCM_SIP__410_GONE",0,0,0,1
201326719,"CCM_SIP_411_LENGTH_REQUIRED",0,0,0,1
0xC00007F,"CCM_SIP_411_LENGTH_REQUIRED",0,0,0,1
234881151,"CCM_SIP_413_REQUEST_ENTITY_TOO_LONG",0,0,0,1
0xE00007F,"CCM_SIP_413_REQUEST_ENTITY_TOO_LONG",0,0,0,1
251658367,"CCM_SIP_414_REQUEST_URI_TOO_LONG",0,0,0,1
0xF00007F,"CCM_SIP_414_REQUEST_URI_TOO_LONG",0,0,0,1
268435535,"CCM_SIP_415_UNSUPPORTED_MEDIA_TYPE",0,0,0,1
0x1000004F,"CCM_SIP_415_UNSUPPORTED_MEDIA_TYPE",0,0,0,1
285212799,"CCM_SIP_416_UNSUPPORTED_URI_SCHEME",0,0,0,1
0x1100007F,"CCM_SIP_416_UNSUPPORTED_URI_SCHEME",0,0,0,1
301989951,"CCM_SIP_417_ERR_RESOURCE_PRIORITY_ROUTINE",0,0,0,1
0x1200003F,"CCM_SIP_417_ERR_RESOURCE_PRIORITY_ROUTINE",0,0,0,1
0x1500007F,"CCM_SIP_420_BAD_EXTENSION",0,0,0,1
369098879,"CCM_SIP_421_EXTENSION_REQUIRED",0,0,0,1
0x1600007F,"CCM_SIP_421_EXTENSION_REQUIRED",0,0,0,1
402653311,"CCM_SIP_423_INTERVAL_TOO_BRIEF",0,0,0,1
0x1800007F,"CCM_SIP_423_INTERVAL_TOO_BRIEF",0,0,0,1
419430421,"CCM_SIP_424_BAD_LOCATION_INFO",0,0,0,1
0x19000015,"CCM_SIP_424_BAD_LOCATION_INFO",0,0,0,1
503316501,"CCM_SIP_429_PROVIDE_REFER_IDENTITY",0,0,0,1
0x1E000015,"CCM_SIP_429_PROVIDE_REFER_IDENTITY",0,0,0,1
570425365,"CCM_SIP_433_ANONYMITY_DISALLOWED",0,0,0,1
0x22000015,"CCM_SIP_433_ANONYMITY_DISALLOWED",0,0,0,1
1073741842,"CCM_SIP_480_TEMPORARILY_UNAVAILABLE",0,0,0,1
0x40000012,"CCM_SIP_480_TEMPORARILY_UNAVAILABLE",0,0,0,1
1090519081,"CCM_SIP_481_CALL_LEG_DOES_NOT_EXIST",0,0,0,1
0x41000029,"CCM_SIP_481_CALL_LEG_DOES_NOT_EXIST",0,0,0,1
1107296281,"CCM_SIP_482_LOOP_DETECTED = 0x42000000 + EXCHANGE_ROUTING_ERROR",0,0,0,1
0x42000019,"CCM_SIP_482_LOOP_DETECTED = 0x42000000 + EXCHANGE_ROUTING_ERROR",0,0,0,1
1124073497,"CCM_SIP_483_TOO_MANY_HOOPS",0,0,0,1
0x43000019,"CCM_SIP_483_TOO_MANY_HOOPS",0,0,0,1
1140850716,"CCM_SIP_484_ADDRESS_INCOMPLETE",0,0,0,1
0x4400001C,"CCM_SIP_484_ADDRESS_INCOMPLETE",0,0,0,1
1157627905,"CCM_SIP_485_AMBIGUOUS",0,0,0,1
0x45000001,"CCM_SIP_485_AMBIGUOUS",0,0,0,1
1174405137,"CCM_SIP_486_BUSY_HERE",0,1,0,1
0x46000011,"CCM_SIP_486_BUSY_HERE",0,0,0,1
1191182367,"CCM_SIP_487_REQUEST_TERMINATED",0,0,0,1
0x4700001F,"CCM_SIP_487_REQUEST_TERMINATED",0,0,0,1
1207959583,"CCM_SIP_488_NOT_ACCEPTABLE_HERE",0,0,0,1
0x4800001F,"CCM_SIP_488_NOT_ACCEPTABLE_HERE",0,0,0,1
1258291217,"CCM_SIP_491_REQUEST_PENDING",0,0,0,1
0x4B000011,"CCM_SIP_491_REQUEST_PENDING",0,0,0,1
1291845649,"CCM_SIP_493_UNDECIPHERABLE",0,0,0,1
0x4D000011,"CCM_SIP_493_UNDECIPHERABLE",0,0,0,1
1409286185,"CCM_SIP_500_SERVER_INTERNAL_ERROR",0,0,0,1
0x54000029,"CCM_SIP_500_SERVER_INTERNAL_ERROR",0,0,0,1
1442840614,"CCM_SIP_502_BAD_GATEWAY",0,0,0,1
0x56000026,"CCM_SIP_502_BAD_GATEWAY",0,0,0,1
1459617833,"CCM_SIP_503_SERVICE_UNAVAILABLE",0,0,0,1
0x57000029,"CCM_SIP_503_SERVICE_UNAVAILABLE",0,0,0,1
1476395110,"CCM_SIP__504_SERVER_TIME_OUT",0,0,0,1
0x58000066,"CCM_SIP__504_SERVER_TIME_OUT",0,0,0,1
1493172351,"CCM_SIP_505_SIP_VERSION_NOT_SUPPORTED",0,0,0,1
0x5900007F,"CCM_SIP_505_SIP_VERSION_NOT_SUPPORTED",0,0,0,1
1509949567,"CCM_SIP_513_MESSAGE_TOO_LARGE",0,0,0,1
0x5A00007F,"CCM_SIP_513_MESSAGE_TOO_LARGE",0,0,0,1
2701131793,"CCM_SIP_600_BUSY_EVERYWHERE",0,0,0,1
0xA1000011,"CCM_SIP_600_BUSY_EVERYWHERE",0,0,0,1
2717909013,"CCM_SIP_603_DECLINE",0,0,0,1
0xA2000015,"CCM_SIP_603_DECLINE",0,0,0,1
2734686209,"CCM_SIP_604_DOES_NOT_EXIST_ANYWHERE",0,0,0,1
0xA3000001,"CCM_SIP_604_DOES_NOT_EXIST_ANYWHERE",0,0,0,1
2751463455,"CCM_SIP_606_NOT_ACCEPTABLE",0,0,0,1
0xA400001F,"CCM_SIP_606_NOT_ACCEPTABLE",0,0,0,1
2801795135,"CCM_SIP_503_SERVICE_UNAVAILABLE_SER_OPTION_NOAV",0,0,0,1
0xA700003F,"CCM_SIP_503_SERVICE_UNAVAILABLE_SER_OPTION_NOAV",0,0,0,1
