field,description,type,report
SCSR_overall orig_gateway,95th percentile of computed SCS ratio on inbound calls over time split by originating gateway,report,calls?mode=chart&type=incoming&xField=_time&yField=SCSR_overall&autoRun=True&number=&stat=perc95&charting.chart=line&earliest=-24h%40h&latest=now&zField=orig_gateway
globalCallID_callId orig_gateway,inbound call volume over time split by  gateway,report,calls?mode=chart&charting.chart.stackMode=stacked&autoRun=True&number=&stat=&zField=orig_gateway&type=incoming&latest=now&earliest=-24h%40h
dest_gateway orig_gateway,total inbound and outbound call duration over gateway split by direction, report,calls?mode=chart&charting.chart=bar&latest=now&earliest=-24h%40h&xField=gateway&searchterms=(dest_gateway%3D* OR orig_gateway%3D*) NOT (dest_gateway%3D* orig_gateway%3D*)&stat=sum&yField=duration&number=&autoRun=True&zField=type&charting.chart.stackMode=stacked
duration,sum of call duration over time,report,calls?mode=chart&stat=sum&number=&autoRun=True&yField=duration&latest=now&earliest=-24h%40h
origDeviceName,all devices making outbound calls,report,calls?mode=chart&xField=origDeviceName&autoRun=True&number=&type=outgoing&selectedTab=Table&latest=now&earliest=-24h%40h
origDeviceName,all devices making 911 calls,advanced,calls?type=outgoing&searchterms=calledPartyNumber%3D911* OR calledPartyNumber%3D9911 &numberType=all&number=&latest=now&earliest=-24h%40h&autoRun=True
destDeviceName,all devices receiving inbound calls,report,calls?mode=chart&type=incoming&xField=origDeviceName&autoRun=True&number=&selectedTab=Table&latest=now&earliest=-24h%40h
duration callingPartyNumber,total outbound call duration by caller,report,calls?mode=chart&type=outgoing&selectedTab=Table&zField=&stat=sum&number=&autoRun=True&yField=duration&xField=callingPartyNumber&latest=now&earliest=-24h%40h
origCause_description,call termination reasons for calls released by the originating party,report,calls?mode=chart&charting.chart=bar&autoRun=True&number=&xField=origCause_description&selectedTab=Table&latest=now&earliest=-24h%40h
cause_description,overall call termination reasons,report,calls?mode=chart&charting.chart=bar&autoRun=True&number=&xField=cause_description&selectedTab=Table&latest=now&earliest=-24h%40h
destCause_description,call termination reasons for calls released by the destination party,report,calls?mode=chart&charting.chart=bar&autoRun=True&number=&xField=destCause_description&selectedTab=Table&latest=now&earliest=-24h%40h
origCause_description,"outgoing calls terminated by originating party, charted over time split by termination cause",report,calls?mode=chart&type=outgoing&zField=origCause_description&selectedTab=Chart&xField=_time&number=&autoRun=True&charting.chart=column&charting.chart.stackMode=stacked&searchterms=origCause_value>0&latest=now&earliest=-24h%40h
origCalledPartyRedirectReason,"inbound calls that were redirected, over hour-of day and split by redirection reason",report,calls?mode=chart&type=incoming&autoRun=True&number=&xField=hour_of_day&earliest=-24h%40h&latest=now&selectedTab=Chart&charting.chart=column&zField=origCalledPartyRedirect_description&charting.chart.stackMode=stacked
cause_description duration,"calls with nonzero duration, charted over time and split by overall termination cause description.",report,calls?mode=chart&zField=cause_description&selectedTab=Chart&xField=_time&autoRun=True&charting.chart=column&charting.chart.stackMode=stacked&latest=now&earliest=-24h%40h&searchterms=duration>0
destCause_description,"calls terminated by receiving party, charted over time split by termination cause",report,calls?mode=chart&zField=destCause_description&selectedTab=Chart&xField=_time&number=&autoRun=True&charting.chart=column&charting.chart.stackMode=stacked&searchterms=destCause_value>0&latest=now&earliest=-24h%40h
originalCalledPartyNumber type finalCalledPartyNumber,"Most active DNs, as measured by number of finalCalledPartyNumber values",report,calls?mode=chart&latest=now&earliest=-24h%40h&xField=originalCalledPartyNumber&type=incoming&number=&yField=finalCalledPartyNumber&autoRun=True&selectedTab=Table
originalCalledPartyNumber,dialed numbers and call counts for all calls where originalCalledPartyNumber differs from finalCalledPartyNumber,report,calls?mode=chart&latest=now&earliest=-24h%40h&xField=originalCalledPartyNumber&autoRun=True&number=&advancedSearchLanguage=where%20originalCalledPartyNumber!%3DfinalCalledPartyNumber&selectedTab=Table
calledPartyNumber,distinct count of called numbers by callingPartyNumber,report,calls?mode=chart&yField=calledPartyNumber&latest=now&earliest=-24h%40h&xField=callingPartyNumber&autoRun=True&number=&selectedTab=Table
globalCallID_callId,inbound call volume over time,report,calls?mode=chart&type=incoming&selectedTab=Chart&autoRun=True&xField=_time&earliest=-24h%40h&latest=now&yField=call_id
globalCallID_callId,outbound call volume over time split by gateway,report,calls?mode=chart&zField=dest_gateway&selectedTab=Chart&number=&autoRun=True&xField=_time&earliest=-24h%40h&latest=now&yField=call_id&charting.chart.stackMode=stacked&type=outgoing
seconds_until_answered,call counts over elapsed time before the call was answered,report,calls?mode=chart&type=incoming&sortBy=seconds_until_answered  &advancedSearchLanguage=&number=&latest=now&earliest=-24h%40h&autoRun=True&xField=seconds_until_answered&selectedTab=Table
hour_of_day day_of_week,"call volumes over hour of day split by day of week, last 7 days (may take a while)",report,calls?mode=chart&xField=hour_of_day&advancedSearchLanguage=&yField=call_id&autoRun=True&number=&stat=dc&zField=day_of_week&charting.chart=line&latest=now&earliest=-7d%40h
hour_of_day,yesterday's incoming call volumes over hour of day split by gateway,report,calls?mode=chart&type=incoming&xField=hour_of_day&advancedSearchLanguage=&yField=call_id&autoRun=True&number=&stat=dc&zField=orig_gateway&charting.chart=line&latest=%40d&earliest=-1d%40d
finalCalledPartyCountryCode callingPartyNumber,"extensions making outbound calls to many different countries, last 24 hours",report,calls?mode=chart&latest=now&earliest=-24h%40h&number=&yField=callingPartyCountryCode&autoRun=True&type=outgoing&xField=callingPartyNumber&selectedTab=Table
duration_in_minutes callingPartyNumber type,total inbound and outbound call durations by callingPartyNumber,report,calls?mode=chart&selectedTab=Table&stat=sum&zField=type&autoRun=True&xField=callingPartyNumber&yField=duration_in_minutes&earliest=-24h%40h&latest=now&type=incoming&type=outgoing&type=internal
dest_gateway jitter,95th percentile of outbound call jitter over time by gateway,report,calls?mode=chart&type=outgoing&charting.chart=line&stat=perc95&number=&autoRun=True&yField=jitter&zField=dest_gateway&earliest=-24h&latest=now
orig_gateway jitter,95th percentile of inbound call jitter over time by gateway,report,calls?mode=chart&type=incoming&charting.chart=line&stat=perc95&number=&autoRun=True&yField=jitter&zField=orig_gateway&earliest=-24h&latest=now
orig_gateway latency,95th percentile of inbound call latency over time by gateway ,report,calls?mode=chart&latest=now&earliest=-24h&zField=orig_gateway&yField=latency&autoRun=True&number=&stat=perc95&charting.chart=line&type=incoming
dest_gateway latency,95th percentile of outbound call latency over time by gateway,,calls?mode=chart&latest=now&earliest=-24h&zField=dest_gateway&yField=latency&autoRun=True&number=&stat=perc95&charting.chart=line&type=outgoing
numberPacketsLost dest_gateway,"total packet loss on outbound calls, over time, split by gateway",report,calls?mode=chart&latest=now&earliest=-24h&zField=dest_gateway&yField=numberPacketsLost&autoRun=True&number=&stat=sum&charting.chart=line&type=outgoing
numberPacketsLost orig_gateway,"total packet loss on inbound calls, over time, split by gateway",report,calls?mode=chart&latest=now&earliest=-24h&zField=orig_gateway&yField=numberPacketsLost&autoRun=True&number=&stat=sum&charting.chart=line&type=incoming
callingPartyAreaCode,Inbound call counts grouped by calling party area code,report,calls?mode=chart&xField=callingPartyAreaCode&autoRun=True&number=&type=incoming&advancedSearchLanguage=&selectedTab=Table&earliest=-7d@d&latest=now
finalCalledPartyAreaCode,Outbound call counts grouped by called party area code,report,calls?mode=chart&xField=finalCalledPartyAreaCode&autoRun=True&number=&type=outgoing&advancedSearchLanguage=&selectedTab=Table&earliest=-7d@d&latest=now
finalCalledPartyCountryCode durationInMinutes,Outbound call duration in minutes by country code,report,calls?mode=chart&charting.chart=bar&yField=duration_in_minutes&xField=finalCalledPartyCountryCode&autoRun=True&number=&type=outgoing&stat=sum&earliest=-7d@d&latest=now
callingPartyCountryCode,Inbound call duration in minutes grouped by caller country code,report,calls?mode=chart&charting.chart=bar&yField=duration_in_minutes&xField=callingPartyCountryCode&autoRun=True&number=&type=incoming&stat=sum&earliest=-7d@d&latest=now
dest_device_type,"count of inbound calls over time, split by receiving device type, last 24 hours",report,calls?mode=chart&latest=now&earliest=-24h%40h&zField=dest_device_type&type=incoming&number=&autoRun=True&charting.chart.stackMode=stacked
destIpAddr dest_device_type,distinct ip addresses receiving calls graphed over time split by receiving device type,report,calls?mode=chart&yField=destIpAddr&latest=now&earliest=-24h%40h&zField=dest_device_type&type=incoming&number=&autoRun=True&charting.chart.stackMode=stacked
destIpAddr dest_device_type orig_device_type,"device types and call counts for the most active IP Addresses receiving inbound call legs, last 24 hours",advanced,"search?q=search `custom_index` sourcetype=cucm_cdr orig_device_type=""gateway"" NOT dest_device_type=""gateway"" | `convert_ip_address(destIpAddr)` | stats dc(call_id) as calls by destIpAddr dest_device_type | sort 0 - calls&latest=now&earliest=-24h%40h"
destIpAddr dest_device_type,"distinct count of ip addresses receiving inbound calls, graphed over time and split by receiving device type",report,calls?mode=chart&charting.chart=line&yField=destIpAddr&autoRun=True&number=&type=incoming&zField=dest_device_type&searchterms=duration>0&latest=now&earliest=-24h%40h
device_type,troubleshooting - find calls in the last 48 hours where no device_type values were extracted.,browse,calls?searchterms=NOT device_type%3D*&autoRun=True&earliest=-48h%40h&latest=now
globalCallId_ClusterID globalCallId_callManagerID cause_description,"disconnect cause codes for calls with failed call legs, over unique callManager nodes, split by cause code",report,"calls?mode=chart&selectedTab=Table&zField=cause_description&advancedSearchLanguage=eval cluster_and_cm%3DglobalCallId_ClusterID .""---"". globalCallID_callManagerId&autoRun=True&number=&searchterms=call_connected%3D0&xField=cluster_and_cm"&latest=now&earliest=-24h%40h
internal_device_type site,"Device Utilization split by Site, last 24 hours", report, calls?mode=chart&charting.chart=bar&xField=site&yField=call_id&autoRun=True&zField=internal_device_type&charting.chart.stackMode=stacked&latest=now&earliest=-24h%40h
internal_device_name internal_device_type,"jabber usage grouped by individual jabber device types", report, calls?mode=chart&selectedTab=Table&zField=&searchterms=internal_device_type%3Djabber*&yField=internal_device_name&xField=internal_device_type&earliest=-24h%40h&latest=now
transfers initialCalledPartyNumber,"extensions initially handing any inbound calls where the call was transferred more than twice, split by number of transfers.",report,calls?mode=chart&searchterms=transfers>2&advancedSearchLanguage=&selectedTab=Table&number=&yField=call_id&autoRun=True&xField=initialCalledPartyNumber&type=incoming&earliest=-24h%40h&latest=now&stat=dc&zField=transfers
transfers on_hook_party,"inbound calls that were transferred 3 or more times, where the call was terminated by the caller",browse,calls?latest=now&earliest=-24h%40h&type=incoming&autoRun=True&number=&searchterms=on_hook_party%3Dcaller transfers>2
on_hook_party terminatingCalledPartyNumber,"Internal extensions who were the terminating party on inbound calls , showing the number of calls terminated",report,calls?mode=chart&type=incoming&xField=terminatingCalledPartyNumber&autoRun=True&yField=call_id&searchterms=on_hook_party%3Drecipient &selectedTab=Table&latest=now&earliest=-24h%40h
duration_total calledPartyPatternUsageDescription,call duration by calledParty pattern usage,report,calls?mode=chart&type=incoming&selectedTab=Table&latest=now&earliest=-24h%40h&autoRun=True&number=&yField=duration_total&xField=calledPartyPatternUsageDescription&zField=&advancedSearchLanguage=&stat=sum
device_type calledPartyPatternUsageDescription,"calls matching mobility calledParty patterns, graphed over time and split by device_type",report,calls?mode=chart&type=incoming&type=outgoing&type=internal&type=tandem&searchterms=calledPartyPatternUsage%3D16 OR calledPartyPatternUsage%3D17 OR calledPartyPatternUsage%3D18&selectedTab=Table&latest=now&earliest=-24h%40h&autoRun=True&number=&yField=call_id&xField=_time&zField=device_type&advancedSearchLanguage=&stat=dc
finalCalledPartyLATA,outbound calls over time split by calledParty LATA,report,calls?mode=chart&type=outgoing&searchterms=finalCalledPartyLATA%3D*&selectedTab=Chart&latest=now&earliest=-4h%40m&autoRun=True&number=&yField=call_id&xField=_time&zField=finalCalledPartyLATA&advancedSearchLanguage=&stat=dc&charting.chart.stackMode=stacked
finalCalledPartyLATA,outbound calls with calledParty values that match no LATA,browse,calls?earliest=-24h%40h&latest=now&advancedSearchLanguage=&searchterms=NOT finalCalledPartyLATA%3D*&type=outgoing&number=&numberType=all
callingPartyCompanyType,inbound calls over time split by callingParty companyType (RBOC/ILEC/WIRELESS/etc),report,calls?mode=chart&type=incoming&selectedTab=Chart&latest=now&earliest=-4h%40m&autoRun=True&number=&yField=call_id&xField=_time&zField=callingPartyCompanyType&advancedSearchLanguage=&stat=dc&charting.chart.stackMode=stacked
orig_device_type destHardPhoneMac,"internal calls to hardphones, grouped by hardphone mac address, split by originating devicetype",report,calls?mode=chart&charting.chart.stackMode=stacked&stat=dc&advancedSearchLanguage=&zField=orig_device_type&xField=destHardPhoneMac&yField=call_id&number=&autoRun=True&earliest=-24h%40h&latest=now&selectedTab=Table&type=internal
call_connected callMediaType,Failed calls over time split by media type,report,"calls?mode=chart&searchterms=call_connected%3D0 NOT cause_description%3D""Unallocated (unassigned) number""&earliest=-24h%40h&latest=now&charting.chart=line&zField=callMediaType&stat=dc&number=&autoRun=True&yField=call_id&advancedSearchLanguage=&xField=_time"
legs,Calls with 3 or more call legs,browse,calls?latest=now&earliest=-24h%40h&searchterms=legs>2
seconds_until_disconnected,frequency distribution of ring times for inbound calls not answered,report,calls?mode=chart&xFieldBins=100&searchterms=dateTimeConnect%3D0&number=&yField=call_id&autoRun=True&type=incoming&xField=seconds_until_disconnected&earliest=-24h%40h&latest=now
SCSR,Call quality tiers over time (as determined from SCSR),report,"calls?mode=chart&number=&selectedTab=Chart&xField=_time&advancedSearchLanguage=eval grade%3Dif(duration>%3D20%2Ccase(SCSR<3%2C""good""%2CSCSR<%3D7%2C""acceptable""%2CSCSR>7%2C""poor""%2Ctrue()%2C""undefined"")%2C case(SCSR<20%2C""good""%2CSCSR<%3D30%2C ""acceptable""%2CSCSR>30%2C""poor""%2Ctrue()%2C""undefined""))&autoRun=True&yField=call_id&searchterms=&zField=grade"&latest=now&earliest=-24h%40h
call_failed,Failed calls over time split by failure type,report,calls?mode=chart&zField=cause_description&searchterms=call_failed%3D1&xFieldBins=100&earliest=-24h%40h&latest=now
