"signature_id","virus_name"
21667,"XPACK.A_580 (Trojan)"
22333,"Mydoom.I (Worm)"
24540,"Malformed.wav.MT.1 (Exploit)"
27541,"BrowseFox.ATPO_3 (Trojan)"
30190,"Malformed.html.TL.025 (Exploit)"
31254,"Expiro.Q_2 (Virus)"
1078,"VBInject.A_18 (Trojan)"
1648,"Wauchos.A_59 (Trojan)"
6094,"MalAgent.H_2951 (Trojan)"
18749,"Binder.L (Trojan)"
36426,"Malformed.xls.BP.15 (Exploit)"
1342,"Zbot.KDPC (Trojan)"
11508,"Gepys.A_61 (Trojan)"
30714,"Malformed.doc.TL.18 (Exploit)"
37392,"OutBrowse.CCPO_45 (Trojan)"
14931,"Androm.EMJQ (Trojan)"
19079,"Banload.A_19 (Trojan)"
19366,"Androm.PRC (Trojan)"
19605,"SoftPulse.Q_4 (Trojan)"
35410,"Malformed.mp4.TL.4 (Exploit)"
37991,"AutoRun.MGM (Worm)"
18770,"Nitol.B_7 (Trojan)"
23168,"Adload.A_9 (Adware)"
27969,"Glupteba.A_2 (Trojan)"
10133,"Stantinko.A_7 (Trojan)"
16450,"Offend.KD_103 (Trojan)"
33896,"Dorkbot.I_19 (Worm)"
32556,"Drixed.B_6 (Trojan)"
17390,"Banload.TXZ (Trojan)"
20992,"LoadMoney.AAI_2 (Adware)"
30102,"Malformed.xls.TL.17 (Exploit)"
22236,"Spybot.BFR_24 (Trojan)"
29386,"Malagent.G_4032 (Trojan)"
32176,"XPACK.A_850 (Trojan)"
2519,"ZAccess.CCMB (Trojan)"
20215,"Malformed.swf.MP.105 (Exploit)"
1858,"Neurevt.B_26 (Trojan)"
3550,"MediaMagnet.A_11 (Adware)"
8252,"Gamarue.A_43 (Worm)"
22106,"MalAgent.H_3227 (Trojan)"
25066,"Fobsul.S (Trojan)"
47274,"Malformed.xls.MP.17 (Exploit)"
18474,"Plite.A_3 (Trojan)"
26942,"Tepfer.FA_3 (Trojan)"
30429,"Malformed.eot.BP.1 (Exploit)"
32443,"Upatre.A_54 (Trojan)"
33818,"Fareit.CJ (Trojan)"
5230,"MalAgent.G_3044 (Trojan)"
9202,"Mailpassview.A_3 (Trojan)"
24318,"Fakesysdef.BDY (Trojan)"
31612,"Stantinko.O_3 (Trojan)"
35526,"Malformed.chm.TL.5 (Exploit)"
18503,"Malformed.doc.MP.4 (Exploit)"
23416,"Ropest.A_5 (Trojan)"
12110,"Kryptik.ARYI (Trojan)"
16300,"MalAgent.H_1529 (Trojan)"
28900,"Tinba.A_11 (Trojan)"
8894,"Hesperbot.A_2 (Trojan)"
34966,"DarkKomet.WDL (Trojan)"
47706,"Malformed.ppt.BP.5 (Exploit)"
24737,"Ammyy.B_3 (Trojan)"
5915,"Xtrat.GCS (Trojan)"
15773,"Kolab.BCVE (Worm)"
20478,"Inject.CEE_14 (Trojan)"
32803,"EncPk.NS_5 (Trojan)"
37498,"Agent.BGFK (Trojan)"
11666,"Citirevo.AE_8 (Trojan)"
16637,"Emotet.AD_2 (Trojan)"
18515,"Slapper.A (Worm)"
20434,"Soft32Downloader.A_18 (Adware)"
33900,"Sharik.QXQ (Trojan)"
13396,"OutBrowse.BUPO_250 (Trojan)"
4460,"PUP.A (Adware)"
23395,"Papras.DN_3 (Trojan)"
23612,"Neurevt.B_43 (Trojan)"
30795,"Malformed.swf.TL.35 (Exploit)"
3421,"Dridex.A (Trojan)"
24784,"Injector.BECO (Trojan)"
28016,"Malformed.swf.MP.142 (Exploit)"
8318,"Banker.A_24 (Trojan)"
12848,"LoadMoney.A_14 (Adware)"
13166,"Magania.ICJY (Trojan)"
21630,"Urelas.F_2 (Trojan)"
25546,"Kryptik.BNKP (Trojan)"
20885,"Tepfer.BFVY (Trojan)"
31900,"InstallMonstr.FP_3 (Trojan)"
33689,"Malformed.html.OT.2 (Exploit)"
2894,"Zbot.A_487 (Trojan)"
27008,"Zbot.EQGF (Trojan)"
27072,"Sirefef.FY_54 (Trojan)"
2162,"Zbot.AAO_134 (Trojan)"
19548,"Malformed.docx.TL.12 (Exploit)"
23236,"Banload.AQ (Trojan)"
21979,"AdGazelle.A_54 (Adware)"
9381,"OutBrowse.BUPO_144 (Trojan)"
37518,"MalAgent.H_3396 (Trojan)"
35921,"Dynamer.A_176 (Trojan)"
19308,"Xpack.CDB (Trojan)"
28501,"Malformed.xls.MP.31 (Exploit)"
29117,"IBryte.I (Adware)"
33194,"Allaple.A_108 (Worm)"
37628,"Conficker.B (Worm)"
3543,"CasinoOnline_2 (Trojan)"
23522,"Yakad.A_4 (Trojan)"
26289,"Malformed.dir.TL.1 (Exploit)"
26651,"MalAgent.H_2419 (Trojan)"
34778,"Solimba.ALPO_8 (Trojan)"
43643,"Malformed.pdf.MT.2 (Exploit)"
4062,"Fynloski.A_43 (Trojan)"
5990,"Zbot.AAU_165 (Trojan)"
38063,"Agent.VV (Worm)"
6589,"IBryte.S (Adware)"
33739,"XPACK.GEN_104 (Trojan)"
39395,"Ruskill.QEA (Trojan)"
29400,"MalAgent.DE_4 (Trojan)"
38278,"Buzus.CBVQ (Trojan)"
1137,"Matsnu.A (Trojan)"
14875,"AdLoad.FWZ (Trojan)"
18648,"Fiha.A_18 (Trojan)"
20244,"Matsnu.O_7 (Trojan)"
3921,"Kryptik.DALX (Trojan)"
40808,"Palevo.AASZ (Worm)"
6228,"Zbot.A_192 (Trojan)"
18880,"Papras.DN_2 (Trojan)"
28438,"Malformed.html.TL.201 (Exploit)"
33546,"Dropper.A_1002 (Trojan)"
7626,"Venik.F (Trojan)"
36460,"Uztuby.X (Trojan)"
6548,"Agent.CFLE (Trojan)"
21514,"MultiPlug.A_202 (Adware)"
26379,"Filecoder.DI_4 (Trojan)"
15590,"Virut.CE_96 (Virus)"
32528,"Gamarue.I_63 (Worm)"
1468,"MalAgent.G_547 (Trojan)"
2175,"Boaxxe.BB_2 (Trojan)"
6289,"AHX.A_2 (Adware)"
8339,"Upatre.A_85 (Trojan)"
18980,"Fareit.A_187 (Trojan)"
19424,"Malformed.html.MP.46 (Exploit)"
33554,"Malformed.pdf.TL.13 (Exploit)"
2951,"Kryptik.BECQ (Trojan)"
10789,"Banload.RTF (Trojan)"
34282,"Dropper.A_1013 (Trojan)"
18936,"FirseriaInstaller.F (Trojan)"
36919,"Agent.AMDK (Trojan)"
20690,"Elzob.JH (Trojan)"
23460,"PullUpdate.D_3 (Adware)"
7361,"LoadMoney.TK (Adware)"
11885,"LoadMoney.ALD (Adware)"
38482,"Agent.AYWF (Trojan)"
3228,"Cridex.AA_24 (Worm)"
6262,"Koobface.FX (Worm)"
6904,"MalAgent.H_1493 (Trojan)"
23524,"Filecoder.DG_2 (Trojan)"
28542,"PWSFFox_3 (HackTool)"
34158,"Malformed.swf.MP.115 (Exploit)"
38077,"Rbot.CQI_3 (Trojan)"
39412,"Kolab.FKT (Worm)"
13858,"BoontyGames.A (Adware)"
19299,"Ipamor.B (Trojan)"
23043,"IBryte.BU (Adware)"
2034,"Farfli.PZ_11 (Trojan)"
20612,"4Shared.Z_2 (Trojan)"
27561,"RuKometa.AXA (Trojan)"
34716,"XPACK.A_913 (Trojan)"
2554,"Tepfer.JRBS (Trojan)"
24612,"Kryptik.DHRJ (Trojan)"
1495,"Peed_21 (Trojan)"
23362,"DelfInject.A_22 (Trojan)"
37597,"Evo.A_15 (Trojan)"
5207,"Zbot_91 (Trojan)"
16540,"Autoit.CDD (Trojan)"
35437,"PayPal.CN (Trojan)"
16555,"Magania.BXCP_2 (Trojan)"
33583,"Caphaw.I_26 (Trojan)"
24227,"Agent.FRD (Trojan)"
24845,"Kykymber.AA_40 (Trojan)"
30834,"Malformed.pfm.TL.1 (Exploit)"
31499,"DomaIQ.KL (Trojan)"
37377,"MalAgent.H_3392 (Trojan)"
37110,"Bladabindi.ABC (Trojan)"
1778,"Keylogger_11 (Trojan)"
5225,"StartPage.CAB (Trojan)"
27764,"Malformed.cov.TL.2 (Exploit)"
28996,"Bredolab.OQI (Trojan)"
33750,"Foreign.JOZZ (Trojan)"
33755,"Wauchos.K_31 (Trojan)"
19255,"Fynloski.A_57 (Trojan)"
34050,"Malformed.avi.TL.10 (Exploit)"
37035,"SBYinYing.E_3 (Adware)"
15397,"Kryptik.DAPV_2 (Trojan)"
19097,"Spnr.CHC (Trojan)"
23810,"Dorkbot.I_66 (Worm)"
33396,"XPACK.A_881 (Trojan)"
34080,"XPACK.A_893 (Trojan)"
8085,"XPACK.A_333 (Trojan)"
9036,"BrowseFox.A_37 (Adware)"
29017,"Gamarue.AP (Worm)"
8526,"Cutwail.CG (Trojan)"
5577,"Anaki.A (Trojan)"
15715,"Dyre.L (Trojan)"
20695,"Downloader.MFG (Trojan)"
25622,"Malformed.dex.BP.8 (Exploit)"
26135,"IRCBot.IO_7 (Worm)"
1515,"Foreign.AXKB (Trojan)"
6396,"Gepys.B (Trojan)"
12171,"Banload.CCLN (Trojan)"
13172,"Sirefef.FY_26 (Trojan)"
34370,"Crowti.A_52 (Trojan)"
25869,"Malformed.sis.BP.34 (Exploit)"
26622,"OnLineGames.A_15 (Trojan)"
19980,"Zbot.A_539 (Trojan)"
21307,"Netbox.H (Trojan)"
34186,"MalAgent.I_461 (Trojan)"
5605,"Backdoor.A_7 (Trojan)"
18258,"Neurevt.A_5 (Trojan)"
37900,"Suspicious_Gen2.BBTXA (Trojan)"
37994,"Delf.AF_4 (Trojan)"
36053,"MultiPlug.MS_18 (Adware)"
10337,"Blocker.ENGW (Trojan)"
15952,"Dyre.D_4 (Trojan)"
34526,"Bladabindi.AN_21 (Trojan)"
36163,"Malformed.png.BP.16 (Exploit)"
36333,"OutBrowse.CBPO_319 (Trojan)"
25316,"Certificate.A_87 (Adware)"
31816,"Fareit_14 (Trojan)"
2472,"Adload.AM (Trojan)"
10144,"XPACK.A_380 (Trojan)"
13662,"LoadMoney.A_20 (Adware)"
36431,"Malformed.xls.BP.16 (Exploit)"
24319,"VBKrypt.MEUQ (Trojan)"
29164,"Kovter.A_31 (Trojan)"
35535,"Malformed.pdf.TL.39 (Exploit)"
1348,"Injector.HTQX (Trojan)"
19117,"DameWare.A_2 (Exploit)"
26435,"FakeDoc.LM (Trojan)"
35096,"LoadMoney.AKI_2 (Adware)"
28055,"Zbot.G_37 (Trojan)"
33879,"Injector.AHPZ_2 (Trojan)"
9891,"Miuref.F_5 (Trojan)"
14263,"IBryte.BJ_12 (Adware)"
23606,"Heofuv.A (Trojan)"
37688,"MalAgent.I_530 (Trojan)"
12101,"Reveton.N_3 (Trojan)"
14922,"Redosdru.V (Trojan)"
32392,"Upatre.AM (Trojan)"
36079,"Malformed.xls.BP.26 (Exploit)"
29539,"Malformed.sc.OT.10 (Exploit)"
464,"Koobface.AWJ (Worm)"
22558,"OnLineGames.QOC_2 (Trojan)"
25379,"Reconyc.EEIQ (Trojan)"
2410,"ZAccess.CCPQ (Trojan)"
14949,"Dynamer.A_9 (Trojan)"
16054,"Zbot.RITE_2 (Trojan)"
21227,"Sytro.A_273 (Virus)"
34530,"XPACK.A_907 (Trojan)"
17915,"Sytro.A_180 (Virus)"
21140,"LoadMoney.ABC (Adware)"
17320,"SoftPulse.A_18 (Trojan)"
22011,"ICLoader.IC_25 (Adware)"
28408,"Poison.CPB_7 (Trojan)"
21700,"Genetik_574 (Trojan)"
3000,"Koobface.AYI (Worm)"
8261,"Zbot.AAO_164 (Trojan)"
8510,"Dorkbot.U (Trojan)"
16706,"Krypt.HN_2 (Trojan)"
28070,"Barys.B_68 (Trojan)"
28517,"Kryptik.PJT_110 (Trojan)"
30117,"Malformed.pdf.MP.56 (Exploit)"
35121,"Kryptik.DIKC_2 (Trojan)"
17930,"SoftPulse.A_57 (Adware)"
26689,"AutoRun.OY (Virus)"
542,"Mokes.TTR (Trojan)"
6164,"Cutwail.A_10 (Trojan)"
25574,"Dropper.A_863 (Trojan)"
31122,"AdPlugin.A_35 (Adware)"
9422,"Injector.GDBI (Trojan)"
14248,"DownloadMR (Trojan)"
14648,"FBook.AW (Trojan)"
29097,"Parite.A_46 (Virus)"
29098,"Injector.A_144 (Trojan)"
35027,"Refroso.EWSV (Trojan)"
35072,"IRCbot.VTQ (Trojan)"
36114,"Suspicious#ORIEN (Worm)"
30713,"Injector.FOZP (Trojan)"
3650,"Viking.BD_4 (Trojan)"
29946,"Malformed.xpm.CR.1 (Exploit)"
30082,"Malformed.html.TL.045 (Exploit)"
11942,"Zortob.B_34 (Trojan)"
30141,"MalAgent.H_3316 (Trojan)"
36359,"Suspicious#telock.3 (Worm)"
23451,"Yakad.A_3 (Trojan)"
29284,"Injector.NJ_4 (Trojan)"
14238,"Forucon.BMC_49 (Trojan)"
20942,"Sytro.A_264 (Virus)"
33608,"Malformed.html.TL.021 (Exploit)"
24762,"Injector.KL_3 (Trojan)"
28771,"Autoit.GP (Worm)"
5426,"BJ (Trojan)"
10143,"Lollipop.A_2 (Adware)"
10316,"Pincav.CSJC (Trojan)"
30334,"Malformed.doc.TL.17 (Exploit)"
783,"Behav_153 (Trojan)"
1221,"MalAgent.G_2257 (Trojan)"
23136,"Expiro.gen.BR (Virus)"
2878,"Blocker.DNQW_2 (Trojan)"
5295,"MalAgent.G_3062 (Trojan)"
29838,"Foreign.IUFA (Trojan)"
972,"Banker.ABUH (Trojan)"
9028,"MultiPlug.GA_2 (Adware)"
17089,"CVE-2014-4114.A (Exploit)"
30661,"Windef.ZR (Trojan)"
11166,"Kryptik.LGH_2 (Trojan)"
31291,"Downloader.VZI_20 (Trojan)"
32050,"Dynamer.A_11 (Trojan)"
32375,"Enchanim.A_5 (Trojan)"
12376,"PornoAsset.BVIN (Trojan)"
19493,"Injector.SQ (Trojan)"
31973,"Injector.CK_3 (Trojan)"
20773,"Tepfer.BGCT (Trojan)"
523,"XPACK.GEN_248 (Trojan)"
26032,"Malformed.swf.MP.45 (Exploit)"
26950,"Genome.A_11 (Trojan)"
32995,"Wauchos.A_51 (Trojan)"
35463,"MalAgent.I_487 (Trojan)"
34742,"Kryptik.DMAN (Trojan)"
8708,"Reveton.H_20 (Trojan)"
13393,"Injector.AONN (Trojan)"
31976,"Crypctb.A (Trojan)"
6374,"InstallBrain.Z (Trojan)"
9761,"Anaki.A_12 (Trojan)"
19754,"Malformed.pdf.OT.5 (Exploit)"
29290,"MalAgent.GV_4 (Trojan)"
3009,"Gamarue.BX (Trojan)"
10299,"Bladabindi.F_2 (Trojan)"
10930,"ChePro.INX (Trojan)"
2535,"AirAdInstaller.A_78 (Trojan)"
36723,"MalAgent.I_498 (Trojan)"
2888,"Koobface.NBG_9 (Worm)"
25039,"ZPACK.A_62 (Trojan)"
413,"MalAgent.G_2127 (Trojan)"
11093,"Banload.RRU (Trojan)"
34195,"VB.ACUN (Trojan)"
3157,"Zbot.A_491 (Trojan)"
13924,"4Shared.Y_10 (Trojan)"
1224,"Inject.FJRD (Trojan)"
14413,"Banload.TEW_2 (Trojan)"
14905,"Sytro.A_169 (Virus)"
26650,"Upatre.FACA (Trojan)"
33403,"Malformed.png.TL.5 (Exploit)"
37595,"Philis-37 (Virus)"
19180,"Gamarue.A_24 (Worm)"
15345,"Kazy.B_57 (Trojan)"
32472,"Dynamer.A_115 (Trojan)"
956,"ATRAPS.A_70 (Trojan)"
4858,"Zbot.YW_238 (Trojan)"
41611,"Malformed.mp4.CR.2 (Exploit)"
19780,"Malformed.pdf.OT.13 (Exploit)"
5353,"InstallMonstr.IAPO (Trojan)"
7160,"SoftPulse.PPOT_4 (Trojan)"
28060,"Kryptik.SE_21 (Trojan)"
28580,"Kryptik.BQUP_3 (Trojan)"
37266,"ILHeur.A_10 (Trojan)"
30964,"Heur.WOZ (Trojan)"
38134,"IRCBot.KAI (Trojan)"
3486,"Downloader.FAHF_6 (Trojan)"
10426,"Foreign.XDE (Trojan)"
24121,"Upatre_2 (Trojan)"
15846,"Ngrbot.GEN_3 (Worm)"
27593,"Injector.LLD (Trojan)"
29306,"Malformed.swf.MP.111 (Exploit)"
32747,"Urausy.E_13 (Trojan)"
37360,"MultiPlug.MS_37 (Adware)"
3606,"ViaAdvertising.A (Adware)"
12341,"Dorifel.AACP (Trojan)"
30153,"Malformed.doc.TL.6 (Exploit)"
22189,"Wauchos.I_34 (Trojan)"
27993,"Otwycal.A_2 (Virus)"
30961,"OutBrowse.BS_58 (Trojan)"
33744,"Hupigon.A_21 (Trojan)"
35109,"Pincav.CLUZ (Trojan)"
11566,"Zbot.AAQ_26 (Trojan)"
13544,"ICLoader.A_78 (Adware)"
23158,"Downloader.DA (Trojan)"
27632,"ICLoader.IC_34 (Adware)"
37399,"OutBrowse.CEPO_62 (Trojan)"
34730,"OutBrowse.BYPO_58 (Trojan)"
3733,"Graftor_99 (Trojan)"
8404,"Genome.MKAI (Trojan)"
20577,"Alman.A_4 (Virus)"
28415,"Multiplug.A_252 (Adware)"
17389,"Winbox.A (Trojan)"
20377,"Netsky.P#fsg (Worm)"
26354,"Cutwail.A_32 (Trojan)"
37418,"BrAppWare.A_35 (Adware)"
12929,"Qbot.PHB (Trojan)"
20109,"Hioles.AC_15 (Trojan)"
23361,"Imali.A_4 (Adware)"
699,"IRCBot.AAH_5 (Trojan)"
5559,"Kryptik.ANBQ (Trojan)"
21987,"Zbot.AM_4 (Trojan)"
1388,"Fynloski.AA_41 (Trojan)"
20485,"Dextr.C (Trojan)"
22871,"Agent.ZR_2 (Trojan)"
26878,"Dyzap.A_15 (Trojan)"
11307,"PUP.A_5 (Adware)"
18871,"Dyzap.D_11 (Trojan)"
8209,"Generic.RBE (Trojan)"
20333,"Tinba.A_23 (Trojan)"
7418,"Papras.CX_5 (Trojan)"
33477,"Tofsee.AX_24 (Trojan)"
37115,"Injector.AU_2 (Trojan)"
20753,"Kryptik.BYQN (Trojan)"
10877,"Artemis_183 (Trojan)"
12304,"MalAgent.G_2016 (Trojan)"
13495,"XPACK.A_463 (Trojan)"
25774,"Malformed.sis.BP.20 (Exploit)"
29702,"Xpack_41 (Trojan)"
4104,"MultiPlug.BS_5 (Adware)"
38193,"Genetik_840 (Trojan)"
1699,"MalAgent.H_67 (Trojan)"
6637,"Tuguu.A (Adware)"
8336,"Filecoder.A_12 (Trojan)"
12016,"Kuluoz.AQQ (Trojan)"
20428,"Zbot_129 (Trojan)"
24880,"Cossta.ACFE (Trojan)"
543,"LockScreen.APR_3 (Trojan)"
1523,"Blocker.AYHO (Trojan)"
31359,"Malformed.gif.TL.22 (Exploit)"
1000,"MalAgent.H_1377 (Trojan)"
9170,"KillAV.NOP_2 (Trojan)"
15449,"MSIL.BZ (Trojan)"
26936,"Tepfer.CVF (Trojan)"
27523,"Bundlore.A_18 (Adware)"
4500,"Kryptik.AZLB_3 (Trojan)"
11381,"DigitalPlugin.A_21 (Adware)"
29109,"Zbot.A_588 (Trojan)"
32200,"Redirector.F_19 (Exploit)"
16749,"Kryptik.BHM (Trojan)"
21553,"Hideproc.H (Trojan)"
24403,"Dorkbot.I_7 (Worm)"
28940,"Dyer.BME (Trojan)"
35329,"OutBrowse.CBPO_215 (Trojan)"
27753,"LoadMoney.AEZ (Adware)"
19524,"Dorkbot.B_113 (Worm)"
37668,"Multiplug.A_311 (Adware)"
12736,"DomaIQ.B_47 (Trojan)"
29903,"MalAgent.G_4109 (Trojan)"
39308,"Bublik.YCG (Trojan)"
34823,"MultiPlug.MK_4 (Adware)"
3030,"Sirefef.FU_17 (Trojan)"
13895,"AdGazelle.A_19 (Adware)"
40911,"SWF.J (Exploit)"
5122,"MalAgent.G_3038 (Trojan)"
28183,"Kryptik.DIGV (Trojan)"
5751,"Banload.A_11 (Trojan)"
10782,"Cryptodef.GZ (Trojan)"
16327,"MalAgent.H_2967 (Trojan)"
20399,"Lethic.A_2 (Trojan)"
38064,"IRCBot.ICV (Trojan)"
34761,"XPACK.A_918 (Trojan)"
19162,"Dyzap.D_18 (Trojan)"
31842,"Malformed.pdf.BP.55 (Exploit)"
15060,"Malformed.sc.OT.35 (Exploit)"
29788,"Banbra.BBFP (Trojan)"
29387,"Malagent.G_4033 (Trojan)"
32957,"Tofsee.AX_18 (Trojan)"
20001,"MyDoom.A_1 (Worm)"
20832,"Teerac.A_10 (Trojan)"
20944,"Sytro.A_265 (Virus)"
20985,"Injector.DOBO_2 (Trojan)"
24879,"NetSky.Q_2 (Worm)"
37689,"Malformed.xls.MP.40 (Exploit)"
3125,"Kazy_206 (Trojan)"
30277,"Malformed.swf.MP.58 (Exploit)"
37216,"OutBrowse.CBPO_346 (Trojan)"
26466,"Malformed.html.MP.52 (Exploit)"
36638,"AutoIt.V (Worm)"
6676,"InstallMonstr.JLPO (Trojan)"
27973,"Wauchos.X_4 (Trojan)"
35727,"Malformed.swf.CV.3 (Exploit)"
1130,"Agent.FL_2343 (Trojan)"
9630,"BundleInstaller.F (Trojan)"
23598,"Crowti.A_42 (Trojan)"
30610,"MalAgent.G_4311 (Trojan)"
9342,"Injector.BLAW (Trojan)"
14203,"VB.AT_9 (Worm)"
26801,"Downloader.FSH_11 (Trojan)"
28761,"Kovter.C_6 (Trojan)"
35481,"MalAgent.H_1345 (Trojan)"
22183,"Berbew.F (Trojan)"
25915,"MalAgent.H_3280 (Trojan)"
37488,"Suspicious#kkrunch.2 (Worm)"
23402,"Shiotob.B_5 (Trojan)"
32403,"Yakad.B_4 (Trojan)"
13555,"MalAgent.H_1165 (Trojan)"
22416,"Swizzor.YGD (Trojan)"
26925,"Zurgop.A_4 (Trojan)"
11404,"Cutwail.BF_16 (Trojan)"
14466,"ChePro.RHZ (Trojan)"
14582,"Banload2_2 (Trojan)"
21265,"XPACK.A_136 (Trojan)"
24635,"BHO.JV (Trojan)"
48053,"Malformed.doc.BP.1 (Exploit)"
50083,"Malformed.html.TL.113 (Exploit)"
5733,"Dropper.A_175 (Trojan)"
6059,"Bublik.CCTF (Trojan)"
20407,"Drixed.D_8 (Trojan)"
35256,"OutBrowse.CBPO_199 (Trojan)"
36454,"IRCBot.DIR (Trojan)"
39991,"RBot.XKL (Trojan)"
6998,"MalAgent.H_1501 (Trojan)"
13197,"LockScreen.APR_30 (Trojan)"
22242,"Corkow.A_5 (Trojan)"
36388,"Malformed.gif.TL.7 (Exploit)"
6148,"Dynamer.A_44 (Trojan)"
34051,"Malformed.swf.TL.3 (Exploit)"
34493,"Downloader.VYS (Trojan)"
35498,"CVE-2013-0634 (Exploit)"
21086,"LoadMoney.AAU (Adware)"
29157,"Malformed.xls.TL.97 (Exploit)"
26826,"Kryptik.CCM (Trojan)"
32693,"Drixed.B_10 (Trojan)"
29646,"Ainslot (Worm)"
34179,"Kryptik.DIER (Trojan)"
1902,"SpyEyes.APUE (Trojan)"
15046,"Spatet.I_12 (Trojan)"
30507,"Suspicious#mebload_2 (Trojan)"
9033,"WBNA.AJV (Worm)"
37270,"Bredolab.X_3 (Trojan)"
4170,"MalAgent.G_2796 (Trojan)"
15018,"SuperFish.AG (Adware)"
34191,"Agent.QEP (Trojan)"
11662,"MalAgent.G_1960 (Trojan)"
11704,"MalAgent.H_1027 (Trojan)"
12552,"Delf.A_11 (Trojan)"
14397,"Xtrat.ELL (Trojan)"
15608,"Somoto.D_2 (Trojan)"
25490,"CFI.A_26 (Trojan)"
35258,"Bladabindi.CI_5 (Trojan)"
21327,"IBryte.G_7 (Adware)"
22894,"Medfos.UI (Trojan)"
20928,"OutBrowse.BYPO_11 (Trojan)"
31061,"InstallMonstr.HD_3 (Trojan)"
1622,"Kelino.E (Worm)"
10549,"VBKrypt.OWIS (Trojan)"
20474,"Drixed.F_2 (Trojan)"
31334,"Kuluoz.D_9 (Trojan)"
36244,"Malformed.jpg.TL.5 (Exploit)"
12111,"Banload.GQP (Trojan)"
26432,"Malformed.pdf.MP.85 (Exploit)"
36374,"Malformed.gif.TL.10 (Exploit)"
6150,"Upatre.AA_3 (Trojan)"
18445,"MalAgent.I_311 (Trojan)"
32771,"Dofoil.RKS (Trojan)"
7066,"Backdoor.A_22 (Trojan)"
3321,"Tibia.NIC_9 (Trojan)"
10894,"Zbot.AAQ_25 (Trojan)"
24259,"Zbot.ECTM (Trojan)"
2427,"LockScreen.ARJ_2 (Trojan)"
21579,"ICLoader.A_129 (Adware)"
24945,"XPACK.A_638 (Trojan)"
26595,"Malformed.html.MP.9 (Exploit)"
34244,"InstallMonstr.IN_4 (Trojan)"
36438,"PWSZbot.FAHL (Trojan)"
1276,"Upatre.A_12 (Trojan)"
9025,"Ropest.F_4 (Trojan)"
13035,"Bma000i413 (Trojan)"
15985,"Malformed.dat.TL.1 (Exploit)"
16249,"CVE-2013-2729.A_4 (Trojan)"
17123,"InstallCore.PL_6 (Trojan)"
25261,"Gendal.A_10 (Trojan)"
39723,"Agent.CTY (Trojan)"
37799,"XPACK.A_942 (Trojan)"
11844,"PornoAsset.BUXR (Trojan)"
22562,"Malformed.jar.TL.1 (Exploit)"
6101,"Ranbyus (Trojan)"
36688,"NSAnti.R_4 (Trojan)"
5425,"DigiPlug.A_4 (Adware)"
9739,"Gimemo.BSKR (Trojan)"
12189,"Tedroo.COF (Trojan)"
12515,"Black.A_31 (Trojan)"
15845,"Cridex.PFB (Worm)"
17562,"Bladabindi.AJ_38 (Trojan)"
34542,"Ratell.SWF_2 (Exploit)"
1682,"Kryptik_4 (Trojan)"
19049,"Battdil.G_4 (Trojan)"
31971,"Beebone.A_3 (Trojan)"
7652,"Tiny.NKK_3 (Trojan)"
8293,"Artemis_165 (Trojan)"
25049,"Emotet.FGNI (Trojan)"
35432,"Malformed.html.TL.240 (Exploit)"
