event_type_id,event_type,description,dataset_name,type,action,change_type
2164260947,Orbital Update Failure,Orbital version can not be updated,alert,alert,,
553648215,Endpoint Isolation Unlock Limit Reached,An isolated agent has failed to unlock with the unlock code too many times,alert,alarm,,
1107296344,SecureX Threat Hunting Incident,"When portal receives api call from RET and incident is created, this event is triggered and displayed.",alert,alarm,,
1107296257,Potential Dropper*,Potential dropper infections indicate a single file is repeatedly attempting to download malware onto a computer.,malware_attack,,deferred,
1107296258,*Infected*,Multiple infected files indicate multiple files on a computer are attempting to download malware.,malware_attack,,deferred,
553648222,*Threat Detection,A Behavioral Protection signature has been triggered due to events on the endpoint meeting its criteria,malware_attack,,deferred,
2164260955,Component Download Failure,Component download failed,alert,alarm,,
553648218,Component Download Success,Component downloaded,alert,event,,
2164260957,Signature Set Update Failure,Signature set update failed,alert,alarm,,
553648220,Signature Set Update Success,Signature set updated,alert,event,,
553648225,Fileless Threat*,A Script Protection signature has been triggered due to a script execution meeting its criteria,malware_attack,,deferred,
