Application,"process_name",Path
"Microsoftr Windowsr Operating System",perfmon,"C:\Windows\system32\mmc.exe"
"Microsoftr Windowsr Operating System",lsm,"C:\Windows\system32\lsm.exe"
"Microsoftr Windowsr Operating System",lsass,"C:\Windows\system32\lsass.exe"
"Microsoftr Windowsr Operating System",LogonUI,"C:\Windows\system32\LogonUI.exe"
"Java(TM) Platform SE Auto Updater 2 0",jusched,"C:\Program Files\Common Files\Java\Java Update\jusched.exe"
"Microsoftr Windowsr Operating System",Explorer,"C:\Windows\Explorer.EXE"
"Citrix ICA Host",encsvc,"C:\Program Files\Citrix\ICAService\encsvc.exe"
"Microsoftr Windowsr Operating System",Dwm,"C:\Windows\system32\Dwm.exe"
"Citrix ICA Host",CtxSvcHost,"C:\Program Files\Citrix\ICAService\CtxSvcHost.exe"
"Citrix ICA Host",CtxAudioService,"C:\Program Files\Citrix\ICAService\CtxAudioService.exe"
"Microsoftr Windowsr Operating System",csrss,"C:\Windows\system32\csrss.exe"
"Citrix ICA Host",CpSvc,"C:\Program Files\Citrix\ICAService\CpSvc.exe"
"Microsoftr Windowsr Operating System",sppsvc,"C:\Windows\system32\sppsvc.exe"
"Microsoftr Windowsr Operating System",slui,"C:\Windows\System32\slui.exe"
"Microsoftr Windowsr Operating System",conhost,"C:\Windows\system32\conhost.exe"
"Citrix ICA Client",concentr,"C:\Program Files\Citrix\Online Plugin\concentr.exe"
"Citrix ICA Host",CitrixUSB,"C:\Program Files\Citrix\ICAService\CitrixUSB.exe"
"Citrix Group Policy Management",CitrixCseEngine,"C:\Program Files\Citrix\Group Policy\Client-Side Extension\CitrixCseEngine.exe"
"Citrix Common Diagnostic Facility",CdfSvc,"C:\Program Files\Common Files\Citrix\System32\CdfSvc.exe"
"Provisioning Services",BNDevice,"C:\Program Files\Citrix\Provisioning Services\BNDevice.exe"
"Citrix ICA Host",VDARedirector,"C:\Program Files\Citrix\ICAService\VDARedirector.exe"
"Windowsr Internet Explorer",iexplore,"C:\Program Files\Internet Explorer\iexplore.exe"
"Internet Information Services","CitrixWebInterface5.4.0AppPool","C:\Windows\SysWOW64\inetsrv\w3wp.exe"
"Microsoftr Windowsr Operating System",TrustedInstaller,"C:\Windows\servicing\TrustedInstaller.exe"
"Microsoftr Windowsr Operating System",taskmgr,"C:\Windows\system32\taskmgr.exe"
"Microsoftr .NET Framework",SMSvcHost,"C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\SMSvcHost.exe"
"Citrix Gateway Core Service","rotatelogs.exe logs/Error_%Y_%m_%d","C:\Program Files (x86)\Citrix\Secure Gateway\bin\rotatelogs.exe"
"Microsoftr Windowsr Operating System",rdpclip,"C:\Windows\System32\rdpclip.exe"
"Microsoftr Windowsr Operating System",msdtc,"C:\Windows\System32\msdtc.exe"
"Microsoftr Windowsr Operating System",ServerManager,"C:\Windows\SysWOW64\mmc.exe"
"FlexNet Publisher",lmadmin,"C:\Program Files (x86)\Citrix\Licensing\LS\lmadmin.exe"
"Internet Information Services",inetinfo,"C:\Windows\system32\inetsrv\inetinfo.exe"
"Citrix Gateway Core Service","CtxSGSvc.exe -k runservice -n CtxSecGwy -f conf/httpd","C:\Program Files (x86)\Citrix\Secure Gateway\bin\CtxSGSvc.exe"
"Citrix Licensing",CtxLSPortSvc,"C:\Program Files (x86)\Citrix\Licensing\LS\CtxLSPortSvc.exe"
"Citrix Licensing","Citrix_GTLicensingProv","C:\Program Files (x86)\Citrix\Licensing\LicWMI\Citrix_GTLicensingProv.exe"
"Licensing Config Service","Citrix.LicensingConfig.SdkWcfEndpoint","C:\Program Files (x86)\Citrix\Licensing\LicensingConfig\Service\Citrix.LicensingConfig.SdkWcfEndpoint.exe"
"Citrix Licensing","MyFiles -lmgrd_port 6978 -daemon_port 1c6f -x lmremove --lmgrd_start 4ee02b98 -l logs/CITRIX","C:\Program Files (x86)\Citrix\Licensing\LS\CITRIX.exe"
"Microsoftr .NET Framework",PresentationFontCache,"C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe"
"XenDesktop Machine Personality service","Citrix.MachineIdentity.SdkWcfEndpoint","C:\Program Files\Citrix\MachineIdentity\Service\Citrix.MachineIdentity.SdkWcfEndpoint.exe"
"XenDesktop DesktopUpdateManager service","Citrix.MachineCreation.SdkWcfEndpoint","C:\Program Files\Citrix\MachineCreation\Service\Citrix.MachineCreation.SdkWcfEndpoint.exe"
"XenDesktop HostingUnit service","Citrix.Host.SdkWcfEndpoint","C:\Program Files\Citrix\Host\Service\Citrix.Host.SdkWcfEndpoint.exe"
"XenDesktop Configuration service","Citrix.Configuration.SdkWcfEndpoint","C:\Program Files\Citrix\Configuration\Service\Citrix.Configuration.SdkWcfEndpoint.exe"
"XenDesktop ADIdentity Service","Citrix.ADIdentity.SdkWcfEndpoint","C:\Program Files\Citrix\ADIdentity\Service\Citrix.ADIdentity.SdkWcfEndpoint.exe"
BrokerService,BrokerService,"C:\Program Files\Citrix\Broker\Service\BrokerService.exe"
"Citrix Desktop Delivery Controller",WorkstationAgent,"C:\Program Files\Citrix\Virtual Desktop Agent\WorkstationAgent.exe"
"Microsoftr Windowsr Operating System","Get-Process_Splunk","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Citrix XenDesktop",picaSvc,"C:\Program Files\Citrix\ICAService\picaSvc.exe"
"Citrix XenDesktop",PicaSessionMgr,"C:\Program Files\Citrix\ICAService\PicaSessionMgr.exe"
"Citrix XenDesktop",picaDispMgr,"C:\Program Files\Citrix\ICAService\picaDispMgr.exe"
"Citrix XenDesktop",encsvc,"C:\Program Files\Citrix\ICAService\encsvc.exe"
"Citrix XenDesktop",CtxSvcHost,"C:\Program Files\Citrix\ICAService\CtxSvcHost.exe"
"Citrix XenDesktop",CtxAudioService,"C:\Program Files\Citrix\ICAService\CtxAudioService.exe"
"Citrix XenDesktop",CpSvc,"C:\Program Files\Citrix\ICAService\CpSvc.exe"
"Citrix XenDesktop",CitrixUSB,"C:\Program Files\Citrix\ICAService\CitrixUSB.exe"
"Citrix XenDesktop",CitrixCGPServer,"C:\Program Files\Citrix\ICAService\CitrixCGPServer.exe"
"Citrix Presentation Server",CdfSvc,"C:\Program Files\Common Files\Citrix\System32\CdfSvc.exe"
"Microsoftr Windowsr Operating System",DesktopStudioWI,"C:\Windows\SysWOW64\mmc.exe"
"Citrix XenDesktop",picaShell,"C:\Program Files\Citrix\ICAService\picaShell.exe"
KidKeyLock,kidkeylock,"C:\Program Files\100dof_kidkeylock\bin\kidkeylock.exe"
"Citrix Presentation Server",ctxidhlp,"C:\Program Files\Citrix\Virtual Desktop Agent\ctxidhlp.exe"
"Citrix Gateway Core Service","XTE.exe -k runservice -n CitrixXTEServer -f conf/httpd","C:\Program Files (x86)\Citrix\XTE\bin\XTE.exe"
"Citrix ICA Host",wfshell,"C:\Program Files (x86)\Citrix\System32\wfshell.exe"
"Citrix ICA Client",SSONSVR,"C:\Program Files (x86)\Citrix\ICA Client\SSONSVR.EXE"
"Microsoftr Windowsr Operating System",ServerManagerLauncher,"C:\Windows\system32\ServerManagerLauncher.exe"
"Citrix offline plug-in",RadeSvc,"C:\Program Files (x86)\Citrix\Streaming Client\RadeSvc.exe"
"Citrix offline plug-in",RadeObj,"C:\Program Files (x86)\Citrix\Streaming Client\RadeObj.exe"
"Citrix offline plug-in",RadeHlprSvc,"C:\Program Files (x86)\Citrix\Streaming Client\RadeHlprSvc.exe"
"Citrix ICA Client",PNAMAIN,"C:\Program Files (x86)\Citrix\ICA Client\PNAMAIN.EXE"
"Citrix XenApp",mfcom,"C:\Program Files (x86)\Citrix\System32\mfcom.exe"
"Citrix Independent Management Architecture",ImaSrv,"C:\Program Files (x86)\Citrix\System32\Citrix\Ima\ImaSrv.exe"
"Citrix XenApp",IMAAdvanceSrv,"C:\Program Files (x86)\Citrix\System32\Citrix\Ima\IMAAdvanceSrv.exe"
"Citrix XenApp",HCAService,"C:\Program Files (x86)\Citrix\HealthMon\HCAService.exe"
"Citrix XenApp",ctxxmlss,"C:\Program Files (x86)\Citrix\System32\ctxxmlss.exe"
"Microsoftr Windowsr Performance Analyzer",xperfview,"c:\Program Files\Microsoft Windows Performance Toolkit\xperfview.exe"
"Citrix XenDesktop",ctxidhlp,"C:\Program Files\Citrix\Virtual Desktop Agent\ctxidhlp.exe"
"Citrix ICA Host",CitrixCGPServer,"C:\Program Files\Citrix\ICAService\CitrixCGPServer.exe"
WinSCP,WinSCP,"C:\Program Files (x86)\WinSCP\WinSCP.exe"
"Citrix ICA Client",wfcrun32,"C:\Program Files (x86)\Citrix\ICA Client\wfcrun32.exe"
"VSI Management Console","VSI Management Console","C:\Program Files\Login Consultants\VSI\Launcher\Console\VSI Management Console.exe"
"Microsoftr Windowsr Operating System",vmwp,"C:\Windows\System32\vmwp.exe"
"Microsoftr Windowsr Operating System",vmms,"C:\Windows\system32\vmms.exe"
"Microsoftr Windowsr Operating System",vds,"C:\Windows\System32\vds.exe"
"Microsoftr Windowsr Operating System",unsecapp,"C:\Windows\system32\wbem\unsecapp.exe"
"Microsoftr Windowsr Operating System",taskeng,"C:\Windows\system32\taskeng.exe"
"Microsoftr Windowsr Operating System",pla,"C:\Windows\system32\rundll32.exe"
"Notepad++",inputs,"C:\Program Files (x86)\Notepad++\notepad++.exe"
"Microsoft (R) Windows (R) Operating System","Microsoft.ActiveDirectory.WebServices","C:\Windows\ADWS\Microsoft.ActiveDirectory.WebServices.exe"
"PowerChute Personal Edition",mainserv,"C:\Program Files (x86)\APC\PowerChute Personal Edition\mainserv.exe"
"Microsoftr Windowsr Operating System",ismserv,"C:\Windows\System32\ismserv.exe"
"Network Connect",dsNcService,"C:\Program Files (x86)\Juniper Networks\Common Files\dsNcService.exe"
Dropbox,Dropbox,"C:\Users\bshell\AppData\Roaming\Dropbox\bin\Dropbox.exe"
"Microsoftr Windowsr Operating System",dns,"C:\Windows\system32\dns.exe"
"Microsoftr Windowsr Operating System",cmd,"C:\Windows\system32\cmd.exe"
"Microsoftr Windowsr Operating System",dfssvc,"C:\Windows\system32\dfssvc.exe"
"Microsoftr Windowsr Operating System",DFSRs,"C:\Windows\system32\DFSRs.exe"
"PowerChute Personal Edition",dataserv,"C:\Program Files (x86)\APC\PowerChute Personal Edition\dataserv.exe"
"PowerChute Personal Edition",apcsystray,"C:\Program Files (x86)\APC\PowerChute Personal Edition\apcsystray.exe"
"Citrix ICA Host",picaShell,"C:\Program Files\Citrix\ICAService\picaShell.exe"
"Microsoftr Windowsr Operating System",ascmmc60,"C:\Windows\SysWOW64\mmc.exe"
"Citrix Offline Plug-in",RadeObj,"C:\Program Files (x86)\Citrix\Streaming Client\RadeObj.exe"
"Microsoftr Windowsr Operating System",GetXASessionProcess65,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Citrix ICA Client",PNAMain,"C:\Program Files (x86)\Citrix\ICA Client\PNAMain.exe"
"Citrix XenApp","Citrix.XenApp.Commands.Remoting.Service","C:\Program Files\Citrix\XenApp Commands\Citrix.XenApp.Commands.Remoting.Service.exe"
"XTE Server for Citrix Access Suite","XTE.exe -k runservice -n CitrixXTEServer -f conf/httpd","C:\Program Files\Citrix\XTE\bin\XTE.exe"
"Citrix Presentation Server",wfshell,"C:\Program Files\Citrix\System32\wfshell.exe"
"Citrix ICA Client",WFICA32,"C:\PROGRA~1\Citrix\ICACLI~1\WFICA32.EXE"
"Internet Information Services","w3wp.exe -a \\","c:\windows\system32\inetsrv\w3wp.exe"
"Citrix ICA Client",redirector,"C:\Program Files\Citrix\ICA Client\redirector.exe"
"Microsoftr Windowsr Operating System","powershell_ise","C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell_ise.exe"
"Microsoftr Windowsr Operating System",ascmmc,"C:\WINDOWS\system32\mmc.exe"
"Citrix Presentation Server",mfcom,"C:\Program Files\Citrix\System32\mfcom.exe"
"Microsoftr Windowsr Operating System",logon,"C:\WINDOWS\system32\logon.scr"
"Citrix Presentation Server",IMAAdvanceSrv,"C:\Program Files\Citrix\System32\Citrix\Ima\IMAAdvanceSrv.exe"
"Microsoftr Windowsr Operating System",dllhost,"C:\WINDOWS\system32\dllhost.exe"
"Citrix Technology Platform",CitrixManagementServer,"C:\Program Files\Citrix\Management Server\CitrixManagementServer.exe"
"Citrix ICA Client",icaaf,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
"Citrix Desktop Delivery Controller",CdsPoolMgr,"C:\Program Files\Citrix\VmManagement\CdsPoolMgr.exe"
"Citrix Desktop Delivery Controller",CdsImaProxy,"C:\Program Files\Citrix\Desktop Delivery Controller\CdsImaProxy.exe"
"Citrix Desktop Delivery Controller",CdsController,"C:\Program Files\Citrix\Desktop Delivery Controller\CdsController.exe"
"Microsoft SQL Server",Ssms,"C:\Program Files (x86)\Microsoft SQL Server\100\Tools\Binn\VSShell\Common7\IDE\Ssms.exe"
"Microsoft SQL Server",sqlwriter,"C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"
"Microsoft SQL Server",sqlservr,"C:\Program Files\Microsoft SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Binn\sqlservr.exe"
"Microsoft SQL Server","fdlauncher.exe -s MSSQL10_50","C:\Program Files\Microsoft SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Binn\fdlauncher.exe"
"Microsoft SQL Server","fdhost.exe MSSQL10_50","C:\Program Files\Microsoft SQL Server\MSSQL10_50.MSSQLSERVER\MSSQL\Binn\fdhost.exe"
"Microsoftr Windowsr Operating System",picaSvc,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System","mmc.exe tsconfig","C:\Windows\system32\mmc.exe"
"Citrix HDX Monitor 2.0","Citrix.Console.HDXMonitor.UI","C:\Users\bshell\AppData\Local\Apps\2.0\PPJKX8VP.4X1\13Z1LWPX.0BB\citr..tion_799726154de2780d_0002.0000_54d4df5adf99a5dc\Citrix.Console.HDXMonitor.UI.exe"
"Adobe Acrobat Update Service",armsvc,"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"
"Microsoftr Windowsr Operating System",GetXASessionProcess60,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System",GetXASession65,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System",picaTWIHost,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System",vssvc,"C:\Windows\system32\vssvc.exe"
"Microsoftr Windowsr Operating System",CitrixCseEngine,"C:\Windows\system32\conhost.exe"
"Microsoftr Windowsr Operating System",userinit,"C:\WINDOWS\system32\userinit.exe"
"Microsoftr Windowsr Operating System",TSTheme,"C:\Windows\system32\TSTheme.exe"
"Microsoftr Windowsr Operating System",PrintIsolationHost,"C:\Windows\system32\PrintIsolationHost.exe"
"Windowsr Internet Explorer",ie4uinit,"C:\Windows\System32\ie4uinit.exe"
"Microsoftr Windowsr Operating System",iexplore,"C:\Program Files\Internet Explorer\iexplore.exe"
"Microsoftr Windowsr Operating System",scrnsave,"C:\WINDOWS\system32\scrnsave.scr"
"Microsoftr Windowsr Operating System",concentr,"C:\Windows\system32\conhost.exe"
"Microsoftr Windowsr Operating System",PNAMain,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System",sdiagnhost,"C:\Windows\System32\sdiagnhost.exe"
"Microsoftr Windowsr Operating System",getHDXSessionStat,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System",PowerSE,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Microsoftr Windowsr Operating System","rundll32.exe aepdu","C:\Windows\system32\rundll32.exe"
"Microsoftr Windowsr Operating System",AUDIODG,"C:\Windows\system32\AUDIODG.EXE"
"Microsoftr Windowsr Operating System",wsmprovhost,"C:\Windows\system32\wsmprovhost.exe"
"Microsoftr Windowsr Operating System",MpCmdRun,"c:\program files\windows defender\MpCmdRun.exe"
"Microsoftr Windowsr Operating System",tlsbln,"C:\Windows\system32\tlsbln.exe"
"Internet Information Services",DefaultAppPool,"c:\windows\system32\inetsrv\w3wp.exe"
"Citrix ICA Client",ica97,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
"Flashr Player Installer/Uninstaller","FlashUtil11c_ActiveX","C:\Windows\SysWOW64\Macromed\Flash\FlashUtil11c_ActiveX.exe"
"Citrix ICA Client",ica7f,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
"Citrix ICA Client",ica67,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
"Process Explorer",procexp,"C:\Data\Dropbox\Tools\procexp64.exe"
"Citrix ICA Client",ica4f,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
"Citrix ICA Client",ica37,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
"Microsoftr Windowsr Operating System",PING,"C:\Windows\system32\PING.EXE"
"Microsoftr Windowsr Operating System",eventvwr,"C:\WINDOWS\system32\mmc.exe"
"Microsoftr Windowsr Operating System",IEXPLORE,"C:\Program Files\Internet Explorer\IEXPLORE.EXE"
"Citrix ICA Client",ica28,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
"Notepad++","notepad++","C:\Program Files (x86)\Notepad++\notepad++.exe"
"Microsoftr Windowsr Operating System",wmi,"C:\Windows\system32\NOTEPAD.EXE"
"Microsoftr Windowsr Operating System","Invoke-PerfMonFromConf","C:\Windows\system32\notepad.exe"
"Citrix ICA Client",icab,"C:\Program Files\Citrix\ICA Client\CDViewer.exe"
