action_type,enabled,item_description,item_icon_file,item_id,item_name,item_type,order,root_id
optional,1,BA- Timeshare - Avg Amount Per Unit Sold,,BA- Timeshare - Avg Amount Per Unit Sold,BA- Timeshare - Avg Amount Per Unit Sold,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Count Amount of Units Sold Over Time,,BA- Timeshare - Count Amount of Units Sold Over Time,BA- Timeshare - Count Amount of Units Sold Over Time,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Top 5 Leaders Amount Purchased,,BA- Timeshare - Top 5 Leaders Amount Purchased,BA- Timeshare - Top 5 Leaders Amount Purchased,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Top 5 Leaders Amount Sold,,BA- Timeshare - Top 5 Leaders Amount Sold,BA- Timeshare - Top 5 Leaders Amount Sold,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Top 5 Leaders Amount Sold PerUnit,,BA- Timeshare - Top 5 Leaders Amount Sold PerUnit,BA- Timeshare - Top 5 Leaders Amount Sold PerUnit,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Top 5 Users - Count Units,,BA- Timeshare - Top 5 Users - Count Units,BA- Timeshare - Top 5 Users - Count Units,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Top 5 Users Avg Amount Count,,BA- Timeshare - Top 5 Users Avg Amount Count,BA- Timeshare - Top 5 Users Avg Amount Count,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Total Amount by Action Over Time,,BA- Timeshare - Total Amount by Action Over Time,BA- Timeshare - Total Amount by Action Over Time,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Total Amount Purchased,,BA- Timeshare - Total Amount Purchased,BA- Timeshare - Total Amount Purchased,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Total Amount Sold,,BA- Timeshare - Total Amount Sold,BA- Timeshare - Total Amount Sold,Reports,4,uc_mn_ba
optional,1,BA- Timeshare - Total Amount Sold by Unit Over Time,,BA- Timeshare - Total Amount Sold by Unit Over Time,BA- Timeshare - Total Amount Sold by Unit Over Time,Reports,4,uc_mn_ba
optional,1,BA- Transaction - Purchase Success Ratio - Over Time,,BA- Transaction - Purchase Success Ratio - Over Time,BA- Transaction - Purchase Success Ratio - Over Time,Reports,4,uc_mn_ba
optional,1,BA- Transaction - Success Trend Analysis,,BA- Transaction - Success Trend Analysis,BA- Transaction - Success Trend Analysis,Reports,4,uc_mn_ba
optional,1,BA- Transaction - Error Count - Over Time,,BA- Transaction - Error Count - Over Time,BA- Transaction - Error Count - Over Time,Reports,4,uc_mn_ba
optional,1,BA- Transaction - Incomplete Purchases - Over Time,,BA- Transaction - Incomplete Purchases - Over Time,BA- Transaction - Incomplete Purchases - Over Time,Reports,4,uc_mn_ba
optional,1,Knowledge Center - Business Analytics,,vj_kc_uc_mn_ba,Knowledge Center - Business Analytics,Knowledge,5,uc_mn_ba
recommended,1,Internet Of Things and Industrial Data,,vj_overview_uc_mn_iot,Overview - Use Case - IoT & Industrial Data,Overview,0,uc_mn_iot
recommended,0,TBD,,vj_wt_iot_base_hold,Walkthrough - IOT,Walkthroughs,2,uc_mn_iot
optional,1,Provides an over view look of the Windfarm analysis.  Useful for seeing the different options availble within Splunk for analyzing your IoT & Industrial Data.,,vj_ex_iot_windfarm,IoT- Windfarm - Overview,Dashboards,3,uc_mn_iot
optional,1,IoT- Windfarm - Trends Analysis,,vj_ex_iot_windfarm_trends_analysis,IoT- Windfarm - Trends Analysis,Dashboards,3,uc_mn_iot
optional,1,IoT- ICS Security - Change Management,,vj_ex_iot_ics_security_change_mgmt,IoT- ICS Security - Change Management,Dashboards,3,uc_mn_iot
optional,1,IoT- ICS Security,,vj_ex_iot_ics_security,IoT- ICS Security,Dashboards,3,uc_mn_iot
optional,1,IoT- ICS Security - Monitoring,,vj_ex_iot_ics_security_mon,IoT- ICS Security - Monitoring,Dashboards,3,uc_mn_iot
optional,1,IoT- ICS Security - Access Control,,vj_ex_iot_ics_security_ac,IoT- ICS Security - Access Control,Dashboards,3,uc_mn_iot
optional,1,IoT- ICS - Events by Urgency,,IoT- ICS - Events by Urgency,IoT- ICS - Events by Urgency,Reports,4,uc_mn_iot
optional,1,IoT- ICS - Events by Occurrence,,IoT- ICS - Events by Occurrence,IoT- ICS - Events by Occurrence,Reports,4,uc_mn_iot
optional,1,IoT- ICS - Badge Access Timeline,,IoT- ICS - Badge Access Timeline,IoT- ICS - Badge Access Timeline,Reports,4,uc_mn_iot
optional,1,IoT- HVAC - Average Power Utilization,,IoT- HVAC - Average Power Utilization,IoT- HVAC - Average Power Utilization,Reports,4,uc_mn_iot
optional,1,IoT- HVAC - Power Usage by Rack,,IoT- HVAC - Power Usage by Rack,IoT- HVAC - Power Usage by Rack,Reports,4,uc_mn_iot
optional,1,IoT- Windfarm - Power Avg By Country,,IoT- Windfarm - Power Avg By Country,IoT- Windfarm - Power Avg By Country,Reports,4,uc_mn_iot
optional,1,IoT- Windfarm - Wind Speed - Std Dev by Location,,IoT- Windfarm - Wind Speed - Std Dev by Location,IoT- Windfarm - Wind Speed - Std Dev by Location,Reports,4,uc_mn_iot
optional,1,Knowledge Center - IoT & Industrial Data,,vj_kc_uc_mn_iot,Knowledge Center - IoT & Industrial Data,Knowledge,5,uc_mn_iot
recommended,1,Overview - IT Operations and App Delivery,,vj_overview_uc_mn_itoa,Overview - Use Case - IT Operations and App Mgmt,Overview,0,uc_mn_itoa
recommended,1,"This scenario demo will walk you through how Splunk can help manage a distributed ecommerce environment, from leveraging visualizations of ""What Indicators"" to drilling down into the ""Why"" source.",,vj_wt_itoa_appmgmt,Walkthrough - ITOA - Application Management,Walkthroughs,2,uc_mn_itoa
optional,1,IT Operations View - Detect Issues with the Database Tier.  Specifically causing issues to the WebStore Service and degrading purchases capabilities.,,vj_ex_itoa_appmgmt_db_state,ITOA- Walkthrough - Database KPIs,Dashboards,3,uc_mn_itoa
optional,1,"IT Operations View - Operational Visibility into the Webstore, end-2-end visibility about end-user activity on corporate, critical website.",,vj_ex_itoa_appmgmt_ops_vis,ITOA- Walkthrough - Operational Visibility,Dashboards,3,uc_mn_itoa
optional,1,"IT Operations investigation, looking for SLA's that have been passed by service tier.",,vj_ex_itoa_appmgmt_env_state,ITOA- Walkthrough - Investigate SLA Infractions,Dashboards,3,uc_mn_itoa
optional,1,IT Operations Investigation to analyze what other events are occuring at the time of purchase failures.,,vj_ex_itoa_appmgmt_inv_disk,ITOA- Walkthrough - Investigate Disk Is Full,Dashboards,3,uc_mn_itoa
optional,1,IT Operations Walkthrough - Appmgmt - Failed Purchases,,ITOA- Walkthrough - Appmgmt - Failed Purchases,ITOA- Walkthrough - Appmgmt - Failed Purchases,Reports,4,uc_mn_itoa
optional,1,IT Operations Web Store - Tiered Infrastructure - Success - Ratio,,ITOA- Web - WebInfrastructure - Success - Ratio,ITOA- Web - WebInfrastructure - Success - Ratio,Reports,4,uc_mn_itoa
optional,1,IT Operations Web Store - Tiered Infrastructure - Operations Errors - Over Time,,ITOA- Operations Errors - Over Time,ITOA- Operations Errors - Over Time,Reports,4,uc_mn_itoa
optional,1,IT Operations Database Performance - DB Query Count and CPU Prediction,,ITOA- Performance - DB Query Count and CPU Prediction,ITOA- Performance - DB Query Count and CPU Prediction,Reports,4,uc_mn_itoa
optional,1,IT Operations Database Performance - DB Query Transaction Speed,,ITOA- Performance - DB Query Transaction Speed,ITOA- Performance - DB Query Transaction Speed,Reports,4,uc_mn_itoa
optional,1,IT Operations - Transaction - Web Status,,ITOA- Transaction - Web Status,ITOA- Transaction - Web Status,Reports,4,uc_mn_itoa
optional,1,"IT Operations - Multiple Tiered Service SLA Infraction report.  Analyzes the percentage of failures per tier, Web/App/DB, and then counts iterations when there is more than 20% failure ration.",,ITOA- Success SLA - Multi-Tier Infractions,ITOA- Success SLA - Multi-Tier Infractions,Reports,4,uc_mn_itoa
optional,1,IT App Delivery - Mobile Operations,,ITOA- App Delivery - Mobile Operations,ITOA- App Delivery - Mobile Operations,Reports,4,uc_mn_itoa
optional,1,Knowledge Center - IT Operations & Application Delivery,,vj_kc_uc_mn_itoa,Knowledge Center - IT Operations & Application Delivery,Knowledge,5,uc_mn_itoa
recommended,1,Security,,vj_overview_uc_mn_sec,Overview - Use Case - Security,Overview,0,uc_mn_sec
recommended,1,Splunk enables security analysts to quickly identify the root cause of security incidents and make informed decisions about how to remediate an issue. This hands-on experience enables you to use Splunk in a set of security-relevant real-world exercises.,,vj_wt_sec_get_started,Walkthrough - Security - Getting Started,Walkthroughs,2,uc_mn_sec
recommended,1,"The walkthrough shows core Splunk functionality that can be useful for security professionals, framing it around the search for and analysis of Indicators of Compromise",,vj_wt_sec_ioc,Walkthrough - Security - IOC Analysis,Walkthroughs,2,uc_mn_sec
optional,1,"Security Analysis - Post Compromise remediation analysis, analysing what systems have been affected by the Compromise.",,vj_ex_sec_ioc_aff_systems,Sec- Indicators - Affected Systems,Dashboards,3,uc_mn_sec
optional,1,Security Analysis - An example of how you can leverage Splunk to streamline the process for finding Indicators Of Potential Compromise.,,vj_ex_sec_ioc_detection,Sec- Indicators - Detection,Dashboards,3,uc_mn_sec
optional,1,"Security Analysis - An example of using VPN Logs for assessing anomalous activities, such as logging in from two seperate locations, in a un-realistic time duration.",,vj_ex_sec_ioc_vpn_activity,Sec- Indicators - VPN Activity,Dashboards,3,uc_mn_sec
optional,1,"This is another example showing how Splunk can help to rapidly solve complex security issues . For this section, we will close the loop on lateral movement investigation continuing from the last use case.",,vj_ex_sec_web_proxy_track,Sec- Walkthrough - Web Proxy - Tracking Command and Control,Dashboards,3,uc_mn_sec
optional,1,Security - Security Posture Overview,,vj_ex_sec_security_posture,Security Posture Example Dashboard,Dashboards,3,uc_mn_sec
optional,1,Security - Windows File Audit - Report for analyzing Critical Windows directory file audit event counts by type of change over time.,,Sec- Windows File Audit by Change Type Overtime,Sec- Windows File Audit by Change Type Overtime,Reports,4,uc_mn_sec
optional,1,Security - Windows File Audit - Report for analyzing Critical Windows directory file audit event counts by type of change.,,Sec- Windows File Audit by Change Type Total,Sec- Windows File Audit by Change Type Total,Reports,4,uc_mn_sec
optional,1,Security - Windows File Audit - Report for analyzing Critical Windows directory file audit event counts by critical directory object over time.,,Sec- Windows File Audit by Object Overtime,Sec- Windows File Audit by Object Overtime,Reports,4,uc_mn_sec
optional,1,Security - Windows File Audit - Report for analyzing Critical Windows directory file audit event counts by user and types of changes.,,Sec- Windows File Audit User History by Change Type,Sec- Windows File Audit User History by Change Type,Reports,4,uc_mn_sec
optional,1,Security - Windows File Audit - Report for analyzing Critical Windows directory file audit event counts by user and target directory object.,,Sec- Windows File Audit User History by Object,Sec- Windows File Audit User History by Object,Reports,4,uc_mn_sec
optional,1,Security - Windows File Audit - Post Mortem example Report for providing necessary details on critical windows directory activities.,,Sec- Windows File Audit Full Details,Sec- Windows File Audit Full Details,Reports,4,uc_mn_sec
optional,1,Security - Authentication - All - Success Ratio - By User,,Sec- Authentication - All - Success Ratio - By User,Sec- Authentication - All - Success Ratio - By User,Reports,4,uc_mn_sec
optional,1,Security - Authentication - DB Access history,,Sec- Authentication - DB Access history,Sec- Authentication - DB Access history,Reports,4,uc_mn_sec
optional,1,Security - Authentication - Failures vs Successes,,Sec- Authentication - Failures vs Successes,Sec- Authentication - Failures vs Successes,Reports,4,uc_mn_sec
optional,1,Security - Authentication - VPN Distance Details,,Sec- Authentication - VPN Distance Details,Sec- Authentication - VPN Distance Details,Reports,4,uc_mn_sec
optional,1,Security - Authentication - Windows - Login Success Ratio,,Sec- Authentication - Windows - Login Success Ratio,Sec- Authentication - Windows - Login Success Ratio,Reports,4,uc_mn_sec
optional,1,Security - Authentication - Windows - Logon Session Details,,Sec- Authentication - Windows - Logon Session Details,Sec- Authentication - Windows - Logon Session Details,Reports,4,uc_mn_sec
optional,1,Security - Authentication - Windows Logon - Lockout - Diff User,,Sec- Authentication - Windows Logon - Lockout - Diff User,Sec- Authentication - Windows Logon - Lockout - Diff User,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - Critical Database Access History example report.,,Sec- Indicators - DB Access History,Sec- Indicators - DB Access History,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - User Lockouts Differnt Source User,,Sec- Indicators - User Lockouts Different Source User,Sec- Indicators - User Lockouts Different Source User,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - User Transaction Summary,,Sec- Indicators - User Transaction Summary,Sec- Indicators - User Transaction Summary,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - Analyze geo location distance in-between successful logins - All,,Sec- Indicators - VPN Distance Details - All,Sec- Indicators - VPN Distance Details - All,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - Analyze geo location distance in-between successful logins - Anomaly Detection,,Sec- Indicators - VPN Distance Details - Anomaly,Sec- Indicators - VPN Distance Details - Anomaly,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - Analyze geo location distance in-between successful logins - Initial Check.,,Sec- Indicators - VPN Distance Check,Sec- Indicators - VPN Distance Check,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - Analyze geo location distance in-between successful logins - Non Haversine Search.,,Sec- Indicators - Login Distance Calculations,Sec- Indicators - Login Distance Calculations,Reports,4,uc_mn_sec
optional,1,Security - Indicators of Compromise - Compromised User Activity Summary,,Sec- Indicators - Compromised User Activity Summary,Sec- Indicators - Compromised User Activity Summary,Reports,4,uc_mn_sec
optional,1,Knowledge Center - Security,,vj_kc_uc_mn_sec,Knowledge Center - Security,Knowledge,5,uc_mn_sec
optional,1,Security - Authentication - Src Dest Analysis,,vj_ex_sec_origin_host_target,Sec- Authentication - Source and Destination Host Analysis,Dashboards,3,uc_mn_sec
optional,1,"Point-of-Sale logs are being monitored for sales activity, allowing realtime insights into sales trends as they happen.",,vj_ex_ba_retail_network_insights,"BA- What is selling in our retail stores, right now?",Dashboards,3,uc_mn_ba
optional,1,"Using Point-of-Sale logs, we can examine the most popular product categories and the secondary products most often paired with them.  Do donuts go better with black coffee or cream?",,vj_ex_ba_retail_basket_analysis,BA- What products are customers buying together?,Dashboards,3,uc_mn_ba
optional,1,"This retailer has introduced support for payment via the mobile loyalty card app, as well as via registered loyalty cards, both of which provide additional tracking and insights into customer purchase behavior.  Are customers taking advantage of the new payment methods?",,vj_ex_ba_retail_payment_analysis,BA- Are customers adopting new payment methods?,Dashboards,3,uc_mn_ba
optional,1,Promotions have been triggered as push notifications into the mobile app used by loyalty card holders to track their card balance. We can use mobile app transaction logs to track their exposure and claim rate.  Here are the results of the most recent batch of promotion push events,,vj_ex_ba_retail_push_notifications,"BA- How can Splunk improve and automate our marketing, in realtime?",Dashboards,3,uc_mn_ba
optional,1,Security - Authentication - Windows - Failed Logon Details,,Sec- Authentication - Windows - Failed Logon Details,Sec- Authentication - Windows - Failed Logon Details,Reports,4,uc_mn_sec
