object_id,object_label,object_path,object_type,uc_id,url,video_src
2019-predictions-ebook.pdf,Splunk Predictions 2019,/static/app/vj_splunk/info/uc_docs/splk_core/2019-predictions-ebook.pdf,Document,splk_core,,
splunk-quick-reference-guide.pdf,Splunk Search - Quick Start Guide,https://www.splunk.com/pdfs/solution-guides/splunk-quick-reference-guide.pdf,web,splk_core,,
splunk-validated-architectures.pdf,Splunk Validated Architectures,https://www.splunk.com/pdfs/technical-briefs/splunk-validated-architectures.pdf,web,splk_core,,
9MKGnBiwg9La67uN2UgoMo,Splunk Everywhere! Business Analytics,https://play.vidyard.com/9MKGnBiwg9La67uN2UgoMo?v=3.1.1,Video,uc_ba,,vidyard
Bmd59Jqod1AUNA5pQzbQ7N,Splunk Everywhere! Business Process Analytics,https://play.vidyard.com/Bmd59Jqod1AUNA5pQzbQ7N?v=3.1.1,Video,uc_ba,,vidyard
ymT3FkfNrQzfghDKu51fgs,Finding a Needle In Needles for John Lewis,https://play.vidyard.com/ymT3FkfNrQzfghDKu51fgs?v=3.1.1,Video,uc_ba,,vidyard
25EvXgo7SJvT7ST5f4BSkH,Splunk for Customer Experience: Getting Started,https://play.vidyard.com/25EvXgo7SJvT7ST5f4BSkH?v=3.1.1,Video,uc_ba,,vidyard
nIH5l3rQZBU,Revs up ROI with Splunk Software,https://www.youtube.com/embed/nIH5l3rQZBU?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com,Video,uc_ba,,youtube
splunk-for-business-analytics.pdf,Splunk for Business Analytics,/static/app/vj_splunk/info/uc_docs/ba/splunk-for-business-analytics.pdf,Document,uc_ba,,
splunk-for-retail.pdf,Splunk® For Retail,https://www.splunk.com/pdfs/solution-guides/splunk-for-retail.pdf,web,uc_ba,,
splunk-for-business-process-analytics.pdf,Splunk Business Process Analytics,/static/app/vj_splunk/info/uc_docs/ba/splunk-for-business-process-analytics.pdf,Document,uc_ba,,
building-a-better-business-process.pdf,Building A Better Business Process,https://www.splunk.com/pdfs/customer-success-stories/customer-profiles/building-a-better-business-process.pdf,web,uc_ba,,
striking-gold-e-book.pdf,Case Studies - Striking Gold,/static/app/vj_splunk/info/uc_docs/ba/striking-gold-e-book.pdf,Document,uc_ba,,
splunk-business-flow.pdf,Splunk Business Flow,https://www.splunk.com/pdfs/product-briefs/splunk-business-flow.pdf,web,uc_ba,,
splunk-at-venuenext.pdf,Case Study - VenueNext,/static/app/vj_splunk/info/uc_docs/ba/splunk-at-venuenext.pdf,Document,uc_ba,,
splunk-at-box.pdf,Case Study - Box,/static/app/vj_splunk/info/uc_docs/ba/splunk-at-box.pdf,Document,uc_ba,,
splunk-at-john-lewis.pdf,Case Study - John Lewis,/static/app/vj_splunk/info/uc_docs/ba/splunk-at-john-lewis.pdf,Document,uc_ba,,
25EvXgo7SJvT7ST5f4BSkH,Splunk for Customer Experience: Getting Started,https://play.vidyard.com/25EvXgo7SJvT7ST5f4BSkH?v=3.1.1,Video,uc_ba_ov,,vidyard
drHPmpJW3Y4Pw6SMkHgBrg,The Future of Industrial IoT,https://play.vidyard.com/drHPmpJW3Y4Pw6SMkHgBrg?v=3.1.1,Video,uc_iot,,vidyard
YtMQspFA4Q4KscwhP8RNcu,Art of the Possible: Wind Farms,https://play.vidyard.com/YtMQspFA4Q4KscwhP8RNcu?v=3.1.1,Video,uc_iot,,vidyard
VQL5k98Li41WEPvaPAMZqE,Art of the Possible: Smart Soldiers,https://play.vidyard.com/VQL5k98Li41WEPvaPAMZqE?v=3.1.1,Video,uc_iot,,vidyard
p1NM4JPC2DKjKBmxc3jXfY,The Future of Racing: Splunk At The Indy500!,https://play.vidyard.com/p1NM4JPC2DKjKBmxc3jXfY?v=3.1.1,Video,uc_iot,,vidyard
splunk-for-the-internet-of-things.pdf,Splunk for IoT,https://www.splunk.com/pdfs/solution-guides/splunk-for-the-internet-of-things.pdf,web,uc_iot,,
IIot.pdf,Essentials Guid for IoT and other data sources,https://docs.splunk.com/Documentation/IIoT/1.2.1/Install/About,Document,uc_iot,,
splunk-at-irhythm.pdf,Case Study - Splunk at iRhythm,/static/app/vj_splunk/info/uc_docs/iot/splunk-at-irhythm.pdf,Document,uc_iot,,
splunk-at-shaw.pdf,Case Study - Splunk at Shaw,/static/app/vj_splunk/info/uc_docs/iot/splunk-at-shaw.pdf,Document,uc_iot,,
splunk-idc-industrial-asset-intel.pdf,IDC - Industrial Asset Intel,https://www.splunk.com/pdfs/product-briefs/splunk-industrial-isset-intelligence.pdf,web,uc_iot,,
drHPmpJW3Y4Pw6SMkHgBrg,The Future of Industrial IoT,https://play.vidyard.com/drHPmpJW3Y4Pw6SMkHgBrg?v=3.1.1,Video,uc_iot_ov,,vidyard
ZdsE5ocV969hhxv2f8AfJb,IT Operations Overview,https://play.vidyard.com/ZdsE5ocV969hhxv2f8AfJb?v=3.1.1,Video,uc_itoa,,vidyard
hKUdTvSVvWrw4DBaWoVnTh,Transform to New IT,https://play.vidyard.com/hKUdTvSVvWrw4DBaWoVnTh?v=3.1.1,Video,uc_itoa,,vidyard
6LJeHrvg38bPgbJXbrpCXT,Introducing Splunk Insights for Infrastructure,https://play.vidyard.com/6LJeHrvg38bPgbJXbrpCXT?v=3.1.1,Video,uc_itoa,,vidyard
KZv5HCKtWkJa4sWRLbZVPA,Splunk for AIOps,https://play.vidyard.com/KZv5HCKtWkJa4sWRLbZVPA?v=3.1.1,Video,uc_itoa,,vidyard
ACZaq5v8ad2dn5gdr2CHqx,Predictive IT with Splunk IT Service Intelligence,https://play.vidyard.com/ACZaq5v8ad2dn5gdr2CHqx?v=3.1.1,Video,uc_itoa,,vidyard
qpTGiSrRsnqGP3caGoUCsj,Splunk Everywhere! Application Performance,https://play.vidyard.com/qpTGiSrRsnqGP3caGoUCsj?v=3.1.1,Video,uc_itoa,,vidyard
LTXDQfRu2ZGxjkeHgktQhL,Splunk Everywhere! OS Monitoring in the Cloud,https://play.vidyard.com/LTXDQfRu2ZGxjkeHgktQhL?v=3.1.1,Video,uc_itoa,,vidyard
q5hCS9QXUjy2Go9WSn2eKJ,Splunk Everywhere! DevOps,https://play.vidyard.com/q5hCS9QXUjy2Go9WSn2eKJ?v=3.1.1,Video,uc_itoa,,vidyard
HrPYwZyGYoJNooheFkHupX,Splunk Drives IT Operations Solutions,https://play.vidyard.com/HrPYwZyGYoJNooheFkHupX?v=3.1.1,Video,uc_itoa,,vidyard
q5hCS9QXUjy2Go9WSn2eKJ,Drive DevOps Success with Data,https://play.vidyard.com/q5hCS9QXUjy2Go9WSn2eKJ?v=3.1.1,Video,uc_itoa,,vidyard
D0UorkvI6ww,Intro to Splunk IT Service Intelligence,https://www.youtube.com/embed/D0UorkvI6ww?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com,Video,uc_itoa,,youtube
embracing-the-strategic-opportunity-of-it.pdf,Strategic Opportunity of IT,/static/app/vj_splunk/info/uc_docs/itoa/embracing-the-strategic-opportunity-of-it.pdf,Document,uc_itoa,,
machine-data-customer-ebook-it-operations.pdf,IT Operations Machine Data,/static/app/vj_splunk/info/uc_docs/itoa/machine-data-customer-ebook-it-operations.pdf,Document,uc_itoa,,
artificial-intelligence-and-the-future-of-it-operations.pdf,AI for IT: Preventing Outages with Predictive Analytics,https://www.thinkahead.com/wp-content/uploads/2019/01/artificial-intelligence-and-the-future-of-it-operations.pdf,web,uc_itoa,,
splunk-for-retail.pdf,Splunk® For Retail,https://www.splunk.com/pdfs/solution-guides/splunk-for-retail.pdf,web,uc_itoa,,
it-service-intelligence.pdf,Splunk ITSI Product Brief,https://www.splunk.com/pdfs/product-briefs/it-service-intelligence.pdf,web,uc_itoa,,
why-it-service-intelligence.pdf,Why Splunk IT Service Intelligence,https://www.splunk.com/pdfs/technical-briefs/make-your-it-services-smarter.pdf,web,uc_itoa,,
why-you-cant-spell-digital-transformation-without-it.pdf,Why you can't Spell Digital Transformation without IT,/static/app/vj_splunk/info/uc_docs/itoa/why-you-cant-spell-digital-transformation-without-it.pdf,Document,uc_itoa,,
make-your-it-events-less-eventful.pdf,Make Your IT Events Less Eventful,/static/app/vj_splunk/info/uc_docs/itoa/make-your-it-events-less-eventful.pdf,Document,uc_itoa,,
splunk-app-for-infrastructure.pdf,Splunk® App For Infrastructure,https://www.splunk.com/pdfs/product-briefs/splunk-app-for-infrastructure.pdf,web,uc_itoa,,
splunk-for-containers-tech-brief.pdf,Splunk® For Containers,https://www.splunk.com/pdfs/technical-briefs/splunk-for-containers-tech-brief.pdf,web,uc_itoa,,
splunk-machine-learning-toolkit.pdf,Splunk® Machine Learning Toolkit(MLTK),https://www.splunk.com/pdfs/product-briefs/splunk-machine-learning-toolkit.pdf,web,uc_itoa,,
splunk-app-release-analytics-with-puppet.pdf,Splunk® App Release Analytics with Puppet,https://www.splunk.com/pdfs/technical-briefs/splunk-app-release-analytics-with-puppet.pdf,web,uc_itoa,,
insights-for-infrastructure.pdf,Splunk® Insights For Infrastructure,https://www.splunk.com/pdfs/product-briefs/insights-for-infrastructure.pdf,web,uc_itoa,,
add-ons-and-apps-in-the-splunk-quick-start-for-infrastructure-monitoring.pdf,Add-ons and Apps In Splunk For Infrastructure Monitoring,https://www.splunk.com/pdfs/technical-briefs/add-ons-and-apps-in-the-splunk-quick-start-for-infrastructure-monitoring.pdf,web,uc_itoa,,
ZdsE5ocV969hhxv2f8AfJb,IT Operations Overview,https://play.vidyard.com/ZdsE5ocV969hhxv2f8AfJb?v=3.1.1,Video,uc_itoa_ov,,vidyard
A5DWc3aLKKDpParpmYPKNq,The Data Stream: Analytics Driven Security,https://play.vidyard.com/A5DWc3aLKKDpParpmYPKNq?v=3.1.1,Video,uc_sec,,vidyard
jajihao1uMnVTFcrHkQMFe,Splunk User Behavior Analytics: The Whiteboard,https://play.vidyard.com/jajihao1uMnVTFcrHkQMFe?v=3.1.1,Video,uc_sec,,vidyard
tRyN7XkriA7iwo1iq4ZtQ2,Splunk Everywhere! SIEM In The Cloud,https://play.vidyard.com/tRyN7XkriA7iwo1iq4ZtQ2?v=3.1.1,Video,uc_sec,,vidyard
Uu_07ahwi9w,Splunk for Security,https://www.youtube.com/embed/Uu_07ahwi9w?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com,web,uc_sec,,youtube
X8ITcKSPHc0,Splunk for Security Investigation: Ransomware,https://www.youtube.com/embed/X8ITcKSPHc0?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com,web,uc_sec,,youtube
DRT4uTVj6hU,Splunk Enterprise Security: Use Case Library,https://www.youtube.com/embed/DRT4uTVj6hU?fs=0&amp;modestbranding=1&amp;iv_load_policy=3&amp;rel=0&amp;origin=http://splunk.com&amp;widget_referrer=http://splunk.com,web,uc_sec,,youtube
splunk-for-security.pdf,Splunk for Security,https://www.splunk.com/pdfs/solution-guides/splunk-for-security.pdf,web,uc_sec,,
machine-data-customer-ebook-security.pdf,Machine Data: Security,/static/app/vj_splunk/info/uc_docs/sec/machine-data-customer-ebook-security.pdf,Document,uc_sec,,
splunk-for-compliance.pdf,Demystifying Compliance,https://www.splunk.com/pdfs/solution-guides/splunk-for-compliance.pdf,web,uc_sec,,
the-essential-guide-to-security.pdf,The Essential Guide to Security,/static/app/vj_splunk/info/uc_docs/sec/the-essential-guide-to-security.pdf,Document,uc_sec,,
reducing-risk-with-soar-phantom.pdf,Reducing Risk With Security Automation And Orchestration,https://www.splunk.com/pdfs/solution-guides/reducing-risk-with-soar-phantom.pdf,web,uc_sec,,
develop-an-incident-response-plan.pdf,Splunk Incident Response Plan,/static/app/vj_splunk/info/uc_docs/sec/develop-an-incident-response-plan.pdf,Document,uc_sec,,
leveraging-splunk-to-operationalize-cisa-directives.pdf,Splunk and the CIS Critical Security Control,https://www.splunk.com/pdfs/technical-briefs/leveraging-splunk-to-operationalize-cisa-directives.pdf,web,uc_sec,,
MaymCiqXKboRirKqJQ54hT,Splunk For Security,https://play.vidyard.com/MaymCiqXKboRirKqJQ54hT?v=3.1.1&amp;type=inline&amp;height=615&amp;referring_url=https%253A%252F%252Fwww.splunk.com%252Fen_us%252Fresources%252Fvideos%,Video,uc_sec_ov,,vidyard
