category_id,category_value
EXF-AL-PRTHPC-T1052,"Exfiltration - Over Physical Medium - High Page Count File Prints [T1052]"
EXF-AL-PSTDAT-T1011,"Exfiltration - Over Other Network Medium - Posting Data To Website [T1011]"
EXF-AL-REMOTE-T1011,"Exfiltration - Over Other Network Medium - Remote Tool [T1011]"
EXF-AL-SHRAPP-T1011,"Exfiltration - Over Other Network Medium - File Sharing Application [T1011]"
EXF-AL-SHRWEB-T1011,"Exfiltration - Over Other Network Medium - File Sharing Site [T1011]"
EXF-AL-UPRINT-T1052,"Exfiltration - Over Physical Medium - Unusual Print By Count [T1052]"
EXF-AL-USBNWK-T1052,"Exfiltration - Over Physical Medium - Network To Removable Device [T1052]"
EXF-AL-USBTFR-T1052,"Exfiltration - Over Physical Medium - Removable Device [T1052]"
EXF-MW-AIRDRP-T1011,"Exfiltration - Over Other Network Medium - Mac Airdrop [T1011]"
INA-AL-ACVULN-T1190,"Initial Access - Exploit Public Facing Application [T1190]"
IPT-AL-ACCREM-T1531,"Impact - Account Access Removal [T1531]"
IPT-AL-DATENC-T1486,"Impact - Data Encrypted for Impact [T1486]"
IPT-AL-DSCWIP-T1488,"Impact - Disk Content Wipe [T1488]"
IPT-AL-DTADES-T1485,"Impact - Data Destruction [T1485]"
IPT-AL-INHREC-T1490,"Impact - Inhibit System Recovery [T1490]"
IPT-AL-RSCHJK-T1496,"Impact - Resource Hijacking [T1496]"
IPT-AL-SHUTDN-T1529,"Impact - System Shutdown Or Reboot [T1529]"
IPT-WA-SVCSTP-T1489,"Impact - Service Stop [T1489]"
LTM-AL-REPTRM-T1091,"Lateral Movement - Replication Through Removable Media [T1091]"
LTM-AL-RMTCPY-T1105,"Lateral Movement - Remote File Copy [T1105]"
LTM-ML-SSHHJK-T1184,"Lateral Movement - SSH Hijacking [T1184]"
LTM-MW-ASCRPT-T1155,"Lateral Movement - AppleScript [T1155]"
PER-AL-CRTACT-T1136,"Persistence - Create Account [T1136]"
PER-ML-BASHRC-T1156,"Persistence - Bash_Profile And Bashrc [T1156]"
PER-ML-KNLMDL-T1215,"Persistence - Kernel Modules and Extensions [T1215]"
PER-MW-LCHAGT-T1159,"Persistence - Launch Agent [T1159]"
PER-MW-LCHDMN-T1160,"Persistence - Launch Daemon [T1160]"
PER-MW-RCCMMN-T1163,"Persistence - Rc.common [T1163]"
PER-WA-IFEOIN-T1183,"Persistence - Image File Execution Options Injection [T1183]"
PER-WA-LGNDLL-T1004,"Persistence - Winlogon Helper DLL [T1004]"
PER-WA-SCRSVR-T1180,"Persistence - Screensaver [T1180]"
PER-WA-TPRVDR-T1209,"Persistence - Time Provider [T1209]"
PRV-ML-SETUID-T1166,"Privilege Escalation - Setuid And Setgid [T1166]"
PRV-ML-SUDOER-T1169,"Privilege Escalation - Sudo [T1169]"
PRV-WA-ACSFTR-T1015,"Privilege Escalation - Accessibility Features [T1015]"
PRV-WA-APPSHM-T1138,"Privilege Escalation - Application Shimming [T1138]"
PRV-WA-VALACC-T1078,"Privilege Escalation - Valid Accounts [T1078]"
