Architecture,BuildNumber,BuildType,ClassGuid,ClockSpeedMHz,CodeSet,CommandLine,ComputerName,CountryCode,Description,DeviceClass,DeviceID,DeviceName,DisplayName,DriverDate,DriverProviderName,DriverVersion,FreePhysicalMemoryKB,FreeVirtualMemoryKB,HardWareID,Host,ID,Id,InfName,InstallDate,LastBootUpTime,Locale,Manufacturer,Name,NumberOfCores,NumberOfProcessors,OS,ParentID,Path,ProcessId,"Processor_Id",SerialNumber,ServiceType,StartMode,StartTime,Started,State,Status,SystemDevice,SystemDirectory,SystemDrive,TotalPhysicalMemoryKB,TotalVirtualMemoryKB,Type,Version,"_raw","_time",componentId,componentInstance,componentValue,"cpu_architecture","cpu_cores","cpu_count","cpu_mhz",description,dest,eventtype,family,host,index,linecount,mem,"mem_free","mem_free_percent","mem_used","mem_used_percent",mount,"ms_exchange_host",os,process,"process_id",punct,serial,service,"service_exec","service_name","service_path",source,sourcetype,"splunk_server","splunk_server_group","start_mode",status,storage,"storage_free","storage_free_percent","storage_used","storage_used_percent",tag,"tag::eventtype","tmp_epochtime","vendor_product",version
,,,,,,,,,"Maintains date and time synchronization on all clients and servers in the network. If this service is stopped, date and time synchronization will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.",,,,"Windows Time",,,,,,,,,,,,,,,W32Time,,,,,"C:\Windows\system32\svchost.exe -k LocalService",2760,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""W32Time""
DisplayName=""Windows Time""
Description=""Maintains date and time synchronization on all clients and servers in the network. If this service is stopped, date and time synchronization will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.""
Path=""C:\Windows\system32\svchost.exe -k LocalService""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=2760","2021-06-29T11:06:35.000+0000","WinHostMon-W32Time","C:\Windows\system32\svchost.exe -k LocalService",1,,,,,,"EC2AMAZ-3G1B1SF","err0r hostmon_windows microsoft_windows_hostmon_service microsoft_windows_hostmon_service_time nix_errors",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,2760,"==""""=""_""=""____________._____,_______._____,_______",,"Windows Time","svchost.exe","Windows Time","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"error
os
performance
report
service
synchronize
time
windows","error
os
performance
report
service
synchronize
time
windows",1624964795,,
,,,,,,,,,"Manages Windows Updates. If stopped, your devices will not be able download and install latest udpates.",,,,"Update Orchestrator Service",,,,,,,,,,,,,,,UsoSvc,,,,,"C:\Windows\system32\svchost.exe -k netsvcs -p",664,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""UsoSvc""
DisplayName=""Update Orchestrator Service""
Description=""Manages Windows Updates. If stopped, your devices will not be able download and install latest udpates.""
Path=""C:\Windows\system32\svchost.exe -k netsvcs -p""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=664","2021-06-29T11:01:34.000+0000","WinHostMon-UsoSvc","C:\Windows\system32\svchost.exe -k netsvcs -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,664,"==""""=""__""=""__.__,___________.""="":\\\._-__-""=""_""=""""",,"Update Orchestrator Service","svchost.exe","Update Orchestrator Service","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624964494,,
,,,,,,,,,"Provides data brokering between applications.",,,,"Data Sharing Service",,,,,,,,,,,,,,,DsSvc,,,,,"C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",2616,,,"Share Process",Manual,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""DsSvc""
DisplayName=""Data Sharing Service""
Description=""Provides data brokering between applications.""
Path=""C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=true
State=""Running""
Status=""OK""
ProcessId=2616","2021-06-29T11:01:34.000+0000","WinHostMon-DsSvc","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,2616,"==""""=""__""=""____.""="":\\\._-__-""=""_""=""""==""""=""""=",,"Data Sharing Service","svchost.exe","Data Sharing Service","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624964494,,
,,,,,,,,,"Host service for the Microsoft Storage Spaces management provider. If this service is stopped or disabled, Storage Spaces cannot be managed.",,,,"Microsoft Storage Spaces SMP",,,,,,,,,,,,,,,smphost,,,,,"C:\Windows\System32\svchost.exe -k smphost",0,,,"Own Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""smphost""
DisplayName=""Microsoft Storage Spaces SMP""
Description=""Host service for the Microsoft Storage Spaces management provider. If this service is stopped or disabled, Storage Spaces cannot be managed.""
Path=""C:\Windows\System32\svchost.exe -k smphost""
ServiceType=""Own Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:56:35.000+0000","WinHostMon-smphost","C:\Windows\System32\svchost.exe -k smphost",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""___""=""________._______,_____.""="":\\\._-_""=""_",,"Microsoft Storage Spaces SMP","svchost.exe","Microsoft Storage Spaces SMP","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624964195,,
,,,,,,,,,"The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests, object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the RPCSS service running.",,,,"Remote Procedure Call (RPC)",,,,,,,,,,,,,,,RpcSs,,,,,"C:\Windows\system32\svchost.exe -k rpcss -p",1020,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""RpcSs""
DisplayName=""Remote Procedure Call (RPC)""
Description=""The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests, object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the RPCSS service running.""
Path=""C:\Windows\system32\svchost.exe -k rpcss -p""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=1020","2021-06-29T10:56:35.000+0000","WinHostMon-RpcSs","C:\Windows\system32\svchost.exe -k rpcss -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,1020,"==""""=""___()""=""____________._____,____________.____",,"Remote Procedure Call (RPC)","svchost.exe","Remote Procedure Call (RPC)","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624964195,,
,,,,,,,,,"Provides support for the NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution for clients on the network, therefore enabling users to share files, print, and log on to the network. If this service is stopped, these functions might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.",,,,"TCP/IP NetBIOS Helper",,,,,,,,,,,,,,,lmhosts,,,,,"C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p",1128,,,"Share Process",Manual,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""lmhosts""
DisplayName=""TCP/IP NetBIOS Helper""
Description=""Provides support for the NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution for clients on the network, therefore enabling users to share files, print, and log on to the network. If this service is stopped, these functions might be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.""
Path=""C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=true
State=""Running""
Status=""OK""
ProcessId=1128","2021-06-29T10:56:35.000+0000","WinHostMon-lmhosts","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p",1,,,,,,"EC2AMAZ-3G1B1SF","err0r hostmon_windows microsoft_windows_hostmon_service nix_errors",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,1128,"==""""=""/__""=""______/_()__________,______,_,______._",,"TCP/IP NetBIOS Helper","svchost.exe","TCP/IP NetBIOS Helper","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Running,,,,,,"error
os
report
service
windows","error
os
report
service
windows",1624964195,,
,,,,,,,,,"Maintains links between NTFS files within a computer or across computers in a network.",,,,"Distributed Link Tracking Client",,,,,,,,,,,,,,,TrkWks,,,,,"C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",2748,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""TrkWks""
DisplayName=""Distributed Link Tracking Client""
Description=""Maintains links between NTFS files within a computer or across computers in a network.""
Path=""C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=2748","2021-06-29T10:51:35.000+0000","WinHostMon-TrkWks","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,2748,"==""""=""___""=""_____________.""="":\\\._-__-""=""_""=""""==""",,"Distributed Link Tracking Client","svchost.exe","Distributed Link Tracking Client","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624963895,,
,,,,,,,,,"Indexes contact data for fast contact searching. If you stop or disable this service, contacts might be missing from your search results.",,,,"Contact Data_1e6124416",,,,,,,,,,,,,,,"PimIndexMaintenanceSvc_1e6124416",,,,,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup",0,,,Unknown,Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""PimIndexMaintenanceSvc_1e6124416""
DisplayName=""Contact Data_1e6124416""
Description=""Indexes contact data for fast contact searching. If you stop or disable this service, contacts might be missing from your search results.""
Path=""C:\Windows\system32\svchost.exe -k UnistackSvcGroup""
ServiceType=""Unknown""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:46:35.000+0000","WinHostMon-PimIndexMaintenanceSvc_1e6124416","C:\Windows\system32\svchost.exe -k UnistackSvcGroup",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""_""=""______._______,________.""="":\\\._-_""=""""=",,"Contact Data_1e6124416","svchost.exe","Contact Data_1e6124416","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624963595,,
,,,,,,,,,"Coordinates transactions between the Distributed Transaction Coordinator (MSDTC) and the Kernel Transaction Manager (KTM). If it is not needed, it is recommended that this service remain stopped. If it is needed, both MSDTC and KTM will start this service automatically. If this service is disabled, any MSDTC transaction interacting with a Kernel Resource Manager will fail and any services that explicitly depend on it will fail to start.",,,,"KtmRm for Distributed Transaction Coordinator",,,,,,,,,,,,,,,KtmRm,,,,,"C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p",0,,,"Share Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""KtmRm""
DisplayName=""KtmRm for Distributed Transaction Coordinator""
Description=""Coordinates transactions between the Distributed Transaction Coordinator (MSDTC) and the Kernel Transaction Manager (KTM). If it is not needed, it is recommended that this service remain stopped. If it is needed, both MSDTC and KTM will start this service automatically. If this service is disabled, any MSDTC transaction interacting with a Kernel Resource Manager will fail and any services that explicitly depend on it will fail to start.""
Path=""C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:46:35.000+0000","WinHostMon-KtmRm","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p",0,,,,,,"EC2AMAZ-3G1B1SF","err0r hostmon_windows microsoft_windows_hostmon_service nix_errors nix_kernel_attached",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""____""=""_______()______()._____,________.____",,"KtmRm for Distributed Transaction Coordinator","svchost.exe","KtmRm for Distributed Transaction Coordinator","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"error
kernel
os
report
service
unix
windows","error
kernel
os
report
service
unix
windows",1624963595,,
,,,,,,,,,"Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer.",,,,"IP Helper",,,,,,,,,,,,,,,iphlpsvc,,,,,"C:\Windows\System32\svchost.exe -k NetSvcs -p",2960,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""iphlpsvc""
DisplayName=""IP Helper""
Description=""Provides tunnel connectivity using IPv6 transition technologies (6to4, ISATAP, Port Proxy, and Teredo), and IP-HTTPS. If this service is stopped, the computer will not have the enhanced connectivity benefits that these technologies offer.""
Path=""C:\Windows\System32\svchost.exe -k NetSvcs -p""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=2960","2021-06-29T10:46:35.000+0000","WinHostMon-iphlpsvc","C:\Windows\System32\svchost.exe -k NetSvcs -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,2960,"==""""=""_""=""_______(,_,__,__),__-._____,____________",,"IP Helper","svchost.exe","IP Helper","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624963595,,
,,,,,,,,,"Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start",,,,"Windows Audio Endpoint Builder",,,,,,,,,,,,,,,AudioEndpointBuilder,,,,,"C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",0,,,"Share Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""AudioEndpointBuilder""
DisplayName=""Windows Audio Endpoint Builder""
Description=""Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start""
Path=""C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:46:35.000+0000","WinHostMon-AudioEndpointBuilder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p",0,,,,,,"EC2AMAZ-3G1B1SF","err0r hostmon_windows microsoft_windows_hostmon_service nix_errors",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""___""=""_______.______,________.______,_______",,"Windows Audio Endpoint Builder","svchost.exe","Windows Audio Endpoint Builder","C:\Windows\System32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"error
os
report
service
windows","error
os
report
service
windows",1624963595,,
,,,,,,,,,"This user service is used for managing the Miracast, DLNA, and DIAL UI",,,,"DevicePicker_1e6124416",,,,,,,,,,,,,,,"DevicePickerUserSvc_1e6124416",,,,,"C:\Windows\system32\svchost.exe -k DevicesFlow",0,,,Unknown,Disabled,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""DevicePickerUserSvc_1e6124416""
DisplayName=""DevicePicker_1e6124416""
Description=""This user service is used for managing the Miracast, DLNA, and DIAL UI""
Path=""C:\Windows\system32\svchost.exe -k DevicesFlow""
ServiceType=""Unknown""
StartMode=""Disabled""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:41:35.000+0000","WinHostMon-DevicePickerUserSvc_1e6124416","C:\Windows\system32\svchost.exe -k DevicesFlow",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""""=""________,_,___""="":\\\._-_""=""""=""""==""""=""""=",,"DevicePicker_1e6124416","svchost.exe","DevicePicker_1e6124416","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",disabled,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624963295,,
,,,,,,,,,"WinHTTP implements the client HTTP stack and provides developers with a Win32 API and COM Automation component for sending HTTP requests and receiving responses. In addition, WinHTTP provides support for auto-discovering a proxy configuration via its implementation of the Web Proxy Auto-Discovery (WPAD) protocol.",,,,"WinHTTP Web Proxy Auto-Discovery Service",,,,,,,,,,,,,,,WinHttpAutoProxySvc,,,,,"C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",0,,,"Share Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""WinHttpAutoProxySvc""
DisplayName=""WinHTTP Web Proxy Auto-Discovery Service""
Description=""WinHTTP implements the client HTTP stack and provides developers with a Win32 API and COM Automation component for sending HTTP requests and receiving responses. In addition, WinHTTP provides support for auto-discovering a proxy configuration via its implementation of the Web Proxy Auto-Discovery (WPAD) protocol.""
Path=""C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:41:35.000+0000","WinHostMon-WinHttpAutoProxySvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""___-_""=""_______________________.__,_____-___",,"WinHTTP Web Proxy Auto-Discovery Service","svchost.exe","WinHTTP Web Proxy Auto-Discovery Service","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624963295,,
,,,,,,,,,"Enables remote users and 64-bit processes to query performance counters provided by 32-bit DLLs. If this service is stopped, only local users and 32-bit processes will be able to query performance counters provided by 32-bit DLLs.",,,,"Performance Counter DLL Host",,,,,,,,,,,,,,,PerfHost,,,,,"C:\Windows\SysWow64\perfhost.exe",0,,,"Own Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""PerfHost""
DisplayName=""Performance Counter DLL Host""
Description=""Enables remote users and 64-bit processes to query performance counters provided by 32-bit DLLs. If this service is stopped, only local users and 32-bit processes will be able to query performance counters provided by 32-bit DLLs.""
Path=""C:\Windows\SysWow64\perfhost.exe""
ServiceType=""Own Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:41:35.000+0000","WinHostMon-PerfHost","C:\Windows\SysWow64\perfhost.exe",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""___""=""____-________-_._____,_____-__________",,"Performance Counter DLL Host","perfhost.exe","Performance Counter DLL Host","C:\Windows\SysWow64\perfhost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624963295,,
,,,,,,,,,"Activates and maintains the use of hot buttons on keyboards, remote controls, and other multimedia devices. It is recommended that you keep this service running.",,,,"Human Interface Device Service",,,,,,,,,,,,,,,hidserv,,,,,"C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",0,,,"Share Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""hidserv""
DisplayName=""Human Interface Device Service""
Description=""Activates and maintains the use of hot buttons on keyboards, remote controls, and other multimedia devices. It is recommended that you keep this service running.""
Path=""C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p""
ServiceType=""Share Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:41:35.000+0000","WinHostMon-hidserv","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""___""=""_________,__,____._________.""="":\\\._-",,"Human Interface Device Service","svchost.exe","Human Interface Device Service","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624963295,,
,,,,,,,,,"The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.",,,,"Base Filtering Engine",,,,,,,,,,,,,,,BFE,,,,,"C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p",1960,,,"Share Process",Auto,,true,Running,OK,,,,,,Service,,"Type=Service
Name=""BFE""
DisplayName=""Base Filtering Engine""
Description=""The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec management and firewall applications.""
Path=""C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p""
ServiceType=""Share Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=1960","2021-06-29T10:41:35.000+0000","WinHostMon-BFE","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,1960,"==""""=""__""=""____()___________()______._____________",,"Base Filtering Engine","svchost.exe","Base Filtering Engine","C:\Windows\system32\svchost.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Running,,,,,,"os
report
service
windows","os
report
service
windows",1624963295,,
,,,,,,"C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s UALSVC",,,,,,,,,,,,,,"EC2AMAZ-3G1B1SF",,,,,,,,"svchost.exe",,,,,"C:\Windows\system32\svchost.exe",4516,,,,,"20210129193534.214497+000",,,,,,,,,Process,,"Type=Process
Name=""svchost.exe""
ProcessId=4516
CommandLine=""C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s UALSVC""
StartTime=""20210129193534.214497+000""
Host=""EC2AMAZ-3G1B1SF""
Path=""C:\Windows\system32\svchost.exe""","2021-06-29T10:36:37.000+0000","WinHostMon-svchost.exe","C:\Windows\system32\svchost.exe",1,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_process",,"EC2AMAZ-3G1B1SF",main,7,,,,,,,,,"svchost.exe",4516,"=="".""=="":\\\._-__-_-_""="".+""=""-""="":\\\.""",,,"svchost.exe",,"C:\Windows\system32\svchost.exe",process,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",,,,,,,,"os
process
report
windows","os
process
report
windows",1624962997,,
,,,,,,,,,"Enables the download, installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled, the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service.",,,,"Software Protection",,,,,,,,,,,,,,,sppsvc,,,,,"C:\Windows\system32\sppsvc.exe",0,,,"Own Process",Auto,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""sppsvc""
DisplayName=""Software Protection""
Description=""Enables the download, installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled, the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service.""
Path=""C:\Windows\system32\sppsvc.exe""
ServiceType=""Own Process""
StartMode=""Auto""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:36:34.000+0000","WinHostMon-sppsvc","C:\Windows\system32\sppsvc.exe",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""_""=""__,___________._____,____________.______",,"Software Protection","sppsvc.exe","Software Protection","C:\Windows\system32\sppsvc.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",auto,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624962994,,
,,,,,,,,,"Keeps your Google software up to date. If this service is disabled or stopped, your Google software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Google software using it.",,,,"Google Update Service (gupdatem)",,,,,,,,,,,,,,,gupdatem,,,,,"""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc",0,,,"Own Process",Manual,,false,Stopped,OK,,,,,,Service,,"Type=Service
Name=""gupdatem""
DisplayName=""Google Update Service (gupdatem)""
Description=""Keeps your Google software up to date. If this service is disabled or stopped, your Google software will not be kept up to date, meaning security vulnerabilities that may arise cannot be fixed and features may not work. This service uninstalls itself when there is no Google software using it.""
Path=""""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc""
ServiceType=""Own Process""
StartMode=""Manual""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2021-06-29T10:36:34.000+0000","WinHostMon-gupdatem","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc",0,,,,,,"EC2AMAZ-3G1B1SF","hostmon_windows microsoft_windows_hostmon_service",,"EC2AMAZ-3G1B1SF",main,11,,,,,,,,,,0,"==""""=""___()""=""______._______,__________,__________",,"Google Update Service (gupdatem)","GoogleUpdate.exe","Google Update Service (gupdatem)","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe",service,WinHostMon,"ip-172-31-27-100.us-west-1.compute.internal","dmc_group_indexer",manual,Stopped,,,,,,"os
report
service
windows","os
report
service
windows",1624962994,,
