EventCode,LogName,"Windows_OS_Support",signature,"signature_severity"
1101,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Audit events have been dropped by the transport.",low
1102,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","The audit log was cleared",high
1104,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","The security Log is now full",high
1105,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Event log automatic backup",low
1108,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","The event logging service encountered an error",low
4608,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows is starting up",low
4609,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Windows is shutting down",low
4610,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An authentication package has been loaded by the Local Security Authority",low
4611,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A trusted logon process has been registered with the Local Security Authority",low
4612,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Internal resources allocated for the queuing of audit messages have been exhausted leading to the loss of some audits.",low
4614,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A notification package has been loaded by the Security Account Manager.",low
4615,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Invalid use of LPC port",low
4616,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","The system time was changed.",low
4618,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A monitored security event pattern has occurred",high
4621,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Administrator recovered system from CrashOnAuditFail",medium
4622,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A security package has been loaded by the Local Security Authority.",low
4624,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An account was successfully logged on",low
4625,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An account failed to log on",low
4626,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","User/Device claims information",low
4627,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Group membership information.",low
4634,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An account was logged off",low
4646,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","IKE DoS-prevention mode started",low
4647,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","User initiated logoff",low
4648,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A logon was attempted using explicit credentials",low
4649,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A replay attack was detected",high
4650,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An IPsec Main Mode security association was established",low
4651,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An IPsec Main Mode security association was established",low
4652,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An IPsec Main Mode negotiation failed",low
4653,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An IPsec Main Mode negotiation failed",low
4654,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An IPsec Quick Mode negotiation failed",low
4655,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An IPsec Main Mode security association ended",low
4656,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A handle to an object was requested",low
4657,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A registry value was modified",low
4658,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","The handle to an object was closed",low
4659,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A handle to an object was requested with intent to delete",low
4660,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An object was deleted",low
4661,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","A handle to an object was requested",low
4662,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An operation was performed on an object",low
4663,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An attempt was made to access an object",low
4664,Security,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","An attempt was made to create a hard link",low
