"page_printed",user,document,"temp_epochtime"
53,alice,"anon_Printer_9","1473304844.000"
5,alice,"anon_Printer_9","1473305381.000"
4,alice,"anon_Printer_9","1473305381.000"
4,chuck,"anon_Printer_9","1473308641.000"
10,alice,"anon_Printer_9","1473311337.000"
11,alice,"anon_Printer_9","1473311337.000"
11,alice,"anon_Printer_9","1473311986.000"
10,alice,"anon_Printer_9","1473311986.000"
14,alice,"anon_Printer_9","1473313057.000"
14,alice,"anon_Printer_9","1473313057.000"
1,alice,"anon_Printer_9","1473317905.000"
2,chuck,"anon_Printer_9","1473318711.000"
3,chuck,"anon_Printer_9","1473323265.000"
2,chuck,"anon_Printer_9","1473323700.000"
1,alice,"anon_Printer_9","1473410057.000"
6,alice,"anon_Printer_9","1473410091.000"
6,alice,"anon_Printer_9","1473410091.000"
1,chuck,"anon_Printer_9","1473410365.000"
1,chuck,"anon_Printer_9","1473411537.000"
1,chuck,"anon_Printer_9","1473411555.000"
3,alice,"anon_Printer_9","1473648584.000"
2,alice,"anon_Printer_9","1473648584.000"
1,alice,"anon_Printer_9","1473648705.000"
2,alice,"anon_Printer_9","1473648760.000"
2,alice,"anon_Printer_9","1473648760.000"
1,alice,"anon_Printer_9","1473648809.000"
8,alice,"anon_Printer_9","1473648875.000"
8,alice,"anon_Printer_9","1473648875.000"
8,alice,"anon_Printer_9","1473648883.000"
8,alice,"anon_Printer_9","1473648883.000"
8,alice,"anon_Printer_9","1473648894.000"
8,alice,"anon_Printer_9","1473648894.000"
4,alice,"anon_Printer_9","1473648958.000"
5,alice,"anon_Printer_9","1473648958.000"
2,alice,"anon_Printer_9","1473648983.000"
2,alice,"anon_Printer_9","1473648983.000"
2,alice,"anon_Printer_9","1473649236.000"
2,alice,"anon_Printer_9","1473649236.000"
1,alice,"anon_Printer_9","1473649289.000"
4,alice,"anon_Printer_9","1473649469.000"
4,alice,"anon_Printer_9","1473649469.000"
1,alice,"anon_Printer_9","1473668903.000"
2,alice,"anon_Printer_9","1473733940.000"
2,alice,"anon_Printer_9","1473733940.000"
2,alice,"anon_Printer_9","1473750256.000"
2,alice,"anon_Printer_9","1473750256.000"
1,chuck,"anon_Printer_9","1473751173.000"
2,alice,"anon_Printer_9","1473753086.000"
2,alice,"anon_Printer_9","1473753086.000"
1,alice,"anon_Printer_9","1473753100.000"
1,chuck,"anon_Printer_9","1473755452.000"
2,chuck,"anon_Printer_9","1473755476.000"
2,chuck,"anon_Printer_9","1473755633.000"
1,chuck,"anon_Printer_9","1473755642.000"
1,chuck,"anon_Printer_9","1473757472.000"
2,chuck,"anon_Printer_9","1473757487.000"
7,alice,"anon_Printer_9","1473757539.000"
6,alice,"anon_Printer_9","1473757539.000"
1,alice,"anon_Printer_9","1473757720.000"
5,chuck,"anon_Printer_9","1473758123.000"
6,chuck,"anon_Printer_9","1473758138.000"
1,chuck,"anon_Printer_9","1473759896.000"
8,chuck,"anon_Printer_6","1473760441.000"
8,chuck,"anon_Printer_6","1473760441.000"
45,alice,"anon_Printer_9","1473827128.000"
44,alice,"anon_Printer_9","1473827128.000"
1,chuck,"anon_Printer_9","1473828948.000"
1,chuck,"anon_Printer_9","1473830136.000"
1,alice,"anon_Printer_9","1473835547.000"
5,alice,"anon_Printer_9","1473842480.000"
4,alice,"anon_Printer_9","1473842480.000"
5,chuck,"anon_Printer_9","1473910959.000"
2,chuck,"anon_Printer_9","1473913949.000"
13,chuck,"anon_Printer_9","1473923753.000"
9,chuck,"anon_Printer_9","1473923766.000"
3,alice,"anon_Printer_9","1473925503.000"
2,alice,"anon_Printer_9","1473925503.000"
4,alice,"anon_Printer_9","1473925525.000"
4,alice,"anon_Printer_9","1473925525.000"
4,alice,"anon_Printer_9","1473925650.000"
4,alice,"anon_Printer_9","1473925650.000"
16,alice,"anon_Printer_9","1473925792.000"
17,alice,"anon_Printer_9","1473925792.000"
2,alice,"anon_Printer_9","1473994626.000"
3,alice,"anon_Printer_9","1473994626.000"
2,alice,"anon_Printer_9","1474011108.000"
2,alice,"anon_Printer_9","1474011108.000"
2,alice,"anon_Printer_9","1474012533.000"
2,alice,"anon_Printer_9","1474012533.000"
1,alice,"anon_Printer_9","1474017150.000"
15,chuck,"anon_Printer_7","1474244895.000"
10,chuck,"anon_Printer_7","1474245213.000"
8,chuck,"anon_Printer_7","1474245676.000"
2,chuck,"anon_Printer_4","1474246396.000"
1,chuck,"anon_Printer_4","1474246396.000"
1,chuck,"anon_Printer_4","1474246396.000"
6,chuck,"anon_Printer_4","1474246397.000"
5,chuck,"anon_Printer_4","1474246397.000"
1,chuck,"anon_Printer_4","1474246397.000"
2,chuck,"anon_Printer_4","1474246399.000"
2,chuck,"anon_Printer_4","1474246399.000"
15,chuck,"anon_Printer_7","1474246833.000"
3,chuck,"anon_Printer_1","1474247124.000"
2,chuck,"anon_Printer_1","1474247124.000"
1,chuck,"anon_Printer_1","1474247124.000"
1,chuck,"anon_Printer_4","1474247632.000"
1,chuck,"anon_Printer_4","1474247632.000"
1,chuck,"anon_Printer_4","1474247633.000"
1,chuck,"anon_Printer_4","1474247633.000"
1,chuck,"anon_Printer_4","1474247634.000"
1,chuck,"anon_Printer_4","1474247634.000"
1,chuck,"anon_Printer_4","1474247635.000"
1,chuck,"anon_Printer_4","1474247635.000"
1,chuck,"anon_Printer_2","1474248000.000"
2,chuck,"anon_Printer_2","1474248000.000"
2,chuck,"anon_Printer_2","1474248000.000"
1000,chuck,"anon_Printer_2","1474248103.000"
500,chuck,"anon_Printer_2","1474248103.000"
1000,chuck,"anon_Printer_2","1474248103.000"
4,chuck,"anon_Printer_1","1474248113.000"
1,chuck,"anon_Printer_1","1474248113.000"
3,chuck,"anon_Printer_1","1474248113.000"
1,chuck,"anon_Printer_1","1474248311.000"
1,chuck,"anon_Printer_1","1474248311.000"
1,chuck,"anon_Printer_1","1474248320.000"
1,chuck,"anon_Printer_1","1474248320.000"
1,chuck,"anon_Printer_1","1474248332.000"
1,chuck,"anon_Printer_1","1474248332.000"
1,chuck,"anon_Printer_6","1474249004.000"
1,chuck,"anon_Printer_6","1474249004.000"
37,chuck,"anon_Printer_9","1474249240.000"
2,chuck,"anon_Printer_4","1474249415.000"
2,chuck,"anon_Printer_4","1474249415.000"
3,chuck,"anon_Printer_4","1474249415.000"
4,chuck,"anon_Printer_4","1474249417.000"
4,chuck,"anon_Printer_4","1474249417.000"
2,chuck,"anon_Printer_4","1474249417.000"
250,chuck,"anon_Printer_4","1474249424.000"
250,chuck,"anon_Printer_4","1474249424.000"
14,chuck,"anon_Printer_9","1474249576.000"
3,chuck,"anon_Printer_9","1474249581.000"
5,chuck,"anon_Printer_9","1474249587.000"
1,chuck,"anon_Printer_9","1474249592.000"
2,chuck,"anon_Printer_6","1474249599.000"
1,chuck,"anon_Printer_6","1474249599.000"
1,chuck,"anon_Printer_6","1474249599.000"
17,chuck,"anon_Printer_9","1474249636.000"
1,chuck,"anon_Printer_6","1474249685.000"
1,chuck,"anon_Printer_6","1474249685.000"
2,chuck,"anon_Printer_6","1474249816.000"
1,chuck,"anon_Printer_6","1474249816.000"
1,chuck,"anon_Printer_6","1474249816.000"
1,chuck,"anon_Printer_6","1474249817.000"
2,chuck,"anon_Printer_6","1474249817.000"
1,chuck,"anon_Printer_6","1474249817.000"
1,chuck,"anon_Printer_5","1474249819.000"
14,chuck,"anon_Printer_5","1474249819.000"
13,chuck,"anon_Printer_5","1474249819.000"
14,chuck,"anon_Printer_5","1474249906.000"
14,chuck,"anon_Printer_5","1474249906.000"
14,chuck,"anon_Printer_5","1474249940.000"
14,chuck,"anon_Printer_5","1474249940.000"
1,chuck,"anon_Printer_6","1474249995.000"
1,chuck,"anon_Printer_6","1474249995.000"
14,chuck,"anon_Printer_5","1474250004.000"
14,chuck,"anon_Printer_5","1474250004.000"
14,chuck,"anon_Printer_5","1474250053.000"
14,chuck,"anon_Printer_5","1474250053.000"
14,chuck,"anon_Printer_5","1474250090.000"
14,chuck,"anon_Printer_5","1474250090.000"
1,chuck,"anon_Printer_9","1474250181.000"
23,chuck,"anon_Printer_2","1474250407.000"
12,chuck,"anon_Printer_2","1474250407.000"
22,chuck,"anon_Printer_2","1474250407.000"
2,chuck,"anon_Printer_7","1474250579.000"
2,chuck,"anon_Printer_7","1474250609.000"
2,chuck,"anon_Printer_7","1474250609.000"
4,chuck,"anon_Printer_7","1474250630.000"
40,chuck,"anon_Printer_9","1474250857.000"
2,chuck,"anon_Printer_2","1474251267.000"
4,chuck,"anon_Printer_2","1474251267.000"
4,chuck,"anon_Printer_2","1474251267.000"
4,chuck,"anon_Printer_2","1474251268.000"
4,chuck,"anon_Printer_2","1474251268.000"
8,chuck,"anon_Printer_9","1474251630.000"
1,chuck,"anon_Printer_3","1474251912.000"
1,chuck,"anon_Printer_3","1474251912.000"
1,chuck,"anon_Printer_1","1474252027.000"
1,chuck,"anon_Printer_1","1474252027.000"
2,chuck,"anon_Printer_1","1474252028.000"
1,chuck,"anon_Printer_1","1474252028.000"
2,chuck,"anon_Printer_1","1474252028.000"
1,chuck,"anon_Printer_1","1474252029.000"
1,chuck,"anon_Printer_1","1474252029.000"
2,chuck,"anon_Printer_1","1474252030.000"
3,chuck,"anon_Printer_1","1474252030.000"
4,chuck,"anon_Printer_1","1474252030.000"
1,chuck,"anon_Printer_1","1474252030.000"
1,chuck,"anon_Printer_1","1474252032.000"
1,chuck,"anon_Printer_1","1474252032.000"
1,chuck,"anon_Printer_1","1474252033.000"
1,chuck,"anon_Printer_1","1474252033.000"
1,chuck,"anon_Printer_1","1474252034.000"
1,chuck,"anon_Printer_1","1474252034.000"
1,chuck,"anon_Printer_1","1474252035.000"
1,chuck,"anon_Printer_1","1474252035.000"
2,chuck,"anon_Printer_7","1474252438.000"
6,chuck,"anon_Printer_7","1474252449.000"
8,chuck,"anon_Printer_8","1474252458.000"
33,chuck,"anon_Printer_8","1474252474.000"
14,chuck,"anon_Printer_8","1474252486.000"
4,chuck,"anon_Printer_6","1474252534.000"
4,chuck,"anon_Printer_6","1474252534.000"
19,chuck,"anon_Printer_9","1474252717.000"
18,chuck,"anon_Printer_9","1474252717.000"
14,chuck,"anon_Printer_7","1474252862.000"
2,chuck,"anon_Printer_2","1474252975.000"
2,chuck,"anon_Printer_2","1474252975.000"
2,chuck,"anon_Printer_6","1474253276.000"
2,chuck,"anon_Printer_6","1474253276.000"
4,chuck,"anon_Printer_6","1474253277.000"
6,chuck,"anon_Printer_6","1474253277.000"
2,chuck,"anon_Printer_6","1474253277.000"
4,chuck,"anon_Printer_1","1474253570.000"
8,chuck,"anon_Printer_1","1474253570.000"
2,chuck,"anon_Printer_1","1474253570.000"
6,chuck,"anon_Printer_1","1474253570.000"
3,chuck,"anon_Printer_6","1474253629.000"
3,chuck,"anon_Printer_6","1474253629.000"
2,chuck,"anon_Printer_6","1474253631.000"
2,chuck,"anon_Printer_6","1474253631.000"
5,chuck,"anon_Printer_6","1474253665.000"
5,chuck,"anon_Printer_6","1474253665.000"
5,chuck,"anon_Printer_6","1474253667.000"
5,chuck,"anon_Printer_6","1474253667.000"
12,chuck,"anon_Printer_8","1474253731.000"
12,chuck,"anon_Printer_8","1474253731.000"
21,chuck,"anon_Printer_7","1474253750.000"
1,chuck,"anon_Printer_6","1474253781.000"
1,chuck,"anon_Printer_6","1474253781.000"
2,chuck,"anon_Printer_2","1474253862.000"
2,chuck,"anon_Printer_2","1474253862.000"
5,chuck,"anon_Printer_2","1474253863.000"
5,chuck,"anon_Printer_2","1474253863.000"
2,chuck,"anon_Printer_4","1474253883.000"
1,chuck,"anon_Printer_4","1474253883.000"
1,chuck,"anon_Printer_4","1474253883.000"
3,chuck,"anon_Printer_4","1474253884.000"
3,chuck,"anon_Printer_4","1474253884.000"
2,chuck,"anon_Printer_4","1474254100.000"
2,chuck,"anon_Printer_4","1474254100.000"
1,chuck,"anon_Printer_6","1474254196.000"
1,chuck,"anon_Printer_6","1474254196.000"
1,chuck,"anon_Printer_6","1474254197.000"
1,chuck,"anon_Printer_6","1474254197.000"
1,chuck,"anon_Printer_6","1474254317.000"
1,chuck,"anon_Printer_6","1474254317.000"
1,chuck,"anon_Printer_6","1474254336.000"
1,chuck,"anon_Printer_6","1474254336.000"
1,chuck,"anon_Printer_6","1474254360.000"
1,chuck,"anon_Printer_6","1474254360.000"
1,chuck,"anon_Printer_6","1474254647.000"
1,chuck,"anon_Printer_6","1474254647.000"
2,chuck,"anon_Printer_6","1474254704.000"
2,chuck,"anon_Printer_6","1474254704.000"
7,chuck,"anon_Printer_6","1474255675.000"
4,chuck,"anon_Printer_6","1474255675.000"
11,chuck,"anon_Printer_6","1474255675.000"
4,chuck,"anon_Printer_6","1474255679.000"
2,chuck,"anon_Printer_6","1474255679.000"
2,chuck,"anon_Printer_6","1474255679.000"
3,chuck,"anon_Printer_6","1474255681.000"
1,chuck,"anon_Printer_6","1474255681.000"
4,chuck,"anon_Printer_6","1474255681.000"
7,chuck,"anon_Printer_6","1474255682.000"
4,chuck,"anon_Printer_6","1474255682.000"
11,chuck,"anon_Printer_6","1474255682.000"
4,chuck,"anon_Printer_6","1474255687.000"
3,chuck,"anon_Printer_6","1474255687.000"
1,chuck,"anon_Printer_6","1474255687.000"
2,chuck,"anon_Printer_6","1474255689.000"
2,chuck,"anon_Printer_6","1474255689.000"
4,chuck,"anon_Printer_6","1474255689.000"
2,chuck,"anon_Printer_6","1474255691.000"
2,chuck,"anon_Printer_6","1474255691.000"
4,chuck,"anon_Printer_6","1474255691.000"
4,chuck,"anon_Printer_6","1474255692.000"
3,chuck,"anon_Printer_6","1474255692.000"
1,chuck,"anon_Printer_6","1474255692.000"
4,chuck,"anon_Printer_6","1474255694.000"
1,chuck,"anon_Printer_6","1474255694.000"
5,chuck,"anon_Printer_6","1474255694.000"
4,chuck,"anon_Printer_6","1474255696.000"
2,chuck,"anon_Printer_6","1474255696.000"
2,chuck,"anon_Printer_6","1474255696.000"
1,chuck,"anon_Printer_6","1474255697.000"
1,chuck,"anon_Printer_6","1474255697.000"
1,chuck,"anon_Printer_6","1474255698.000"
1,chuck,"anon_Printer_6","1474255698.000"
4,chuck,"anon_Printer_6","1474255699.000"
1,chuck,"anon_Printer_6","1474255699.000"
3,chuck,"anon_Printer_6","1474255699.000"
2,chuck,"anon_Printer_9","1474255699.000"
2,chuck,"anon_Printer_6","1474255701.000"
2,chuck,"anon_Printer_6","1474255701.000"
4,chuck,"anon_Printer_6","1474255702.000"
4,chuck,"anon_Printer_6","1474255702.000"
12,chuck,"anon_Printer_6","1474255703.000"
12,chuck,"anon_Printer_6","1474255703.000"
23,chuck,"anon_Printer_6","1474255705.000"
23,chuck,"anon_Printer_6","1474255705.000"
4,chuck,"anon_Printer_6","1474255708.000"
1,chuck,"anon_Printer_6","1474255708.000"
3,chuck,"anon_Printer_6","1474255708.000"
2,chuck,"anon_Printer_6","1474255710.000"
2,chuck,"anon_Printer_6","1474255710.000"
4,chuck,"anon_Printer_6","1474255710.000"
1,chuck,"anon_Printer_4","1474256258.000"
1,chuck,"anon_Printer_4","1474256258.000"
1,chuck,"anon_Printer_4","1474256259.000"
1,chuck,"anon_Printer_4","1474256259.000"
1,chuck,"anon_Printer_4","1474256261.000"
1,chuck,"anon_Printer_4","1474256261.000"
1,chuck,"anon_Printer_5","1474256350.000"
1,chuck,"anon_Printer_5","1474256350.000"
2,chuck,"anon_Printer_9","1474256396.000"
3,chuck,"anon_Printer_9","1474256396.000"
1,chuck,"anon_Printer_2","1474256434.000"
1,chuck,"anon_Printer_2","1474256434.000"
1,chuck,"anon_Printer_6","1474256508.000"
1,chuck,"anon_Printer_6","1474256508.000"
2,chuck,"anon_Printer_1","1474256617.000"
2,chuck,"anon_Printer_1","1474256617.000"
3,chuck,"anon_Printer_9","1474256618.000"
3,chuck,"anon_Printer_9","1474256658.000"
1,chuck,"anon_Printer_1","1474256852.000"
1,chuck,"anon_Printer_1","1474256852.000"
3,chuck,"anon_Printer_6","1474256898.000"
2,chuck,"anon_Printer_6","1474256898.000"
2,chuck,"anon_Printer_6","1474256898.000"
8,chuck,"anon_Printer_2","1474256917.000"
4,chuck,"anon_Printer_2","1474256917.000"
8,chuck,"anon_Printer_2","1474256917.000"
1,chuck,"anon_Printer_2","1474256919.000"
1,chuck,"anon_Printer_2","1474256919.000"
5,chuck,"anon_Printer_2","1474256920.000"
9,chuck,"anon_Printer_2","1474256920.000"
8,chuck,"anon_Printer_2","1474256920.000"
10,chuck,"anon_Printer_2","1474256922.000"
19,chuck,"anon_Printer_2","1474256922.000"
18,chuck,"anon_Printer_2","1474256922.000"
2,chuck,"anon_Printer_9","1474256946.000"
1,chuck,"anon_Printer_8","1474257032.000"
6,chuck,"anon_Printer_2","1474257170.000"
6,chuck,"anon_Printer_2","1474257170.000"
1,chuck,"anon_Printer_1","1474257362.000"
1,chuck,"anon_Printer_1","1474257362.000"
4,chuck,"anon_Printer_9","1474257445.000"
5,chuck,"anon_Printer_9","1474257751.000"
25,chuck,"anon_Printer_9","1474257805.000"
2,chuck,"anon_Printer_5","1474258073.000"
2,chuck,"anon_Printer_5","1474258073.000"
2,chuck,"anon_Printer_5","1474258076.000"
2,chuck,"anon_Printer_5","1474258076.000"
37,chuck,"anon_Printer_9","1474258183.000"
1,chuck,"anon_Printer_2","1474258413.000"
2,chuck,"anon_Printer_2","1474258413.000"
2,chuck,"anon_Printer_2","1474258413.000"
4,chuck,"anon_Printer_2","1474258414.000"
