app,__mv_app,changeSet.name,__mv_changeSet.name,changeSet.parent.moid,__mv_changeSet.parent.moid,changeSet.parent.type,__mv_changeSet.parent.type,changeSet.resourcePool.moid,__mv_changeSet.resourcePool.moid,changeSet.resourcePool.type,__mv_changeSet.resourcePool.type,changeSet.runtime.host.moid,__mv_changeSet.runtime.host.moid,changeSet.runtime.host.type,__mv_changeSet.runtime.host.type,collectionVersion,__mv_collectionVersion,eventtype,__mv_eventtype,host,__mv_host,index,__mv_index,linecount,__mv_linecount,moid,__mv_moid,punct,__mv_punct,rootFolder.moid,__mv_rootFolder.moid,source,__mv_source,sourcetype,__mv_sourcetype,splunk_server,__mv_splunk_server,splunk_server_group,__mv_splunk_server_group,tag,__mv_tag,tag::eventtype,__mv_tag::eventtype,timestamp,__mv_timestamp,tmp_epochtime,__mv_tmp_epochtime,type,__mv_type,vendor,__mv_vendor,_bkt,__mv__bkt,_cd,__mv__cd,_eventtype_color,__mv__eventtype_color,_indextime,__mv__indextime,_raw,__mv__raw,_serial,__mv__serial,_si,__mv__si,_sourcetype,__mv__sourcetype,_time,__mv__time
vmware,,NTAP-8x-cm-sim-template,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-261,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563262,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""NTAP-8x-cm-sim-template""}, ""moid"": ""vm-261"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,10,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer10,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-237,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563251,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer10""}, ""moid"": ""vm-237"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,11,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer3,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-188,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563240,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer3""}, ""moid"": ""vm-188"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,12,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer2,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-187,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563229,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer2""}, ""moid"": ""vm-187"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,13,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer1,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-186,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563218,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer1""}, ""moid"": ""vm-186"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,14,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer9,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-234,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563207,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer9""}, ""moid"": ""vm-234"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,15,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer8,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-231,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563196,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer8""}, ""moid"": ""vm-231"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,16,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer64,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-226,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563185,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer64""}, ""moid"": ""vm-226"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,17,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer35,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-224,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563174,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer35""}, ""moid"": ""vm-224"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,18,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer34,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-220,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563163,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer34""}, ""moid"": ""vm-220"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,19,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
vmware,,apps-7m-filer32,,group-v4,,Folder,,resgroup-9,,ResourcePool,,host-10,,HostSystem,,1,,vmware_inventory,,apps-vcenter500.sv.splunk.com,,vmware-inv,,2,,vm-216,,"{"""":_{"""":_{"""":_"""",_"""":_""-""},_"""":_{"""":_"""",_"""":_""-""}",,group-d1,,VMInv:Hierarchy,,vmware:inv:hierarchy,,ip-10-202-10-19.ec2.splunkit.io,,,,"inventory
virtualization",$inventory$;$virtualization$,"inventory
virtualization",$inventory$;$virtualization$,none,,1598466190,,VirtualMachine,,"VMWare, Inc.",,vmware-inv~40~6B0708FD-C62D-4B08-B0DD-873E6C74CC06,,40:190563152,,none,,1598466190,,"
{""changeSet"": {""parent"": {""type"": ""Folder"", ""moid"": ""group-v4""}, ""resourcePool"": {""type"": ""ResourcePool"", ""moid"": ""resgroup-9""}, ""runtime"": {""host"": {""type"": ""HostSystem"", ""moid"": ""host-10""}}, ""name"": ""apps-7m-filer32""}, ""moid"": ""vm-216"", ""collectionVersion"": ""1"", ""type"": ""VirtualMachine"", ""rootFolder"": {""moid"": ""group-d1""}}",,20,,"ip-10-202-10-19.ec2.splunkit.io
vmware-inv",$ip-10-202-10-19.ec2.splunkit.io$;$vmware-inv$,vmware:inv:hierarchy,,1598466190,
