_time,Committed,Available,host,tmp_epochtime,index
,,,EC2AMAZ-3G1B1SF,1625154870,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154900,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154930,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154960,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625154990,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155020,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155050,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155080,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155110,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155140,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155170,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155200,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155230,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155260,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155290,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155320,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155350,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155380,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155410,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155440,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155470,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155500,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155530,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155560,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155590,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155620,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155650,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155680,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155710,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155740,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625155770,itsi_im_metrics
