syslogID,module,submodule,type,severity,important,index
460c5403,FLOW,SM_FW_AD,Security,Warning,0,3
460c5404,FLOW,SM_FW_AD,Security,Warning,0,4
460c5405,FLOW,SM_FW_AD,Security,Warning,0,5
460c5406,FLOW,SM_FW_AD,Security,Warning,0,6
460c5407,FLOW,SM_FW_AD,Security,Warning,0,7
460c5408,FLOW,SM_FW_AD,Security,Warning,0,8
460c5409,FLOW,SM_FW_AD,Security,Warning,0,9
460c540a,FLOW,SM_FW_AD,Security,Warning,0,10
460c540b,FLOW,SM_FW_AD,Security,Warning,0,11
460c540c,FLOW,SM_FW_AD,Security,Warning,0,12
460c540d,FLOW,SM_FW_AD,Security,Warning,0,13
460c540e,FLOW,SM_FW_AD,Security,Warning,0,14
460c540f,FLOW,SM_FW_AD,Security,Warning,0,15
460c5410,FLOW,SM_FW_AD,Security,Warning,0,16
43240501,NET,SM_NET_ARP,Event,Notice,0,1
43240502,NET,SM_NET_ARP,Event,Notice,0,2
43245203,NET,SM_NET_ARP,Security,Critical,0,3
43245204,NET,SM_NET_ARP,Security,Critical,0,4
43240306,NET,SM_NET_ARP,Event,Error,0,6
43240507,NET,SM_NET_ARP,Event,Notice,0,7
43240508,NET,SM_NET_ARP,Event,Notice,0,8
44400601,FW,SM_FW_AV,Event,Info,0,1
44400402,FW,SM_FW_AV,Event,Warning,0,2
44400603,FW,SM_FW_AV,Event,Info,0,3
44400404,FW,SM_FW_AV,Event,Warning,0,4
436c0201,NET,SM_NET_BFD,Event,Critical,0,1
436c0202,NET,SM_NET_BFD,Event,Critical,0,2
43146241,NET,SM_NET_BGP,Network,Critical,0,65
43146242,NET,SM_NET_BGP,Network,Critical,0,66
43146243,NET,SM_NET_BGP,Network,Critical,0,67
43146604,NET,SM_NET_BGP,Network,Info,0,4
43146605,NET,SM_NET_BGP,Network,Info,0,5
43146644,NET,SM_NET_BGP,Network,Info,0,68
43146607,NET,SM_NET_BGP,Network,Info,0,7
43146608,NET,SM_NET_BGP,Network,Info,0,8
43146609,NET,SM_NET_BGP,Network,Info,0,9
4314660a,NET,SM_NET_BGP,Network,Info,0,10
4314660b,NET,SM_NET_BGP,Network,Info,0,11
4314660c,NET,SM_NET_BGP,Network,Info,0,12
4314660d,NET,SM_NET_BGP,Network,Info,0,13
4314660e,NET,SM_NET_BGP,Network,Info,0,14
4314660f,NET,SM_NET_BGP,Network,Info,0,15
43146610,NET,SM_NET_BGP,Network,Info,0,16
43146611,NET,SM_NET_BGP,Network,Info,0,17
43146612,NET,SM_NET_BGP,Network,Info,0,18
43146613,NET,SM_NET_BGP,Network,Info,0,19
43146614,NET,SM_NET_BGP,Network,Info,0,20
43146615,NET,SM_NET_BGP,Network,Info,0,21
43146616,NET,SM_NET_BGP,Network,Info,0,22
43146645,NET,SM_NET_BGP,Network,Info,0,69
43146618,NET,SM_NET_BGP,Network,Info,0,24
43146646,NET,SM_NET_BGP,Network,Info,0,70
4314661c,NET,SM_NET_BGP,Network,Info,0,28
4314661d,NET,SM_NET_BGP,Network,Info,0,29
4314661e,NET,SM_NET_BGP,Network,Info,0,30
4314661f,NET,SM_NET_BGP,Network,Info,0,31
43146647,NET,SM_NET_BGP,Network,Info,0,71
43146648,NET,SM_NET_BGP,Network,Info,0,72
43146622,NET,SM_NET_BGP,Network,Info,0,34
43146623,NET,SM_NET_BGP,Network,Info,0,35
43146624,NET,SM_NET_BGP,Network,Info,0,36
43146625,NET,SM_NET_BGP,Network,Info,0,37
43146626,NET,SM_NET_BGP,Network,Info,0,38
43146627,NET,SM_NET_BGP,Network,Info,0,39
43146628,NET,SM_NET_BGP,Network,Info,0,40
43146629,NET,SM_NET_BGP,Network,Info,0,41
43146649,NET,SM_NET_BGP,Network,Info,0,73
4314664a,NET,SM_NET_BGP,Network,Info,0,74
4314662d,NET,SM_NET_BGP,Network,Info,0,45
4314662e,NET,SM_NET_BGP,Network,Info,0,46
4314622f,NET,SM_NET_BGP,Network,Critical,0,47
43146630,NET,SM_NET_BGP,Network,Info,0,48
43146631,NET,SM_NET_BGP,Network,Info,0,49
43146632,NET,SM_NET_BGP,Network,Info,0,50
43146633,NET,SM_NET_BGP,Network,Info,0,51
43146634,NET,SM_NET_BGP,Network,Info,0,52
43146635,NET,SM_NET_BGP,Network,Info,0,53
43146636,NET,SM_NET_BGP,Network,Info,0,54
43146637,NET,SM_NET_BGP,Network,Info,0,55
43146638,NET,SM_NET_BGP,Network,Info,0,56
43146639,NET,SM_NET_BGP,Network,Info,0,57
4314663a,NET,SM_NET_BGP,Network,Info,0,58
4314663b,NET,SM_NET_BGP,Network,Info,0,59
4314663c,NET,SM_NET_BGP,Network,Info,0,60
4314663d,NET,SM_NET_BGP,Network,Info,0,61
4314663e,NET,SM_NET_BGP,Network,Info,0,62
4314663f,NET,SM_NET_BGP,Network,Info,0,63
4314664b,NET,SM_NET_BGP,Network,Info,0,75
43146640,NET,SM_NET_BGP,Network,Info,0,64
41300601,SYS,SM_SYS_CLOUD,Event,Info,0,1
41300602,SYS,SM_SYS_CLOUD,Event,Info,0,2
41300603,SYS,SM_SYS_CLOUD,Event,Info,0,3
41300604,SYS,SM_SYS_CLOUD,Event,Info,0,4
41300604,SYS,SM_SYS_CLOUD,Event,Info,0,4
443c5501,FW,SM_FW_CF,Security,Notice,0,1
43306404,NET,SM_NET_DDNS,Network,Warning,0,4
43306402,NET,SM_NET_DDNS,Network,Warning,0,2
43306403,NET,SM_NET_DDNS,Network,Warning,0,3
4317f401,NET,SM_NET_BGP,43186602,NET,SM_NET_DHCP,Network,Info,0,2
43186403,NET,SM_NET_DHCP,Network,Warning,0,3
43186604,NET,SM_NET_DHCP,Network,Info,0,4
43186405,NET,SM_NET_DHCP,Network,Warning,0,5
43186606,NET,SM_NET_DHCP,Network,Info,0,6
43186607,NET,SM_NET_DHCP,Network,Info,0,7
43186408,NET,SM_NET_DHCP,Network,Warning,0,8
43380501,NET,SM_NET_DHCPSN,Event,Notice,0,1
43380502,NET,SM_NET_DHCPSN,Event,Notice,0,2
43380503,NET,SM_NET_DHCPSN,Event,Notice,0,3
43380504,NET,SM_NET_DHCPSN,Event,Notice,0,4
43380405,NET,SM_NET_DHCPSN,Event,Warning,0,5
43380406,NET,SM_NET_DHCPSN,Event,Warning,0,6
43380307,NET,SM_NET_DHCPSN,Event,Error,0,7
431c0201,NET,SM_NET_DNS,Event,Critical,0,1
431c0502,NET,SM_NET_DNS,Event,Notice,0,2
431c0503,NET,SM_NET_DNS,Event,Notice,0,3
431c0506,NET,SM_NET_DNS,Event,Notice,0,6
431c0507,NET,SM_NET_DNS,Event,Notice,0,7
431c0508,NET,SM_NET_DNS,Event,Notice,0,8
431c0509,NET,SM_NET_DNS,Event,Notice,0,9
431c050a,NET,SM_NET_DNS,Event,Notice,0,10
431c060b,NET,SM_NET_DNS,Event,Info,0,11
431c560c,NET,SM_NET_DNS,Security,Info,0,12
431c560d,NET,SM_NET_DNS,Security,Info,0,13
431c560e,NET,SM_NET_DNS,Security,Info,0,14
431c560f,NET,SM_NET_DNS,Security,Info,0,15
431c0510,NET,SM_NET_DNS,Event,Notice,0,16
431c0511,NET,SM_NET_DNS,Event,Notice,0,17
43440601,NET,SM_NET_DOT1X,Event,Info,0,1
43440602,NET,SM_NET_DOT1X,Event,Info,0,2
43440603,NET,SM_NET_DOT1X,Event,Info,0,3
43440604,NET,SM_NET_DOT1X,Event,Info,0,4
43440605,NET,SM_NET_DOT1X,Event,Info,0,5
46600201,FLOW,SM_FW_DP_AGENT,Event,Critical,0,1
46600202,FLOW,SM_FW_DP_AGENT,Event,Critical,0,2
44105401,FW,SM_FW_ALG,Security,Warning,0,1
44105502,FW,SM_FW_ALG,Security,Notice,0,2
44105503,FW,SM_FW_ALG,Security,Notice,0,3
49080201,RES,SM_RES_APPSIG,Event,Critical,0,1
49080202,RES,SM_RES_APPSIG,Event,Critical,0,2
46405401,FLOW,SM_FW_AV,Security,Warning,0,1
46405402,FLOW,SM_FW_AV,Security,Warning,0,2
46405403,FLOW,SM_FW_AV,Security,Warning,0,3
46405404,FLOW,SM_FW_AV,Security,Warning,0,4
46400205,FLOW,SM_FW_AV,Event,Critical,0,5
46405606,FLOW,SM_FW_AV,Security,Info,0,6
46405407,FLOW,SM_FW_AV,Security,Warning,0,7
46405408,FLOW,SM_FW_AV,Security,Warning,0,8
46405409,FLOW,SM_FW_AV,Security,Warning,0,9
48048401,IDP,DECODER,IPS,Warning,0,1
48048602,IDP,DECODER,IPS,Info,0,2
48048403,IDP,DECODER,IPS,Warning,0,3
4804840b,IDP,DECODER,IPS,Warning,0,11
48048205,IDP,DECODER,IPS,Critical,0,5
48048206,IDP,DECODER,IPS,Critical,0,6
48048207,IDP,DECODER,IPS,Critical,0,7
48048208,IDP,DECODER,IPS,Critical,0,8
48048209,IDP,DECODER,IPS,Critical,0,9
4804040a,IDP,DECODER,Event,Warning,0,10
48088401,IDP,DETECT_ENGINE,IPS,Warning,0,1
48088202,IDP,DETECT_ENGINE,IPS,Critical,0,2
48088203,IDP,DETECT_ENGINE,IPS,Critical,0,3
48088204,IDP,DETECT_ENGINE,IPS,Critical,0,4
48088205,IDP,DETECT_ENGINE,IPS,Critical,0,5
441c0201,FW,SM_FW_IF,Event,Critical,0,1
441c0602,FW,SM_FW_IF,Event,Info,0,2
441c0207,FW,SM_FW_IF,Event,Critical,0,7
441c0604,FW,SM_FW_IF,Event,Info,0,4
441c0205,FW,SM_FW_IF,Event,Critical,0,5
441c0206,FW,SM_FW_IF,Event,Critical,0,6
46540201,FLOW,SM_FW_MEM,Event,Critical,0,1
46580601,FLOW,SM_FW_PKTDUMP,Event,Info,0,1
46580602,FLOW,SM_FW_PKTDUMP,Event,Info,0,2
46580603,FLOW,SM_FW_PKTDUMP,Event,Info,0,3
41240201,SYS,SM_SYS_CPU_BUSY,Event,Critical,0,1
41180501,SYS,SM_SYS_EBYPASS,Event,Notice,0,1
41180502,SYS,SM_SYS_EBYPASS,Event,Notice,0,2
41180b03,SYS,SM_SYS_EBYPASS,Event,Error,1,3
42380407,MGMT,SM_MGMT_FTP,Event,Warning,0,7
42380408,MGMT,SM_MGMT_FTP,Event,Warning,0,8
42380409,MGMT,SM_MGMT_FTP,Event,Warning,0,9
4238040a,MGMT,SM_MGMT_FTP,Event,Warning,0,10
4238040b,MGMT,SM_MGMT_FTP,Event,Warning,0,11
4238040c,MGMT,SM_MGMT_FTP,Event,Warning,0,12
4238040d,MGMT,SM_MGMT_FTP,Event,Warning,0,13
4238040e,MGMT,SM_MGMT_FTP,Event,Warning,0,14
465c0501,FLOW,SM_FW_RES,Event,Notice,0,1
465c0502,FLOW,SM_FW_RES,Event,Notice,0,2
465c0503,FLOW,SM_FW_RES,Event,Notice,0,3
465c0404,FLOW,SM_FW_RES,Event,Warning,0,4
46280201,FLOW,SM_FW_HA,Event,Critical,0,1
46280202,FLOW,SM_FW_HA,Event,Critical,0,2
46280203,FLOW,SM_FW_HA,Event,Critical,0,3
46280204,FLOW,SM_FW_HA,Event,Critical,0,4
46280205,FLOW,SM_FW_HA,Event,Critical,0,5
46280206,FLOW,SM_FW_HA,Event,Critical,0,6
46280607,FLOW,SM_FW_HA,Event,Info,0,7
46280608,FLOW,SM_FW_HA,Event,Info,0,8
46280609,FLOW,SM_FW_HA,Event,Info,0,9
4628060a,FLOW,SM_FW_HA,Event,Info,0,10
4628060b,FLOW,SM_FW_HA,Event,Info,0,11
4628060c,FLOW,SM_FW_HA,Event,Info,0,12
4628060d,FLOW,SM_FW_HA,Event,Info,0,13
4628060e,FLOW,SM_FW_HA,Event,Info,0,14
4628020f,FLOW,SM_FW_HA,Event,Critical,0,15
46280210,FLOW,SM_FW_HA,Event,Critical,0,16
46280111,FLOW,SM_FW_HA,Event,Alert,0,17
46280212,FLOW,SM_FW_HA,Event,Critical,0,18
46280113,FLOW,SM_FW_HA,Event,Alert,0,19
46280214,FLOW,SM_FW_HA,Event,Critical,0,20
46280215,FLOW,SM_FW_HA,Event,Critical,0,21
46280116,FLOW,SM_FW_HA,Event,Alert,0,22
424c0201,MGMT,SM_MGMT_HEALTH,Event,Critical,0,1
424c0202,MGMT,SM_MGMT_HEALTH,Event,Critical,0,2
424c0203,MGMT,SM_MGMT_HEALTH,Event,Critical,0,3
424c0204,MGMT,SM_MGMT_HEALTH,Event,Critical,0,4
424c0205,MGMT,SM_MGMT_HEALTH,Event,Critical,0,5
424c0206,MGMT,SM_MGMT_HEALTH,Event,Critical,0,6
424c0207,MGMT,SM_MGMT_HEALTH,Event,Critical,0,7
424c0208,MGMT,SM_MGMT_HEALTH,Event,Critical,0,8
424c0209,MGMT,SM_MGMT_HEALTH,Event,Critical,0,9
424c020a,MGMT,SM_MGMT_HEALTH,Event,Critical,0,10
424c020b,MGMT,SM_MGMT_HEALTH,Event,Critical,0,11
424c020c,MGMT,SM_MGMT_HEALTH,Event,Critical,0,12
424c020d,MGMT,SM_MGMT_HEALTH,Event,Critical,0,13
424c020e,MGMT,SM_MGMT_HEALTH,Event,Critical,0,14
424c020f,MGMT,SM_MGMT_HEALTH,Event,Critical,0,15
424c0210,MGMT,SM_MGMT_HEALTH,Event,Critical,0,16
424c0211,MGMT,SM_MGMT_HEALTH,Event,Critical,0,17
424c0212,MGMT,SM_MGMT_HEALTH,Event,Critical,0,18
424c0213,MGMT,SM_MGMT_HEALTH,Event,Critical,0,19
424c0214,MGMT,SM_MGMT_HEALTH,Event,Critical,0,20
424c0215,MGMT,SM_MGMT_HEALTH,Event,Critical,0,21
424c0216,MGMT,SM_MGMT_HEALTH,Event,Critical,0,22
424c0217,MGMT,SM_MGMT_HEALTH,Event,Critical,0,23
424c0218,MGMT,SM_MGMT_HEALTH,Event,Critical,0,24
424c0219,MGMT,SM_MGMT_HEALTH,Event,Critical,0,25
424c021a,MGMT,SM_MGMT_HEALTH,Event,Critical,0,26
424c021b,MGMT,SM_MGMT_HEALTH,Event,Critical,0,27
424c021c,MGMT,SM_MGMT_HEALTH,Event,Critical,0,28
424c021d,MGMT,SM_MGMT_HEALTH,Event,Critical,0,29
424c021e,MGMT,SM_MGMT_HEALTH,Event,Critical,0,30
424c021f,MGMT,SM_MGMT_HEALTH,Event,Critical,0,31
424c0220,MGMT,SM_MGMT_HEALTH,Event,Critical,0,32
424c0221,MGMT,SM_MGMT_HEALTH,Event,Critical,0,33
424c0222,MGMT,SM_MGMT_HEALTH,Event,Critical,0,34
424c0223,MGMT,SM_MGMT_HEALTH,Event,Critical,0,35
424c0224,MGMT,SM_MGMT_HEALTH,Event,Critical,0,36
424c0225,MGMT,SM_MGMT_HEALTH,Event,Critical,0,37
424c0226,MGMT,SM_MGMT_HEALTH,Event,Critical,0,38
424c0227,MGMT,SM_MGMT_HEALTH,Event,Critical,0,39
424c0228,MGMT,SM_MGMT_HEALTH,Event,Critical,0,40
424c0229,MGMT,SM_MGMT_HEALTH,Event,Critical,0,41
424c022a,MGMT,SM_MGMT_HEALTH,Event,Critical,0,42
424c022b,MGMT,SM_MGMT_HEALTH,Event,Critical,0,43
424c022c,MGMT,SM_MGMT_HEALTH,Event,Critical,0,44
424c022d,MGMT,SM_MGMT_HEALTH,Event,Critical,0,45
424c022e,MGMT,SM_MGMT_HEALTH,Event,Critical,0,46
424c022f,MGMT,SM_MGMT_HEALTH,Event,Critical,0,47
424c0230,MGMT,SM_MGMT_HEALTH,Event,Critical,0,48
424c0231,MGMT,SM_MGMT_HEALTH,Event,Critical,0,49
424c0232,MGMT,SM_MGMT_HEALTH,Event,Critical,0,50
424c0233,MGMT,SM_MGMT_HEALTH,Event,Critical,0,51
424c0234,MGMT,SM_MGMT_HEALTH,Event,Critical,0,52
424c0235,MGMT,SM_MGMT_HEALTH,Event,Critical,0,53
424c0236,MGMT,SM_MGMT_HEALTH,Event,Critical,0,54
424c0237,MGMT,SM_MGMT_HEALTH,Event,Critical,0,55
424c0238,MGMT,SM_MGMT_HEALTH,Event,Critical,0,56
424c0239,MGMT,SM_MGMT_HEALTH,Event,Critical,0,57
424c023a,MGMT,SM_MGMT_HEALTH,Event,Critical,0,58
424c023b,MGMT,SM_MGMT_HEALTH,Event,Critical,0,59
424c023c,MGMT,SM_MGMT_HEALTH,Event,Critical,0,60
424c023d,MGMT,SM_MGMT_HEALTH,Event,Critical,0,61
424c023e,MGMT,SM_MGMT_HEALTH,Event,Critical,0,62
424c023f,MGMT,SM_MGMT_HEALTH,Event,Critical,0,63
46445401,FLOW,SM_FW_HOST_BLACKLIST,Security,Warning,0,1
46445402,FLOW,SM_FW_HOST_BLACKLIST,Security,Warning,0,2
46445403,FLOW,SM_FW_HOST_BLACKLIST,Security,Warning,0,3
46445404,FLOW,SM_FW_HOST_BLACKLIST,Security,Warning,0,4
46445405,FLOW,SM_FW_HOST_BLACKLIST,Security,Warning,0,5
46445406,FLOW,SM_FW_HOST_BLACKLIST,Security,Warning,0,6
4a080c01,HSM,4a080c02,HSM,4a080c03,HSM,4a080c04,HSM,4a080c05,HSM,4a080c06,HSM,4a080c07,HSM,420c0a01,MGMT,SM_MGMT_WEBUI,Event,Critical,1,1
420c040b,MGMT,SM_MGMT_WEBUI,Event,Warning,0,11
420c0403,MGMT,SM_MGMT_WEBUI,Event,Warning,0,3
420c5404,MGMT,SM_MGMT_WEBUI,Security,Warning,0,4
420c0705,MGMT,SM_MGMT_WEBUI,Event,Debug,0,5
420c0706,MGMT,SM_MGMT_WEBUI,Event,Debug,0,6
420c0407,MGMT,SM_MGMT_WEBUI,Event,Warning,0,7
420c0408,MGMT,SM_MGMT_WEBUI,Event,Warning,0,8
420c0409,MGMT,SM_MGMT_WEBUI,Event,Warning,0,9
420c540a,MGMT,SM_MGMT_WEBUI,Security,Warning,0,10
420c040a,MGMT,SM_MGMT_WEBUI,Event,Warning,0,10
44385501,FW,SM_FW_HTTP,Security,Notice,0,1
44383610,FW,SM_FW_HTTP,Traffic,Info,0,16
44383604,FW,SM_FW_HTTP,Traffic,Info,0,4
44385505,FW,SM_FW_HTTP,Security,Notice,0,5
44385506,FW,SM_FW_HTTP,Security,Notice,0,6
44383607,FW,SM_FW_HTTP,Traffic,Info,0,7
44383611,FW,SM_FW_HTTP,Traffic,Info,0,17
44383612,FW,SM_FW_HTTP,Traffic,Info,0,18
44383613,FW,SM_FW_HTTP,Traffic,Info,0,19
4438360c,FW,SM_FW_HTTP,Traffic,Info,0,12
4438360b,FW,SM_FW_HTTP,Traffic,Info,0,11
4438360e,FW,SM_FW_HTTP,Traffic,Info,0,14
4438360f,FW,SM_FW_HTTP,Traffic,Info,0,15
4304022b,NET,SM_NET_IF,Event,Critical,0,43
43040202,NET,SM_NET_IF,Event,Critical,0,2
43040203,NET,SM_NET_IF,Event,Critical,0,3
43040604,NET,SM_NET_IF,Event,Info,0,4
43040305,NET,SM_NET_IF,Event,Error,0,5
43040306,NET,SM_NET_IF,Event,Error,0,6
43040407,NET,SM_NET_IF,Event,Warning,0,7
43040208,NET,SM_NET_IF,Event,Critical,0,8
43040609,NET,SM_NET_IF,Event,Info,0,9
4304060a,NET,SM_NET_IF,Event,Info,0,10
4304062c,NET,SM_NET_IF,Event,Info,0,44
4304022d,NET,SM_NET_IF,Event,Critical,0,45
4304020d,NET,SM_NET_IF,Event,Critical,0,13
4304020e,NET,SM_NET_IF,Event,Critical,0,14
4304040f,NET,SM_NET_IF,Event,Warning,0,15
43040510,NET,SM_NET_IF,Event,Notice,0,16
4304032e,NET,SM_NET_IF,Event,Error,0,46
43040212,NET,SM_NET_IF,Event,Critical,0,18
43040213,NET,SM_NET_IF,Event,Critical,0,19
43040214,NET,SM_NET_IF,Event,Critical,0,20
43040215,NET,SM_NET_IF,Event,Critical,0,21
4304042f,NET,SM_NET_IF,Event,Warning,0,47
43040430,NET,SM_NET_IF,Event,Warning,0,48
43040618,NET,SM_NET_IF,Event,Info,0,24
43040631,NET,SM_NET_IF,Event,Info,0,49
43040232,NET,SM_NET_IF,Event,Critical,0,50
43040433,NET,SM_NET_IF,Event,Warning,0,51
43040434,NET,SM_NET_IF,Event,Warning,0,52
4304041d,NET,SM_NET_IF,Event,Warning,0,29
4304041e,NET,SM_NET_IF,Event,Warning,0,30
4304021f,NET,SM_NET_IF,Event,Critical,0,31
43040c20,NET,SM_NET_IF,Event,Warning,1,32
43040a21,NET,SM_NET_IF,Event,Critical,1,33
43040422,NET,SM_NET_IF,Event,Warning,0,34
43040423,NET,SM_NET_IF,Event,Warning,0,35
43040424,NET,SM_NET_IF,Event,Warning,0,36
43040225,NET,SM_NET_IF,Event,Critical,0,37
43040226,NET,SM_NET_IF,Event,Critical,0,38
43040227,NET,SM_NET_IF,Event,Critical,0,39
43040228,NET,SM_NET_IF,Event,Critical,0,40
43040229,NET,SM_NET_IF,Event,Critical,0,41
4304042a,NET,SM_NET_IF,Event,Warning,0,42
44185501,FW,SM_FW_IM,Security,Notice,0,1
462c5301,FLOW,SM_FW_IPSEC,Security,Error,0,1
462c5402,FLOW,SM_FW_IPSEC,Security,Warning,0,2
462c5403,FLOW,SM_FW_IPSEC,Security,Warning,0,3
44780201,FW,SM_FW_IPS,Event,Critical,0,1
41200201,SYS,SM_SYS_ISSU,Event,Critical,0,1
41200202,SYS,SM_SYS_ISSU,Event,Critical,0,2
41200203,SYS,SM_SYS_ISSU,Event,Critical,0,3
41200204,SYS,SM_SYS_ISSU,Event,Critical,0,4
41200205,SYS,SM_SYS_ISSU,Event,Critical,0,5
41200206,SYS,SM_SYS_ISSU,Event,Critical,0,6
41200607,SYS,SM_SYS_ISSU,Event,Info,0,7
450c0601,VPN,SM_VPN_L2TP,Event,Info,0,1
450c0602,VPN,SM_VPN_L2TP,Event,Info,0,2
450c0603,VPN,SM_VPN_L2TP,Event,Info,0,3
450c0604,VPN,SM_VPN_L2TP,Event,Info,0,4
450c0605,VPN,SM_VPN_L2TP,Event,Info,0,5
450c0606,VPN,SM_VPN_L2TP,Event,Info,0,6
450c0607,VPN,SM_VPN_L2TP,Event,Info,0,7
450c0608,VPN,SM_VPN_L2TP,Event,Info,0,8
450c0609,VPN,SM_VPN_L2TP,Event,Info,0,9
43500501,NET,SM_NET_LACP,Event,Notice,0,1
43500502,NET,SM_NET_LACP,Event,Notice,0,2
43500503,NET,SM_NET_LACP,Event,Notice,0,3
43500504,NET,SM_NET_LACP,Event,Notice,0,4
43500505,NET,SM_NET_LACP,Event,Notice,0,5
43500506,NET,SM_NET_LACP,Event,Notice,0,6
43500507,NET,SM_NET_LACP,Event,Notice,0,7
43500508,NET,SM_NET_LACP,Event,Notice,0,8
43500509,NET,SM_NET_LACP,Event,Notice,0,9
4350050a,NET,SM_NET_LACP,Event,Notice,0,10
42340401,MGMT,SM_MGMT_LOGD,Event,Warning,0,1
42340402,MGMT,SM_MGMT_LOGD,Event,Warning,0,2
42340403,MGMT,SM_MGMT_LOGD,Event,Warning,0,3
42340604,MGMT,SM_MGMT_LOGD,Event,Info,0,4
42340605,MGMT,SM_MGMT_LOGD,Event,Info,0,5
42340606,MGMT,SM_MGMT_LOGD,Event,Info,0,6
42340407,MGMT,SM_MGMT_LOGD,Event,Warning,0,7
421c0401,MGMT,SM_MGMT_LOGIN,Event,Warning,0,1
421c0402,MGMT,SM_MGMT_LOGIN,Event,Warning,0,2
421c0403,MGMT,SM_MGMT_LOGIN,Event,Warning,0,3
421c0c04,MGMT,SM_MGMT_LOGIN,Event,Warning,1,4
421c0c05,MGMT,SM_MGMT_LOGIN,Event,Warning,1,5
421c0406,MGMT,SM_MGMT_LOGIN,Event,Warning,0,6
43345201,NET,SM_NET_SWITCH,Security,Critical,0,1
42140301,MGMT,SM_MGMT_CONFIG,Event,Error,0,1
42140602,MGMT,SM_MGMT_CONFIG,Event,Info,0,2
42142604,MGMT,SM_MGMT_CONFIG,Config,Info,0,4
42140e05,MGMT,SM_MGMT_CONFIG,Event,Info,1,5
42140e06,MGMT,SM_MGMT_CONFIG,Event,Info,1,6
42140e07,MGMT,SM_MGMT_CONFIG,Event,Info,1,7
42142608,MGMT,SM_MGMT_CONFIG,Config,Info,0,8
422c0501,MGMT,SM_MGMT_HA,Event,Notice,0,1
422c0502,MGMT,SM_MGMT_HA,Event,Notice,0,2
422c0503,MGMT,SM_MGMT_HA,Event,Notice,0,3
422c0504,MGMT,SM_MGMT_HA,Event,Notice,0,4
422c0305,MGMT,SM_MGMT_HA,Event,Error,0,5
422c0506,MGMT,SM_MGMT_HA,Event,Notice,0,6
42200401,MGMT,SM_MGMT_LICENSE,Event,Warning,0,1
42200302,MGMT,SM_MGMT_LICENSE,Event,Error,0,2
42200303,MGMT,SM_MGMT_LICENSE,Event,Error,0,3
42200304,MGMT,SM_MGMT_LICENSE,Event,Error,0,4
42200605,MGMT,SM_MGMT_LICENSE,Event,Info,0,5
