Display,change_type,object,dataset_name,type
Identity providers*,configuration,settings,alert,alert
Named credentials*,configuration,settings,,
Service providers*,configuration,settings,,
Shield Platform Encryption setup*,configuration,settings,alert,alert
Event Manager*,configuration,settings,,
Transaction Security*,configuration,settings,alert,alert
Some connected app policy and setting updates*,configuration,settings,,
Using mass delete*,configuration,settings,alert,alert
Data export requests*,configuration,settings,,
Mass transfer use*,configuration,settings,alert,alert
Reporting snapshots*,,,alert,event
Use of the Data Import Wizard*,,,,
Sandbox deletions*,filesystem,files,alert,alert
Apex classes and triggers*,development,platform,,
Visualforce*,development,platform,,
Lightning components*,development,platform,,
Lightning pages*,development,platform,,
Action link templates*,development,platform,,
Custom settings*,development,platform,,
Custom metadata types and records*,development,platform,,
Remote access definitions*,development,platform,,
Salesforce Sites settings*,development,platform,,
Platform event channels and channel members*,development,platform,,
API usage metering notification*,setup,platform,,
Territories*,setup,platform,,
Process automation settings*,setup,platform,,
Approval processes*,setup,platform,,
Workflow actions*,setup,platform,,
Flows*,setup,platform,,
Packages from Salesforce AppExchange that you installed or uninstalled*,setup,platform,,
Notification delivery settings for custom and standard notification types*,setup,platform,,
Account team and opportunity team selling settings*,configuration,settings,,
Activating Google Apps services*,configuration,app,,
Mobile configuration settings*,configuration,app,,
"Users with the ""Manage External User""ùpermission*",configuration,settings,,
"Users with the ""Manage Customer Users""ùpermission*",configuration,settings,,
Partner portal accounts*,configuration,account,,
Salesforce Customer Portal accounts*,configuration,account,,
Salesforce Customer Portal*,configuration,account,,
Creating multiple Customer Portals*,configuration,portal,,
Entitlement processes and entitlement templates*,configuration,settings,,
Self-registration for a Salesforce Customer Portal*,configuration,portal,,
Customer Portal or partner portal users*,configuration,portal,,
