tld,wildcard_tld
s3.dualstack.eu-west-2.amazonaws.com,*.s3.dualstack.eu-west-2.amazonaws.com
s3-accesspoint.dualstack.eu-west-2.amazonaws.com,*.s3-accesspoint.dualstack.eu-west-2.amazonaws.com
s3.dualstack.eu-west-3.amazonaws.com,*.s3.dualstack.eu-west-3.amazonaws.com
s3-accesspoint.dualstack.eu-west-3.amazonaws.com,*.s3-accesspoint.dualstack.eu-west-3.amazonaws.com
s3-website.dualstack.eu-west-3.amazonaws.com,*.s3-website.dualstack.eu-west-3.amazonaws.com
s3.dualstack.il-central-1.amazonaws.com,*.s3.dualstack.il-central-1.amazonaws.com
s3-accesspoint.dualstack.il-central-1.amazonaws.com,*.s3-accesspoint.dualstack.il-central-1.amazonaws.com
s3-website.dualstack.il-central-1.amazonaws.com,*.s3-website.dualstack.il-central-1.amazonaws.com
s3.dualstack.me-central-1.amazonaws.com,*.s3.dualstack.me-central-1.amazonaws.com
s3-accesspoint.dualstack.me-central-1.amazonaws.com,*.s3-accesspoint.dualstack.me-central-1.amazonaws.com
s3-website.dualstack.me-central-1.amazonaws.com,*.s3-website.dualstack.me-central-1.amazonaws.com
s3.dualstack.me-south-1.amazonaws.com,*.s3.dualstack.me-south-1.amazonaws.com
s3-accesspoint.dualstack.me-south-1.amazonaws.com,*.s3-accesspoint.dualstack.me-south-1.amazonaws.com
mrap.accesspoint.s3-global.amazonaws.com,*.mrap.accesspoint.s3-global.amazonaws.com
s3.dualstack.sa-east-1.amazonaws.com,*.s3.dualstack.sa-east-1.amazonaws.com
s3-accesspoint.dualstack.sa-east-1.amazonaws.com,*.s3-accesspoint.dualstack.sa-east-1.amazonaws.com
s3-website.dualstack.sa-east-1.amazonaws.com,*.s3-website.dualstack.sa-east-1.amazonaws.com
s3.dualstack.us-east-1.amazonaws.com,*.s3.dualstack.us-east-1.amazonaws.com
s3-accesspoint.dualstack.us-east-1.amazonaws.com,*.s3-accesspoint.dualstack.us-east-1.amazonaws.com
s3-accesspoint-fips.dualstack.us-east-1.amazonaws.com,*.s3-accesspoint-fips.dualstack.us-east-1.amazonaws.com
s3-fips.dualstack.us-east-1.amazonaws.com,*.s3-fips.dualstack.us-east-1.amazonaws.com
s3-website.dualstack.us-east-1.amazonaws.com,*.s3-website.dualstack.us-east-1.amazonaws.com
s3.dualstack.us-east-2.amazonaws.com,*.s3.dualstack.us-east-2.amazonaws.com
s3-accesspoint.dualstack.us-east-2.amazonaws.com,*.s3-accesspoint.dualstack.us-east-2.amazonaws.com
s3-accesspoint-fips.dualstack.us-east-2.amazonaws.com,*.s3-accesspoint-fips.dualstack.us-east-2.amazonaws.com
s3-fips.dualstack.us-east-2.amazonaws.com,*.s3-fips.dualstack.us-east-2.amazonaws.com
s3-website.dualstack.us-east-2.amazonaws.com,*.s3-website.dualstack.us-east-2.amazonaws.com
s3.dualstack.us-gov-east-1.amazonaws.com,*.s3.dualstack.us-gov-east-1.amazonaws.com
