org_type,description,naics_code,isic_code
Government,Social Security Activities,923130,O8430
Government,Public Order and Safety Activities,922100,O8423
Government,Defence Activities,928110,O8422
Government,Foreign Affairs,928100,O8421
Government,Provision of Services to the Community as a Whole,,O8420
Government,Administration of Economic Programs,926100,O8413
Government,Administration of Urban Planning and Community and Rural Development,925120,O8413
Government,Administration of General Economic Programs,926110,O8412
Government,Administration of Housing Programs,925110,O8412
Government,Administration of Environmental Quality Programs,924100,O8412
Government,Administration of Human Resource Programs,923100,O8412
Government,Administration of the State and Economic and Social Policy,920000,O8410
Government (County),Public Administration (County),921100,O8411
Government (Federal),Public Administration (Federal),921100,O8411
Government (General),Public Administration (General),921100,O8411
Government (Municipal),Public Administration (Municipal),921100,O8411
Government (State),Public Administration (State),921100,O8411
Health,Social Work Activities,624000,Q8800
Health,Residential Care Activities,623000,Q8700
Health,Other Ambulatory Health Care Services,621900,Q8690
Health,Home Health Care Services,621610,Q8690
Health,Medical and Diagnostic Laboratories,621500,Q8690
Health,Human Health and Social Work Activities,620000,Q0000
Hospital,Hospitals,622000,Q8610
Insurance,Insurance/Reinsurance/Pension Funding,524000,K6500
Insurance,Health Insurance,524114,K6512
Insurance,Life Insurance,524113,K6511
Insurance,Insurance,524000,K6510
Internet Cafes,Internet Cafes,517900,J6190
Internet Colocation Services,Internet Colocation Services,518210,J6311
Internet Hosting Services,Internet Hosting (Applications),518210,J6311
Internet Hosting Services,Internet Hosting (Web),518210,J6311
Internet Service Provider,Wired Telecommunications Carriers,517110,J6110
Internet Service Provider,Internet Cable Services,517110,J6110
Internet Service Provider,Wireless Telecommunications Activities,517210,J6120
Legal Services,Legal Services,541100,M6910
Library,Libraries and Archives,519120,R9101
Lodging,Traveler Accommodation,721100,I5510
Manufacturing,Game/Toy/Childrens Vehicle Manufacturing,339932,C2640
Manufacturing,Fiber/Yarn/Thread Mills,313100,C1311
Manufacturing,Repair and Maintenance,811000,C3300
Manufacturing,Miscellaneous Manufacturing,339000,C3200
Manufacturing,Furniture and Related Product Manufacturing,337000,C3100
Manufacturing,Other Transportation Equipment Manufacturing,336990,C3090
Manufacturing,Military Armored Vehicle/Tank/Tank Component Manufacturing,336992,C3040
Manufacturing,Aerospace Product and Parts Manufacturing,336400,C3030
Manufacturing,Railroad Rolling Stock Manufacturing,336500,C3020
Manufacturing,Ship and Boat Building,336600,C3010
Manufacturing,All Other Miscellaneous Manufacturing,339999,C2800
Manufacturing,Fastener/Button/Needle/Pin Manufacturing,339993,C2800
Manufacturing,Gasket/Packing/Sealing Device Manufacturing,339991,C2800
Manufacturing,Laboratory Apparatus and Furniture Manufacturing,339113,C2800
Manufacturing,Aircraft Engine and Engine Parts Manufacturing,336412,C2800
Manufacturing,Other Motor Vehicle Parts Manufacturing,336399,C2800
Manufacturing,Motor Vehicle Air-Conditioning Manufacturing,336391,C2800
Manufacturing,Motor Vehicle Brake System Manufacturing,336340,C2800
Manufacturing,Motor Vehicle Steering and Suspension Components (Except Spring) Manufacturing,336330,C2800
Manufacturing,Other Motor Vehicle Electrical and Electronic Equipment Manufacturing,336322,C2800
Manufacturing,Other General Purpose Machinery Manufacturing,333900,C2800
Manufacturing,Engine/Turbine/Power Transmission Equipment Manufacturing,333600,C2800
Manufacturing,Metalworking Machinery Manufacturing,333500,C2800
Manufacturing,Ventilation/Heating/Air-Conditioning/Commercial Refrigeration Equipment Manufacturing,333400,C2800
Manufacturing,Commercial and Service Industry Machinery Manufacturing,333300,C2800
Manufacturing,Industrial Machinery Manufacturing,333200,C2800
Manufacturing,Agriculture/Construction/Mining Machinery Manufacturing,333100,C2800
Manufacturing,Ball and Roller Bearing Manufacturing,332991,C2800
Manufacturing,Metal Valve Manufacturing,332910,C2800
Manufacturing,Metal Tank (Heavy Gauge) Manufacturing,332420,C2800
Manufacturing,Power Boiler and Heat Exchanger Manufacturing,332410,C2800
Manufacturing,Plate Work Manufacturing,332313,C2800
Manufacturing,Hand and Edge Tool Manufacturing,332212,C2800
Manufacturing,Photographic Film/Paper/Plate/Chemical Manufacturing,325992,C2800
Manufacturing,Sign Manufacturing,339950,C2790
Manufacturing,Other Miscellaneous Electrical Equipment and Component Manufacturing,335999,C2790
Manufacturing,Carbon and Graphite Product Manufacturing,335991,C2790
Manufacturing,Relay and Industrial Control Manufacturing,335314,C2790
Manufacturing,Other Lighting Equipment Manufacturing,335129,C2790
Manufacturing,Welding and Soldering Equipment Manufacturing,333992,C2790
Manufacturing,Other Engine Equipment Manufacturing,333618,C2790
Manufacturing,Other Commercial and Service Industry Machinery Manufacturing,333319,C2790
Manufacturing,Household Appliance Manufacturing,335200,C2750
Manufacturing,Vehicular Lighting Equipment Manufacturing,336321,C2740
Manufacturing,Electric Lighting Equipment Manufacturing,335100,C2740
Manufacturing,Scale and Balance Manufacturing,333997,C2650
Manufacturing,Radio/TV Broadcasting and Wireless Communications Equipment Manufacturing,334220,C2650
Manufacturing,Other Communications Equipment Manufacturing,334290,C2650
Manufacturing,Environmental Control Manufacturing,334512,C2650
Manufacturing,Instruments Manufacturing for Industrial Process Variables,334513,C2650
Manufacturing,Totalizing Fluid Meter and Counting Device Manufacturing,334514,C2650
Manufacturing,Instrument Manufacturing for Measuring and Testing Electricity,334515,C2650
Manufacturing,Analytical Laboratory Instrument Manufacturing,334516,C2650
Manufacturing,Watch/Clock/Part Manufacturing,334518,C2650
Manufacturing,Other Measuring and Controlling Device Manufacturing,334519,C2650
Manufacturing,Electromedical and Electrotherapeutic Apparatus Manufacturing,334510,C2660
Manufacturing,Irradiation/Electromedical/Electrotherapeutic Equipment Manufacturing,334517,C2660
Manufacturing,Optical Instrument and Lens Manufacturing,333314,C2670
Manufacturing,Photographic and Photocopying Equipment Manufacturing,333315,C2670
Manufacturing,Other Computer Peripheral Equipment Manufacturing,334119,C2670
Manufacturing,Magnetic and Optical Recording Media Manufacturing,334613,C2680
Manufacturing,Electrical Equipment Manufacturing,335300,C2710
Manufacturing,Battery Manufacturing,335910,C2720
Manufacturing,Fiber Optic Cable Manufacturing,335921,C2731
Manufacturing,Steel Wire Drawing,331222,C2732
Manufacturing,Copper Wire (Except Mechanical) Drawing,331422,C2732
Manufacturing,Other Communication and Energy Wire Manufacturing,335929,C2732
Manufacturing,Manufacturing,310000,C0000
Manufacturing,Food Manufacturing,311000,C1000
Manufacturing,Beverage Manufacturing,312100,C1100
Manufacturing,Tobacco Manufacturing,312200,C1200
Manufacturing,Textile Mills,313000,C1300
Manufacturing,Textile Product Mills,314000,C1300
Manufacturing,Coated and Laminated Paper Manufacturing,322222,C1300
Manufacturing,Commercial Screen Printing,323113,C1300
Manufacturing,Motor Vehicle Seating and Interior Trim Manufacturing,336360,C1300
Manufacturing,Blind and Shade Manufacturing,337920,C1300
Manufacturing,Apparel Manufacturing,315000,C1400
Manufacturing,Leather and Allied Product Manufacturing,316000,C1500
Manufacturing,Wood Product Manufacturing,321000,C1600
Manufacturing,Paper Manufacturing,322000,C1700
Manufacturing,Printing,323110,C1811
Manufacturing,Support Activities for Printing,323120,C1812
Manufacturing,Software Reproducing,334611,C1820
Manufacturing,Reproducing of Compact Discs/Tapes/Records,334612,C1820
Manufacturing,Petroleum and Coal Products Manufacturing,324000,C1900
Manufacturing,Petrochemical Manufacturing,325110,C1900
Manufacturing,Cyclic Crude and Intermediate Manufacturing,325192,C1900
Manufacturing,Chemical Manufacturing,325000,C2000
Manufacturing,Distilleries,312140,C2011
Manufacturing,Basic Chemical Manufacturing,325100,C2011
Manufacturing,Pesticide/Fertilizer/Other Agricultural Chemical Manufacturing,325300,C2012
Manufacturing,Plastic and Synthetic Rubber Manufacturing,325210,C2013
Manufacturing,Pesticide and Other Agricultural Chemical Manufacturing,325320,C2021
Manufacturing,Gum and Wood Chemical Manufacturing,325191,C2022
Manufacturing,Paint/Coating/Adhesive Manufacturing,325500,C2022
Manufacturing,Printing Ink Manufacturing,325910,C2022
Manufacturing,Lead Pencil and Art Good Manufacturing,339942,C2022
Manufacturing,Soap/Cleaning Compound/Toilet Preparation Manufacturing,325600,C2023
Manufacturing,Other Organic Chemical Manufacturing,325199,C2029
Manufacturing,Other Miscellaneous Chemical Manufacturing,325998,C2029
Manufacturing,Man-Made Fiber Manufacturing,325220,C2030
Manufacturing,Pharmaceutical and Medicine Manufacturing,325400,C2100
Manufacturing,Plastics and Rubber Products Manufacturing,326000,C2200
Manufacturing,Other Chemical Product and Preparation Manufacturing,325990,C2300
Manufacturing,Clay Product and Refractory Manufacturing,327100,C2300
Manufacturing,Glass and Glass Product Manufacturing,327200,C2300
Manufacturing,Cement and Concrete Product Manufacturing,327300,C2300
Manufacturing,Lime and Gypsum Product Manufacturing,327400,C2300
Manufacturing,Other Nonmetallic Mineral Product Manufacturing,327900,C2300
Manufacturing,Mineral Wool Manufacturing,327993,C2300
Manufacturing,Paper Bag and Coated and Treated Paper Manufacturing,322220,C2400
Manufacturing,Primary Metal Manufacturing,331000,C2400
Manufacturing,Fabricated Metal Product Manufacturing,332000,C2500
Manufacturing,Computer and Electronic Product Manufacturing,334000,C2600
Manufacturing,Electronic Component and Board Manufacturing,334400,C2610
Manufacturing,Computer and Peripheral Equipment Manufacturing,334100,C2620
Manufacturing,Communications Equipment Manufacturing,334200,C2630
Manufacturing,Audio and Video Equipment Manufacturing,334300,C2640
Manufacturing,Wiring Device Manufacturing,335930,C2733
Medical and Dental Services,Home Health Care Services,621610,M8690
Medical and Dental Services,Offices of Other Health Practitioners,621300,Q8690
Medical and Dental Services,Outpatient Care Centers,621400,Q8620
Medical and Dental Services,Offices of Dentists,621210,Q8620
Medical and Dental Services,Offices of Physicians,621100,Q8620
Member Organization,Activities of Membership Organizations,813000,S9400
Member Organization,Activities of Extraterritorial Organizations,928120,U9900
Member Organization,Activities of Other Membership Organizations,813990,S9499
Member Organization,Civic and Social Organizations,813410,S9499
Member Organization,Social Advocacy Organizations,813310,S9499
Member Organization,Grantmaking and Giving Services,813210,S9499
Member Organization,Political Organizations,813940,S9492
Member Organization,Labor Unions and Similar Labor Organizations,813930,S9420
Member Organization,Professional Organizations,813920,S9412
Member Organization,Business Associations,813910,S9411
Mining,Mining of Metal Ores,212200,B0700
Motor Vehicles,Motor Vehicle Manufacturing,336100,C2910
Motor Vehicles,Motor Vehicle and Parts Dealers,441000,G4510
Motor Vehicles,Motor Vehicle Parts Manufacturing,336300,C2930
Motor Vehicles,Motor Vehicle Body and Trailer Manufacturing,336200,C2920
Personal or Individual Website,Personal or Individual Website,,
Pharmacy,Pharmacy Supplies Merchant Wholesalers,424210,G4649
Pharmacy,Retail Sale of Pharmacy Goods,446100,G4772
Private Service,Computer Systems Design Services,541512,J6202
Private Service,Other Professional/Scientific/Technical Services,541990,M7490
Private Service,Other Computer Related Services,541519,J6209
Private Service,Computer Facilities Management Services,541513,J6202
Professional Service,Activities of Head Offices or Management Consultancy,,M7000
Professional Service,Security Systems Services (except Locksmiths),561621,N8020
Professional Service,Investigation and Security Services,561600,N8010
Professional Service,Professional/Scientific/Technical Services,541000,M7490
Professional Service,Veterinary Services,541940,M7500
Professional Service,Photofinishing,812920,M7420
Professional Service,Photographic Services,541920,M7420
Professional Service,Specialized Design Services,541400,M7410
Professional Service,Marketing Research and Public Opinion Polling,541910,M7320
Professional Service,Surveying and Mapping (Except Geophysical) Services,541370,M7110
Professional Service,Geophysical Surveying and Mapping Services,541360,M7110
Professional Service,Building Inspection Services,541350,M7110
Professional Service,Drafting Services,541340,M7110
Professional Service,Engineering Services,541330,M7110
Professional Service,Landscape Architectural Services,541320,M7110
Professional Service,Architectural Services,541310,M7110
Professional Service,Public Relations Agencies,541820,M7020
Professional Service,Management Consulting Services,541610,M7020
Professional Service,Activities of Head Offices,551114,M7010
Publishing,Publishing,511000,J5800
Publishing,Software Publishing,511210,J5820
Publishing,Publishing of Books/Periodicals/Other Publishing Activities,511100,J5810
Real Estate,Real Estate Activities,530000,L6800
Religious Organizations,Religious Organizations,813110,S9491
Research and Development,Scientific Research and Development,541700,M7200
Research and Development,Research and Experimental Development on Natural Sciences and Engineering,541710,M7210
Research and Development,Research and Experimental Development on Social Sciences and Humanities,541720,M7220
Retail,Retail Trade (Except of Motor Vehicles),440000,G4700
Retail,Automotive Parts and Accessories Stores,441310,G4742
Retail,General Merchandise Stores,452000,G4710
Retail,Grocery Stores,445100,G4711
Retail,Gasoline Stations With Convenience Stores,447110,G4711
Retail,Warehouse Clubs and Supercenters,452910,G4711
Retail,Department Stores,452100,G4719
Retail,Other General Merchandise Stores,452900,G4719
Retail,Retail Sale of Food/Beverages/Tobacco in Specialized Stores,445200,G4720
Retail,Specialty Food Stores,445200,G4721
Retail,Food (Health) Supplement Stores,446191,G4721
Retail,Beer/Wine/Liquor Stores,445310,G4722
Retail,Tobacco Stores,453991,G4723
Retail,Gasoline Stations,447100,G4730
Retail,Computer and Software Stores,443120,G4741
Retail,Radio/TV/Other Electronics Stores,443112,G4740
Retail,Retail Sale of Other Household Equipment in Specialized Stores,,G4750
Retail,Sewing/Needlework/Piece Goods Stores,451130,G4751
Retail,Building Material and Garden Equipment and Supplies Dealers,444000,G4752
Retail,Floor Covering Stores,442210,G4753
Retail,Window Treatment Stores,442291,G4753
Retail,Paint and Wallpaper Stores,444120,G4753
Retail,Furniture Stores,442110,G4759
Retail,Household Appliance Stores,443111,G4759
Retail,Other Building Material Dealers,444190,G4759
Retail,Musical Instrument and Supplies Stores,451140,G4759
Retail,Sporting Goods/Hobby/Book/Music Stores,451000,G4760
Retail,Book Stores and News Dealers,451210,G4761
Retail,Office Supplies and Stationery Stores,453210,G4761
Retail,Prerecorded Tape/Compact Disc/Record Stores,451220,G4762
Retail,Boat Dealers,441222,G4763
Retail,Sporting Goods Stores,451110,G4763
Retail,Hobby/Toy/Game Stores,451120,G4764
Retail,Retail Sale of Other Goods in Specialized Stores,,G4770
Retail,Clothing and Clothing Accessories Stores,448000,G4771
Retail,Other Retail Sale of New Goods in Specialized Stores,453998,G4773
Retail,Retail Sale of Second-Hand Goods,453310,G4774
Retail,Fruit and Vegetable Markets,445230,G4780
Retail,Retail Trade Not in Stores or Markets,,G4790
Retail,Electronic Shopping and Mail-Order Houses,454100,G4791
Retail,Other Direct Selling Establishments,454390,G4799
Telecommunications,Radio Broadcasting,515110,J6010
Telecommunications,TV and Radio Broadcasting,515100,J6000
Telecommunications,TV Broadcasting,515120,J6020
Telecommunications,Telecommunications,517000,J6100
Telecommunications,Satellite Telecommunications,517410,J6130
Telecommunications,Other Telecommunications,517900,J6190
Telecommunications,Video and Audio Streaming Services,518210,J6311
Telecommunications,Data Processing,518210,J6311
Testing,Computer Programming Activities,541511,J6201
Testing,Technical Testing and Analysis,541380,M7120
Transportation,Transportation and Warehousing,480000,H0000
Transportation,Rail Transportation,482100,H4910
Transportation,Transit and Ground Passenger Transportation,485000,H4921
Transportation,General Freight Trucking (Local),484110,H4922
Transportation,Interurban and Rural Bus Transportation,485210,H4922
Transportation,Taxi Service,485310,H4922
Transportation,School and Employee Bus Transportation,485410,H4922
Transportation,Charter Bus Industry,485510,H4922
Transportation,Other Transit and Ground Passenger Transportation,485999,H4922
Transportation,Scenic and Sightseeing Transportation (Land),487110,H4922
Transportation,General Freight Trucking (Long-Distance),484120,H4923
Transportation,Water Transportation,483000,H5000
Transportation,Scenic and Sightseeing Transportation (Water),487210,H5000
Transportation,Passenger Air Transport,481111,H5110
Transportation,Freight Air Transport,481112,H5120
Transportation,Warehousing and Storage,493100,H5210
Transportation,Support Activities for Transportation,488000,H5220
Transportation,Postal Service,491110,H5310
Transportation,Couriers and Messengers,492000,H5320
Travel Services,Travel Arrangement and Reservation Services,561500,N7900
Utilities,Electric Power Generation/Transmission/Distribution,221100,D3510
Utilities,Natural Gas Distribution,221210,D3520
Utilities,Steam and Air-Conditioning Supply,221330,D3530
Utilities,Water Supply and Irrigation Systems,221310,E3600
Utilities,Sewage Treatment Facilities,221320,E3700
Wholesale,Wholesale Trade (Except of Motor Vehicles),420000,G4600
Wholesale,Wholesale Electronic Markets and Agents and Brokers,425100,G4610
Wholesale,Farm Product Raw Material Merchant Wholesalers,424500,G4620
Wholesale,Farm Supplies Merchant Wholesalers,424910,G4620
Wholesale,Flower/Nursery Stock/Florist Supplies Merchant Wholesalers,424930,G4620
Wholesale,Grocery and Related Product Merchant Wholesalers,424400,G4630
Wholesale,Furniture and Home Furnishing Merchant Wholesalers,423200,G4640
Wholesale,Apparel/Piece Goods/Notions Merchant Wholesalers,424300,G4640
Wholesale,Lumber/Plywood/Millwork/Wood Panel Merchant Wholesalers,423310,G4649
Wholesale,Miscellaneous Durable Goods Merchant Wholesalers,423900,G4649
Wholesale,Stationery and Office Supplies Merchant Wholesalers,424120,G4649
Wholesale,Industrial and Personal Service Paper Merchant Wholesalers,424130,G4649
Wholesale,Other Chemical and Allied Products Merchant Wholesalers,424690,G4649
Wholesale,Book/Periodical/Newspaper Merchant Wholesalers,424920,G4649
Wholesale,Other Miscellaneous Nondurable Goods Merchant Wholesalers,424990,G4649
Wholesale,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,G4651
Wholesale,Electrical and Electronic Goods Merchant Wholesalers,423600,G4652
Wholesale,Farm and Garden Machinery and Equipment Merchant Wholesalers,423820,G4653
Wholesale,Photographic Equipment and Supplies Merchant Wholesalers,423410,G4659
Wholesale,Office Equipment Merchant Wholesalers,423420,G4659
Wholesale,Other Commercial Equipment Merchant Wholesalers,423440,G4659
Wholesale,Medical/Dental/Hospital Equipment and Supplies Merchant Wholesalers,423450,G4659
Wholesale,Other Professional Equipment and Supplies Merchant Wholesalers,423490,G4659
Wholesale,Electrical Apparatus/Wiring Supplies/Related Equipment Merchant Wholesalers,423610,G4659
Wholesale,Other Electronic Parts and Equipment Merchant Wholesalers,423690,G4659
Wholesale,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,423720,G4659
Wholesale,Refrigeration Equipment and Supplies Merchant Wholesalers,423740,G4659
Wholesale,Machinery/Equipment/Supplies Merchant Wholesalers,423800,G4659
Wholesale,Other Miscellaneous Durable Goods Merchant Wholesalers,423990,G4659
Wholesale,Wholesale Trade,420000,G4660
Wholesale,Non-specialized wholesale trade (durable goods),423990,G4690
Wholesale,Non-specialized wholesale trade (nondurable goods),424990,G4690
Wholesale,Merchant Wholesalers/Durable Goods,423000,G4650
Wholesale,Motor Vehicle Parts (Used) Merchant Wholesalers,423140,G4530
Wholesale,Construction Materials Wholesale,423300,G4663
