"_raw",host,index,source,sourcetype
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|1|FILE|OPENED|4368742255|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_1.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4368742255|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_1.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4358373097|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_2.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|1|FILE|OPENED|4358373097|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_2.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|FILE|OPENED|4358373097|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_2.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|32|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|1|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|0|DIR|OPENED|4368686386|/ifs/testlabnfs/CZMASFRAD02","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:09 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|32|DIR|OPENED|4365840224|/ifs/testlabnfs","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:02:04 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:01:46 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:01:34 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:01:34 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:01:29 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:01:16 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:01:16 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:01:16 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:47 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:47 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:46 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:34 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:31 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.32|NFS|OPEN|SUCCESS|32|DIR|OPENED|4371979476|/ifs/testlabnfs/CPMASSQL81_clone","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:31 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.32|NFS|OPEN|SUCCESS|32|DIR|OPENED|4365840224|/ifs/testlabnfs","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:24 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368856085|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:22 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368856085|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:20 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.244|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368856085|/ifs/testlabnfs/CZMASFRAD02/CZMASFRAD02_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:17 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:05 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 13:00:05 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|1|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:59:46 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:59:32 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:59:31 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:59:30 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:58:57 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:58:57 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:58:46 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:58:45 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:58:24 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:57:46 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:57:44 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:57:44 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|3|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:57:43 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4368625503|/ifs/testlabnfs/CZMASCHAD03/CZMASCHAD03_2-flat.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:57:00 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
"May 17 12:56:46 a-b-1-c-1(id1) audit_protocol[4602]: S-1-22-1-65534|65534|System|1|1.2.1.240|NFS|OPEN|SUCCESS|2|FILE|OPENED|4373785536|/ifs/testlabnfs/SQL2008R2Template-CHI/SQL2008R2Template-CHI-000001-delta.vmdk","1.2.3.4",isilon,"udp:514","emc:isilon:syslog"
