"_raw",host,index,source,sourcetype
"2017-07-06T11:20:23-04:00 clust1-1 audit_config[4705]: request: 8; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.157.70; uri: /3/iiq/instances/1.2.157.70; method: PUT; args[1/1]: {""monitoring_state"": ""active"", ""dns_name"": ""1.2.157.70"", ""version"": ""1.2.1.3"", ""node_ip"": ""1.2.157.74""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T11:10:23-04:00 clust1-1 audit_config[4705]: request: 7; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.157.70; uri: /3/iiq/instances/1.2.157.70; method: PUT; args[1/1]: {""monitoring_state"": ""active"", ""dns_name"": ""1.2.157.70"", ""version"": ""1.2.1.3"", ""node_ip"": ""1.2.157.74""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T11:02:38-04:00 clust1-1 audit_config[4705]: request: 6; args[2/2]: , ""encoding"": ""@DEFAULT"", ""read_transfer_size"": ""@DEFAULT"", ""return_32bit_file_ids"": ""@DEFAULT"", ""write_datasync_reply"": ""@DEFAULT"", ""time_delta"": ""@DEFAULT"", ""write_filesync_action"": ""@DEFAULT"", ""directory_transfer_size"": ""@DEFAULT"", ""write_transfer_max_size"": ""@DEFAULT""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T11:02:38-04:00 clust1-1 audit_config[4705]: request: 6; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.23.45; uri: /2/protocols/nfs/exports/1; method: PUT; args[1/2]: {""symlinks"": ""@DEFAULT"", ""map_lookup_uid"": ""@DEFAULT"", ""read_transfer_multiple"": ""@DEFAULT"", ""setattr_asynchronous"": ""@DEFAULT"", ""write_unstable_reply"": ""@DEFAULT"", ""read_transfer_max_size"": ""@DEFAULT"", ""write_filesync_reply"": ""@DEFAULT"", ""read_only"": false, ""map_root"": {""primary_group"": {}, ""enabled"": true, ""secondary_groups"": [], ""user"": {""id"": ""USER:pmon""}}, ""block_size"": ""@DEFAULT"", ""write_transfer_size"": ""@DEFAULT"", ""max_file_size"": ""@DEFAULT"", ""commit_asynchronous"": ""@DEFAULT"", ""write_unstable_action"": ""@DEFAULT"", ""can_set_time"": ""@DEFAULT"", ""write_datasync_action"": ""@DEFAULT"", ""readdirplus"": ""@DEFAULT"", ""write_transfer_multiple"": ""@DEFAULT""","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T11:00:23-04:00 clust1-1 audit_config[4705]: request: 5; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.157.70; uri: /3/iiq/instances/1.2.157.70; method: PUT; args[1/1]: {""monitoring_state"": ""active"", ""dns_name"": ""1.2.157.70"", ""version"": ""1.2.1.3"", ""node_ip"": ""1.2.157.74""}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:58:44-04:00 clust1-1 audit_config[4705]: request: 4; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.23.45; uri: /3/audit/settings/global; method: PUT; args[1/1]: {""protocol_auditing_enabled"": true}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:56:26-04:00 clust1-1 audit_config[4705]: request: 3; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.23.45; uri: /3/audit/settings/global; method: PUT; args[1/1]: {""config_syslog_enabled"": true}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:56:26-04:00 clust1-1 audit_config[4705]: request: 2; uid: 0; sid: SID:S-1-22-1-0; remote_addr: 1.2.23.45; uri: /2/protocols/nfs/exports; method: POST; args[1/1]: {""read_only"": false, ""paths"": [""/ifs/hdfs""], ""root_clients"": [""1.2.157.0/24""], ""read_only_clients"": [], ""clients"": [], ""all_dirs"": false, ""read_write_clients"": []}","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-01T09:14:04-04:00 clust1-1 hdfs[17750]: HDFS token authentication plugin for SASL loaded","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-01T08:57:18-04:00 clust1-1 hdfs[16484]: HDFS token authentication plugin for SASL loaded","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-30T12:54:23-04:00 clust1-1 hdfs[98766]: HDFS token authentication plugin for SASL loaded","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:50:03-04:00 clust1-1 sshd[68389]: Accepted password for root from 1.2.23.45 port 36913 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:50:02-04:00 clust1-1 sshd[68367]: Accepted keyboard-interactive/pam for root from 1.2.23.45 port 46455 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:42:14-04:00 clust1-1 sshd[67969]: Accepted keyboard-interactive/pam for root from 1.2.23.45 port 55734 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:37:27-04:00 clust1-1 sshd[67369]: Accepted keyboard-interactive/pam for root from 1.2.23.45 port 55698 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-06T10:37:25-04:00 clust1-1 sshd[67369]: error: PAM: authentication error for root from 1.2.23.45","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-05T12:05:14-04:00 clust1-1 sshd[28610]: Accepted keyboard-interactive/pam for root from 1.2.6.25 port 41028 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-05T12:05:13-04:00 clust1-1 sshd[28610]: error: PAM: authentication error for root from 1.2.6.25","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-05T12:02:42-04:00 clust1-1 sshd[28344]: Accepted keyboard-interactive/pam for root from 1.2.6.25 port 41016 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-05T12:02:40-04:00 clust1-1 sshd[28344]: error: PAM: authentication error for root from 1.2.6.25","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-01T09:14:04-04:00 clust1-1 hdfs[17750]: HDFS token authentication plugin for SASL loaded","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-01T08:57:18-04:00 clust1-1 hdfs[16484]: HDFS token authentication plugin for SASL loaded","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-07-01T08:56:38-04:00 clust1-1 sshd[16310]: Accepted keyboard-interactive/pam for root from 1.2.157.71 port 63460 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-30T12:54:23-04:00 clust1-1 hdfs[98766]: HDFS token authentication plugin for SASL loaded","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-30T12:44:35-04:00 clust1-1 sshd[97094]: Accepted keyboard-interactive/pam for root from 1.2.157.71 port 57263 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-30T02:02:29-04:00 clust1-1 sshd[76864]: Accepted keyboard-interactive/pam for root from 1.2.157.68 port 50837 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-29T14:06:25-04:00 clust1-1 sshd[16386]: Accepted keyboard-interactive/pam for root from 1.2.61.8 port 46514 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-27T18:16:05-04:00 clust1-1 sshd[53616]: Accepted keyboard-interactive/pam for root from 1.2.62.128 port 58736 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-27T16:04:26-04:00 clust1-1 sshd[39788]: Accepted keyboard-interactive/pam for root from 1.2.157.71 port 64397 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-27T15:04:43-04:00 clust1-1 sshd[34557]: Accepted keyboard-interactive/pam for root from 1.2.62.128 port 65001 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-27T14:55:23-04:00 clust1-1 sshd[33727]: Accepted keyboard-interactive/pam for root from 1.2.157.220 port 35124 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-23T18:45:25-04:00 clust1-1 sshd[20830]: Accepted keyboard-interactive/pam for root from 1.2.250.19 port 55999 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-23T11:02:17-04:00 clust1-1 sshd[72117]: Accepted keyboard-interactive/pam for root from 1.2.250.19 port 60954 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-22T13:06:36-04:00 clust1-1 sshd[78449]: Accepted keyboard-interactive/pam for root from 1.2.65.131 port 50270 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-22T10:16:23-04:00 clust1-1 sshd[58358]: Accepted keyboard-interactive/pam for root from 1.2.65.131 port 61427 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-22T10:16:18-04:00 clust1-1 sshd[58358]: error: PAM: authentication error for root from 1.2.65.131","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-22T10:16:14-04:00 clust1-1 sshd[58358]: error: PAM: authentication error for root from 1.2.65.131","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-21T15:53:13-04:00 clust1-1 sshd[89382]: Accepted keyboard-interactive/pam for root from 1.2.28.253 port 53590 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-20T10:01:59-04:00 clust1-1 sshd[7994]: Accepted keyboard-interactive/pam for root from 1.2.15.129 port 61324 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-20T10:01:23-04:00 clust1-1 sshd[7923]: Accepted keyboard-interactive/pam for root from 1.2.15.129 port 50227 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-16T14:10:37-04:00 clust1-1 sshd[28994]: Accepted keyboard-interactive/pam for root from 1.2.157.71 port 50333 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-16T14:02:38-04:00 clust1-1 sshd[28307]: Accepted keyboard-interactive/pam for root from 1.2.157.71 port 50213 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
"2017-06-15T08:11:07-04:00 clust1-1 sshd[36972]: Accepted keyboard-interactive/pam for root from 1.2.34.98 port 65047 ssh2","1.2.3.5",isilon,"udp:514","emc:isilon:syslog"
