activity_description,activity_id,activity_name,category_name,category_uid,class_name,class_uid,type_name,type_uid,type_uid_description,severity_id,severity
A user account was locked out.,9,Lock,Identity & Access Management,3,Account Change,3001,Account Change: Lock,300109,,3,Medium
The event activity is not mapped.,99,Other,Identity & Access Management,3,Account Change,3001,Account Change: Other,300199,,0,Unknown
The event activity is unknown.,0,Unknown,Identity & Access Management,3,Authentication,3002,Authentication: Unknown,300200,,0,Unknown
A new logon session was requested.,1,Logon,Identity & Access Management,3,Authentication,3002,Authentication: Logon,300201,A new logon session was requested.,1,Informational
A logon session was terminated and no longer exists.,2,Logoff,Identity & Access Management,3,Authentication,3002,Authentication: Logoff,300202,A logon session was terminated and no longer exists.,1,Informational
A Kerberos authentication ticket (TGT) was requested.,3,Authentication Ticket,Identity & Access Management,3,Authentication,3002,Authentication: Authentication Ticket,300203,A Kerberos authentication ticket (TGT) was requested.,1,Informational
A Kerberos service ticket was requested.,4,Service Ticket,Identity & Access Management,3,Authentication,3002,Authentication: Service Ticket,300204,A Kerberos service ticket was requested.,1,Informational
The event activity is not mapped.,99,Other,Identity & Access Management,3,Authentication,3002,Authentication: Other,300299,,0,Unknown
The event activity is unknown.,0,Unknown,Identity & Access Management,3,Authorize Session,3003,Authorize Session: Unknown,300300,,0,Unknown
Assign special privileges to a new logon.,1,Assign Privileges,Identity & Access Management,3,Authorize Session,3003,Authorize Session: Assign Privileges,300301,Assign special privileges to a new logon.,1,Informational
Assign special groups to a new logon.,2,Assign Groups,Identity & Access Management,3,Authorize Session,3003,Authorize Session: Assign Groups,300302,Assign special groups to a new logon.,1,Informational
The event activity is not mapped.,99,Other,Identity & Access Management,3,Authorize Session,3003,Authorize Session: Other,300399,,0,Unknown
